0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,
1,0.0000000,-3.9948600,1.1791700,0.0622900,-4.0415000,1.1804800,0.2285000,-4.2555700,0.9562900,0.2977400,-4.2125000,0.7488600,0.3723400,-4.0148600,1.1714700,-0.0855000,-4.0566800,0.9200300,-0.1997100,-3.8290500,0.7908200,-0.0894000,-4.1497500,0.6062600,0.0931200,-4.1439300,0.6185900,0.2115600,-3.9332800,0.2651300,0.2895900,-4.2230400,-0.1602800,0.2942300,-4.1655500,0.5949100,-0.0191500,-4.2719000,0.1959500,-0.0407100,-4.4801800,-0.2191200,-0.0281200,-4.3059700,-0.3014500,-0.0698600,-4.3565100,-0.2931500,-0.1426200,-4.5593100,-0.2501000,-0.0250200,-4.0374900,-0.2743500,0.3467100,-4.1296800,-0.2418100,0.3982300,-4.3086100,-0.2253800,0.2607100,
2,0.0166667,-3.9855700,1.1684200,0.0612300,-4.0144300,1.1751400,0.2358700,-4.2407400,0.9552100,0.3023400,-4.2088000,0.7436900,0.3744300,-3.9898800,1.1680100,-0.0808500,-4.0499200,0.9183600,-0.1979800,-3.8237300,0.7895700,-0.0867300,-4.1285800,0.6035600,0.0996200,-4.1208200,0.6166500,0.2162700,-3.9337200,0.2579100,0.2899400,-4.1959700,-0.1718100,0.3018400,-4.1576200,0.5884000,-0.0164200,-4.2648600,0.1916800,-0.0377600,-4.4803600,-0.2176700,-0.0280600,-4.3058100,-0.3021300,-0.0698800,-4.3566900,-0.2909500,-0.1428000,-4.5462700,-0.2462000,-0.0205700,-4.0410200,-0.2817400,0.3453800,-4.1206100,-0.2535700,0.4003000,-4.2928300,-0.2270100,0.2706400,
3,0.0333333,-3.9716100,1.1599500,0.0612500,-3.9882700,1.1683800,0.2441600,-4.2238000,0.9524600,0.3166900,-4.2024400,0.7420500,0.3799300,-3.9630700,1.1645000,-0.0755900,-4.0425300,0.9124300,-0.1949800,-3.8161900,0.7839900,-0.0845700,-4.1051400,0.6020700,0.1067300,-4.0976500,0.6145300,0.2209200,-3.9323100,0.2528800,0.2906800,-4.1817800,-0.1797000,0.3058800,-4.1336200,0.5845200,-0.0095900,-4.2535900,0.1876200,-0.0335300,-4.4803300,-0.2163200,-0.0281900,-4.3077300,-0.3014000,-0.0704400,-4.3590400,-0.2897300,-0.1420800,-4.5399900,-0.2443500,-0.0184600,-4.0426700,-0.2903000,0.3442400,-4.1151900,-0.2647800,0.4017200,-4.2715300,-0.2279600,0.2801400,
4,0.0500000,-3.9492800,1.1517700,0.0654700,-3.9656800,1.1601400,0.2512700,-4.2076900,0.9487300,0.3373800,-4.1837700,0.7359600,0.3899700,-3.9349300,1.1610500,-0.0714600,-4.0320800,0.9064000,-0.1922000,-3.8067500,0.7758600,-0.0845400,-4.0831900,0.5997500,0.1134100,-4.0771800,0.6121900,0.2251500,-3.9257800,0.2499400,0.2918200,-4.1780900,-0.1823100,0.3070000,-4.0955200,0.5846800,-0.0006400,-4.2394100,0.1860900,-0.0298200,-4.4812300,-0.2149900,-0.0284100,-4.3111700,-0.3041100,-0.0717400,-4.3651800,-0.2905800,-0.1401900,-4.5406600,-0.2451200,-0.0189400,-4.0462200,-0.2915600,0.3431200,-4.1102700,-0.2684800,0.4015800,-4.2514900,-0.2251300,0.2864700,
5,0.0666667,-3.9161200,1.1418300,0.0756000,-3.9507800,1.1503300,0.2556800,-4.1963500,0.9418900,0.3564700,-4.1449400,0.7285800,0.4038400,-3.9095500,1.1513200,-0.0691900,-4.0191900,0.9048800,-0.1902500,-3.7976300,0.7662100,-0.0864100,-4.0684100,0.5970200,0.1178900,-4.0608700,0.6094000,0.2276800,-3.9134900,0.2463400,0.2922200,-4.1759000,-0.1833700,0.3078600,-4.0604800,0.5851700,0.0058600,-4.2230400,0.1833300,-0.0282000,-4.4830800,-0.2164000,-0.0284500,-4.3139900,-0.3098100,-0.0732200,-4.3732400,-0.2939700,-0.1381100,-4.5437300,-0.2473100,-0.0204300,-4.0497300,-0.2949500,0.3418300,-4.1037500,-0.2690800,0.4005300,-4.2465100,-0.2228900,0.2886500,
6,0.0833333,-3.8786000,1.1337000,0.0882500,-3.9422500,1.1410400,0.2580400,-4.1794800,0.9333900,0.3710100,-4.0956400,0.7202700,0.4184500,-3.8890900,1.1394300,-0.0673700,-4.0067600,0.9044800,-0.1873300,-3.7920800,0.7578700,-0.0880800,-4.0597300,0.5920400,0.1204900,-4.0467900,0.6030200,0.2295600,-3.9010700,0.2412700,0.2911000,-4.1752300,-0.1833100,0.3086100,-4.0401600,0.5817700,0.0091400,-4.2046400,0.1861900,-0.0269000,-4.4848600,-0.2136100,-0.0291900,-4.3167000,-0.3083500,-0.0741400,-4.3794400,-0.2952600,-0.1372000,-4.5468900,-0.2419400,-0.0218500,-4.0531000,-0.2970100,0.3407400,-4.1002000,-0.2696700,0.3999200,-4.2589400,-0.2219300,0.2887700,
7,0.1000000,-3.8496000,1.1277200,0.0981100,-3.9320400,1.1304800,0.2611400,-4.1452900,0.9186500,0.3837700,-4.0546300,0.7035300,0.4306100,-3.8716300,1.1291200,-0.0647000,-3.9976500,0.9037700,-0.1821000,-3.7916100,0.7475900,-0.0889200,-4.0482200,0.5868400,0.1242400,-4.0286100,0.5973700,0.2339500,-3.8929600,0.2352400,0.2889900,-4.1782600,-0.1832200,0.3081300,-4.0290600,0.5791900,0.0122900,-4.1767600,0.1851700,-0.0219300,-4.4770500,-0.2033300,-0.0324400,-4.3144500,-0.3091300,-0.0735500,-4.3808300,-0.2941000,-0.1360500,-4.5476200,-0.2276600,-0.0238400,-4.0534900,-0.2989100,0.3405100,-4.1003700,-0.2719200,0.4002800,-4.2744500,-0.2225000,0.2894900,
8,0.1166667,-3.8344000,1.1224700,0.1034100,-3.9087400,1.1214500,0.2686100,-4.1008800,0.9073300,0.3973100,-4.0190000,0.6828700,0.4412000,-3.8501100,1.1224100,-0.0617200,-3.9908800,0.9023300,-0.1761800,-3.7948000,0.7334100,-0.0905400,-4.0230200,0.5829600,0.1324700,-3.9999000,0.5938500,0.2425000,-3.8862300,0.2248900,0.2863100,-4.1813100,-0.1807600,0.3073500,-4.0115500,0.5769300,0.0187900,-4.1321000,0.1772600,-0.0116800,-4.4523800,-0.1782000,-0.0390500,-4.3118600,-0.2996100,-0.0720700,-4.3811500,-0.2804000,-0.1319000,-4.5414000,-0.2019600,-0.0262100,-4.0537500,-0.2959900,0.3407100,-4.1007700,-0.2728500,0.4003200,-4.2795200,-0.2202700,0.2917200,
9,0.1333333,-3.8276000,1.1154000,0.1059000,-3.8686400,1.1119700,0.2809900,-4.0596200,0.8976900,0.4119400,-3.9661300,0.6591400,0.4513800,-3.8185200,1.1177600,-0.0594700,-3.9817400,0.9009100,-0.1713700,-3.7976700,0.7209500,-0.0937300,-3.9844100,0.5829600,0.1443000,-3.9654000,0.5914400,0.2533200,-3.8797500,0.2140700,0.2833500,-4.1779300,-0.1790700,0.3081800,-3.9801700,0.5762600,0.0289800,-4.0772600,0.1723100,0.0009700,-4.4137800,-0.1466800,-0.0456500,-4.3070300,-0.2951600,-0.0705000,-4.3766300,-0.2686000,-0.1247200,-4.5198900,-0.1748000,-0.0251300,-4.0554200,-0.2937000,0.3404700,-4.1002600,-0.2737500,0.4002100,-4.2712600,-0.2174200,0.2962900,
10,0.1500000,-3.8191900,1.1085800,0.1079000,-3.8241900,1.1076600,0.2928000,-4.0185500,0.8872000,0.4263200,-3.8928900,0.6553000,0.4562000,-3.7801900,1.1128900,-0.0576100,-3.9645300,0.8978000,-0.1675300,-3.7955500,0.7114600,-0.0975800,-3.9454400,0.5826900,0.1545000,-3.9375300,0.5883400,0.2625300,-3.8745200,0.1997900,0.2813100,-4.1708400,-0.1784100,0.3104200,-3.9411000,0.5738700,0.0395200,-4.0198800,0.1661500,0.0129100,-4.3734300,-0.1202900,-0.0466900,-4.3032100,-0.2935400,-0.0694500,-4.3689700,-0.2547200,-0.1181500,-4.4898100,-0.1517500,-0.0191600,-4.0593700,-0.2930300,0.3395000,-4.1018000,-0.2748700,0.4013700,-4.2605100,-0.2134400,0.3030100,
