,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,249.806274,-215.388123,1008.200623,214.459213,76.268509,1017.130005,401.137512,-95.929565,1029.381836,392.371429,-10.00094,1034.756592,318.948517,-253.295807,515.168762,361.203705,-290.291382,111.55748,426.656738,-250.47287,64.699997,304.872925,137.963715,527.63208,351.597717,164.132004,110.450905,413.124054,127.325729,55.899956,311.648499,-150.855194,496.048401,347.01239,-201.758011,109.43364,253.207474,-337.182129,61.58147,203.229904,-265.988403,72.826706,228.904709,201.445389,60.184769,186.436325,132.433716,71.184525,339.172424,76.419891,114.981201,308.406158,38.693977,507.504272
2,0,249.689911,-215.395966,1008.193237,214.394897,76.267433,1017.130493,401.034149,-95.980278,1029.365234,392.310547,-10.045375,1034.74292,318.919189,-253.272202,515.160828,361.202881,-290.305023,111.586159,426.655975,-250.488037,64.702858,304.839294,137.95137,527.626831,351.599182,164.13031,110.435989,413.12265,127.337608,55.891754,311.681488,-150.983444,496.046051,347.022339,-201.739899,109.446411,253.208633,-337.218964,61.581429,203.215988,-265.992249,72.847839,228.909103,201.425186,60.184486,186.441101,132.424149,71.175232,339.170502,76.401321,115.012329,308.37326,38.655106,507.50177
3,0,249.598389,-215.376358,1008.188721,214.334732,76.253754,1017.109985,400.970673,-95.994942,1029.345215,392.234589,-10.082336,1034.734253,318.872375,-253.31279,515.135742,361.186249,-290.298798,111.574341,426.647675,-250.516678,64.704636,304.836609,137.935913,527.624756,351.604645,164.122055,110.449966,413.113068,127.344978,55.890301,311.70166,-151.080643,496.015808,347.018158,-201.741837,109.447441,253.15419,-336.980103,61.329624,203.223724,-266.00473,72.866112,228.926712,201.364014,60.234783,186.435211,132.428116,71.165497,339.181519,76.431618,115.009514,308.408813,38.721424,507.485687
4,0,249.477798,-215.377136,1008.164978,214.282791,76.271774,1017.090942,400.889954,-96.030128,1029.349609,392.164856,-10.123328,1034.722656,318.857574,-253.290085,515.130249,361.175262,-290.313934,111.578484,426.646118,-250.501907,64.691406,304.820343,137.92749,527.643494,351.614624,164.111481,110.468231,413.099335,127.306206,55.894463,311.643341,-150.837753,496.02063,347.043854,-201.72673,109.449936,253.220642,-337.170044,61.564922,203.212814,-266.023193,72.862602,228.932465,201.359116,60.241631,186.431015,132.441116,71.186569,339.148438,76.40152,114.99131,308.339447,38.669437,507.489563
5,0,249.379791,-215.368713,1008.15332,214.235748,76.257858,1017.083069,400.770172,-96.105522,1029.296387,392.374969,-9.988143,1034.871338,318.776276,-253.307663,515.118347,361.20752,-290.30545,111.570076,426.670258,-250.484589,64.700089,304.803497,137.922028,527.623901,351.614502,164.100098,110.469872,413.096527,127.313141,55.893406,311.65802,-150.83345,496.01355,347.052612,-201.738022,109.452087,253.186462,-336.973999,61.30011,203.204346,-265.991058,72.846275,228.903915,201.450623,60.200283,186.425293,132.424149,71.191933,339.18042,76.409271,114.994102,308.308746,38.684502,507.53772
6,0,249.318954,-215.366547,1008.173096,214.187134,76.272324,1017.064087,400.704041,-96.122078,1029.29834,392.300995,-10.030822,1034.850586,318.72821,-253.324036,515.140381,361.214233,-290.297211,111.578217,426.583618,-250.606598,64.638374,304.792389,137.927551,527.60199,351.609955,164.117447,110.467361,413.126007,127.300026,55.902302,311.58252,-150.723816,496.003906,347.060791,-201.729141,109.4505,253.180893,-337.19928,61.592583,203.198013,-265.998627,72.855766,228.925018,201.375809,60.225796,186.431915,132.442871,71.195328,339.168671,76.398682,115.008202,308.251465,38.677757,507.534149
7,0,249.244278,-215.383408,1008.170715,214.146881,76.257019,1017.032532,400.631714,-96.156311,1029.276489,392.254517,-10.040798,1034.825562,318.651642,-253.338898,515.113098,361.227509,-290.290802,111.584938,426.588318,-250.588409,64.628113,304.787689,137.949417,527.597473,351.606262,164.109451,110.482689,413.114594,127.279236,55.909039,311.605316,-151.247726,496.007263,347.026245,-201.732452,109.441475,253.154282,-337.025909,61.357372,203.207214,-265.989563,72.844025,228.948425,201.381241,60.233055,186.426483,132.449921,71.188927,339.14505,76.381668,115.023155,308.622253,38.986126,507.541351
8,0,249.172531,-215.336578,1008.165344,214.131012,76.276352,1017.037964,400.600037,-96.169983,1029.265503,392.208832,-10.083151,1034.782471,318.610931,-253.330826,515.114807,361.223602,-290.268127,111.542679,426.644653,-250.463272,64.723167,304.761627,137.954285,527.603088,351.615234,164.12114,110.463219,413.127625,127.2798,55.911358,311.563904,-151.200119,496.022858,347.035645,-201.733948,109.446686,253.184525,-337.016998,61.345032,203.187027,-265.973236,72.842049,228.936661,201.409042,60.242477,186.430283,132.452347,71.168411,339.15744,76.379242,114.99025,308.204071,38.68568,507.508759
9,0,249.137238,-215.350327,1008.188232,214.076492,76.276894,1017.02832,400.546478,-96.169701,1029.233276,392.165619,-10.101916,1034.738525,318.538788,-253.333115,515.098999,361.221619,-290.257812,111.570091,426.668671,-250.434128,64.749634,304.73645,137.931488,527.61084,351.592255,164.12767,110.484764,413.139221,127.26152,55.922554,311.514862,-151.252487,496.026337,347.039734,-201.705887,109.45742,253.174667,-337.020508,61.40303,203.206024,-265.977112,72.844872,228.903366,201.462585,60.194096,186.422699,132.459213,71.19136,339.169189,76.377769,114.995483,308.08316,38.624363,507.524963
10,0,249.10701,-215.327225,1008.20813,214.071594,76.288651,1017.036438,400.308594,-96.11718,1029.156738,392.138702,-10.102958,1034.73584,318.494385,-253.36731,515.10321,361.187531,-290.250946,111.570183,426.672882,-250.455414,64.743515,304.683167,137.944077,527.59668,351.609558,164.10408,110.468452,413.131287,127.245232,55.909435,311.46698,-151.271255,496.00528,347.06131,-201.690796,109.444977,253.16095,-337.020721,61.404003,203.182968,-265.983551,72.854393,228.916733,201.494003,60.188763,186.441254,132.474854,71.199127,339.173523,76.387764,114.998459,308.150269,38.729877,507.352936
