,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,259.197998,-215.74472,977.905579,256.553375,77.375725,997.029419,425.819824,-114.767899,1004.845276,426.640015,-27.606924,1013.32428,330.787872,-316.149902,506.359985,374.293945,-419.949432,114.682373,446.655334,-403.717773,64.829559,353.253479,184.060898,526.583252,409.921631,267.176849,113.356827,476.329742,245.8013,56.700836,341.861786,-216.323517,472.00531,379.419281,-331.807037,101.819664,256.088348,-444.361725,61.479324,227.007721,-362.052094,72.971954,280.253571,284.15506,59.321632,253.273911,207.717331,73.074318,410.522156,178.561661,110.181091,363.838593,88.414062,493.164612
2,0,259.401276,-215.73671,977.853394,256.661194,77.388306,996.99884,426.002197,-114.650787,1004.967468,426.791595,-27.468811,1013.424622,330.992065,-316.124329,506.419434,374.313721,-419.914551,114.663765,446.66452,-403.698364,64.844879,353.440643,184.138199,526.60907,409.914886,267.223999,113.384529,476.343842,245.802261,56.682636,341.984253,-216.263718,471.972992,379.438171,-331.765594,101.833549,256.244934,-444.368958,61.315403,227.025604,-362.03595,72.959763,280.253815,284.173248,59.317909,253.259247,207.706787,73.053131,410.567963,178.600967,110.186485,363.992004,88.427795,493.1586
3,0,259.694489,-215.66449,977.848206,256.730988,77.426796,996.957092,426.185028,-114.609703,1005.091553,426.896698,-27.383442,1013.546692,331.199829,-316.080353,506.421021,374.355804,-419.879425,114.689178,446.681458,-403.662384,64.878532,353.600372,184.197937,526.610168,409.975342,267.050934,113.395401,476.347168,245.807022,56.690456,342.125549,-216.232971,471.968964,379.457397,-331.751221,101.832924,256.109436,-444.278442,61.229084,227.023193,-362.079926,72.973801,280.240845,284.160095,59.315201,253.259781,207.728043,73.06633,410.571411,178.566818,110.169556,364.203918,88.492874,493.157684
4,0,259.858063,-215.655029,977.834961,256.800659,77.428848,996.877625,426.365021,-114.536789,1005.254517,426.985474,-27.281788,1013.666992,331.378204,-316.060608,506.41333,374.340912,-419.902496,114.713501,446.681671,-403.652618,64.863922,353.736206,184.234894,526.610107,409.973419,267.067841,113.417061,476.362122,245.818405,56.679855,342.310486,-216.176834,471.958679,379.42511,-331.805542,101.828506,256.258148,-444.36322,61.290573,227.028168,-362.073822,72.977837,280.267517,284.141571,59.299454,253.27742,207.720413,73.042961,410.647125,178.605591,110.194641,364.422974,88.549454,493.148529
5,0,260.036072,-215.64418,977.807373,256.868896,77.424461,996.842896,426.521851,-114.486679,1005.407104,427.082214,-27.21018,1013.783691,331.561066,-316.081024,506.427338,374.336029,-419.892242,114.729347,446.679565,-403.655548,64.893059,353.890289,184.289398,526.628967,409.965454,267.219482,113.367638,476.342651,245.786194,56.669811,342.434631,-216.209152,471.965363,379.441986,-331.762085,101.816422,256.106445,-444.28775,61.253773,227.022522,-362.093628,72.954338,280.253601,284.129974,59.304924,253.264511,207.710861,73.0793,410.610382,178.561295,110.196877,364.650391,88.588821,493.220642
6,0,260.147186,-215.654358,977.813477,256.929199,77.397827,996.75592,426.62207,-114.459236,1005.532166,427.161591,-27.166857,1013.906982,331.728394,-316.083405,506.452576,374.333771,-419.92807,114.7304,446.686249,-403.644714,64.873436,354.055603,184.34967,526.654358,409.993561,267.102814,113.409554,476.34668,245.807724,56.667175,342.617493,-216.187119,471.982452,379.447632,-331.767517,101.8722,256.24411,-444.426544,61.405815,226.999069,-362.126251,72.986343,280.257812,284.184235,59.344898,253.261749,207.726288,73.058487,410.648438,178.579865,110.167831,364.866547,88.656601,493.263977
7,0,260.316925,-215.64772,977.80011,256.98877,77.394859,996.678284,426.71109,-114.427216,1005.69104,427.228027,-27.111509,1014.02533,331.8573,-316.113312,506.4729,374.347412,-419.929413,114.710953,446.660492,-403.653687,64.859863,354.207428,184.405396,526.65387,409.987732,267.262146,113.367554,476.347717,245.825043,56.676781,342.749847,-216.223999,471.979126,379.460083,-331.7883,101.879196,256.135071,-444.351318,61.266026,227.014877,-362.106598,72.996712,280.247681,284.16507,59.339603,253.263885,207.706039,73.056252,410.681458,178.625473,110.207657,365.064911,88.710266,493.258606
8,0,260.384705,-215.680893,977.80072,257.101471,77.352371,996.580139,426.795776,-114.473785,1005.836975,427.284882,-27.145315,1014.153931,332.021088,-316.152771,506.467163,374.327332,-419.931244,114.728203,446.68866,-403.617859,64.922394,354.363831,184.434326,526.654297,410.014374,267.288696,113.359741,476.331818,245.836105,56.670525,342.914246,-216.262024,471.972107,379.434174,-331.810272,101.902496,256.213043,-444.223389,61.160812,226.981613,-362.126251,73.004837,280.254974,284.151306,59.313255,253.280518,207.755325,73.072517,410.68924,178.616852,110.202522,365.251282,88.766884,493.229004
9,0,260.482117,-215.710434,977.79834,257.151459,77.301163,996.497131,426.883209,-114.522675,1005.980957,427.342285,-27.192087,1014.233215,332.126678,-316.21228,506.486359,374.304718,-419.964874,114.722832,446.680756,-403.647797,64.918678,354.504303,184.46817,526.693054,410.020813,267.307922,113.365845,476.339966,245.834305,56.65913,343.104858,-216.307343,472.019714,379.445099,-331.824249,101.957001,256.150726,-444.399017,61.268799,226.971619,-362.168304,72.99099,280.249115,284.173828,59.332603,253.286179,207.751556,73.122627,410.708527,178.64006,110.21225,365.448883,88.776772,493.166565
10,0,260.564362,-215.752213,977.771912,257.211823,77.288414,996.405579,426.966278,-114.60524,1006.141663,427.402863,-27.244629,1014.353394,332.274597,-316.23526,506.507446,374.33252,-420.009338,114.726395,446.649872,-403.684845,64.883713,354.647919,184.438522,526.678894,410.033875,267.307739,113.381462,476.354492,245.850449,56.674183,343.297211,-216.414429,472.027679,379.446808,-331.848846,101.985306,256.225342,-444.310608,61.201149,226.981857,-362.174255,72.999001,280.236053,284.164673,59.319637,253.284363,207.712479,73.090126,410.686737,178.612701,110.232536,365.623322,88.758522,493.159576
