,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,262.577728,-214.746246,979.384521,259.101807,77.036949,996.181519,425.353729,-115.865242,1019.118652,426.266022,-28.948042,1027.062378,339.316254,-321.12912,511.671173,370.73465,-424.097809,114.93512,439.759918,-401.701691,64.048355,367.55835,184.285797,527.483887,410.622467,264.463654,113.255424,469.437744,231.362579,55.943768,338.345947,-219.908813,475.281036,367.903015,-334.843689,107.468521,247.905563,-453.591125,54.487476,219.834488,-367.799744,75.318726,278.895996,300.599609,56.271595,245.022614,226.874664,74.778114,395.322357,177.077621,114.066597,357.19873,86.46106,492.113556
2,0,262.526672,-214.760498,979.364441,259.042511,77.025696,996.154907,425.267883,-115.865181,1019.186829,426.193573,-28.965155,1027.120972,339.318665,-321.219299,511.717438,370.697876,-424.093475,114.913414,439.757202,-401.683838,64.061417,367.613586,184.310516,527.493958,410.60553,264.453583,113.239326,469.417938,231.325256,55.910419,338.394745,-219.710281,475.293488,367.859467,-334.847015,107.441582,247.911728,-453.568573,54.486889,219.835358,-367.805634,75.337173,278.910461,300.609558,56.290024,245.014084,226.877136,74.774559,395.335724,177.078949,114.031876,357.311035,86.461761,492.123535
3,0,262.537659,-214.7939,979.319214,258.995056,77.011086,996.120972,425.2388,-115.884331,1019.241577,426.129547,-28.948954,1027.176636,339.348938,-321.272919,511.75177,370.721008,-424.096802,114.903503,439.756409,-401.706177,64.035973,367.633759,184.258087,527.483582,410.625854,264.462524,113.257492,469.416718,231.33699,55.945698,338.419037,-219.68895,475.291473,367.852966,-335.133484,107.487679,247.966324,-453.550629,54.459003,219.829422,-367.798462,75.307556,278.911316,300.591217,56.274452,245.019867,226.874786,74.766579,395.330383,177.091934,114.051384,357.307526,86.463036,492.132202
4,0,262.471741,-214.800293,979.280884,258.92749,76.992928,996.065796,425.12265,-115.89682,1019.293884,426.03421,-28.984947,1027.246826,339.344421,-321.334259,511.815125,370.740509,-424.083099,114.919357,439.741455,-401.735565,64.022194,367.676605,184.252274,527.473999,410.621887,264.449066,113.25428,469.420135,231.341843,55.971397,338.445526,-219.691666,475.287628,367.885956,-334.929596,107.428452,247.809525,-453.608948,54.430126,219.842224,-367.794769,75.302185,278.910675,300.594666,56.280659,245.00679,226.891281,74.792274,395.358154,177.091324,114.088142,357.292389,86.394516,492.111542
5,0,262.436615,-214.81282,979.268372,258.876129,76.97245,996.017883,425.099609,-115.862907,1019.361145,426.196503,-28.829353,1027.391479,339.345947,-321.395721,511.838379,370.717743,-424.110626,114.912788,439.762421,-401.727753,64.049248,367.704041,184.257629,527.473816,410.638306,264.426239,113.262894,469.437134,231.358124,55.987995,338.458374,-219.741669,475.267792,367.88623,-335.144043,107.476067,247.88974,-453.640015,54.489239,219.837616,-367.787262,75.306015,278.895111,300.589111,56.251369,245.02623,226.880936,74.777138,395.366028,177.093994,114.054054,357.40802,86.45031,492.10907
6,0,262.389832,-214.823471,979.243286,258.820526,76.970856,995.977539,425.050262,-115.889679,1019.447449,426.108856,-28.813114,1027.464478,339.365479,-321.363464,511.824188,370.702484,-424.147919,114.921539,439.82309,-401.875519,64.089996,367.716553,184.248611,527.460754,410.644989,264.440613,113.265007,469.420868,231.299927,55.955013,338.506958,-219.806076,475.254974,367.879822,-334.915405,107.431686,247.890808,-453.611816,54.495556,219.807663,-367.805359,75.322701,278.903839,300.592163,56.260567,245.035507,226.880203,74.780861,395.319733,177.101517,114.074509,357.438995,86.425705,492.120514
7,0,262.32486,-214.809875,979.200317,258.737488,76.952797,995.91748,424.951569,-115.931915,1019.526733,425.963196,-28.831839,1027.522827,339.387878,-321.380157,511.844025,370.727844,-424.126251,114.92614,439.772217,-401.713379,64.056793,367.78244,184.257935,527.463318,410.64856,264.430481,113.269669,469.423279,231.334824,55.992168,338.523682,-219.910416,475.190094,367.912231,-334.893219,107.427605,247.810684,-453.648529,54.504276,219.829651,-367.813995,75.292252,278.898376,300.614014,56.259678,245.028183,226.876358,74.795044,395.310089,177.148941,114.077972,357.479065,86.440956,492.069458
8,0,262.245789,-214.798264,979.181702,258.683258,76.943321,995.833069,424.89505,-115.937584,1019.602539,425.85968,-28.875216,1027.618408,339.44519,-321.308044,511.844574,370.737396,-424.142975,114.937317,439.761536,-401.718323,64.065109,367.808105,184.264084,527.446777,410.647827,264.453888,113.281258,469.420807,231.340805,56.00436,338.563629,-220.007477,475.128876,367.886261,-334.872498,107.417725,247.85025,-453.677704,54.505814,219.827194,-367.784332,75.299309,278.905945,300.626465,56.258923,245.019669,226.916321,74.786804,395.331207,177.110352,114.080437,357.528595,86.436295,492.134247
9,0,262.20639,-214.815048,979.119263,258.609009,76.926117,995.792175,424.790009,-115.960724,1019.678101,425.560974,-29.128117,1027.520508,339.351532,-321.545685,511.894165,370.708801,-424.181335,114.939529,439.78009,-401.722412,64.073166,367.833801,184.265762,527.420593,410.649567,264.453247,113.293961,469.494995,231.210205,56.004513,338.582001,-220.070847,475.092529,367.908997,-335.088837,107.469032,247.888885,-453.612274,54.488644,219.832642,-367.801819,75.312561,278.907806,300.620422,56.259346,245.029816,226.90329,74.785957,395.330994,177.143127,114.099403,357.539764,86.427986,492.089111
10,0,262.116119,-214.808319,979.082153,258.550476,76.914696,995.728882,424.692871,-115.973557,1019.772156,425.602295,-28.964907,1027.765381,339.407928,-321.502533,511.897797,370.718018,-424.133453,114.87339,439.772552,-401.741882,64.066879,367.888428,184.261337,527.423401,410.673645,264.453094,113.289223,469.436005,231.316498,55.986439,338.67038,-220.123856,475.067657,367.931671,-334.925415,107.438156,247.829163,-453.668121,54.474659,219.813889,-367.795349,75.28434,278.907166,300.608246,56.260212,245.024048,226.922379,74.77401,395.342133,177.136139,114.088058,357.671326,86.486908,492.104218
