,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,222.516434,-215.085159,1004.134033,212.335175,55.897816,1012.561218,393.231934,-111.311775,1017.6474,398.662109,-47.890903,1019.977478,307.582092,-254.306732,513.84552,369.852081,-287.460999,97.365303,424.234375,-252.044373,80.55513,333.081604,123.110939,530.451721,383.304749,136.734848,101.869217,436.1922,97.474716,77.703995,316.812897,-151.388901,489.991211,361.754578,-198.454407,106.086731,245.710632,-317.533203,53.29195,199.726913,-244.677124,64.458427,261.088806,164.046616,56.082142,209.568024,92.367355,66.38533,364.912201,48.088455,111.878532,336.040863,11.829012,506.029236
2,0,223.208405,-215.152191,1004.986389,212.482376,55.933483,1012.605286,394.520416,-111.979286,1018.067017,398.787323,-47.860176,1019.844543,307.67218,-254.307983,513.860413,369.879639,-287.463989,97.406532,424.192139,-252.048553,80.558327,333.145996,123.13028,530.479492,383.236176,136.718216,101.864899,436.147217,97.490555,77.696259,316.842133,-151.364258,490.009857,361.740601,-198.428574,106.114365,246.096695,-317.437653,52.984715,199.737106,-244.671936,64.451538,261.609161,164.066879,56.47316,209.498688,92.384583,66.403305,364.891296,48.092678,111.881783,336.095398,11.878726,506.027039
3,0,222.525314,-214.977768,1003.795166,212.620621,55.957798,1012.629272,393.61026,-111.265961,1017.635681,394.943542,-43.730637,1015.235046,307.731934,-254.266953,513.87616,369.849854,-287.469147,97.340332,424.157318,-251.828735,80.946968,333.229706,123.168701,530.500488,383.193512,136.738632,101.840836,436.133148,97.479752,77.700226,316.890686,-151.355576,490.01712,361.759369,-198.410843,106.13607,245.666687,-317.557617,53.320473,199.723022,-244.664963,64.447006,260.736572,164.195801,56.101864,209.345795,92.42511,66.387794,365.239624,47.917374,111.653519,336.17691,11.893868,506.037964
4,0,222.735123,-214.941666,1004.09198,212.742889,55.991077,1012.673157,393.044373,-111.21225,1017.685791,395.166809,-43.717827,1015.224243,307.809845,-254.277023,513.894714,369.862823,-287.471985,97.378181,424.12973,-251.823242,80.940598,333.299713,123.18692,530.496826,383.185852,136.747528,101.872284,436.137604,97.489609,77.703964,316.966919,-151.34285,490.017548,361.766235,-198.437561,106.119698,245.964523,-317.474487,53.006134,199.711838,-244.684296,64.458717,260.556366,164.179138,56.048462,209.4077,92.419945,66.414932,364.913727,48.127388,111.884155,336.223938,11.906539,506.04248
5,0,222.824203,-214.951889,1004.09021,212.873947,56.01046,1012.694702,393.999634,-111.247169,1017.664673,398.943909,-47.352688,1018.973022,307.893677,-254.277618,513.898865,369.905914,-287.441284,97.390808,424.210175,-251.882111,80.884651,333.369354,123.208992,530.476257,383.284821,136.710846,101.906891,436.173553,97.488106,77.675049,317.019409,-151.32663,490.029449,361.785919,-198.401215,106.126328,246.055649,-317.484711,53.010338,199.735992,-244.682404,64.454849,260.988953,164.111435,56.0816,209.368988,92.444611,66.40744,364.926331,48.115658,111.852669,336.35257,11.926042,506.064423
6,0,222.971939,-214.918625,1004.107239,213.0466,56.047421,1012.710327,393.993378,-111.236687,1017.636047,398.933502,-47.048386,1018.327026,307.982666,-254.266174,513.92395,369.861694,-287.433411,97.340996,424.23175,-251.868256,80.823639,333.457764,123.242111,530.467346,383.35556,136.705002,101.833771,436.271606,97.452568,77.604416,317.039032,-151.307587,490.0112,361.786499,-198.410904,106.124046,246.07489,-317.496613,53.028679,199.747223,-244.691483,64.465363,260.984558,164.217743,56.371117,209.676086,92.438339,66.590744,364.971466,48.08913,111.863297,336.347443,11.973207,506.066315
7,0,222.994751,-214.871689,1003.954773,213.148209,56.064617,1012.727234,393.661377,-111.346207,1017.666199,398.977661,-46.98999,1018.243103,308.029755,-254.247726,513.933228,369.784149,-287.3927,97.33152,424.230408,-252.070755,80.405266,333.528046,123.27549,530.464844,383.352295,136.722504,101.906555,436.296997,97.465744,77.641266,317.092468,-151.277115,490.020538,361.836395,-198.425522,106.116989,245.789764,-317.570557,53.252472,199.734787,-244.686752,64.460602,261.158966,164.105896,56.111706,209.573578,92.378067,66.432816,364.947968,48.113037,111.839211,336.409637,12.027931,506.093018
8,0,223.158112,-214.831421,1003.990173,213.237579,56.107059,1012.754211,393.566376,-111.171883,1017.691162,399.045654,-46.930859,1018.284668,308.081757,-254.255539,513.962769,369.896851,-287.413025,97.379288,424.255707,-252.09462,80.422531,333.578094,123.29258,530.450867,383.290985,136.74144,101.867546,436.297882,97.445908,77.637764,317.069244,-151.27887,489.980438,361.811493,-198.405823,106.117714,246.072922,-317.49054,52.984032,199.731689,-244.695801,64.46627,261.46228,164.074249,56.206467,209.399307,92.433022,66.432274,364.97467,48.128719,111.822784,336.465393,11.978766,506.140839
9,0,223.172806,-214.798019,1003.947388,213.350418,56.122696,1012.802368,394.264496,-111.19754,1017.619751,399.12912,-46.954311,1018.265991,308.110718,-254.231934,513.938354,369.777405,-287.383759,97.309692,424.161011,-251.891937,80.726395,333.598389,123.301193,530.442627,383.31424,136.726639,101.89325,436.299774,97.440727,77.625511,317.104034,-151.277039,490.019592,361.842163,-198.411896,106.10672,246.054962,-317.490723,52.993301,199.706924,-244.680756,64.465637,261.595978,163.956909,56.238304,209.403854,92.422501,66.447906,364.945312,48.132332,111.821609,336.524231,12.000302,506.138611
10,0,223.292892,-214.789429,1004.038818,213.398575,56.188793,1012.844116,394.306,-111.185051,1017.645569,398.961884,-46.611267,1017.96936,308.156281,-254.221344,513.961487,369.774872,-287.382355,97.330353,424.248138,-251.930649,80.684509,333.651306,123.313934,530.456543,383.201782,136.782913,101.803925,436.291229,97.433479,77.589096,317.123444,-151.238556,490.017365,361.835297,-198.415558,106.097473,246.096649,-317.551331,53.016724,199.704041,-244.694077,64.474319,261.353546,164.058289,56.192345,209.380768,92.464333,66.45314,364.96463,48.108749,111.816864,336.553345,12.021718,506.147095
