,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,252.129913,-219.211853,1003.566528,244.739502,50.618233,1010.485291,422.319183,-117.492676,1033.188232,425.369263,-49.159161,1030.292603,327.049561,-254.6539,514.606506,372.995361,-280.184631,97.060707,426.827484,-244.116577,80.164879,347.605774,114.491287,528.20813,384.104218,123.33902,98.715973,431.325165,82.591537,77.273483,335.140625,-151.22403,490.433533,365.6521,-191.377884,105.985161,248.323303,-311.058594,54.393696,202.312866,-239.787857,64.442673,260.866211,164.057114,57.715778,203.533035,98.874985,64.401894,355.133453,36.575794,103.441643,348.268799,2.425587,504.062286
2,0,252.193039,-219.235809,1004.067871,244.73494,50.616699,1010.509827,422.240326,-117.508232,1033.192261,425.319855,-49.172413,1030.307861,327.02771,-254.667038,514.663513,373.017334,-280.158905,97.10775,427.115265,-244.423477,80.105034,347.617126,114.495506,528.20166,384.08551,123.357468,98.671028,431.016083,82.802338,77.25666,335.344452,-151.148239,490.957275,365.718323,-191.357742,106.011032,248.582809,-311.292664,54.184128,202.31636,-239.797211,64.446465,260.838837,164.052048,57.707184,203.500946,98.857979,64.381432,355.060425,36.576675,103.401642,348.774139,2.195775,504.008423
3,0,252.079941,-219.17392,1003.521667,244.735413,50.626488,1010.496948,422.263031,-117.490807,1033.21582,425.528015,-49.361774,1029.932251,327.066284,-254.642105,514.546387,372.998138,-280.180237,97.020561,426.872375,-244.16008,80.135254,347.595886,114.484604,528.193665,384.060608,123.380447,98.709152,431.302063,82.605629,77.254417,335.328217,-151.156494,490.920563,365.724915,-191.352112,106.022354,248.597107,-311.261322,54.141411,202.321243,-239.785767,64.454697,260.918427,163.923706,58.032471,203.51123,98.852173,64.38324,355.109192,36.567307,103.400368,348.275665,2.417244,504.062653
4,0,252.147171,-219.223755,1004.064575,244.705872,50.641533,1010.489319,422.252014,-117.50737,1033.191162,425.496521,-49.372482,1029.936279,327.057709,-254.649017,514.594421,372.983612,-280.163391,97.017761,426.867737,-244.136856,80.163574,347.59726,114.4506,528.180603,384.154846,123.368805,98.673523,431.320129,82.590065,77.257607,335.290894,-151.166656,490.910461,365.682983,-191.376465,106.006996,248.366104,-311.081696,54.390335,202.334229,-239.779282,64.439865,261.195984,164.057877,57.949661,203.546021,98.865913,64.408844,355.240753,36.517731,103.459,348.277344,2.428112,504.042328
5,0,252.077347,-219.18103,1003.52063,244.668839,50.646557,1010.496155,422.217163,-117.49984,1033.185303,425.299683,-49.210991,1030.261963,327.064209,-254.670715,514.657715,372.97171,-280.158234,97.087952,426.85968,-244.177185,80.132004,347.571167,114.457291,528.129944,384.165863,123.328262,98.711823,431.297455,82.601112,77.272598,335.290649,-151.172638,490.894012,365.638855,-191.382294,105.999496,248.661865,-310.907898,54.114857,202.310089,-239.790298,64.443878,260.812347,164.033127,57.665306,203.979706,98.740898,64.205513,355.153534,36.531681,103.431236,348.274414,2.454715,504.00592
6,0,252.079727,-219.192856,1003.535645,244.68895,50.636639,1010.499329,422.220032,-117.487724,1033.224731,425.286133,-49.232849,1030.248901,327.079041,-254.686142,514.673706,372.945557,-280.157623,97.060341,426.858215,-244.158737,80.144234,347.556885,114.471458,528.114136,384.152863,123.350632,98.701843,431.345825,82.584068,77.24015,335.301422,-151.156433,490.88559,365.660583,-191.392212,106.005318,248.584641,-311.208405,54.205566,202.697067,-239.826859,64.388809,260.775635,164.014938,57.69598,203.596451,98.871506,64.354439,355.538574,36.465908,103.706955,348.759674,2.258823,503.985748
7,0,252.134445,-219.233704,1003.929016,244.678986,50.628887,1010.476013,422.209747,-117.487129,1033.224609,425.308411,-49.250217,1030.196655,327.110443,-254.683609,514.654907,372.977264,-280.158691,97.106049,427.123444,-244.44101,80.092789,347.60907,114.514488,528.152222,384.208313,123.327423,98.729706,431.376099,82.575348,77.203247,335.156586,-151.212341,490.445404,365.69342,-191.363968,106.059364,248.632782,-311.220856,54.155464,202.387039,-239.791061,64.430191,260.862305,164.024399,57.726173,203.62944,98.827377,64.377007,355.286346,36.48225,103.467255,348.770905,2.23796,503.986115
8,0,252.043045,-219.183777,1003.493408,244.648041,50.625271,1010.452637,422.596802,-117.457802,1033.035034,425.328278,-49.256989,1030.172974,327.125793,-254.686829,514.623413,372.932159,-280.136444,97.102631,427.125916,-244.437119,80.061089,347.657532,114.578842,528.191833,384.264648,123.337479,98.72081,431.357239,82.567093,77.191551,335.157715,-151.223785,490.449493,365.655487,-191.386414,106.052742,248.607422,-311.227997,54.157047,202.376221,-239.786774,64.419403,261.113007,164.043289,57.841896,203.580444,98.828812,64.354279,355.09494,36.544334,103.400314,348.749329,2.261707,503.947662
9,0,252.000595,-219.172806,1003.476135,244.634842,50.606663,1010.443665,422.177521,-117.447792,1033.28418,425.321564,-49.27272,1030.147949,327.122528,-254.725967,514.713745,372.949829,-280.135284,97.148201,426.905457,-244.206299,80.071693,347.64801,114.591949,528.187988,384.228485,123.297424,98.776573,431.173065,82.718735,77.177391,335.318237,-151.16539,490.836365,365.648529,-191.396179,106.042343,248.611603,-311.191193,54.184265,202.407822,-239.798874,64.4235,260.944611,164.132797,57.924347,203.563095,98.828484,64.301964,355.502136,36.531277,103.826248,348.350494,2.438998,504.000366
10,0,252.015686,-219.197403,1003.464111,244.600983,50.593376,1010.421875,422.469666,-117.463333,1033.06897,425.338013,-49.263268,1030.152466,327.124878,-254.70343,514.664185,372.917358,-280.123962,97.099266,426.920624,-244.220001,80.068115,347.587494,114.509247,528.12677,384.362091,123.26136,98.784401,431.422882,82.53714,77.218407,335.307007,-151.158127,490.804535,365.669464,-191.380417,106.06337,248.449936,-311.033478,54.379601,202.441727,-239.805252,64.417511,260.92746,164.017853,57.725548,203.956711,98.718033,64.170723,355.01416,36.511566,103.340942,348.70285,2.269061,503.907684
11,0,252.005692,-219.206741,1003.470154,244.600739,50.575207,1010.441895,422.428986,-117.446167,1033.122559,425.319489,-49.291603,1030.118408,327.133698,-254.739792,514.705444,372.898224,-280.136292,97.068192,426.968079,-244.233047,80.082771,347.475739,114.463768,528.027588,384.235657,123.262741,98.766556,431.426361,82.539566,77.217667,335.28186,-151.156418,490.808594,365.646393,-191.411179,106.115395,248.899078,-311.106262,53.893906,202.419327,-239.811371,64.423134,260.905548,163.996338,57.690861,203.853928,98.679489,64.526199,355.027557,36.509525,103.290909,348.69043,2.270528,503.935455
12,0,252.016479,-219.243286,1003.500671,244.539642,50.56105,1010.441528,422.118744,-117.434731,1033.307495,425.33609,-49.299431,1030.082153,327.14566,-254.730637,514.646545,372.904236,-280.129883,97.154015,426.962189,-244.224701,80.070992,347.597595,114.605034,528.151489,384.314545,123.260101,98.76416,431.234619,82.663345,77.18232,335.217133,-151.169464,490.798401,365.640778,-191.401505,106.081451,248.512115,-310.971344,54.37429,202.423599,-239.819138,64.411453,261.103363,164.006302,57.922459,203.83049,98.714287,64.523369,356.621429,36.23246,104.808395,348.671173,2.265196,503.916626
13,0,252.052429,-219.243866,1003.480286,244.572281,50.558907,1010.433105,422.41449,-117.425972,1033.144043,425.464508,-49.417606,1029.848999,327.124084,-254.749954,514.696777,372.889709,-280.104309,97.147873,426.972168,-244.239365,80.029968,347.538879,114.54171,528.12915,384.343994,123.2369,98.813217,431.400269,82.639343,77.319832,335.226105,-151.148163,490.773865,365.677948,-191.411545,106.130844,248.623413,-311.089569,54.225235,202.491653,-239.808258,64.414398,261.105286,163.998474,58.10458,203.426727,98.825836,64.039421,355.770294,36.319881,104.1287,348.341949,2.38207,503.972351
14,0,252.000366,-219.251541,1003.495789,244.527267,50.536343,1010.417847,422.374969,-117.428299,1033.137329,425.33493,-49.311291,1030.03894,327.153473,-254.760361,514.68573,372.870758,-280.112732,97.081779,426.910828,-244.212128,80.039566,347.56781,114.674515,528.137878,384.342468,123.249489,98.814308,431.367126,82.546501,77.153015,335.138885,-151.195114,490.487701,365.647034,-191.379745,106.126015,249.134109,-311.173126,53.934849,202.478256,-239.79512,64.410309,261.117126,163.969986,57.775574,203.795227,98.82682,64.313866,355.774689,36.456379,104.024055,348.361664,2.370716,503.95285
15,0,252.017792,-219.257675,1003.470642,244.529968,50.527622,1010.435486,422.361053,-117.449944,1033.067871,425.282745,-49.337608,1030.042358,327.145233,-254.74852,514.657959,372.815765,-280.08139,97.010521,426.918243,-244.222549,80.009369,347.271057,114.542191,527.739258,384.43573,123.246162,98.842735,431.393341,82.540611,77.169411,335.056885,-151.226135,490.458588,365.649963,-191.386017,106.145401,248.954086,-310.982849,54.029194,202.419525,-239.798492,64.415787,260.895233,163.989075,58.029476,203.556412,98.819199,64.215454,355.843414,36.429035,103.935272,348.292664,2.370056,503.941132
16,0,251.984085,-219.237747,1003.44574,244.469238,50.519527,1010.427002,422.383606,-117.420502,1033.124634,425.284668,-49.336075,1030.046387,327.119324,-254.749298,514.674377,372.801239,-280.120056,97.104065,426.901642,-244.21199,80.032906,347.23349,114.525879,527.726257,384.279022,123.254822,98.777962,431.382202,82.534775,77.174088,335.050659,-151.234497,490.466095,365.658722,-191.382233,106.112625,248.56694,-310.960541,54.401592,202.475479,-239.823822,64.431076,260.945312,163.942032,57.703651,203.738495,98.710464,64.217201,355.606232,36.426231,103.802704,348.279968,2.350671,503.938202
17,0,252.009933,-219.3013,1003.694641,244.441559,50.496227,1010.444031,422.392273,-117.425613,1033.099731,425.271484,-49.33189,1030.016602,327.155121,-254.733322,514.599243,373.142792,-280.10791,97.279541,427.114044,-244.431442,79.985611,347.217285,114.522842,527.72583,384.270477,123.290207,98.797752,431.383575,82.553505,77.160545,335.130798,-151.19455,490.765991,365.633514,-191.408203,106.096001,248.798996,-311.132782,54.148991,202.418213,-239.817352,64.40107,261.186188,163.853439,57.997105,203.587006,98.772285,64.251434,355.477692,36.537781,103.994926,348.236603,2.364798,503.959534
18,0,251.80072,-219.31694,1003.410095,244.396164,50.517189,1010.421021,421.84433,-117.399239,1033.170898,425.254761,-49.331249,1029.985229,327.10614,-254.765564,514.682495,372.791382,-280.1026,97.056068,426.928986,-244.238632,80.047333,347.159454,114.526093,527.730957,384.378571,123.269966,98.820251,431.406281,82.526207,77.197235,334.980042,-151.249664,490.461914,365.654602,-191.39476,106.142166,248.553894,-311.023132,54.26963,202.409637,-239.818283,64.427841,260.887543,163.851791,57.82093,203.564529,98.789566,64.205597,356.322906,36.439011,104.36985,348.185242,2.366327,503.936401
