,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,225.163773,-225.842239,999.51123,221.645676,42.756828,1008.079407,398.782715,-127.092422,1025.202759,401.717102,-58.897194,1022.918213,313.102936,-262.830048,512.493835,376.0914,-293.630768,96.257774,433.010223,-260.604218,80.530518,328.623779,118.808075,528.257507,371.979553,142.330154,102.282761,428.991821,108.098312,78.164925,328.15683,-160.352249,489.429718,373.380707,-204.184189,105.21067,251.622223,-317.428528,53.612873,208.804947,-243.441803,64.028061,250.212997,165.728378,57.108021,202.613617,92.504311,65.583435,361.474976,52.064659,107.850616,340.025726,8.376144,502.078888
2,0,225.047775,-225.794724,999.484619,221.564316,42.76025,1008.088135,398.606567,-127.091286,1025.160034,401.169037,-58.856503,1022.929077,313.059784,-262.857422,512.533264,376.139404,-293.613098,96.2994,432.978668,-260.606293,80.546745,328.559906,118.808044,528.251587,371.956726,142.238693,102.234825,428.937714,108.107422,78.154259,328.109192,-160.362289,489.423187,373.398743,-204.188995,105.211998,251.627594,-317.414642,53.593967,208.761703,-243.429413,64.02594,249.820923,166.025665,57.320541,202.620758,92.510353,65.579063,361.431641,52.102077,107.705261,340.017609,8.41743,502.031372
3,0,224.925568,-225.786835,999.439148,221.473816,42.770767,1008.080811,398.622894,-127.076309,1025.120239,401.244171,-58.879501,1022.903564,312.987946,-262.861267,512.52002,375.721985,-293.508606,96.265282,433.105225,-260.636444,80.670456,328.503296,118.837318,528.238342,371.978943,142.329529,102.258347,428.994263,108.100616,78.158905,328.06601,-160.360825,489.421326,373.384216,-204.186417,105.226273,251.638199,-317.432892,53.612804,208.851242,-243.444778,63.948273,249.869263,165.991409,57.275463,202.66658,92.468636,65.582253,361.381073,52.051407,108.082253,339.940796,8.400695,502.093079
4,0,224.819489,-225.72757,999.415588,221.388229,42.798897,1008.059021,398.475128,-127.099197,1025.091919,401.26709,-58.883053,1022.869934,312.938873,-262.848877,512.522583,376.086639,-293.618652,96.269737,433.003906,-260.614044,80.536629,328.429077,118.831726,528.244995,371.900543,142.306015,102.203896,429.01947,108.101242,78.180222,328.026001,-160.357086,489.431458,373.370483,-204.188034,105.211395,251.662994,-317.421509,53.61377,208.852051,-243.443527,63.958683,250.067261,165.776474,57.039097,202.617157,92.480202,65.582008,361.387299,52.100338,107.842171,339.941101,8.43084,502.100647
5,0,224.700378,-225.744675,999.50769,221.295074,42.812103,1008.043152,398.414429,-127.081337,1025.067993,401.069824,-58.8978,1022.807495,312.88623,-262.853729,512.523315,376.059937,-293.575317,96.293213,433.016632,-260.628815,80.540695,328.344818,118.836502,528.198364,371.336578,142.33226,101.792847,429.026764,108.140213,78.162773,327.958221,-160.362762,489.438416,373.357391,-204.188202,105.199219,251.624588,-317.453186,53.63726,208.853058,-243.430267,63.948483,250.092056,165.770966,57.085114,202.412338,92.573341,65.274361,361.515503,52.112804,107.793076,339.794678,8.49139,502.04187
6,0,224.666504,-225.671616,999.496704,221.240448,42.822079,1008.059387,398.187439,-127.091751,1025.078247,401.140533,-59.063328,1022.430786,312.8284,-262.869965,512.531128,376.041321,-293.615387,96.245056,433.082397,-260.627686,80.641624,328.274933,118.828629,528.189331,371.408722,142.293274,101.716034,428.9534,108.138535,78.146812,327.965332,-160.343964,489.45166,373.332733,-204.200531,105.172043,251.605545,-317.44577,53.636127,208.861832,-243.439545,63.962624,250.17131,165.750824,57.096909,202.601776,92.487198,65.573479,361.546631,52.086891,107.772339,339.775238,8.479916,502.052734
7,0,224.550079,-225.668259,999.458435,221.156555,42.830109,1008.069641,398.178894,-127.081367,1025.062378,400.803192,-58.912262,1022.719727,312.822632,-262.823822,512.482727,375.815033,-293.522644,96.278854,433.042419,-260.599976,80.596413,328.242004,118.826378,528.166077,371.554077,142.309753,101.760658,429.009277,108.16729,78.146812,327.911255,-160.339035,489.485718,373.35968,-204.175934,105.165657,251.546173,-317.423401,53.63073,208.849747,-243.440277,63.948059,250.110214,165.774277,57.110611,202.594376,92.479492,65.552704,361.535065,52.093258,107.805023,339.721375,8.493164,502.136047
8,0,224.487259,-225.648468,999.450928,221.08197,42.821526,1008.075684,398.178162,-127.073441,1025.072388,400.961334,-59.069393,1022.420166,312.762085,-262.85022,512.508545,376.031799,-293.535583,96.270607,433.127472,-260.656006,80.678047,328.191315,118.814346,528.146973,371.41806,142.318573,101.74321,428.966064,108.187096,78.152779,327.837585,-160.335693,489.430573,373.3349,-204.184998,105.148071,251.753418,-317.645874,53.47168,208.849747,-243.427856,63.948936,250.37265,165.798019,57.356476,202.341705,92.586388,65.242378,361.293671,52.093319,107.970581,339.637482,8.539353,502.11084
9,0,224.391235,-225.665833,999.491699,221.006577,42.859039,1008.061768,397.563416,-127.0093,1025.273315,400.686829,-58.920212,1022.67334,312.740967,-262.814392,512.460693,376.085846,-293.551666,96.272194,433.083069,-260.636017,80.625565,328.155304,118.811874,528.135437,371.417419,142.316437,101.765305,429.012604,108.146072,78.168076,327.790527,-160.31633,489.454376,373.364868,-204.184097,105.14003,251.760422,-317.620819,53.473366,208.901291,-243.440109,63.963882,249.737091,165.9841,57.357498,202.523254,92.483002,65.506401,361.596893,52.101288,107.811867,339.646759,8.538926,502.101471
10,0,224.308167,-225.618896,999.474426,220.892288,42.865463,1008.069397,397.925598,-127.055634,1025.107178,400.74585,-58.902969,1022.716614,312.691101,-262.859619,512.54425,376.193359,-293.633392,96.372749,433.051483,-260.635071,80.617973,328.11087,118.827721,528.101074,371.360504,142.349213,101.836082,428.95816,108.183861,78.148872,327.727448,-160.302505,489.440002,373.327759,-204.147385,105.155975,251.589005,-317.45282,53.660919,208.8685,-243.446213,63.96056,250.008347,165.801483,57.132889,202.545212,92.499992,65.467735,361.58429,52.088131,107.869934,339.534119,8.623665,502.003326
11,0,224.166061,-225.66185,999.47998,220.802704,42.855267,1008.032104,397.869141,-127.045738,1025.102905,400.591919,-58.88237,1022.703308,312.691956,-262.82019,512.50946,376.040985,-293.536194,96.244919,433.101654,-260.632874,80.62529,328.095245,118.835152,528.112488,371.885254,142.385406,102.309837,429.037292,108.149376,78.121056,327.714386,-160.269028,489.431061,373.322998,-204.154556,105.150856,251.588074,-317.396942,53.64896,208.909409,-243.469467,63.972229,249.687469,166.029938,57.358234,202.53273,92.481735,65.491844,361.435089,52.135628,107.871147,339.545776,8.621747,501.979584
12,0,224.234283,-225.60321,999.415344,220.764694,42.857426,1008.052124,397.864105,-126.995712,1025.135376,400.624146,-58.962265,1022.449585,312.648834,-262.8479,512.566528,375.990387,-293.483002,96.235695,433.031799,-260.588623,80.621155,328.068115,118.850677,528.091248,371.636963,142.313324,101.918144,428.981415,108.175514,78.148125,327.652985,-160.253464,489.438324,373.342865,-204.178925,105.104195,251.544113,-317.395599,53.623669,208.892715,-243.456665,63.963116,249.730179,166.024841,57.409813,202.474792,92.53157,65.457161,361.825653,52.088966,107.835449,339.433014,8.64775,502.1026
13,0,224.173218,-225.605652,999.551575,220.566544,42.840469,1007.983826,397.789642,-126.974983,1025.098633,400.563019,-58.941097,1022.438782,312.650513,-262.844177,512.54718,375.710175,-293.373657,96.225113,433.100586,-260.620361,80.625061,328.022644,118.856041,528.0578,371.464417,142.29863,101.891777,428.963013,108.174477,78.144989,327.519867,-160.277542,489.343781,373.343292,-204.140961,105.098312,251.529037,-317.419067,53.673401,208.862747,-243.450333,63.975357,249.894775,165.827118,57.219696,202.440994,92.520332,65.499474,361.613892,52.075542,108.024887,339.358032,8.70501,501.978149
14,0,224.078781,-225.579514,999.505066,220.522995,42.831036,1008.034973,397.69696,-126.936676,1025.091309,400.489441,-58.894863,1022.447815,312.663086,-262.789154,512.498901,375.809845,-293.44751,96.25737,433.134979,-260.631561,80.673904,327.993378,118.852058,528.074463,371.404877,142.355927,101.929253,428.984985,108.17128,78.135918,327.597076,-160.237854,489.409637,373.325348,-204.151337,105.060455,251.566681,-317.42923,53.661846,208.841431,-243.440948,63.955292,249.992569,165.794891,57.205338,202.465805,92.534966,65.463257,361.607483,52.100739,107.937752,339.42749,8.679903,502.032288
15,0,224.059448,-225.575439,999.536743,220.429886,42.824677,1007.953979,397.605408,-126.910088,1025.107056,400.304382,-58.781326,1022.62439,312.614502,-262.802124,512.53595,375.70752,-293.339233,96.2061,433.035797,-260.623627,80.512909,327.989716,118.872643,528.087463,371.512238,142.31987,101.954628,428.936249,108.163956,78.139816,327.547485,-160.239197,489.384064,373.33194,-204.138596,105.116615,251.53038,-317.339478,53.666157,208.889771,-243.437759,63.96056,250.065979,165.804245,57.199684,202.411423,92.545097,65.48629,361.650909,52.077461,107.975525,339.281982,8.72074,501.950195
16,0,224.00116,-225.579178,999.515808,220.333084,42.857185,1007.922668,397.425232,-126.871201,1025.127563,400.307037,-58.845795,1022.445557,312.592316,-262.792603,512.526245,375.751495,-293.365784,96.18956,433.123169,-260.632507,80.658813,327.942932,118.886925,528.056519,371.488739,142.340057,102.024902,428.947052,108.226562,78.138092,327.53772,-160.233688,489.38974,373.331268,-204.12442,105.097443,251.74794,-317.551849,53.480042,208.872299,-243.441467,63.969337,249.926849,165.816818,57.211952,202.22641,92.645561,65.253105,361.718872,52.056469,107.866447,339.260925,8.805167,502.014099
17,0,223.893066,-225.592911,999.563477,220.255707,42.876835,1007.889282,397.292969,-126.844063,1025.154053,400.227142,-58.827469,1022.431152,312.567352,-262.809998,512.538208,375.967773,-293.479889,96.253189,433.094421,-260.630951,80.675575,327.884155,118.89872,528.066589,371.700287,142.307465,101.95031,428.941742,108.206337,78.162132,327.51001,-160.216904,489.354462,373.338013,-204.129349,105.092834,251.515472,-317.358887,53.6632,208.867691,-243.452423,63.976547,249.439514,165.9832,57.290367,202.473816,92.503273,65.481415,361.671021,52.123955,107.787415,339.352295,8.717046,502.081879
18,0,223.987167,-225.638199,999.682434,220.152328,42.894981,1007.851868,397.274506,-126.816956,1025.144653,400.038147,-58.732113,1022.553345,312.547699,-262.789001,512.52887,375.961761,-293.454895,96.239471,433.085938,-260.628693,80.582077,327.819092,118.927277,528.041443,371.723877,142.371872,102.378876,428.926788,108.169014,78.163666,327.532043,-160.184662,489.383942,373.288116,-204.134491,105.086205,251.723557,-317.593262,53.511059,208.862671,-243.450287,63.943996,249.712585,166.007706,57.415295,202.481033,92.532539,65.499718,361.592133,52.035343,108.002975,339.273529,8.769529,501.967255
19,0,223.844254,-225.592545,999.645081,220.070038,42.937557,1007.847778,397.215424,-126.77623,1025.199951,400.072021,-58.778782,1022.415894,312.520325,-262.778503,512.505737,376.049255,-293.51593,96.286133,433.116882,-260.632782,80.656639,327.795441,118.971451,528.0401,371.826721,142.403015,102.357559,428.961304,108.223068,78.131439,327.475006,-160.211807,489.348389,373.31543,-204.123108,105.078278,251.542572,-317.38269,53.678005,208.86084,-243.452072,63.962547,249.740753,165.995651,57.369312,202.448517,92.526932,65.477821,361.723907,52.107018,107.824402,339.179199,8.852263,502.020538
