,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,259.25351,-216.735382,1002.201904,246.480743,52.505402,1010.52478,427.134888,-114.289238,1027.847656,429.216949,-45.847393,1025.959595,329.862488,-263.324921,513.299622,377.222931,-307.364777,97.104645,436.179993,-278.718475,79.998306,354.923157,134.114899,531.673096,389.130035,177.579086,121.92585,452.332855,127.639832,79.004669,348.745483,-162.342545,487.02121,381.01532,-217.878738,103.606346,250.58725,-324.168457,53.660198,213.538803,-246.93541,64.056999,269.697998,177.422455,55.836033,223.933258,102.27742,66.264534,388.60376,58.257881,105.541222,364.991394,23.6469,504.377716
2,0,258.97644,-216.477463,1002.719971,246.516785,52.52079,1010.513794,427.775818,-114.661026,1028.495605,428.94165,-45.676216,1026.349243,329.877319,-263.348419,513.348511,378.802155,-307.959686,98.323402,436.456146,-278.912048,80.060074,354.981567,134.116364,531.68457,389.098328,177.574997,121.897072,452.329651,127.625275,79.012169,348.781189,-162.337509,486.992249,380.950989,-217.893188,103.568916,250.562729,-324.155365,53.66433,213.555908,-246.916779,64.060234,269.756989,177.4151,55.881531,223.98439,102.273178,66.268417,388.341919,58.367008,105.492874,365.028259,23.650576,504.373718
3,0,260.303772,-217.345917,1001.379272,246.5896,52.540207,1010.494812,427.271606,-114.306351,1027.814453,429.272095,-45.788952,1026.089233,329.90036,-263.34967,513.343384,378.739136,-307.95343,98.294907,436.394989,-278.896484,80.052574,355.041595,134.14241,531.691833,389.101074,177.580093,121.922577,452.348297,127.623901,79.020531,348.829193,-162.330978,487.008942,380.963654,-217.877686,103.568947,250.572083,-324.187164,53.690842,213.538864,-246.908829,64.052307,270.150879,177.235382,55.707733,223.960663,102.262596,66.293808,388.187592,58.394855,105.772034,365.044861,23.693544,504.360565
4,0,258.126953,-216.263306,999.207275,246.689438,52.563423,1010.558472,427.405731,-114.287621,1027.809692,429.172852,-45.728745,1026.136108,329.933868,-263.330536,513.299377,378.775208,-307.975769,98.323486,436.41391,-278.902252,80.068253,355.053497,134.150864,531.697571,389.113556,177.585342,121.907616,452.337585,127.640144,79.000694,348.822327,-162.315384,486.975586,380.937103,-217.903046,103.535622,250.381195,-323.913757,53.93856,213.556686,-246.906876,64.058952,269.815521,177.400986,55.881802,223.891769,102.188446,66.234306,388.377045,58.370014,105.39547,365.10318,23.691332,504.388214
5,0,259.557678,-216.683426,1002.139221,246.791168,52.590694,1010.58075,427.447968,-114.280281,1027.827026,429.454254,-45.784863,1026.051025,329.942535,-263.352478,513.357483,377.169556,-307.405426,97.093163,436.232544,-278.732056,79.971275,355.103577,134.175919,531.694519,389.104156,177.600571,121.903343,452.33374,127.634079,79.006264,348.875885,-162.282898,486.998413,381.024689,-217.872253,103.576721,250.553696,-324.164581,53.695152,213.568466,-246.906693,64.05912,269.81778,177.414368,55.827068,223.909149,102.189262,66.262985,388.7883,58.30233,105.604607,365.127502,23.731499,504.374634
6,0,258.553162,-216.288757,999.429016,246.861267,52.610607,1010.59198,427.606659,-114.275833,1027.759644,429.368408,-45.744659,1026.053345,330.00174,-263.333405,513.355896,378.685791,-307.978577,98.275055,436.464447,-278.923676,80.033112,355.154694,134.19194,531.683838,389.11554,177.564377,121.867233,452.374146,127.634537,78.983475,348.877014,-162.289352,486.995087,381.059143,-217.865463,103.560287,250.350647,-323.920319,53.911072,213.564194,-246.91452,64.07077,270.074158,177.299179,55.862534,223.968491,102.260498,66.226685,388.517944,58.38826,105.635788,365.152435,23.725994,504.350616
7,0,259.646973,-216.544785,1001.137756,246.977234,52.59428,1010.584595,427.611694,-114.306641,1027.615234,429.542572,-45.757053,1026.045532,330.026215,-263.337708,513.345581,378.570068,-307.985535,98.20433,436.43576,-278.922974,80.024254,355.198029,134.202789,531.673523,389.112366,177.569992,121.890915,452.317474,127.658737,78.926414,348.902588,-162.289612,487.022766,381.02179,-217.852753,103.549362,250.341171,-323.887054,53.949322,213.588058,-246.93399,64.073837,269.95694,177.337448,55.841022,223.993073,102.290497,66.203163,388.253357,58.490135,105.14534,365.135864,23.77672,504.371277
8,0,258.167816,-215.880447,999.203918,247.01239,52.632065,1010.56958,427.816895,-114.294952,1027.576782,429.581085,-45.733566,1026.031372,330.046844,-263.323944,513.361633,377.217377,-307.444855,97.152054,436.259064,-278.789185,79.928299,355.218292,134.216095,531.672729,389.112396,177.5961,121.868996,452.325226,127.646965,78.941856,348.930786,-162.284836,487.037628,381.052429,-217.89212,103.564842,250.319,-323.900818,53.964195,213.577988,-246.92572,64.093422,270.153412,177.153915,55.590225,224.041962,102.355141,66.178535,388.293396,58.389519,105.685448,365.142029,23.778479,504.36615
9,0,259.092255,-216.320007,999.68634,247.142761,52.628685,1010.586853,427.885284,-114.235466,1027.771973,429.653046,-45.727135,1025.984863,330.060547,-263.324707,513.377686,378.513153,-308.018768,98.19606,436.39563,-278.946136,79.990074,355.22937,134.227295,531.659119,389.138,177.587952,121.903564,452.335999,127.651421,78.935425,348.951996,-162.274963,487.048462,381.076538,-217.885406,103.551781,250.479645,-324.133423,53.743675,213.587463,-246.918961,64.043663,270.312408,177.146286,55.790081,224.021988,102.27124,66.225311,388.50058,58.37846,105.552986,365.152588,23.823372,504.358246
10,0,259.152191,-216.279373,999.690002,247.146484,52.677795,1010.601257,427.902435,-114.23407,1027.605713,429.678619,-45.699867,1025.98938,330.100861,-263.307556,513.36145,377.815277,-307.772736,97.570534,436.247498,-278.688904,79.536049,355.268921,134.239838,531.646484,389.131805,177.611679,121.881828,452.360199,127.649132,78.92662,348.976135,-162.270828,487.061584,381.066101,-217.859009,103.548195,250.44516,-324.078064,53.769863,213.615601,-246.913406,64.05645,269.961761,177.288757,55.810638,223.983612,102.379143,66.055771,389.047546,58.312824,105.809166,365.242401,23.807905,504.34433
11,0,259.11087,-216.226944,999.6026,247.265411,52.668331,1010.589233,428.017761,-114.214684,1027.571289,429.596527,-45.592205,1026.176147,330.114655,-263.283997,513.372375,378.455322,-308.002411,98.158958,436.538177,-278.959625,79.987274,355.297119,134.26004,531.659607,389.153473,177.596298,121.901932,452.335754,127.643349,78.893158,349.021912,-162.250031,487.080139,381.104614,-217.870529,103.596542,250.427155,-324.077942,53.76228,213.642746,-246.929718,64.071777,269.963165,177.297852,55.800579,223.892517,102.39743,65.82917,388.427124,58.403957,105.432083,365.128479,23.910463,504.361206
12,0,259.229401,-216.192627,999.570923,247.289444,52.681171,1010.603088,428.081909,-114.19429,1027.56543,429.678009,-45.632786,1025.994263,330.191864,-263.28717,513.363525,377.770416,-307.777924,97.54425,436.419739,-278.718628,79.642647,355.285431,134.258087,531.643127,389.139221,177.638962,121.885483,452.341522,127.663376,78.931351,349.054871,-162.221008,487.078156,381.079071,-217.867569,103.587082,250.423309,-324.050476,53.778965,213.620178,-246.927933,64.068405,270.496552,177.07431,55.827438,223.920593,102.408882,65.795555,388.3255,58.371807,105.405151,365.147156,23.881966,504.369781
13,0,259.355591,-216.192886,999.585876,247.408646,52.695309,1010.635376,428.194885,-114.118744,1027.694092,429.834839,-45.665154,1025.848145,330.218018,-263.287201,513.38562,378.401093,-308.031036,98.183075,436.566559,-278.950165,79.959404,355.307129,134.286194,531.645447,389.083221,177.651947,121.908806,452.321869,127.668739,78.872459,349.018707,-162.227722,487.05072,381.073853,-217.870468,103.585228,250.38385,-324.084778,53.800419,213.629822,-246.924637,64.071655,270.189423,177.236237,55.807812,223.957703,102.370323,65.812737,388.563599,58.349155,105.607872,365.252411,23.866693,504.368835
14,0,259.537354,-216.259048,1000.038269,247.404663,52.674839,1010.601257,428.325775,-114.096642,1027.702515,429.768311,-45.544979,1026.070068,330.246735,-263.295349,513.409851,377.272705,-307.516937,97.218018,436.320923,-278.710938,79.70787,355.255035,134.281219,531.598083,389.163727,177.637421,121.919273,452.276917,127.669975,78.837357,349.033813,-162.19635,487.036377,381.127228,-217.840515,103.559639,250.378784,-324.043549,53.767338,213.645401,-246.936539,64.088486,270.268127,177.207458,55.791428,223.946991,102.363342,65.787476,388.723969,58.372673,105.686218,365.265747,23.885845,504.338867
15,0,259.615631,-216.193176,999.988525,247.477509,52.667839,1010.620361,428.394958,-114.134598,1027.570679,429.951935,-45.591629,1025.821289,330.260376,-263.269104,513.395325,377.362762,-307.53714,97.283081,436.362701,-278.829956,79.920509,355.30899,134.272827,531.637085,389.128296,177.623856,121.863937,452.333038,127.669037,78.879829,349.03775,-162.202103,487.05661,381.209351,-217.847198,103.589752,250.342346,-324.029633,53.777889,213.658508,-246.949066,64.076508,270.328827,177.198044,55.821819,224.008163,102.395172,65.974258,388.767242,58.313839,105.557442,365.231781,23.900768,504.355377
16,0,259.507111,-216.075119,999.748047,247.516937,52.680748,1010.644531,428.421967,-114.038918,1027.741211,429.986298,-45.531357,1025.925415,330.282135,-263.239838,513.369568,377.375153,-307.549255,97.274017,436.386444,-278.813477,79.914032,355.308228,134.304413,531.645142,389.164642,177.64032,121.893784,452.364502,127.660378,78.863991,349.067902,-162.176666,487.04895,381.06543,-217.859818,103.51622,250.218246,-323.81665,53.957466,213.673584,-246.939774,64.081985,270.21106,177.129333,55.701668,223.963181,102.334183,65.758347,388.578491,58.486015,105.469643,365.265076,23.870096,504.356079
17,0,259.592377,-216.045013,999.701965,247.573074,52.698441,1010.671509,428.442932,-114.011024,1027.701904,430.025269,-45.503479,1025.8927,330.287872,-263.241455,513.412964,378.39502,-307.999573,98.160225,436.517548,-278.941711,79.953255,355.269958,134.303589,531.619995,389.194458,177.622818,121.923355,452.364044,127.683655,78.844177,349.05069,-162.14241,487.039124,381.168427,-217.846634,103.567276,250.408829,-323.997192,53.78606,213.663132,-246.926941,64.082886,270.165802,177.200638,55.781746,223.868607,102.397827,65.835823,388.57959,58.274632,105.711517,365.165039,23.940125,504.374573
18,0,260.432892,-216.327744,1000.44574,247.591263,52.716709,1010.674377,428.565582,-113.990524,1027.671143,430.133545,-45.498482,1025.796753,330.31189,-263.207062,513.394043,378.423157,-308.03241,98.166252,436.540344,-278.939667,79.975967,355.277252,134.340988,531.607422,389.13324,177.639053,121.907761,452.342194,127.684967,78.849335,349.057129,-162.118927,487.065613,381.132416,-217.839233,103.545547,250.361496,-323.971893,53.813522,213.657867,-246.932968,64.053734,270.665558,176.894333,55.640419,223.94136,102.338684,65.803947,388.701263,58.369019,105.676491,365.171783,23.951288,504.415802
19,0,259.938934,-216.063766,999.911621,247.64418,52.710033,1010.648743,428.751709,-113.945145,1027.692017,430.137207,-45.421581,1025.904785,330.311737,-263.204407,513.418823,378.447601,-308.004456,98.192398,436.525726,-278.923676,79.979187,355.27005,134.333694,531.598267,389.138092,177.651505,121.910072,452.337433,127.676857,78.832954,349.084015,-162.086426,487.091949,381.075256,-217.879288,103.521614,250.370499,-324.038086,53.801773,213.647354,-246.931061,64.080254,270.176453,177.19017,55.775181,223.885544,102.372276,65.832161,388.307312,58.594265,105.107147,365.128662,23.990076,504.382782
20,0,260.347412,-216.052689,1000.172607,247.70993,52.713036,1010.720276,428.685852,-113.896042,1027.680542,430.188385,-45.377064,1025.887451,330.333832,-263.169952,513.413879,377.819336,-307.78418,97.591629,436.40686,-278.765411,79.6679,355.223602,134.315628,531.550903,389.07962,177.639404,121.896011,452.361481,127.671402,78.846695,349.069183,-162.073868,487.080627,381.147797,-217.853043,103.53804,250.193954,-323.821838,53.969891,213.933151,-246.948639,64.042923,270.397339,177.043716,55.636627,223.929764,102.27346,65.993904,388.584564,58.518543,105.210014,365.215302,23.952166,504.36969
21,0,260.072784,-215.989685,999.722107,247.719833,52.702908,1010.697388,428.724152,-113.838387,1027.692627,430.233459,-45.338718,1025.904053,330.355927,-263.172394,513.411194,377.365417,-307.541351,97.278381,436.38324,-278.806366,79.889381,355.246582,134.343582,531.580383,389.133514,177.62413,121.875938,452.352142,127.688721,78.84581,349.021729,-162.08255,487.05899,381.198975,-217.790634,103.58828,250.209488,-323.825073,53.972786,213.74025,-246.940933,64.059975,270.260101,177.135788,55.800217,224.024521,102.248978,66.007332,388.323914,58.561317,105.157448,365.292206,23.90016,504.37677
22,0,260.087402,-215.929962,999.76239,247.808823,52.726406,1010.752319,428.846436,-113.824486,1027.694702,430.188965,-45.235096,1026.039551,330.400818,-263.146759,513.420227,378.41507,-308.024658,98.164299,436.543091,-278.929291,79.950775,355.220245,134.310898,531.537231,389.093445,177.631836,121.912392,452.318237,127.685127,78.851212,349.033081,-162.058105,487.066254,381.148499,-217.814041,103.580559,250.348297,-324.018494,53.813889,213.737076,-246.944656,64.085777,270.156036,177.141342,55.810993,223.96817,102.361969,65.765129,388.450653,58.553211,105.220291,365.186981,23.992683,504.389771
23,0,260.262573,-216.047104,1000.129944,247.807205,52.719685,1010.739075,428.860352,-113.788574,1027.694946,430.276459,-45.23605,1025.928467,330.392609,-263.159821,513.437073,378.470581,-308.021057,98.189407,436.532623,-278.939575,79.929588,355.260223,134.352875,531.577209,389.136047,177.606995,121.869286,452.333008,127.669472,78.837227,349.024353,-162.064438,487.051666,381.129852,-217.815643,103.562172,250.231888,-323.828003,53.987305,213.753067,-246.951324,64.089821,270.459717,177.020264,55.819153,223.988434,102.352394,65.75116,388.585236,58.510269,105.209007,365.371948,23.875542,504.383026
24,0,260.311859,-216.0047,1000.075684,247.880478,52.733166,1010.745178,428.968414,-113.773201,1027.706055,430.415344,-45.295265,1025.769531,330.395691,-263.142517,513.450623,378.442627,-308.029694,98.161491,436.489624,-278.922821,79.939613,355.319946,134.366592,531.61499,389.132019,177.616638,121.888611,452.351685,127.659859,78.806847,349.061157,-162.048935,487.049774,381.187012,-217.812668,103.559464,250.356262,-324.012939,53.794243,213.750977,-246.942551,64.074417,270.51239,177.019135,55.695019,224.131821,102.306526,65.96032,388.75943,58.499538,105.298988,365.253448,23.992157,504.372711
