,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,261.59137,-232.747375,1003.693848,263.39151,36.057037,1012.999084,436.265015,-138.555481,1024.315186,440.571045,-71.441635,1022.30658,327.039703,-269.369812,513.179993,375.387665,-301.928436,96.11557,433.00174,-269.721863,79.171288,356.112061,106.603935,529.393555,385.518524,147.212082,131.148285,438.165802,86.861938,76.801773,342.470215,-167.003067,490.380951,374.837555,-212.353638,104.073112,250.281281,-324.159576,53.822418,208.859116,-247.973801,64.020332,265.98291,165.210144,57.732887,209.285843,97.744484,65.938225,375.754242,27.484928,105.353287,354.47757,-5.051142,502.710571
2,0,261.517609,-232.744339,1003.69812,263.2771,36.061558,1012.947937,436.282318,-138.553238,1024.342041,440.764923,-71.581863,1022.059326,327.01712,-269.392456,513.204468,375.374237,-301.896484,96.11338,433.007477,-269.727844,79.140083,356.083496,106.609657,529.389465,385.482056,147.18605,131.147064,438.109406,86.878937,76.743217,342.589691,-166.912308,490.538239,374.746704,-211.987411,104.202141,250.29657,-324.165314,53.809399,208.895462,-247.954819,64.012039,265.925476,165.033981,57.421379,209.450882,97.400543,66.1185,375.768982,27.480448,105.362022,354.482239,-5.067115,502.70694
3,0,261.372742,-232.720947,1003.387207,263.181335,36.073769,1012.937805,436.136047,-138.556442,1024.391846,440.652832,-71.573128,1022.070068,326.999725,-269.389526,513.171387,375.370148,-301.917786,96.089203,432.967957,-269.734375,79.183472,356.076843,106.621407,529.392456,385.481628,147.206116,131.174835,438.087585,86.895752,76.780586,342.458496,-167.051376,490.4245,374.902008,-212.150864,103.903618,250.238632,-324.176727,53.847588,208.967133,-247.978561,63.909657,266.022369,165.006561,57.467728,209.501587,97.37632,66.142548,375.767059,27.475872,105.382957,354.443451,-5.071034,502.710052
4,0,261.340088,-232.761292,1003.66748,263.108032,36.075901,1012.908447,436.055634,-138.55777,1024.389648,440.573425,-71.572517,1022.086731,326.970978,-269.376831,513.185242,376.127228,-302.231567,96.668091,433.00592,-269.739349,79.181831,356.033661,106.613586,529.398499,385.475311,147.215836,131.171921,438.128357,86.865509,76.789391,342.441467,-167.072388,490.425323,374.570648,-212.20787,103.579903,250.270279,-324.155121,53.819149,208.959106,-247.982971,63.920006,265.819214,165.281052,57.703304,209.516907,97.354187,66.156845,375.715912,27.453573,105.363083,354.472412,-5.093668,502.713318
5,0,261.224579,-232.751801,1003.499023,262.996002,36.068832,1012.908813,435.999603,-138.539764,1024.45166,440.490265,-71.563927,1022.127625,326.985779,-269.401764,513.185364,376.143158,-302.212952,96.72435,432.996521,-269.749542,79.170563,356.018738,106.635025,529.396729,385.468506,147.196243,131.151825,438.141632,86.877319,76.808945,342.380066,-167.109756,490.349762,374.85791,-212.163498,103.903069,250.244827,-324.179382,53.863922,209.004532,-247.995422,63.926258,266.123444,164.959488,57.464226,209.320084,97.713264,65.893333,375.732391,27.481615,105.362083,354.42749,-5.065705,502.703552
6,0,261.132141,-232.774368,1003.483521,262.93866,36.07225,1012.904175,435.794952,-138.540726,1024.474976,440.414429,-71.563141,1022.123718,326.955627,-269.393494,513.166687,375.337769,-301.880341,96.161934,433.040436,-269.74057,79.17646,356.033722,106.646416,529.385498,385.453888,147.197006,131.108322,438.14325,86.882454,76.800018,342.45993,-166.991745,490.383575,374.709412,-211.971939,104.167664,250.212677,-324.12677,53.821663,209.196991,-248.279434,63.983814,265.845703,165.174149,57.587318,209.483749,97.387253,66.150024,375.70224,27.51158,105.347824,354.444092,-5.0509,502.687927
7,0,261.055634,-232.795547,1003.480103,262.833008,36.070599,1012.893555,435.677399,-138.549484,1024.527466,440.109436,-71.461708,1022.335388,326.977478,-269.419373,513.144958,375.367493,-301.915741,96.174438,433.005127,-269.738861,79.131531,356.008972,106.662407,529.391296,385.471436,147.184708,131.086029,438.157593,86.874405,76.839966,342.434814,-167.025497,490.46109,374.396362,-212.393753,103.58181,250.220596,-324.191742,53.857231,209.040878,-248.013779,63.909218,266.00235,165.049438,57.407234,209.865402,97.190689,66.168053,375.723175,27.505924,105.354462,354.470093,-5.069448,502.699799
8,0,260.964935,-232.810272,1003.471985,262.754913,36.070427,1012.839172,435.683594,-138.538788,1024.562744,440.264679,-71.571785,1022.161865,326.986542,-269.450409,513.176086,376.031769,-302.197174,96.725105,433.041351,-269.754211,79.143166,355.991333,106.65007,529.373657,385.48822,147.160294,131.131348,438.133484,86.874512,76.817192,342.394928,-167.074265,490.348175,374.758362,-212.34491,104.017357,250.238602,-324.14328,53.840206,209.085846,-248.018066,63.903019,265.828247,165.084229,57.451435,209.477448,97.357933,66.164253,375.712463,27.507858,105.37912,354.504272,-5.121476,502.708923
9,0,260.912018,-232.826813,1003.462463,262.677155,36.05188,1012.830261,435.535858,-138.559052,1024.58252,440.219788,-71.595032,1022.165894,327.013733,-269.464355,513.151306,375.971619,-302.203278,96.685608,433.003357,-269.760193,79.137505,355.958191,106.656578,529.362915,385.513519,147.144608,131.135681,438.124725,86.906311,76.789757,342.412567,-167.098785,490.373291,374.565674,-212.398911,103.76355,250.237854,-324.145569,53.855766,209.275894,-248.290085,63.98444,265.873444,165.165985,57.636429,209.570999,97.335838,66.142235,375.675415,27.612284,105.401016,354.44577,-5.08952,502.707062
10,0,260.787476,-232.799057,1003.348328,262.593323,36.072296,1012.818787,435.583099,-138.548889,1024.615479,440.157379,-71.609085,1022.202942,327.028351,-269.48645,513.149353,375.965607,-302.19516,96.680351,433.039642,-269.76889,79.144272,355.911987,106.669594,529.38092,385.501312,147.157959,131.122131,438.093628,86.901787,76.764267,342.391754,-167.109619,490.392303,374.766754,-212.155045,103.868423,250.146866,-324.191681,53.84832,209.26091,-248.269684,63.983418,265.823608,165.21936,57.622482,209.366165,97.445686,66.166763,375.691101,27.525543,105.385735,354.41391,-5.068384,502.681244
