,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,293.845062,-224.539474,1007.873657,268.25882,44.822796,1012.732605,455.675201,-113.842606,1030.104126,453.984833,-44.977432,1027.360962,340.541443,-268.071869,516.387512,378.244537,-311.540955,97.752731,435.773407,-281.765869,79.329308,352.116364,126.87719,529.839966,386.713806,174.735199,122.8246,449.85849,126.115906,78.159203,351.846771,-165.824036,489.018097,378.913239,-221.071259,105.875252,248.965363,-326.753174,51.9389,213.401825,-248.128052,65.142181,269.588074,175.79303,57.348633,223.505371,103.286606,65.728119,388.359314,55.533253,103.484482,366.195343,16.424528,503.047882
2,0,293.46814,-224.156189,1010.52771,268.272247,44.806072,1012.759094,455.638458,-113.833588,1030.108521,454.026398,-45.007286,1027.297485,340.562195,-268.042938,516.355652,378.815643,-311.645508,98.245758,435.885254,-281.854034,79.425835,352.112,126.879829,529.840881,386.794952,174.644958,122.583496,450.695007,126.200645,78.679825,351.821198,-165.777817,488.985382,378.924286,-221.059906,105.885109,248.696457,-326.810333,52.253529,213.380112,-248.124634,65.130608,269.184265,175.962936,57.332138,223.46312,103.382072,65.653473,388.503632,55.436909,103.246559,366.32254,16.448097,502.931427
3,0,293.769867,-224.493347,1007.767212,268.208801,44.826702,1012.708801,455.596558,-113.823776,1030.148804,454.138458,-45.132042,1027.015381,340.574554,-268.024841,516.36377,378.751465,-311.640381,98.21653,435.934265,-281.856903,79.425087,352.141235,126.87056,529.831665,386.756683,174.697769,122.791756,449.839966,126.121834,78.149834,351.82254,-165.771255,488.981262,378.925659,-221.050735,105.867203,248.670288,-326.828705,52.249828,213.402802,-248.126694,65.127151,269.136993,176.156601,57.606865,223.255081,103.245285,65.301086,388.51001,55.403587,103.241791,366.199341,16.414856,503.06427
4,0,293.730042,-224.473206,1007.719055,268.121613,44.867134,1012.702332,455.363556,-113.769173,1030.31665,453.914886,-44.97517,1027.323853,340.582581,-267.974487,516.330383,378.733276,-311.596802,98.248306,435.957458,-281.838531,79.430214,352.174835,126.867203,529.824036,386.77066,174.630676,122.564659,450.4534,126.207382,78.691032,351.826538,-165.742172,488.992523,378.943512,-221.030579,105.873352,248.649857,-326.805237,52.228748,213.396851,-248.115768,65.11174,268.998901,176.186005,57.594097,223.140152,103.262436,65.857132,388.534149,55.442062,103.22467,366.209595,16.404226,503.03894
5,0,293.662781,-224.497696,1008.023621,268.111908,44.865189,1012.660278,455.488739,-113.807419,1030.115234,454.098663,-45.109146,1027.009277,340.590607,-267.98053,516.358032,378.226227,-311.488678,97.779457,435.751953,-281.748016,79.341835,352.178192,126.853035,529.802673,386.780396,174.632477,122.571762,449.870636,126.109421,78.150131,351.832367,-165.730194,488.989136,378.961029,-221.030701,105.873665,248.691422,-326.774475,52.235252,213.540863,-248.106003,64.92205,269.778595,175.704269,57.597134,223.248123,103.271446,65.307571,388.392548,55.519165,103.466949,366.32373,16.47654,502.871338
6,0,293.631256,-224.532761,1008.032227,268.016632,44.883659,1012.663147,455.436676,-113.803398,1030.147705,453.883484,-44.964874,1027.295166,340.652161,-267.926514,516.327637,378.233185,-311.458374,97.813606,435.868256,-281.756134,79.376114,352.214661,126.847733,529.779968,386.780457,174.638397,122.563194,450.48761,126.196785,78.505623,351.880524,-165.67778,489.024261,378.96994,-221.043808,105.898933,249.125763,-326.612183,52.082695,213.372223,-248.11795,65.123581,269.33786,175.930557,57.348473,223.254333,103.245224,65.272842,388.455658,55.510441,103.47953,366.386292,16.519201,502.735138
7,0,293.595276,-224.52066,1008.019897,267.991302,44.87014,1012.660278,455.323547,-113.791573,1030.118042,453.885834,-44.994446,1027.234741,340.700714,-267.873474,516.300781,378.164581,-311.419067,97.817513,435.839478,-281.746552,79.370346,352.248199,126.843956,529.776611,386.744385,174.62323,122.520958,450.00769,126.189056,78.417389,351.870972,-165.674866,488.945099,378.952545,-221.0336,105.922379,248.763092,-326.791351,52.21447,213.397476,-248.090302,65.076248,269.139862,176.08287,57.599075,222.999725,103.197327,65.520546,388.570587,55.436958,103.296028,366.42926,16.527081,502.658081
8,0,293.531494,-224.474747,1007.863403,267.947449,44.829479,1012.656067,455.285431,-113.773033,1030.138428,453.862854,-44.993263,1027.233032,340.793793,-267.855286,516.31543,378.067993,-311.388489,97.7911,435.779175,-281.711243,79.343536,352.271423,126.846001,529.750671,386.708221,174.696716,122.752213,450.152985,126.156258,78.312912,351.92038,-165.661057,488.934357,378.965668,-220.99295,105.904785,248.708817,-326.738251,52.156487,213.411743,-248.092987,65.13707,269.024597,176.099426,57.556084,223.266525,103.101494,65.423988,388.616669,55.258656,103.490433,366.372803,16.497351,502.851959
9,0,293.513458,-224.515381,1007.849915,267.852051,44.851463,1012.598877,455.269836,-113.769295,1030.147705,453.946075,-45.08733,1027.002808,340.926666,-267.860718,516.316956,378.003418,-311.355286,97.77523,435.841034,-281.69928,79.345566,352.304352,126.841011,529.747986,386.672668,174.694244,122.729233,449.883026,126.095947,78.145653,351.997498,-165.658508,488.942993,379.009613,-220.977249,105.919724,248.754059,-326.736877,52.195927,213.397751,-248.059692,65.084183,269.179169,176.052017,57.596699,223.043503,102.901436,65.632935,388.48822,55.197201,103.592499,366.547668,16.541258,502.693237
10,0,293.453705,-224.50531,1007.764832,267.752197,44.853851,1012.555725,455.188385,-113.773201,1030.17041,453.883484,-45.093254,1027.012329,341.06958,-267.823395,516.317139,377.943298,-311.312531,97.798256,435.774048,-281.651184,79.349434,352.368469,126.84417,529.739197,386.659698,174.676636,122.680016,450.506134,126.162766,78.514557,352.141235,-165.630493,488.921143,379.051025,-220.940292,105.953888,248.794418,-326.753235,52.142113,213.383575,-248.073578,65.106209,269.413239,175.92334,57.533417,223.047974,102.974701,65.71563,388.613464,55.365417,103.395615,366.52713,16.550591,502.729187
