,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,226.99762,-230.645401,1003.386841,199.62825,38.122242,1006.649231,390.78064,-118.259369,1021.594177,390.563354,-52.665947,1020.293945,312.317322,-267.49585,512.842834,374.93457,-301.090912,96.810654,432.380737,-268.56192,80.567436,320.902405,117.83136,528.726013,375.376373,164.507217,134.311295,438.795471,111.140793,81.632759,325.964935,-164.994232,488.825897,372.919495,-211.910385,104.69442,250.997864,-325.400085,53.497871,208.247391,-250.879852,63.904099,260.301544,172.576752,56.968155,209.125839,100.355751,65.326393,379.855255,45.684399,107.123161,331.661499,7.579131,502.200073
2,0,227.261887,-230.606186,1001.525269,199.54863,38.207787,1006.656982,390.649048,-118.179703,1021.528381,388.617249,-50.743645,1018.677124,312.282257,-267.45343,512.819275,374.936432,-301.08725,96.79335,432.516571,-268.55249,80.844872,320.875397,117.889534,528.728882,375.409576,164.521042,134.322983,438.817596,111.149742,81.633087,325.930237,-164.981491,488.767181,372.932739,-211.900085,104.714584,250.746613,-325.49707,53.50449,208.272385,-250.878906,63.921951,260.173676,172.610474,56.944416,209.083939,100.381325,65.314766,379.765228,45.789162,107.345276,331.626953,7.629595,502.206451
3,0,227.197479,-230.566452,1001.713867,199.463684,38.122349,1006.646606,390.544922,-118.099724,1021.39209,391.037354,-52.967991,1020.297913,312.259796,-267.411896,512.807312,374.945129,-301.092865,96.848824,432.331421,-268.524963,80.558189,320.857117,117.942207,528.725586,375.414215,164.484497,134.338593,438.811615,111.142342,81.622932,325.886566,-164.931625,488.722168,372.925201,-211.876053,104.705589,250.989075,-325.402893,53.505447,208.322205,-250.880722,63.823364,260.137726,172.613281,56.951431,209.060623,100.375999,65.304657,379.88559,45.684753,107.086189,331.614441,7.660625,502.285431
4,0,227.163437,-230.419968,1001.301636,199.393387,38.211815,1006.663086,390.352997,-118.012833,1021.492249,388.496307,-50.5658,1018.665405,312.25528,-267.365356,512.771057,375.050415,-301.104095,96.93605,432.338074,-268.522278,80.562126,320.807526,118.015305,528.708923,375.343842,164.549469,134.357468,438.768402,111.169716,81.613106,325.885376,-164.884949,488.739075,372.925812,-211.859436,104.686676,251.00174,-325.390594,53.494457,208.356186,-250.875793,63.829868,260.16156,172.62822,56.937935,209.335602,100.244064,65.309593,379.860962,45.720398,107.126404,331.540802,7.802699,502.201904
5,0,227.196579,-230.435196,1001.430054,199.268661,38.295235,1006.644226,390.269958,-117.88961,1021.511169,388.567383,-50.507679,1018.623718,312.228302,-267.340027,512.832397,374.902588,-301.05072,96.777374,432.326935,-268.504669,80.562523,320.793304,118.087097,528.698547,375.374512,164.555267,134.287674,438.905396,111.162781,81.698051,325.823334,-164.838547,488.696838,372.90387,-211.838654,104.652222,251.015121,-325.404327,53.492279,208.33075,-250.871719,63.840172,260.158997,172.620193,56.972778,209.057022,100.386757,65.355125,379.868011,45.715298,107.140945,331.547211,7.860447,502.214539
6,0,227.151443,-230.406601,1001.5271,199.083328,38.49374,1006.544739,390.33783,-117.792953,1021.393799,390.425079,-52.132648,1019.629944,312.246399,-267.282715,512.812256,374.894379,-300.989349,96.837608,432.339813,-268.483948,80.586227,320.76123,118.12722,528.693787,375.424957,164.576828,134.347061,438.89682,111.166779,81.676079,325.773438,-164.782791,488.676941,372.922089,-211.844315,104.652344,250.989761,-325.43161,53.52478,208.345184,-250.873291,63.839645,260.207947,172.617706,56.987122,209.104004,100.382645,65.305679,379.726318,45.805355,107.422531,331.521942,7.952184,502.199158
7,0,227.140625,-230.322296,1001.432678,199.030853,38.562313,1006.549622,390.207062,-117.646912,1021.466858,388.607391,-50.340317,1018.596069,312.261169,-267.254303,512.848755,374.908386,-300.973572,96.848541,432.517822,-268.453247,80.897728,320.718018,118.186905,528.675232,375.492645,164.5625,134.339325,438.939209,111.192169,81.71254,325.753082,-164.764648,488.675079,372.878174,-211.85083,104.618271,250.975128,-325.394318,53.517536,208.351196,-250.83902,63.83437,260.242981,172.626083,56.949516,209.141556,100.318481,65.3339,379.666016,45.844852,107.414108,331.418945,8.024453,502.226044
8,0,227.16188,-230.308334,1001.529785,198.933456,38.633202,1006.534363,390.164734,-117.54808,1021.41748,388.549011,-50.257523,1018.643494,312.25061,-267.212097,512.889221,374.89679,-300.978333,96.932068,432.361847,-268.475311,80.531113,320.706848,118.255981,528.65802,375.488098,164.59317,134.325928,439.118439,111.195992,81.798355,325.764771,-164.695953,488.694672,372.894806,-211.835144,104.618912,250.973999,-325.422516,53.515675,208.360168,-250.859558,63.839481,260.139496,172.651154,56.934273,209.062378,100.37693,65.300644,379.748871,45.845612,107.392693,331.314575,8.157826,502.179993
9,0,227.162796,-230.208862,1001.467346,198.934128,38.633556,1006.53717,390.148224,-117.44796,1021.405701,388.917053,-50.300808,1018.568542,312.262909,-267.19223,512.921814,374.890045,-300.949158,96.874382,432.52832,-268.495056,80.861137,320.663361,118.301613,528.636963,375.536102,164.610504,134.400009,438.912689,111.206879,81.676262,325.728424,-164.673706,488.657623,372.904266,-211.846298,104.58445,251.006241,-325.409088,53.478474,208.353348,-250.86525,63.84293,260.440491,172.616211,57.026066,209.069656,100.390854,65.305115,379.873932,45.781548,107.201439,331.412323,8.078616,502.289185
10,0,227.368225,-230.050751,1000.924377,198.906586,38.588181,1006.579895,390.171356,-117.317604,1021.365173,389.108215,-50.219372,1018.575684,312.292358,-267.149475,512.877808,374.769348,-300.876617,96.868332,432.525177,-268.494232,80.818802,320.674133,118.371384,528.634338,375.503723,164.620239,134.350082,439.045715,111.232857,81.785797,325.765076,-164.607452,488.662842,372.91629,-211.81459,104.547691,250.698563,-325.566956,53.551956,208.33493,-250.858429,63.846832,260.062256,172.832123,57.204159,209.094681,100.327744,65.292831,379.715973,45.843201,107.480896,331.331421,8.228238,502.247681
