,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,259.705566,-217.104065,998.359985,240.34079,51.329536,1011.083374,426.990234,-110.664619,1026.826416,430.476532,-46.068439,1026.79187,326.45047,-253.067993,511.82486,374.865662,-289.261871,96.488663,431.983521,-256.679871,79.294533,347.059418,127.435875,530.385681,380.579987,164.227081,129.206345,437.289185,108.630707,78.084785,338.695099,-149.669434,487.598755,373.229645,-199.528656,102.718842,249.764435,-314.697754,53.815945,207.781662,-238.789047,64.143272,259.786621,169.561462,55.705639,209.106674,96.76619,66.790428,380.626953,44.325943,107.690063,353.264587,16.078716,504.547058
2,0,259.76532,-217.13269,998.363098,240.377625,51.322498,1011.101135,426.900482,-110.7174,1026.926636,431.089569,-47.475597,1029.286743,326.476318,-253.0784,511.807922,374.874878,-289.272583,96.473511,431.98056,-256.675964,79.280258,347.082123,127.434998,530.385681,380.56076,164.239914,129.176254,437.293671,108.63205,78.086708,338.709747,-149.668747,487.619385,373.206146,-199.564941,102.709335,249.748276,-314.730652,53.857262,207.740067,-238.767044,64.144493,259.858368,169.577209,55.744606,209.120117,96.720505,66.766045,380.650879,44.31319,107.68998,353.269592,16.095797,504.523468
3,0,259.81134,-217.141602,998.378906,240.386536,51.312897,1011.085876,426.967926,-110.712151,1026.931519,430.512451,-46.042915,1026.687744,326.521576,-253.082962,511.77478,374.872589,-289.28949,96.531471,431.955139,-256.675812,79.289001,347.119568,127.433807,530.402161,380.581818,164.248688,129.195541,437.276672,108.622276,78.071411,338.755798,-149.687729,487.634674,373.199921,-199.550735,102.696709,249.755203,-314.716003,53.848232,207.829102,-238.780579,64.075813,259.814972,169.574142,55.71949,209.079926,96.784363,66.80545,380.648224,44.311684,107.643311,353.291046,16.106424,504.539124
4,0,259.851746,-217.162659,998.390076,240.41629,51.300961,1011.110901,427.003204,-110.723885,1026.965698,430.539398,-46.067867,1026.692383,326.514587,-253.101822,511.800873,374.827118,-289.262695,96.435173,431.965088,-256.686768,79.262329,347.110016,127.418083,530.386292,380.589508,164.264496,129.159286,437.298004,108.614105,78.09697,338.674164,-149.709229,487.594086,373.206665,-199.529358,102.722916,249.653076,-314.67627,53.952766,207.822952,-238.787338,64.075691,259.877106,169.573471,55.724918,209.129059,96.745537,66.821266,380.657349,44.310497,107.648399,353.343323,16.048525,504.566437
5,0,258.551849,-218.300125,999.335266,240.413956,51.319633,1011.092773,427.039429,-110.745018,1026.95459,426.686493,-42.893131,1024.976685,326.52597,-253.0849,511.790466,374.81189,-289.271454,96.475777,431.989746,-256.679443,79.235611,347.12912,127.411484,530.39093,380.583038,164.241806,129.166153,437.322906,108.611069,78.049011,338.683563,-149.72226,487.608154,373.220184,-199.534485,102.699051,249.821152,-314.626282,54.023182,207.841354,-238.816696,64.087807,259.890656,169.586334,55.734337,209.102509,96.75769,66.815765,380.61319,44.294842,107.69606,353.310455,16.079193,504.534973
6,0,259.960876,-217.201584,998.410156,240.462616,51.284943,1011.116272,427.069,-110.727753,1026.99292,430.5914,-46.047081,1026.668579,326.544281,-253.039719,511.723511,374.795715,-289.261902,96.449593,431.933868,-256.682709,79.232407,347.150848,127.407509,530.379822,380.573364,164.229279,129.144653,437.343811,108.614128,78.059738,338.723663,-149.71666,487.591431,373.223663,-199.526154,102.686668,249.752823,-314.756744,53.814373,207.824326,-238.794708,64.075317,259.837189,169.558365,55.775497,209.043137,96.762352,66.833267,380.618103,44.303574,107.700371,353.272247,16.113331,504.517365
7,0,258.95105,-218.176605,999.274841,240.546158,51.225235,1011.114502,427.177094,-110.744888,1026.968628,430.518188,-45.873863,1026.44751,326.541138,-253.064102,511.764221,374.836243,-289.269775,96.518341,431.975861,-256.70163,79.239616,347.161652,127.397728,530.380798,380.531952,164.227692,129.151703,437.430328,108.613914,78.024704,338.759125,-149.738815,487.629578,373.245422,-199.550613,102.676697,249.788116,-314.787964,53.827503,207.91069,-238.798477,64.070412,259.852753,169.527618,55.75642,209.077774,96.750801,66.859192,380.620422,44.301678,107.744362,353.348419,16.076641,504.530365
8,0,260.011536,-217.1866,998.423218,240.529373,51.237518,1011.095276,427.095642,-110.753616,1027.00061,430.470123,-45.819118,1026.346191,326.582153,-253.061203,511.731323,374.88739,-289.282104,96.517433,431.999176,-256.707184,79.225945,347.189789,127.404022,530.411438,380.610474,164.233902,129.188126,437.389893,108.62278,78.047562,338.831818,-149.710587,487.645752,373.246582,-199.56398,102.64196,249.784973,-314.771667,53.840637,207.878952,-238.816895,64.070671,259.768616,169.565659,55.715076,209.149002,96.710884,66.856636,380.61496,44.307289,107.707726,353.377167,16.04108,504.567261
9,0,260.060425,-217.215912,998.434875,240.577988,51.203083,1011.124268,426.681091,-110.929565,1027.036865,430.512115,-45.809792,1026.297852,326.617645,-253.151627,511.818298,374.891479,-289.303345,96.551758,432.010834,-256.714142,79.215607,347.210327,127.408058,530.407043,380.596191,164.227982,129.149261,437.397614,108.610123,78.073669,338.883545,-149.709457,487.643555,373.236115,-199.567596,102.680695,249.811493,-314.804443,53.815147,207.949371,-238.826324,64.102264,259.838379,169.558609,55.759018,209.108627,96.712868,66.861336,380.583374,44.288197,107.780731,353.206146,16.132942,504.545563
10,0,260.099152,-217.242538,998.46167,240.619308,51.18766,1011.13269,427.198669,-110.792847,1026.996826,430.485413,-45.774654,1026.237915,326.65094,-253.138519,511.805176,374.91098,-289.302704,96.511711,431.989075,-256.717102,79.193588,347.186371,127.393959,530.394348,380.589233,164.246887,129.110611,437.403625,108.589668,78.043747,338.873047,-149.741638,487.651947,373.226196,-199.581573,102.628334,249.841705,-314.819824,53.817478,207.903183,-238.838715,64.084717,259.73526,169.558044,55.787872,209.056046,96.773621,66.927521,380.59317,44.290737,107.733658,353.231598,16.11581,504.580811
11,0,258.968384,-218.417435,999.659241,240.680038,51.162102,1011.140564,427.29895,-110.791237,1026.960571,430.473389,-45.740124,1026.195557,326.661804,-253.172272,511.825073,374.854889,-289.328186,96.492981,431.984222,-256.746002,79.175957,347.207001,127.407578,530.383972,380.609253,164.217087,129.171265,437.454376,108.590828,78.049332,338.886536,-149.751251,487.625488,373.282104,-199.58847,102.615334,249.777283,-314.799042,53.804897,207.921997,-238.870361,64.098984,259.78009,169.530334,55.767498,209.107971,96.732689,66.885582,380.572723,44.299019,107.780968,353.243469,16.122778,504.573059
12,0,260.17572,-217.247696,998.464783,240.653595,51.173252,1011.158691,427.239777,-110.78286,1027.035889,430.482574,-45.749702,1026.205688,326.675079,-253.184021,511.83313,374.875488,-289.296112,96.547752,432.03299,-256.725616,79.190628,347.223145,127.415047,530.38269,380.624756,164.233734,129.150482,437.536133,108.593483,78.002785,338.953674,-149.757309,487.647369,373.250366,-199.579544,102.592873,249.82254,-314.831146,53.836205,207.976608,-238.859497,64.090691,259.827545,169.510834,55.801777,209.055679,96.76844,66.930717,380.597504,44.278725,107.797562,353.190125,16.180445,504.553375
13,0,260.197327,-217.237762,998.450684,240.715698,51.15004,1011.158813,427.301147,-110.788872,1026.966919,430.43811,-45.642986,1026.129028,326.711853,-253.211411,511.871277,374.880737,-289.298981,96.513275,432.005951,-256.746765,79.157936,347.263519,127.427727,530.390137,380.546509,164.207672,129.089859,437.496552,108.594734,78.055,338.944397,-149.764847,487.637207,373.245667,-199.591949,102.582062,249.78624,-314.828949,53.812149,208.002243,-238.85881,64.105827,259.747375,169.544998,55.760727,209.135559,96.678772,66.894836,380.662903,44.490902,107.229904,353.197174,16.160376,504.555817
