,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,282.839874,-226.696243,1006.496216,249.333069,42.086258,1014.450073,444.877014,-111.782043,1026.883301,439.318787,-42.492714,1023.352844,334.7677,-261.42868,513.571045,383.429718,-301.966125,97.11618,441.430939,-271.809113,79.578827,343.790802,120.919518,530.515564,374.678802,158.940308,119.844055,438.234314,108.424706,78.746017,342.13324,-157.529541,488.069458,383.496948,-211.807709,105.084679,255.831451,-319.404968,51.717758,218.54866,-240.903946,64.862488,257.745636,160.926086,56.78183,210.437225,86.808098,66.151299,376.399139,39.423096,103.835289,358.854828,9.790394,504.810211
2,0,282.838562,-226.662476,1006.474487,249.292374,42.126144,1014.431335,444.107758,-111.168022,1026.262817,439.412933,-42.654381,1022.948242,334.755188,-261.441437,513.597046,383.421234,-301.95401,97.175026,441.517273,-271.820221,79.653099,343.819733,120.966988,530.539734,374.627747,158.930267,119.817039,438.259613,108.433937,78.765381,342.087921,-157.484924,488.05658,383.502136,-211.815399,105.079994,255.786743,-319.420319,51.769302,218.541855,-240.898972,64.863251,257.630981,160.983566,56.848576,210.746338,86.777748,66.460052,376.436249,39.464645,103.795624,358.838806,9.878288,504.798706
3,0,282.802795,-226.60321,1006.477234,249.309525,42.173447,1014.46106,444.025238,-111.139442,1026.274292,439.340698,-42.411251,1023.368591,334.782288,-261.385498,513.567993,383.387543,-301.97049,97.138313,441.546967,-271.900848,79.577126,343.869537,121.009872,530.537781,374.57962,158.969009,119.502312,438.328705,108.440773,78.76326,342.119629,-157.494904,488.057495,383.500488,-211.821854,105.099724,256.088348,-319.319244,51.439312,218.544327,-240.862122,64.848061,257.694153,160.979034,56.851402,210.467346,86.832382,66.128151,376.480804,39.478695,103.820641,358.838348,9.897703,504.763428
4,0,282.860199,-226.607803,1006.531006,249.341705,42.232895,1014.471069,444.038574,-111.103134,1026.270752,439.38443,-42.391018,1023.329956,334.802673,-261.391479,513.599304,383.467987,-301.967773,97.192055,441.475098,-271.809662,79.649651,343.889679,121.045021,530.522095,374.552124,158.964462,119.48819,438.327209,108.454086,78.759056,342.137177,-157.47789,488.055145,383.511322,-211.811737,105.1091,255.816223,-319.424316,51.750271,218.592926,-240.88765,64.868927,257.591125,160.97406,56.801579,210.752457,86.792625,66.46405,376.471222,39.466862,103.863434,358.908051,9.895117,504.796753
5,0,282.864807,-226.578445,1006.569153,249.334076,42.280285,1014.445923,444.084656,-111.095093,1026.296143,439.495544,-42.567265,1022.954468,334.907379,-261.414642,513.638611,383.50351,-301.950104,97.226486,441.516876,-271.812714,79.612976,343.935059,121.064705,530.539734,374.652771,158.939606,119.802986,438.355133,108.451202,78.737068,342.181213,-157.439545,488.046265,383.528564,-211.806335,105.095818,255.842865,-319.461212,51.742081,218.561279,-240.882751,64.858475,257.691406,160.987289,56.830101,210.479324,86.826836,66.124611,376.464996,39.507614,103.793571,358.941071,9.909904,504.812592
6,0,282.863129,-226.479797,1006.260254,249.365524,42.310108,1014.467957,444.161652,-111.075096,1026.272461,439.515625,-42.527054,1022.953491,334.938904,-261.404572,513.63562,383.478302,-301.937592,97.145241,441.488007,-271.835754,79.629532,343.987152,121.095879,530.51709,374.560669,158.968643,119.450119,438.41217,108.446709,78.746292,342.219421,-157.458481,488.007629,383.55127,-211.806946,105.103973,256.078613,-319.325104,51.464035,218.587158,-240.894302,64.866577,257.694092,160.959076,56.804256,210.495087,86.842094,66.097992,376.461487,39.467014,103.85392,358.959839,9.95236,504.812469
7,0,282.93924,-226.483093,1006.342285,249.427292,42.350464,1014.51886,444.384766,-111.050949,1026.252808,439.520203,-42.415497,1023.12085,334.966614,-261.380493,513.613708,383.606659,-301.966431,97.284859,441.505371,-271.828278,79.592339,343.996552,121.104782,530.517029,374.566895,158.9702,119.434212,438.414703,108.438362,78.744987,342.246094,-157.423996,487.993347,383.54303,-211.811249,105.084938,255.823669,-319.433441,51.74469,218.59584,-240.887009,64.844246,257.730652,160.96611,56.83987,210.522705,86.785683,66.080345,376.438965,39.493526,103.827057,358.912811,10.010917,504.801331
8,0,282.960052,-226.476242,1006.37854,249.495804,42.356632,1014.586426,444.29483,-111.028687,1026.254517,439.6073,-42.387386,1023.15686,335.026764,-261.37915,513.627014,383.511292,-301.94516,97.201721,441.463348,-271.828827,79.631813,344.027313,121.1157,530.529602,374.661499,158.961273,119.725182,438.474457,108.416878,78.752869,342.504791,-157.46492,487.720123,383.548523,-211.814102,105.075424,255.873947,-319.405518,51.69783,218.654312,-240.904205,64.874863,257.680542,160.925568,56.756924,210.547714,86.759781,66.097588,376.472198,39.492943,103.877861,358.941528,10.02775,504.806396
9,0,283.018524,-226.436447,1006.217224,249.518936,42.373936,1014.57605,444.26358,-111.017235,1026.24939,439.688538,-42.400009,1023.114441,335.033417,-261.379059,513.663574,383.44989,-301.944122,97.124825,441.591614,-271.91864,79.500824,344.032379,121.13974,530.515869,374.597717,159.002289,119.464188,438.476013,108.444885,78.745361,342.322449,-157.538376,487.222687,383.553436,-211.790527,105.082825,255.8181,-319.396484,51.761406,218.644302,-240.891464,64.863365,257.690521,160.849518,56.570797,210.548965,86.778809,66.069054,376.474884,39.52652,103.870232,358.961975,10.039269,504.812012
10,0,282.992981,-226.36116,1006.206055,249.526505,42.447052,1014.561279,444.332611,-110.997231,1026.251709,439.711639,-42.402534,1023.088928,335.086853,-261.361145,513.616821,383.430267,-301.905243,97.072914,441.545654,-271.933075,79.568794,344.053986,121.145744,530.525879,374.639893,158.996902,119.703247,438.623047,108.427231,78.737907,342.510162,-157.446365,487.640991,383.559662,-211.795166,105.083,255.913162,-319.424225,51.747433,218.646011,-240.90535,64.874771,257.638611,160.939163,56.764019,211.111252,86.572685,65.899345,376.395264,39.532196,103.817039,358.945587,10.075332,504.819214
11,0,283.072449,-226.343826,1006.19635,249.541382,42.49614,1014.591003,444.485229,-110.97728,1026.240234,439.773071,-42.387054,1023.050049,335.097443,-261.3591,513.633179,383.518555,-301.918976,97.126114,441.511841,-271.867554,79.597885,344.074127,121.165886,530.525696,374.532867,158.99881,119.37735,438.463531,108.440399,78.731583,342.21817,-157.405106,487.491974,383.554749,-211.795166,105.038017,255.847458,-319.413055,51.677517,218.648193,-240.883102,64.863708,257.509277,160.963638,56.728748,210.852631,86.645454,66.219193,376.42337,39.495296,103.910118,359.011993,10.096576,504.834412
