,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,300.872467,-200.43512,995.47583,257.168732,63.675888,1018.009399,456.507874,-82.475418,1022.450928,450.276703,-14.187357,1023.007874,281.722443,-242.333405,513.829041,361.396118,-301.356567,98.707191,418.27655,-269.04364,81.246902,337.982544,140.003403,530.54126,373.815979,168.36731,119.37709,440.57782,120.428635,78.573288,272.622803,-135.774277,483.432983,355.193115,-209.994217,103.817841,236.369904,-323.705872,52.704414,196.429764,-247.291733,64.879181,257.650391,160.469223,57.594856,214.472626,86.484375,65.947136,383.01297,49.052937,106.130646,364.557495,29.854095,508.292603
2,0,301.375702,-201.404938,997.372131,257.149048,63.675545,1018.00824,456.509369,-82.519218,1022.476929,450.26828,-14.210064,1023.012146,281.706818,-242.332306,513.806335,361.453186,-301.370209,98.744644,418.466003,-269.084564,81.517075,337.996765,139.98938,530.532471,373.811249,168.373123,119.366066,439.944794,120.39447,78.142921,272.591156,-135.801193,483.412811,355.211792,-209.971207,103.838844,236.335434,-323.807495,52.579201,196.430786,-247.285248,64.859879,257.588959,160.401993,57.380238,214.470078,86.485466,65.963829,383.042389,49.011097,106.136871,364.535553,29.833326,508.277771
3,0,301.503235,-201.598541,998.544067,257.144501,63.603783,1017.99884,456.363312,-82.541199,1022.463806,451.382904,-14.010512,1023.002747,281.708282,-242.360474,513.815186,360.723633,-300.985016,98.350601,418.51123,-269.1297,81.431252,337.992767,139.958527,530.527405,373.826721,168.357925,119.401428,439.956146,120.399635,78.146233,272.586761,-135.805359,483.432526,355.225739,-209.9776,103.879234,236.349731,-323.791534,52.567036,196.454117,-247.291,64.847603,258.240875,160.367004,57.712952,214.724548,86.246437,65.696335,383.067139,49.031017,106.18383,364.513885,29.800272,508.287201
4,0,301.309845,-201.482071,997.445312,257.100311,63.597904,1018.00177,456.397064,-82.560875,1022.498596,450.192413,-14.274535,1023.016357,281.677399,-242.370132,513.79541,360.732574,-300.975494,98.347458,418.486633,-269.157928,81.407486,337.976959,139.959152,530.518982,373.839783,168.36087,119.379509,439.973022,120.386513,78.153648,272.59317,-135.838104,483.426178,355.211121,-209.983261,103.844086,236.336304,-323.757751,52.529778,196.427994,-247.301361,64.838066,257.594727,160.371124,57.370716,214.693466,86.258987,65.675034,382.973907,49.02243,106.18528,364.510406,29.782772,508.277954
5,0,301.256104,-201.473907,997.205322,257.052368,63.587219,1018.001465,456.436584,-82.587288,1022.504578,450.179169,-14.27508,1023.045166,281.680389,-242.40744,513.837097,360.741089,-301.02182,98.370911,418.682434,-269.234406,81.750076,338.001282,139.888092,530.545715,373.828186,168.389984,119.404167,440.533478,120.432442,78.562637,272.542572,-135.878891,483.433289,355.221436,-209.989746,103.875336,236.315994,-323.765015,52.555134,196.40065,-247.291779,64.87455,257.579193,160.507431,57.637505,214.652161,86.294273,65.722389,382.99646,49.015617,106.140747,364.477539,29.775177,508.261017
6,0,301.234039,-201.504257,997.159363,256.981567,63.747063,1017.947205,456.458435,-82.585625,1022.534485,450.16449,-14.297411,1023.04187,281.68869,-242.414642,513.841675,360.655914,-301.028046,98.35714,418.510498,-269.148834,81.464287,337.947693,139.864273,530.522217,373.856781,168.381683,119.424347,440.001862,120.368858,78.121857,272.587646,-135.88356,483.446716,355.200989,-210.007797,103.865936,236.33287,-323.804474,52.590137,196.42485,-247.303314,64.873833,257.654999,160.463165,57.606842,214.737518,86.253868,65.754547,382.947296,49.052532,106.158699,364.462677,29.755322,508.284973
7,0,301.251709,-201.535217,997.284607,257.019745,63.495403,1018.030518,456.424957,-82.584976,1022.532959,450.950104,-14.118281,1023.052551,281.705536,-242.420929,513.82605,361.294159,-301.378662,98.729294,418.514343,-269.159058,81.649223,337.919678,139.85553,530.522095,373.822906,168.381912,119.404945,440.030853,120.364052,78.140312,272.564789,-135.871658,483.449707,355.164642,-209.981995,103.861328,236.325104,-323.79892,52.599892,196.413712,-247.285507,64.874649,258.197266,160.367599,57.660381,214.171799,86.457108,65.728157,382.907898,49.023075,106.134834,364.404419,29.756428,508.277283
8,0,301.304535,-201.612747,997.562256,256.922302,63.692539,1017.983093,456.484222,-82.606392,1022.529846,450.122467,-14.311128,1023.033875,281.668762,-242.457123,513.892578,360.672424,-301.06131,98.415924,418.51181,-269.15802,81.491684,337.895386,139.828354,530.528564,373.768372,168.360275,119.379837,440.071747,120.370613,78.133301,272.581421,-135.892044,483.460785,355.149994,-209.986496,103.881378,236.305237,-323.777466,52.560848,196.40802,-247.284241,64.874619,257.920258,160.270996,57.409927,214.666931,86.264641,65.698608,382.919678,49.000286,106.150566,364.383728,29.69853,508.297028
9,0,301.222015,-201.574982,997.13269,257.054321,63.441673,1018.109192,456.327087,-82.611847,1022.525879,450.11264,-14.313779,1023.050049,281.664795,-242.497391,513.892883,360.605133,-301.059296,98.425896,418.724854,-269.234009,81.760704,337.984955,139.765579,530.540344,373.79895,168.361969,119.389175,440.516571,120.408302,78.489967,272.592529,-135.901047,483.476379,355.135315,-210.085129,104.050262,236.321274,-323.767731,52.543804,196.431091,-247.296188,64.854393,258.221039,160.297897,57.647137,214.46701,86.447914,65.940262,382.879181,49.012554,106.217834,364.365356,29.718683,508.26889
10,0,300.938019,-201.130219,996.205322,256.952667,63.424236,1018.076172,456.32486,-82.613983,1022.536499,450.127716,-14.333325,1023.014771,281.651794,-242.471283,513.853394,361.207489,-301.39566,98.7435,418.49884,-269.190918,81.597275,337.866699,139.8004,530.553467,373.772369,168.375504,119.38369,440.059082,120.359489,78.129013,272.513763,-135.889206,483.482513,355.14325,-209.982712,103.866959,236.286591,-323.800323,52.583855,196.40947,-247.290649,64.881783,257.814148,160.343658,57.614571,214.48938,86.428513,65.914673,382.891998,49.026421,106.100594,364.316742,29.708891,508.305725
11,0,301.137817,-201.590378,996.9953,256.931854,63.393349,1018.060059,456.330261,-82.645508,1022.545105,450.084534,-14.352733,1023.003601,281.637177,-242.482147,513.87439,360.755341,-301.395477,98.491272,418.639648,-269.193298,81.663757,337.800293,139.807114,530.527832,373.777466,168.396896,119.385231,440.532227,120.42038,78.450493,272.51413,-135.89679,483.51297,355.134338,-209.99884,103.856583,236.347137,-323.784332,52.572254,196.3936,-247.293488,64.890388,257.976349,160.317444,57.598618,214.491592,86.447166,65.87693,382.776428,49.012592,106.140892,364.328186,29.731583,508.265137
12,0,301.131561,-201.589935,996.995422,256.906769,63.378899,1018.095825,456.298798,-82.657753,1022.544128,450.083191,-14.336222,1023.046509,281.629791,-242.468185,513.835449,360.483795,-301.085663,98.4077,418.595032,-269.214661,81.50383,337.870453,139.738907,530.551575,373.792053,168.398178,119.383972,440.112427,120.351387,78.109512,272.497803,-135.903366,483.479065,355.157745,-209.988647,103.898834,236.266907,-323.761719,52.575493,196.411118,-247.286133,64.868469,258.00473,160.279434,57.604088,214.433868,86.496132,65.882835,382.843414,49.022667,106.113708,364.282257,29.714434,508.266327
13,0,301.074341,-201.610657,996.985962,256.830688,63.40403,1018.074036,456.295929,-82.660515,1022.550354,450.067322,-14.369546,1023.005249,281.589966,-242.512833,513.900818,360.483429,-301.071075,98.436287,418.784637,-269.242676,81.834671,337.767609,139.788834,530.543335,373.768005,168.346909,119.385139,440.517639,120.414864,78.438087,272.465607,-135.906082,483.517212,355.132263,-210.024582,103.866447,236.350327,-323.690247,52.668648,196.426941,-247.290573,64.897743,258.106018,160.250336,57.44902,214.41745,86.492073,65.897537,382.771545,49.043549,106.174759,364.278473,29.715036,508.258881
14,0,301.07959,-201.643021,997.048706,256.839935,63.35733,1018.098206,456.131531,-82.662033,1022.565247,450.042358,-14.372178,1023.032898,281.59256,-242.532501,513.919495,360.493805,-301.097229,98.464264,418.721649,-269.240356,81.871231,337.901611,139.705612,530.568726,373.705872,168.325439,119.34549,440.112854,120.371826,78.113411,272.456635,-135.888046,483.500793,355.077209,-209.990112,103.893776,236.313675,-323.777954,52.588531,196.462265,-247.276398,64.892677,258.043335,160.183929,57.446636,214.594162,86.345932,65.718933,382.704956,49.024387,106.191612,364.259827,29.733549,508.282013
15,0,301.089111,-201.556107,996.459412,256.796326,63.369213,1018.045532,456.170319,-82.664948,1022.562622,449.983398,-14.371033,1023.032288,281.571075,-242.538605,513.915039,360.904419,-301.355621,98.692375,418.501495,-269.132782,81.453659,337.851654,139.737534,530.538391,373.754822,168.348618,119.377098,440.490997,120.419083,78.435181,272.42215,-135.916138,483.495453,355.154205,-210.010162,103.921097,236.272125,-323.785858,52.585777,196.419205,-247.273026,64.874611,258.035645,160.264816,57.617527,214.422745,86.461876,65.907928,382.767548,48.983513,106.186584,364.252258,29.715662,508.245239
16,0,301.034821,-201.662781,997.125732,256.772827,63.314041,1018.035278,456.167938,-82.664948,1022.592773,449.943878,-14.380584,1023.002747,281.562256,-242.527756,513.892029,360.953949,-301.363007,98.7034,418.473816,-269.148956,81.440582,337.88681,139.715149,530.541321,373.747925,168.349503,119.380203,440.120514,120.370232,78.108002,272.408051,-135.926987,483.476898,355.112549,-209.994965,103.8909,236.282074,-323.764587,52.58931,196.435776,-247.281525,64.913712,258.014709,160.266357,57.548859,214.586929,86.345268,65.776138,382.768677,49.012684,106.227516,364.236206,29.708063,508.256256
17,0,300.931305,-201.610962,997.000977,256.681763,63.351662,1017.997986,456.066467,-82.635422,1022.573608,449.906372,-14.373327,1023.022888,281.545776,-242.509003,513.871887,360.951202,-301.379395,98.71254,418.680176,-269.201904,81.719734,337.693756,139.789597,530.52771,373.740173,168.356125,119.381363,440.136841,120.362335,78.120338,272.374176,-135.931595,483.454895,355.107727,-210.01889,103.888016,236.32695,-323.784576,52.605705,196.434494,-247.280396,64.901299,257.965027,160.307724,57.628841,214.471451,86.444115,65.915031,382.745453,49.019283,106.24131,364.223572,29.702862,508.248077
18,0,300.89386,-201.579239,996.950378,256.720215,63.372776,1018.051758,455.947693,-82.64711,1022.604675,449.866608,-14.383213,1023.004761,281.528961,-242.519775,513.877808,360.505554,-301.05307,98.497627,418.577972,-269.222168,81.520149,337.859314,139.715775,530.553223,373.744171,168.348724,119.351303,440.125641,120.342094,78.089417,272.360046,-135.916077,483.497742,355.09848,-209.999634,103.892014,236.29393,-323.737122,52.579979,196.428833,-247.291626,64.911507,258.129822,160.229141,57.536095,214.437668,86.296211,65.53244,382.701324,49.034294,106.208557,364.222015,29.685244,508.279205
19,0,300.915802,-201.637711,997.295532,256.632721,63.382835,1017.995239,455.949829,-82.651344,1022.603638,449.849396,-14.3508,1023.042908,281.510681,-242.498276,513.873474,360.524689,-301.096405,98.485214,418.705475,-269.250153,81.888611,337.736359,139.74173,530.547363,373.761536,168.355804,119.369095,440.133789,120.355606,78.133263,272.352081,-135.920319,483.480011,355.114471,-210.029938,103.896454,236.294266,-323.784668,52.610329,196.431534,-247.296051,64.882141,257.996368,160.381683,57.544643,214.365768,86.489357,65.920113,382.760315,49.00938,106.179291,364.200714,29.736423,508.28363
