,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,251.313446,-201.703979,1043.43689,241.167206,57.432362,1022.274963,414.398926,-104.537346,1061.372192,414.033203,-18.08882,1054.583618,331.166473,-250.187302,531.827148,377.018372,-293.090759,100.069817,418.818787,-247.441086,70.91346,328.601501,97.612572,524.478455,391.670898,134.076126,98.849007,440.154572,77.975548,70.794121,344.29007,-150.006439,513.2005,353.17334,-211.299652,102.579285,233.385849,-323.758606,47.486084,212.021759,-239.964249,62.14222,263.737732,161.299316,53.099224,228.878922,85.655655,65.222374,367.990234,48.122147,105.866707,359.915131,0.303991,505.239838
2,0,251.371765,-202.431732,1044.143188,241.167633,57.409145,1022.276428,414.411377,-104.564285,1061.394775,414.076111,-18.134979,1054.591919,331.223877,-250.186417,531.792114,377.012268,-293.068176,100.069405,418.991608,-247.141251,70.971024,328.716125,97.570259,524.4422,391.204834,134.11586,99.006279,440.155548,77.978989,70.835609,344.352997,-149.972641,513.223083,353.152588,-211.279404,102.617294,233.405304,-323.800415,47.480583,211.980728,-239.951492,62.131474,263.74469,161.272156,53.068264,228.881378,85.643692,65.245041,367.980988,48.113129,105.879601,359.901581,0.244591,505.265533
3,0,251.366852,-202.497162,1044.149048,241.211029,57.29044,1022.301575,414.421906,-104.610306,1061.363037,414.053558,-18.161549,1054.634521,331.240631,-250.223999,531.83374,377.758484,-293.278107,100.705444,422.430725,-253.809326,67.379562,328.694092,97.620872,524.547974,391.008362,134.174042,98.792473,440.166412,77.960838,70.858505,344.365723,-150.035965,513.221741,353.162292,-211.274506,102.590271,233.400299,-323.745636,47.490688,211.997345,-239.919205,62.119396,263.77121,161.289627,53.08382,228.741272,85.62339,65.390739,367.949158,48.070049,105.846588,359.926727,0.234426,505.245697
4,0,251.216568,-202.483185,1044.07373,241.179535,57.269341,1022.259094,414.378296,-104.649864,1061.393799,414.017548,-18.231747,1054.604492,331.338348,-250.268372,531.869568,377.745422,-293.274811,100.706474,422.601685,-253.80481,67.363281,328.683533,97.513664,524.474243,391.802704,134.037735,98.923523,440.153839,77.930038,70.821205,344.439392,-150.026627,513.213806,353.137756,-211.287689,102.612923,233.405853,-323.785095,47.445568,211.702377,-239.731644,62.2925,263.755341,161.298187,53.101345,228.736649,85.638535,65.377708,367.982208,48.134277,105.857567,359.931671,0.160764,505.253326
5,0,251.199753,-202.496109,1044.050659,241.182602,57.242256,1022.275696,414.365753,-104.698082,1061.381348,413.984558,-18.274454,1054.626099,331.379517,-250.303452,531.843811,377.763245,-293.260925,100.69149,422.531982,-253.752884,67.43811,328.872925,97.446243,524.46167,391.269714,134.087753,99.049538,440.149078,77.941589,70.841995,344.47464,-150.052017,513.213928,353.162048,-211.28418,102.62709,233.399719,-323.772644,47.466465,211.995422,-239.945602,62.197124,263.803558,161.266098,53.076515,228.744873,85.620682,65.361168,367.874359,48.052303,105.843521,359.960724,0.132749,505.248962
6,0,251.141006,-202.550552,1044.249756,241.118088,57.208618,1022.267212,414.341492,-104.775505,1061.368408,414.961121,-18.180254,1054.67395,331.466919,-250.332123,531.854736,377.799194,-293.242584,100.760872,422.57547,-253.766357,67.437798,328.892273,97.463127,524.50946,391.624786,134.016998,98.893707,440.149261,77.920563,70.843803,344.580261,-150.10788,513.262756,353.171967,-211.266296,102.623932,233.397812,-323.7453,47.524689,211.670868,-239.776581,62.222244,263.804382,161.267441,53.09523,228.754028,85.626007,65.360168,367.907776,48.146069,105.824287,360.030487,0.080011,505.271362
7,0,251.127487,-202.292694,1043.94458,241.110596,57.177982,1022.240906,414.336487,-104.826004,1061.373657,414.90448,-18.229479,1054.702515,331.478394,-250.378036,531.897217,377.034241,-293.040619,100.083977,418.803864,-247.545166,70.858948,328.909607,97.354034,524.458008,391.401001,134.067902,98.837326,440.157288,77.905739,70.824371,344.602234,-150.095551,513.228882,353.190887,-211.300552,102.582191,233.354965,-323.767242,47.510666,211.971344,-239.968811,62.148506,263.843933,161.251907,53.05471,228.751923,85.637352,65.361626,368.508026,47.764679,106.177216,360.036713,0.03103,505.292297
8,0,251.194534,-202.477814,1043.865234,241.085129,57.132175,1022.232056,414.278687,-104.874969,1061.367798,413.967255,-18.417307,1054.636353,331.582886,-250.423401,531.97406,377.042938,-293.033936,100.087708,418.871124,-247.782028,70.819702,328.91156,97.368484,524.522034,391.591339,133.958298,98.904778,440.170288,77.904907,70.866646,344.731201,-150.203598,513.224426,353.196381,-211.299133,102.604721,233.370758,-323.772888,47.532291,211.941284,-239.963531,62.123837,263.850433,161.234039,53.075222,228.876709,85.642998,65.232292,367.826843,48.130646,105.88414,360.094269,0.001232,505.287476
9,0,251.145966,-202.662964,1044.233643,241.064056,57.088623,1022.199646,414.257721,-104.99221,1061.171143,414.675629,-18.310976,1054.698242,331.666199,-250.481155,531.94989,377.06134,-293.03772,100.071075,418.937012,-247.103104,70.992851,328.965668,97.394234,524.497314,391.684052,133.904266,98.930496,440.152588,77.88694,70.835068,344.824921,-150.287491,513.179749,353.18219,-211.293457,102.642426,233.338287,-323.758606,47.557281,211.876465,-239.943512,62.127483,263.845123,161.253754,53.075165,228.772797,85.637238,65.336487,367.889587,48.166756,105.900391,360.180786,-0.031291,505.242401
10,0,251.061951,-202.796677,1044.144897,241.266373,56.863895,1022.130371,414.201294,-105.061989,1061.172119,414.690094,-18.363306,1054.675049,331.678802,-250.515488,532.057068,377.110077,-293.022308,100.115234,418.881073,-247.998322,70.799637,329.061676,97.353531,524.466919,391.381653,134.001968,99.07579,440.197296,77.86528,70.823158,344.911926,-150.278915,513.188599,353.20343,-211.308395,102.628677,233.361282,-323.793671,47.52914,211.803818,-239.888031,62.166183,263.845703,161.249573,53.082233,228.794968,85.623795,65.328445,367.849213,48.126984,105.911324,360.265381,-0.062117,505.272339
11,0,251.030624,-202.755081,1044.083374,241.239731,56.875065,1022.12146,414.188416,-105.09877,1061.177002,414.572449,-18.449106,1054.660889,331.771667,-250.525772,532.043152,377.073914,-293.03064,100.090309,418.871735,-247.366531,70.991249,329.09024,97.38327,524.517578,390.966492,134.080338,98.864677,440.220276,77.816299,70.774666,345.042969,-150.387161,513.195618,353.222717,-211.325531,102.660812,233.303162,-323.779663,47.555824,211.68364,-239.824448,62.319645,263.893433,161.210892,53.032394,228.814865,85.6297,65.329041,367.869995,48.160725,105.890182,360.320099,-0.134082,505.263855
