,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,254.784531,-215.630798,1048.103027,246.493423,41.688648,1029.004639,417.190643,-121.660309,1062.510742,416.85379,-31.615973,1056.735962,340.604645,-263.319061,533.103516,381.474304,-293.489777,98.536842,420.53949,-248.613235,66.445236,333.083557,87.785187,522.885559,385.373138,124.56572,98.359917,427.490509,63.690044,69.983849,345.033142,-161.350021,515.896423,348.509521,-215.949005,105.361816,238.836578,-335.755615,46.455959,211.915848,-254.521103,65.429123,258.840363,166.4198,50.753838,219.09906,92.043793,66.514923,353.175568,42.114326,104.970627,356.136353,-11.093294,503.983246
2,0,255.298935,-215.939529,1048.231201,246.624176,41.642498,1029.001099,417.309204,-121.640167,1062.53479,416.875977,-31.609711,1056.79248,340.596924,-263.347992,533.157654,381.486267,-293.504181,98.533363,420.375183,-248.521133,66.361397,333.131775,88.089523,523.954773,385.430725,124.664513,98.341499,427.47522,63.726604,69.983643,345.075928,-161.401413,515.959412,348.489258,-215.935089,105.17469,238.868912,-335.777832,46.449623,211.886169,-254.519485,65.442574,259.089844,166.341263,51.008652,218.967575,92.00528,66.65506,353.215668,42.116173,104.946609,356.166809,-11.054257,503.947449
3,0,255.542938,-215.964935,1048.215454,246.7117,41.580425,1029.021729,417.41806,-121.613701,1062.540161,417.242645,-31.588469,1056.6521,340.674683,-263.366058,533.145935,381.488129,-293.523956,98.552719,420.866028,-248.732208,66.422546,332.758209,89.013252,523.820679,385.447876,124.636269,98.314461,427.461975,63.744476,69.998825,345.100952,-161.427307,515.977356,348.559601,-215.996429,105.396645,238.849319,-335.74295,46.450626,211.89093,-254.400101,65.608582,259.094849,166.312805,50.963497,218.955353,92.008514,66.678497,353.240051,42.166725,104.994514,356.181366,-11.025449,503.97879
4,0,255.753494,-215.985184,1048.190308,246.801514,41.568787,1029.039795,417.57663,-121.593925,1062.578979,417.136047,-31.541723,1056.806519,340.706696,-263.415161,533.148926,381.455566,-293.527069,98.514923,420.448853,-248.505249,66.391083,334.312378,87.271759,523.674072,385.382568,124.607475,98.29673,427.480133,63.781677,69.960205,345.149078,-161.522812,516.021729,348.46347,-215.9561,105.153328,238.858643,-335.764008,46.447315,211.871613,-254.426956,65.534149,259.105896,166.330872,51.009346,219.115768,92.023979,66.518585,353.209473,42.140312,104.963097,356.216919,-10.991231,503.988495
5,0,256.026276,-215.857651,1048.043945,246.853195,41.53104,1029.016113,417.741974,-121.579994,1062.619385,417.490021,-31.514688,1056.652344,340.731903,-263.467316,533.228149,381.802246,-293.811005,98.548981,420.533661,-248.609436,66.407738,332.955688,87.859131,522.976257,385.382599,124.690842,98.299042,427.472198,63.78355,69.976181,345.137177,-161.515793,516.038269,348.460968,-215.97435,105.17971,238.86998,-335.796021,46.454102,211.934479,-254.407578,65.611946,258.829224,166.427994,50.786617,219.127838,92.022995,66.532326,353.179596,42.178249,104.973412,356.231934,-10.985194,503.998413
6,0,255.906647,-215.932358,1047.872559,246.936142,41.500004,1029.022827,417.843109,-121.590439,1062.634888,417.588745,-31.533159,1056.683838,340.758514,-263.526215,533.18866,381.780182,-293.814026,98.565544,420.779572,-248.65271,66.363968,333.078522,87.85273,522.974976,386.063599,124.956215,98.615662,427.541168,63.805603,69.967964,345.127777,-161.548065,515.994995,348.515594,-215.930618,105.357841,238.873795,-335.786041,46.434959,211.919693,-254.508728,65.424393,258.819733,166.430313,50.7906,219.035797,92.005989,66.651909,353.225311,42.174103,105.013695,356.268829,-10.935787,504.000977
7,0,256.402435,-215.970062,1048.062378,247.029266,41.387676,1029.048828,418.050354,-121.575104,1062.655518,417.672333,-31.516682,1056.688477,340.882111,-263.544189,532.966431,381.766632,-293.815247,98.567497,420.697388,-248.711792,66.416656,334.244537,87.423203,523.669617,385.470734,124.729561,98.407036,427.620605,63.818111,69.972496,345.243256,-161.524475,515.55011,348.481476,-215.944489,105.125664,238.874344,-335.79007,46.441395,212.169418,-254.489212,65.570633,259.107269,166.358002,50.995697,219.065903,92.008301,66.651497,353.18103,42.239674,104.909142,356.315704,-10.892335,504.0242
8,0,256.011475,-215.819107,1047.803589,247.071152,41.377754,1029.019775,418.168915,-121.541718,1062.707642,417.670044,-31.494434,1056.876465,340.903107,-263.612976,533.234497,381.741547,-293.836914,98.545486,420.728973,-248.710388,66.414352,334.259552,87.437096,523.758057,385.993774,124.92968,98.72171,427.624542,63.833908,69.979813,345.199585,-161.611328,516.001099,348.564423,-215.974899,105.365227,238.888351,-335.780121,46.438629,211.990829,-254.471954,65.592964,259.148743,166.350189,50.967667,219.114792,91.981621,66.658829,352.952423,42.262146,104.948135,356.405884,-10.899428,504.029816
9,0,256.249023,-216.20015,1048.511963,247.064651,41.315609,1029.03186,418.279114,-121.542046,1062.738281,417.821014,-31.456829,1056.878418,341.039703,-263.695068,532.847717,381.708252,-293.84729,98.587868,420.520477,-248.528397,66.398285,333.119171,87.881348,523.326233,385.542206,124.848854,98.412544,427.664673,63.850441,69.968948,345.26178,-161.623474,515.596619,348.57962,-215.986038,105.371239,238.885849,-335.803864,46.469254,211.923431,-254.477768,65.577034,258.872559,166.422913,50.778584,219.08699,91.991188,66.655403,354.030792,41.631321,105.856041,356.420929,-10.884665,504.068909
10,0,256.415527,-216.254684,1048.404541,247.09726,41.219769,1029.008179,418.390106,-121.540726,1062.793579,417.89856,-31.423639,1056.96106,341.076385,-263.721466,532.829224,381.747711,-293.864563,98.553024,420.913666,-248.734406,66.521835,333.128235,87.881676,523.405212,385.548553,124.936043,98.277206,427.740814,63.85593,69.958328,345.318115,-161.802521,516.047363,348.54184,-216.016296,105.164894,238.903946,-335.832275,46.486675,212.237534,-254.570953,65.512917,259.128265,166.341751,50.957111,219.215332,91.990463,66.570503,353.228149,42.146397,105.109917,356.468506,-10.841297,504.078857
