,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,257.701691,-211.989426,1044.918335,244.421036,43.856323,1022.615417,420.319244,-114.221169,1063.704834,418.056488,-26.617489,1057.237793,335.383453,-257.154327,531.906006,378.644073,-297.009491,99.63591,421.720703,-252.88063,70.694443,322.510803,87.336922,523.336365,380.916229,131.185364,99.477196,433.903107,78.077606,71.15213,350.021423,-157.711472,514.334717,356.922638,-215.378357,103.111839,234.600235,-324.500397,47.432438,214.576431,-240.366119,62.376701,251.994705,152.910217,52.568752,221.232971,74.925461,65.32193,363.51886,43.354542,104.768051,357.325226,-9.787444,503.735901
2,0,257.913147,-212.119431,1045.00769,244.684219,43.807762,1022.949219,420.477173,-114.287071,1063.685059,418.247101,-26.708038,1057.165649,335.226807,-257.256683,531.894592,379.293701,-297.312897,100.008484,425.171265,-259.092468,67.332542,322.511566,87.239204,523.299622,380.94696,131.168503,99.483421,433.846985,78.119751,71.20385,349.912628,-157.732697,514.3526,356.945648,-215.404022,103.141579,234.609497,-324.483551,47.406963,214.630371,-240.501221,62.207066,251.993271,152.892624,52.511562,221.232346,74.930008,65.31311,363.611877,43.334343,104.779877,357.284637,-9.816063,503.717957
3,0,258.060211,-212.154617,1045.021118,244.854507,43.812119,1022.70459,420.646088,-114.35672,1063.657349,419.278351,-26.552666,1057.148315,335.064728,-257.297211,531.880127,379.269348,-297.384888,100.022476,425.241821,-259.091003,67.331902,322.779602,86.599754,524.008545,380.962738,131.135056,99.564529,433.867798,78.103378,71.141342,349.719971,-157.745605,514.338684,356.999359,-215.464661,103.127243,234.644836,-324.486908,47.422321,214.626923,-240.364655,62.425404,251.982208,152.918228,52.543266,221.230225,74.948082,65.315887,363.660767,43.254868,104.746574,357.249939,-9.877026,503.728271
4,0,258.285187,-212.182465,1045.141357,245.106567,43.803509,1023.003845,420.845673,-114.426857,1063.67749,418.652252,-26.8706,1057.138062,334.835815,-257.313904,531.896973,379.245178,-297.428223,100.023109,425.207123,-259.102234,67.247643,322.653381,87.043823,523.273132,380.99765,131.144257,99.546333,433.734802,78.14167,71.094543,349.503296,-157.718918,514.379944,357.010956,-215.465012,103.110916,234.605164,-324.490784,47.430515,214.670486,-240.397186,62.38937,251.973541,152.910873,52.532486,221.223679,74.943619,65.31665,363.692383,43.266052,104.761627,357.18985,-9.954115,503.723328
5,0,258.491028,-212.249786,1045.179077,245.312607,43.783016,1023.064514,421.084229,-114.487236,1063.654541,418.880676,-26.949184,1057.169434,334.653259,-257.284363,531.821228,379.198669,-297.481659,100.039963,425.216675,-259.237,67.399353,322.544067,87.156746,523.274841,380.955017,131.178909,99.527634,433.804993,78.118164,71.145729,349.307434,-157.673264,514.348816,357.009583,-215.446869,103.146324,234.580994,-324.499603,47.45372,214.71431,-240.389038,62.370174,251.980804,152.924911,52.561932,221.206863,74.95076,65.34903,363.498901,43.413082,104.76506,357.183594,-10.008713,503.722839
6,0,258.788391,-212.294846,1045.23938,245.536148,43.783642,1023.133606,421.319397,-114.545013,1063.636719,419.908325,-26.805326,1057.16687,334.422577,-257.263184,531.966614,378.506378,-297.315552,99.695831,421.634064,-253.544601,70.628906,322.62204,87.085793,523.257141,380.946228,131.197449,99.515259,433.846222,78.106308,71.193405,349.078766,-157.593658,514.410278,356.762207,-215.448364,102.926727,234.564072,-324.48111,47.479668,214.674637,-240.36673,62.388042,252.015167,152.890167,52.511055,221.220306,74.93808,65.324005,363.399902,43.409874,104.815163,357.18338,-10.044497,503.721771
7,0,258.929779,-212.430542,1045.274658,245.768906,43.726612,1023.171082,421.562958,-114.56971,1063.637939,420.082703,-26.890865,1057.22998,334.16037,-257.198242,532.021973,379.102478,-297.585938,100.100021,425.315948,-259.311188,67.379761,322.709686,87.022385,523.268738,381.174072,131.074738,99.773026,433.725006,78.1474,71.200623,348.784698,-157.520416,514.413391,357.001343,-215.404526,103.071289,234.522919,-324.480225,47.504017,214.696121,-240.344177,62.40667,252.016785,152.922119,52.533493,221.211685,74.963234,65.324104,362.599396,43.841633,105.058807,357.260132,-10.065259,503.673553
8,0,259.038452,-212.488205,1045.346802,246.031296,43.70089,1023.225281,421.818329,-114.653534,1063.632812,420.289398,-26.960533,1057.212524,334.009888,-257.143921,531.902588,378.05368,-297.058807,99.747231,421.733429,-253.262161,70.743492,322.798248,87.139854,523.292969,380.987793,131.163162,99.562012,435.279999,78.082626,72.020348,348.54599,-157.482056,514.408508,356.946136,-215.404297,103.082542,234.513794,-324.447113,47.506886,214.651718,-240.319839,62.363846,252.073013,152.930237,52.528263,221.230835,74.962692,65.328362,362.585114,43.900597,105.054474,357.353943,-10.109124,503.702393
9,0,259.339417,-212.525986,1045.473022,246.21637,43.679535,1023.25061,422.251678,-114.581795,1063.450073,420.461487,-27.012682,1057.305664,333.804291,-257.064178,531.881897,377.987701,-297.047638,99.773354,421.685883,-253.702377,70.584991,322.935028,87.095848,523.205078,381.01593,131.241638,99.57708,433.826202,78.151588,71.165535,348.28891,-157.432907,514.400391,356.741028,-215.404785,102.885056,234.49765,-324.437775,47.528854,214.68129,-240.292007,62.416847,252.082413,152.915634,52.491726,221.218384,75.012329,65.349266,362.58844,43.932453,105.104492,357.382721,-10.173242,503.721008
10,0,259.505737,-212.615799,1045.440186,246.453918,43.625694,1023.516418,422.45166,-114.652077,1063.419922,421.135651,-27.105352,1057.387939,333.546234,-256.956482,532.014343,377.936981,-297.065491,99.797081,421.661041,-254.142136,70.60479,323.984985,86.359787,523.677856,381.014862,131.244019,99.544014,435.154785,78.12101,71.830429,347.536011,-156.866989,514.656799,357.03656,-215.039062,102.969589,234.480713,-324.438049,47.543449,214.675964,-240.266907,62.381676,252.095581,152.943604,52.496647,221.232224,75.010674,65.36161,362.569214,44.013062,105.056206,357.469238,-10.214597,503.700958
11,0,259.690857,-212.690918,1045.476929,246.607559,43.632149,1023.536438,422.654297,-114.712357,1063.711426,421.361633,-27.156633,1057.384644,333.395142,-256.852051,531.842651,377.879364,-297.078522,99.854134,421.734314,-253.869324,70.469849,323.710144,86.443779,524.106018,381.271698,131.173553,99.758713,434.162781,78.071648,71.213005,347.660248,-157.094604,514.401611,356.921814,-215.28038,103.012428,234.488251,-324.442932,47.603771,214.605682,-240.245926,62.388298,252.14299,152.924713,52.486122,221.26799,75.005013,65.353615,362.617615,44.004581,105.040993,357.547119,-10.206775,503.63623
12,0,259.974182,-212.754471,1045.586914,246.807144,43.535042,1023.532837,422.831207,-114.771881,1063.659058,421.159454,-27.16099,1057.359863,333.246796,-256.802582,531.838806,377.824188,-297.056,99.880585,421.685852,-253.975815,70.674759,323.843414,86.694603,523.781494,381.183136,131.219086,99.588867,434.185486,78.119064,71.212555,347.338684,-156.955231,514.48645,356.895447,-214.980484,102.904922,234.413483,-324.404755,47.586941,214.724548,-240.268234,62.396793,252.122559,152.941238,52.4865,221.295624,75.014755,65.37867,362.581116,44.060585,105.09478,357.608215,-10.224009,503.646301
13,0,260.132324,-212.742279,1045.753662,247.01915,43.412727,1023.375244,422.995483,-114.776627,1063.692749,421.331696,-27.188593,1057.38855,333.034698,-256.722473,531.567932,377.78302,-297.050293,99.940681,421.749908,-254.223526,70.613098,323.953125,86.671333,523.775513,381.137878,131.229111,99.598419,434.221283,78.085114,71.209892,347.024323,-156.80307,514.490601,356.964478,-214.939651,102.924179,234.400742,-324.367828,47.613068,214.618927,-240.218658,62.373783,252.120377,152.940414,52.51075,221.317856,74.981857,65.386833,362.510681,44.042664,105.143852,357.589691,-10.305199,503.650421
14,0,260.40567,-212.873154,1045.679077,247.192017,43.333145,1023.392822,423.247711,-114.800179,1063.689697,421.589569,-27.185137,1057.415405,332.889038,-256.68338,531.712891,377.760529,-297.05957,99.917526,421.735931,-252.781128,70.854576,324.009857,86.534851,524.20343,381.166229,131.220947,99.667671,434.326996,78.075066,71.265137,346.72818,-156.688644,514.467957,356.842896,-215.162231,102.952614,234.400803,-324.36911,47.583134,214.654114,-240.25737,62.397408,252.133041,152.961197,52.530235,221.301056,75.023064,65.401009,362.502289,44.099823,105.077866,357.585663,-10.382439,503.654968
15,0,260.652679,-212.897705,1045.78125,247.438324,43.185009,1023.399231,423.514465,-114.837059,1063.778442,421.810944,-27.194864,1057.409424,332.776672,-256.643036,531.725647,377.758698,-297.064484,99.940704,421.629059,-253.675018,70.589043,323.866882,86.801552,523.591003,381.194611,131.256241,99.622101,434.084015,78.081032,71.129639,346.421448,-156.578384,514.502991,356.870148,-214.9216,102.834785,234.437561,-324.379364,47.640976,214.600311,-240.208939,62.398109,252.156052,152.946518,52.489269,221.323257,75.020676,65.404221,362.482117,43.951633,105.137985,357.694458,-10.476049,503.680878
