,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,269.434601,-205.141296,1044.746948,253.422379,55.575516,1021.108887,429.989807,-105.589478,1060.772949,427.847992,-17.73143,1054.091553,334.864014,-249.979492,530.453979,377.079315,-297.083252,100.305542,424.933655,-262.070343,67.635826,330.470184,100.232697,521.523438,383.479309,159.911057,112.3004,441.577179,90.792061,70.922569,354.34436,-150.680954,512.569458,360.285431,-213.41214,101.169205,231.674164,-316.547028,47.892048,216.373016,-231.265579,61.418861,258.052826,160.684296,52.054352,229.076904,83.065475,66.27179,374.230133,39.418121,109.108101,367.481567,1.963518,503.902313
2,0,269.288513,-205.251831,1044.473511,253.40271,55.412167,1021.054382,430.040344,-105.67971,1060.787231,427.765625,-17.82461,1054.085327,335.171143,-249.80513,529.904175,377.125092,-297.142273,100.287193,424.875458,-262.078217,67.618477,330.474945,100.095795,521.541992,384.320892,159.809967,113.036789,441.586304,90.766235,70.903831,354.273346,-150.761688,512.593567,360.149597,-213.508759,100.982437,231.702148,-316.599396,47.934807,216.732254,-231.458969,61.434494,258.048859,160.686646,52.052525,229.119064,83.057297,66.263786,374.277832,39.388874,109.093613,367.493011,1.899291,503.893616
3,0,269.453735,-205.330597,1044.453003,253.388611,55.267212,1020.98822,430.089813,-105.763184,1060.801025,427.889923,-17.891338,1054.094238,335.235657,-249.957352,529.654846,377.122559,-297.192657,100.282036,424.88031,-262.104614,67.632332,330.511841,99.995026,521.509277,383.483307,159.878098,112.297958,441.651245,90.679543,70.888062,354.252625,-150.892166,512.616699,360.184662,-213.549286,100.98909,231.691315,-316.614655,47.883514,216.083649,-231.156219,61.469849,258.052673,160.670654,52.068901,229.120804,83.043724,66.252937,374.273712,39.358318,109.09201,367.503418,1.808727,503.874115
4,0,269.505768,-205.667114,1044.808228,253.629181,54.914978,1020.89502,430.198242,-105.850655,1060.812256,427.897247,-17.992458,1054.096924,335.063751,-250.276123,530.327698,377.147583,-297.210815,100.257401,424.939575,-262.154968,67.584503,330.510529,99.937981,521.503052,383.508179,159.878677,112.316124,441.552795,90.789207,70.929871,354.200287,-150.939316,512.634338,360.204773,-213.556442,101.00145,231.673843,-316.609314,47.869038,216.704819,-231.50853,61.422726,258.072083,160.664841,52.098755,229.110214,83.051834,66.251556,374.296021,39.375607,109.058701,367.532349,1.706196,503.866089
5,0,269.546417,-205.947418,1045.021606,253.486389,54.922909,1020.892517,430.181854,-105.94976,1060.833496,428.016479,-18.069727,1054.111694,335.066711,-250.371338,530.387024,377.666107,-297.703644,100.661888,424.851105,-262.141479,67.516022,330.431122,99.911446,521.033752,383.51474,159.865173,112.323387,441.568726,90.759178,70.934502,354.13678,-151.003479,512.632812,360.209656,-213.579605,101.008598,231.699921,-316.624207,47.862652,216.379166,-231.324936,61.479397,258.045074,160.680252,52.060204,229.110779,83.04261,66.2994,374.356842,39.323372,109.105125,367.539246,1.651128,503.842468
6,0,269.765869,-205.932983,1044.848267,253.782578,54.535542,1020.878662,430.328339,-106.031982,1060.897339,428.015137,-18.216639,1054.131226,335.106445,-250.420776,529.936523,377.711945,-297.729095,100.697891,424.897827,-262.176666,67.526688,330.607178,99.796387,521.421509,383.568359,159.87384,112.374908,441.557953,90.731079,70.850487,354.048523,-151.029037,512.67981,360.201233,-213.621506,101.043732,231.679016,-316.671387,47.880116,216.484787,-231.372238,61.585823,258.028961,160.675034,52.085796,229.126648,83.030746,66.232841,374.305939,39.344593,109.085701,367.663605,1.590553,503.74173
7,0,269.815094,-206.271713,1045.119385,253.56015,54.668602,1020.904419,430.368896,-106.128212,1060.944702,428.158417,-18.30159,1054.167114,335.06424,-250.448639,530.232361,377.751404,-297.810181,100.667831,424.825195,-262.167938,67.500679,330.567871,99.764091,521.356995,383.522247,159.871826,112.356308,441.559662,90.776321,70.921112,353.947845,-151.073029,512.697815,360.243713,-213.642441,101.028252,231.681976,-316.65033,47.868774,216.773788,-231.537811,61.560055,258.066589,160.639679,52.062984,229.105789,83.019585,66.244286,374.312866,39.346947,109.072205,367.736145,1.488511,503.729034
8,0,269.989532,-206.408569,1045.145752,253.636002,54.55101,1020.867126,430.436798,-106.2034,1061.034668,428.082367,-18.425442,1054.227051,335.02774,-250.4879,530.253418,377.739441,-297.893127,100.655006,424.85614,-262.252563,67.45079,330.701843,99.712303,521.37146,383.532349,159.837921,112.338966,441.505371,90.806801,70.905365,353.810974,-151.113373,512.722473,360.215942,-213.727859,101.044197,231.703979,-316.652374,47.879333,216.735748,-231.581375,61.576607,258.064972,160.649002,52.111412,229.099579,83.028404,66.24649,374.349121,39.336784,109.084984,367.829285,1.408041,503.770355
9,0,270.084412,-206.534561,1045.173462,253.779419,54.430725,1020.759216,430.532501,-106.280937,1061.083984,427.735291,-18.669714,1054.241211,334.903625,-250.57724,530.280701,377.359161,-297.592072,100.338013,424.829773,-262.289398,67.462402,330.708466,99.663864,521.435181,383.605713,159.856064,112.352127,441.509827,90.801865,70.90873,353.671234,-151.069901,512.683655,360.208832,-213.737396,101.052513,231.701965,-316.647491,47.848625,216.800247,-231.615753,61.557434,258.070892,160.640335,52.097717,229.09285,83.047661,66.228127,374.276093,39.340534,109.050224,367.876526,1.336259,503.762054
10,0,270.233734,-206.632629,1045.256348,253.865097,54.324673,1020.720703,430.623535,-106.347244,1061.168213,427.797699,-18.761293,1054.289551,334.777344,-250.607819,530.157898,377.350037,-297.693787,100.382233,424.903809,-262.346588,67.459091,330.489716,99.653351,521.070557,383.592194,159.814011,112.346436,441.478058,90.78421,70.909874,353.536804,-151.102921,512.698425,360.24942,-213.76387,101.085907,231.715561,-316.656189,47.865467,216.31131,-231.367706,61.63176,258.053894,160.616531,52.091042,229.101242,83.01284,66.23954,374.267181,39.358391,109.045654,367.936798,1.258577,503.755402
