,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,268.639282,-194.721313,1043.512207,261.697876,65.879982,1023.202881,433.502289,-100.00679,1061.538208,433.931152,-11.962298,1056.180054,327.569672,-242.063904,530.677246,370.419159,-291.932129,101.159462,417.440704,-255.10881,67.43972,331.444946,108.435211,522.0849,381.162659,162.385071,112.293083,436.507751,90.431595,70.536392,344.376984,-141.126511,511.979034,351.944824,-207.947067,102.303413,225.128021,-312.708954,47.632893,208.622025,-227.926743,62.368458,255.249207,166.408386,51.926476,223.745193,90.981918,66.756248,368.104919,42.37817,110.404366,365.460846,8.429279,505.191803
2,0,268.615204,-194.667572,1043.43811,261.676025,65.922546,1023.2099,433.525818,-99.938911,1061.525269,433.767151,-11.899975,1056.190063,327.584351,-242.011917,530.619873,370.443512,-291.938049,101.170319,417.62793,-255.364899,67.034225,331.720673,108.631683,522.819092,381.16806,162.401169,112.315834,436.505219,90.410393,70.508873,344.290985,-141.012131,512.027039,351.933472,-207.956772,102.276901,225.624115,-312.751923,47.50742,208.653961,-227.961746,62.278255,255.236862,166.426468,51.925957,223.864578,90.94976,66.615082,368.131195,42.35173,110.43,365.388885,8.489655,505.249725
3,0,268.673767,-194.621552,1043.631714,261.621918,65.949776,1023.25415,433.522888,-99.777405,1061.744385,433.894501,-11.809503,1056.161377,327.485748,-241.962524,530.643921,370.763763,-292.074066,101.205811,417.336609,-255.265152,67.204262,331.64151,108.685516,522.909058,381.155334,162.400116,112.326355,436.509613,90.411385,70.50782,344.17923,-140.95462,512.02002,351.930023,-207.951691,102.302773,225.614853,-312.730042,47.483082,208.671173,-227.96521,62.336605,255.246765,166.422546,51.909889,223.873352,90.94175,66.581551,368.138,42.349876,110.411652,365.367035,8.517203,505.216766
4,0,268.448425,-194.66037,1043.863037,261.517944,66.05545,1023.337219,433.52063,-99.6838,1061.747314,433.92926,-11.718632,1056.205688,327.412262,-241.903702,530.666809,370.421143,-291.914398,101.187935,417.442383,-255.26828,67.219765,331.598175,108.724121,522.940552,381.151459,162.442825,112.270805,436.32486,90.741676,70.356667,344.064667,-140.864059,511.993103,351.920502,-207.929321,102.277702,225.607483,-312.742249,47.494434,209.090851,-228.020294,62.319572,255.220139,166.410355,51.883224,223.725967,90.963951,66.77005,368.072571,42.382637,110.378944,365.3349,8.548454,505.229248
5,0,268.6716,-194.557205,1043.505127,261.437225,66.141518,1023.346924,433.538116,-99.624794,1061.753052,433.659821,-11.681049,1056.234619,327.363373,-241.880661,530.645935,370.391052,-291.932831,101.195549,417.357208,-255.176224,67.321671,331.546875,108.67514,522.806702,381.142273,162.423691,112.294334,436.489502,90.414429,70.504753,343.978973,-140.843063,512.003418,351.931641,-207.906479,102.338158,225.642242,-312.752136,47.488132,208.6595,-227.955795,62.329479,255.21553,166.414352,51.902798,223.870041,90.941643,66.602821,368.072968,42.367214,110.390991,365.32663,8.562424,505.266174
6,0,268.704285,-194.578293,1043.623657,261.370972,66.207413,1023.374939,433.54245,-99.55555,1061.711304,433.785706,-11.643023,1056.14856,327.366119,-241.818283,530.625854,370.723358,-292.069489,101.220787,417.530457,-255.120987,67.43483,331.53186,108.828987,522.917542,381.099701,162.406372,112.245468,436.34552,90.712288,70.368935,343.928192,-140.778915,511.99704,351.905396,-207.909576,102.280952,225.645996,-312.75238,47.459122,208.61911,-228.044708,62.212883,255.262436,166.407867,51.923744,223.847153,90.940948,66.657402,368.062134,42.38937,110.365128,365.286774,8.580495,505.314758
7,0,268.722321,-194.673035,1044.005371,261.375427,66.223633,1023.37146,433.569092,-99.495811,1061.664185,433.552521,-11.60103,1056.239136,327.27655,-241.777542,530.711792,370.437256,-291.950592,101.199768,417.388977,-255.246429,67.172005,331.5401,108.749176,522.812805,381.15274,162.426315,112.28344,436.447662,90.426537,70.437721,343.906525,-140.741608,511.993835,351.877441,-207.891006,102.315842,225.627396,-312.77478,47.475296,208.59993,-227.965942,62.318253,255.283798,166.373535,51.893131,223.738098,90.93763,66.769279,368.051575,42.388729,110.368774,365.277496,8.618849,505.319641
8,0,268.354706,-194.493347,1044.094727,261.1828,66.466576,1023.684265,433.576904,-99.414635,1061.673828,433.860596,-11.506988,1056.193726,327.32251,-241.704666,530.635864,370.723297,-292.069885,101.225777,417.361023,-255.224472,67.197594,331.207214,108.705597,522.099854,381.161743,162.419327,112.253105,436.310699,90.729927,70.32106,344.124817,-141.205673,512.086487,351.901825,-207.910385,102.280685,225.25354,-312.771484,47.626141,208.627045,-227.958969,62.363342,255.264938,166.392883,51.903954,223.700684,90.934433,66.774902,368.071228,42.405674,110.338417,365.327148,8.665137,505.305237
9,0,268.753204,-194.303497,1043.771118,261.275909,66.317566,1023.43927,433.600372,-99.339455,1061.659424,434.018799,-11.419528,1056.227661,327.277618,-241.694519,530.635254,370.418945,-291.964508,101.224525,417.77951,-255.329544,66.775146,331.44043,108.830574,522.787476,381.122742,162.435104,112.209274,436.467804,90.469849,70.480835,344.060486,-141.093704,512.149963,351.904327,-207.892029,102.34919,225.261597,-312.753754,47.600224,208.574722,-228.027756,62.263058,255.269882,166.411301,51.917965,223.695282,90.950394,66.804253,368.013031,42.417873,110.343056,365.259735,8.652669,505.408691
10,0,268.438904,-194.383926,1043.872559,261.230438,66.385811,1023.453369,433.640839,-99.296486,1061.659424,433.909851,-11.390565,1056.231201,327.238007,-241.653503,530.621033,370.433838,-291.969086,101.235954,417.333984,-255.207504,67.138031,331.203125,108.770836,522.198669,381.143372,162.436371,112.269958,436.427673,90.480515,70.414612,343.571838,-140.305618,512.083496,351.895996,-207.83696,102.34565,225.666336,-312.787933,47.484322,208.510651,-227.975128,62.35041,255.318726,166.381134,51.885277,223.692291,90.976891,66.822311,368.035248,42.413593,110.337952,365.320801,8.713437,505.345337
