,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,200.987503,-216.061722,926.710938,221.996078,38.569172,924.462097,388.141602,-128.990799,968.810486,395.316711,-48.981178,961.207336,284.457947,-260.830872,491.214539,369.217407,-289.975739,97.168304,414.382416,-249.475403,75.45166,288.980957,83.654465,481.077209,378.378021,128.986847,101.557571,415.126923,81.774872,70.888321,288.045563,-169.332321,478.993683,344.797272,-210.077072,103.840363,248.152725,-314.733063,49.85627,210.760162,-253.52829,59.976444,260.792114,170.18779,53.149174,216.143295,113.12561,62.080692,344.411652,53.73819,98.122925,284.89502,-10.292236,466.412872
2,0,200.967499,-216.06691,926.728088,221.972412,38.608303,924.47113,388.137604,-128.980621,968.848328,395.236267,-48.98819,961.240784,284.46991,-260.84668,491.230743,369.204315,-289.972412,97.18428,414.369629,-249.431335,75.472168,288.935211,83.663643,481.070099,378.407654,128.978195,101.533195,415.120056,81.759308,70.883293,287.983398,-169.264877,479.019287,344.812134,-210.053558,103.865601,248.151688,-314.746094,49.849846,210.77066,-253.528687,59.986378,260.778351,170.173889,53.164703,216.143997,113.127838,62.089596,344.425446,53.734055,98.126511,284.890259,-10.279733,466.394531
3,0,200.954514,-216.060394,926.729065,221.974792,38.597054,924.449402,388.482025,-129.128723,969.119812,394.984863,-48.977528,960.984741,284.450806,-260.835815,491.203033,369.210968,-289.962097,97.175499,414.359131,-249.440735,75.502068,288.953247,83.64196,481.06662,378.399109,128.975189,101.526314,415.101898,81.771339,70.902878,287.975677,-169.271896,479.034058,344.818604,-210.074783,103.836243,248.13504,-314.742035,49.881691,210.766266,-253.533066,59.983067,260.782074,170.186279,53.147724,216.110641,113.134285,62.090397,344.398865,53.799488,98.118584,284.854095,-10.283373,466.394806
4,0,200.897873,-216.070099,926.713745,221.907501,38.607914,924.459656,388.098724,-128.964127,968.879944,394.912231,-48.963692,960.991638,284.464203,-260.838501,491.216827,369.196747,-289.972321,97.174744,414.503448,-249.263153,75.580124,288.881958,83.668602,481.055603,378.379425,128.969986,101.524857,415.076111,81.766998,70.877136,287.086731,-168.369049,478.842896,344.818115,-210.059875,103.859276,248.148727,-314.728302,49.859119,210.752823,-253.536163,59.979202,260.800629,170.192902,53.154503,216.14679,113.134224,62.089836,344.426758,53.794853,98.112106,284.866699,-10.282089,466.386536
5,0,200.888611,-216.065247,926.716736,221.899368,38.600735,924.44989,388.064178,-128.96199,968.84613,394.87204,-48.96627,960.888672,284.442261,-260.848572,491.237701,369.252075,-289.964783,97.2033,414.394775,-249.473053,75.484665,288.947235,83.645447,481.073914,378.395813,128.974136,101.526596,415.153931,81.749214,70.900558,287.703552,-168.996475,479.018951,345.171814,-210.241226,103.975685,248.145111,-314.744843,49.858139,210.755219,-253.525818,59.979637,260.791626,170.186554,53.132473,216.152145,113.145706,62.086731,344.42337,53.808723,98.10714,284.897858,-10.277956,466.385712
6,0,200.840744,-216.055237,926.691895,221.88942,38.599464,924.449646,388.036743,-128.972366,968.905823,394.834839,-48.977985,960.916992,284.455353,-260.848969,491.221222,369.209412,-289.986847,97.202194,414.428802,-249.297409,75.741257,288.952789,83.623947,481.077667,378.384979,128.984985,101.518143,415.196869,81.693146,70.772331,287.850647,-169.130081,479.048981,344.836273,-210.083038,103.862679,248.166397,-314.759705,49.830044,210.784225,-253.536194,59.975399,260.820984,170.182709,53.121799,216.162231,113.142288,62.096027,344.452057,53.821884,98.112602,284.841553,-10.286149,466.401825
7,0,200.809387,-216.070358,926.677429,221.834457,38.616364,924.444275,388.405701,-129.072845,969.308167,394.766052,-48.960571,960.840698,284.442261,-260.840027,491.222137,369.228577,-289.975342,97.20668,414.398926,-249.463089,75.495514,288.895782,83.670151,481.084167,378.408081,128.987503,101.522461,415.187134,81.682312,70.774284,287.886505,-169.206543,479.001953,344.879791,-210.08783,103.852257,248.15358,-314.759216,49.849598,210.797546,-253.541977,59.963867,260.792053,170.191132,53.129139,216.155884,113.148888,62.103741,344.449585,53.804764,98.119766,284.846741,-10.299556,466.398376
8,0,200.791763,-216.066696,926.677856,221.803558,38.587715,924.452332,387.987274,-128.9953,968.897278,394.644379,-49.002987,960.714661,284.406433,-260.842529,491.164185,369.226685,-289.992859,97.210564,414.426636,-249.492111,75.443527,288.903168,83.639954,481.074005,378.371948,128.995895,101.536102,415.220795,81.676048,70.771835,287.581604,-168.930603,478.953156,344.878113,-210.104752,103.856293,248.150131,-314.755707,49.845779,210.779999,-253.537201,59.958729,260.794952,170.188766,53.127613,216.162186,113.130585,62.08548,344.460632,53.792747,98.106262,284.844727,-10.339953,466.400269
9,0,200.757278,-216.071075,926.669983,221.767975,38.593029,924.450928,387.976227,-129.002045,968.909851,394.716797,-48.989048,960.835754,284.413757,-260.839874,491.213043,369.238892,-289.990936,97.196335,414.439423,-249.529388,75.42926,288.940094,83.557571,481.046265,378.351196,128.982071,101.526939,415.218384,81.717575,70.891068,287.709351,-169.047424,478.962372,344.899139,-210.125046,103.864891,248.140259,-314.748535,49.859619,210.813568,-253.553268,59.958149,260.806427,170.174332,53.124931,216.156464,113.122864,62.106319,344.473602,53.750156,98.135643,284.843903,-10.353459,466.378357
10,0,200.747391,-216.084412,926.652588,221.737198,38.572052,924.447083,388.054016,-128.948547,969.062073,394.653046,-49.016792,960.83667,284.398773,-260.847504,491.129883,369.253143,-289.989166,97.232178,414.440002,-249.511078,75.442169,288.915283,83.567513,481.053528,378.345856,128.964447,101.52636,415.268646,81.724945,70.898155,287.522766,-168.612167,478.587402,345.190674,-210.263504,103.954155,248.122116,-314.733093,49.885151,210.805801,-253.570831,59.953396,260.842743,170.154755,53.128551,216.165024,113.133537,62.098621,344.487213,53.706509,98.13298,284.840302,-10.34558,466.361908
11,0,200.716522,-216.113724,926.635498,221.67868,38.57048,924.454834,388.213348,-129.110107,969.128174,394.646576,-49.007061,960.804871,284.415497,-260.85733,491.199951,369.274841,-289.985687,97.225609,414.451385,-249.494202,75.469612,288.945709,83.498253,481.068115,378.398682,128.995575,101.516602,415.221924,81.678101,70.884415,287.769257,-169.117371,478.987213,344.94873,-210.146317,103.861206,248.121048,-314.738373,49.877613,210.817352,-253.552429,59.949318,260.848541,170.144196,53.087734,216.151428,113.145981,62.11874,344.503906,53.693054,98.138969,284.814362,-10.376728,466.37854
12,0,200.706711,-216.111359,926.653992,221.656113,38.560505,924.451416,388.240326,-129.09169,969.184814,394.646393,-49.027191,960.83429,284.393707,-260.894684,491.130463,369.250153,-289.969208,97.216011,414.439575,-249.502121,75.446861,288.86618,83.525909,481.070587,378.369476,128.982895,101.522659,415.254944,81.632324,70.785454,287.781921,-169.140167,478.996429,344.953979,-210.132996,103.867935,248.128769,-314.734741,49.870415,210.816376,-253.566391,59.95771,260.805634,170.158386,53.114277,216.155472,113.135536,62.097595,344.489044,53.673244,98.133293,284.796539,-10.39332,466.394653
13,0,200.692139,-216.140427,926.644836,221.623184,38.557182,924.46582,388.162354,-129.121979,969.063843,394.599274,-49.043846,960.796082,284.334625,-260.883118,491.203125,369.23938,-290.022186,97.215157,414.457245,-249.499298,75.441986,288.854645,83.500954,481.071259,378.344849,128.967758,101.542206,415.29071,81.619377,70.791016,287.603821,-169.047638,478.95224,344.953613,-210.119736,103.87281,248.143204,-314.762238,49.856583,210.824112,-253.552826,59.935337,260.807861,170.162476,53.10754,216.159805,113.123749,62.114536,344.484894,53.654415,98.147552,284.754822,-10.393057,466.467682
14,0,200.685776,-216.150421,926.63623,221.629501,38.526108,924.452576,388.148895,-129.168335,969.073914,394.393982,-49.112759,960.536377,284.335663,-260.876831,491.200928,369.25528,-289.986755,97.222252,414.627319,-249.65155,75.412743,288.877106,83.44088,481.051025,378.345551,128.982544,101.572098,415.27594,81.659454,70.885864,287.678711,-169.102478,479.037598,344.944427,-210.144913,103.85453,248.11055,-314.737244,49.863152,210.808838,-253.558273,59.931427,260.815338,170.147446,53.106483,216.179276,113.110085,62.104679,344.530548,53.579987,98.170334,284.774139,-10.41304,466.398529
15,0,200.661835,-216.172455,926.649841,221.588486,38.516407,924.461487,387.903076,-129.089005,968.901428,394.511414,-49.083981,960.703491,284.334808,-260.893341,491.198364,369.25705,-289.996033,97.230927,414.501648,-249.584717,75.39875,288.842834,83.476547,481.058807,378.362793,128.944244,101.529823,415.282471,81.646126,70.949234,287.472046,-168.963989,478.977264,345.193573,-210.266525,103.958099,248.119034,-314.723816,49.852291,210.837708,-253.560013,59.921486,260.806549,170.166367,53.09481,216.166534,113.1166,62.108639,344.511322,53.57412,98.155502,284.731079,-10.428625,466.437683
16,0,200.697449,-216.046967,926.58905,221.610809,38.483486,924.458862,388.158386,-129.136978,969.152649,394.400787,-49.13736,960.548584,284.310211,-260.906006,491.089478,369.258575,-289.981812,97.227859,414.508331,-249.546219,75.434624,288.866272,83.408768,481.025238,378.354309,128.948471,101.541771,415.273682,81.652237,70.901474,287.587036,-169.059982,478.940918,344.953796,-210.150589,103.869125,248.123962,-314.737671,49.86261,210.841019,-253.568329,59.928574,260.813202,170.148071,53.092278,216.172653,113.13208,62.118374,344.531403,53.536701,98.175407,284.743744,-10.483408,466.401001
17,0,200.630478,-216.183655,926.631958,221.575806,38.448509,924.451294,387.884216,-129.120193,968.908813,394.633148,-49.140728,960.745239,284.300629,-260.94928,491.123047,369.249939,-290.005035,97.230064,414.629303,-249.642395,75.43737,288.848755,83.404968,481.043579,378.373444,128.927994,101.53141,415.279175,81.587593,70.811539,287.461212,-168.912491,478.991455,344.950989,-210.145462,103.865784,248.106415,-314.747894,49.89521,210.824585,-253.572113,59.930859,260.84433,170.133347,53.080429,216.172394,113.135017,62.129932,344.576111,53.503559,98.187874,284.731934,-10.489016,466.363403
18,0,200.617874,-216.195999,926.641174,221.539108,38.486214,924.460022,387.985901,-129.078857,968.800964,394.283325,-49.078156,960.449402,284.302094,-260.922455,491.111755,369.245728,-290.019897,97.232338,414.501953,-249.542892,75.442795,288.860138,83.345543,481.048096,378.362427,128.96228,101.580627,415.270935,81.636162,70.889763,287.638397,-169.092148,478.970154,344.960114,-210.150116,103.880905,248.12381,-314.746765,49.863426,210.831009,-253.577469,59.912022,260.823547,170.120087,53.07143,216.193512,113.146988,62.114655,344.545471,53.493759,98.162659,284.68512,-10.466502,466.391937
