,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,193.035019,-206.411224,931.676086,203.978867,51.700928,933.593262,377.258331,-112.67614,963.1203,380.871948,-33.789829,956.681152,276.254639,-252.499664,489.169098,370.604614,-287.310028,97.209846,415.422424,-246.549133,75.537888,284.971252,89.894531,477.22287,382.160583,128.546616,97.810646,415.707855,82.174339,70.410789,277.942139,-161.928391,475.834778,344.844177,-208.22963,102.524979,251.26088,-315.602509,48.886276,212.422104,-255.222351,59.263889,261.215912,171.269608,52.279682,216.664413,113.090347,61.772488,339.677643,55.780075,100.51841,283.843994,-3.957714,464.402405
2,0,192.94278,-206.397186,931.658813,203.948059,51.720749,933.585449,377.136566,-112.614067,963.085876,380.832825,-33.781391,956.702148,276.239349,-252.500839,489.138306,370.630859,-287.314575,97.171494,415.495026,-246.388153,75.840263,284.980988,89.9216,477.224731,382.184052,128.534012,97.80114,415.707947,82.17688,70.397095,277.921112,-161.896988,475.809601,344.853088,-208.250763,102.542046,251.272949,-315.60257,48.917194,212.436432,-255.223953,59.254128,261.624237,170.750717,52.108879,216.656143,113.080864,61.743237,339.643158,55.764286,100.495323,283.824799,-3.947904,464.387146
3,0,192.871841,-206.36467,931.64502,203.935745,51.733768,933.586975,377.086945,-112.622276,963.097107,380.699005,-33.75766,956.703613,276.238037,-252.50885,489.13028,370.615997,-287.304596,97.205826,415.400848,-246.549881,75.552689,284.986084,89.922699,477.221405,382.198334,128.516327,97.817909,415.736908,82.145508,70.402512,277.924988,-161.913361,475.82309,344.684631,-208.114929,102.534729,251.277618,-315.605194,48.922352,212.40889,-255.219101,59.265873,261.593262,170.796799,52.143818,216.647675,113.086494,61.763397,339.688599,55.758499,100.495712,283.842743,-3.973393,464.425903
4,0,192.789825,-206.347778,931.63208,203.850418,51.735687,933.556824,376.330048,-112.397354,962.914124,380.732758,-33.76413,956.716553,276.220764,-252.46701,489.150146,370.602478,-287.302582,97.214539,415.487427,-246.389984,75.858627,284.562836,90.571175,477.209534,382.205505,128.522095,97.794342,415.703278,82.163193,70.373901,277.910858,-161.922165,475.78775,344.855621,-208.241287,102.551445,251.267883,-315.587036,48.905811,212.398849,-255.211807,59.279514,261.225189,171.248947,52.31287,216.679611,113.064308,61.759541,339.096954,55.721386,100.526779,283.898254,-3.95707,464.45108
5,0,192.729065,-206.323242,931.59137,203.811356,51.773033,933.551758,376.216095,-112.394974,962.913513,380.105408,-33.701546,956.693237,276.209991,-252.456985,489.119141,370.623016,-287.321075,97.195526,415.515625,-246.397507,75.825165,285.005463,89.934937,477.200684,382.184509,128.549789,97.824837,415.765839,82.138145,70.42511,277.936493,-161.886597,475.771606,344.723206,-208.176147,102.515015,251.2668,-315.615509,48.895767,212.43103,-255.239807,59.276768,261.609375,170.749786,52.141647,216.686569,113.063629,61.751236,339.679657,55.764862,100.485046,283.916046,-3.914485,464.410645
6,0,192.651886,-206.317459,931.54071,203.719177,51.764259,933.56311,376.204407,-112.416252,962.929504,380.397369,-33.719471,956.674072,276.235596,-252.466583,489.112122,370.626678,-287.309998,97.195236,415.522888,-246.382278,75.842377,285.037109,89.925461,477.182465,382.218018,128.541229,97.778862,415.757996,82.134361,70.392143,277.910797,-161.862869,475.75528,344.840729,-208.210022,102.544685,251.292587,-315.605804,48.889767,212.426483,-255.228226,59.244743,261.228973,171.227051,52.256435,216.70697,113.055779,61.761395,339.156555,55.706692,100.50309,283.862823,-3.869962,464.315338
7,0,192.585526,-206.305038,931.488098,203.628769,51.766785,933.540405,376.23175,-112.426582,962.987732,380.423431,-33.781033,956.575012,276.225037,-252.447784,489.09079,370.634033,-287.297699,97.216858,415.468811,-246.555649,75.592209,285.048431,89.939987,477.193359,382.212738,128.556595,97.795151,415.782288,82.116486,70.41523,277.920654,-161.854599,475.72818,344.707672,-208.157333,102.542473,251.274048,-315.615753,48.885902,212.425751,-255.219543,59.234051,261.241333,171.241013,52.270077,216.743469,113.067993,61.762981,339.696136,55.749714,100.486671,283.865509,-3.83746,464.292847
8,0,192.513611,-206.283356,931.445801,203.590134,51.766232,933.550293,376.14267,-112.431061,963.005127,380.221527,-33.635162,956.918945,276.190765,-252.439407,489.125488,370.639801,-287.307892,97.227669,415.534119,-246.418839,75.823921,285.028198,89.995605,477.218689,382.230042,128.563812,97.782761,415.803772,82.103531,70.411682,277.915894,-161.836609,475.70575,344.714844,-208.139587,102.574234,251.299744,-315.589264,48.880863,212.454346,-255.229324,59.239998,261.225189,171.241425,52.277454,216.776367,113.044701,61.770367,339.704834,55.762909,100.466232,283.868073,-3.78311,464.261322
9,0,192.448776,-206.277496,931.421814,203.459366,51.820892,933.533813,376.026764,-112.422119,963.018982,379.933441,-33.652554,956.814575,276.22583,-252.472229,489.129608,370.648682,-287.299774,97.256821,415.485443,-246.566452,75.571472,285.017303,89.992706,477.198395,382.229492,128.547058,97.779175,415.814484,82.083755,70.415459,277.936218,-161.82312,475.717255,344.826355,-208.215378,102.559341,251.278305,-315.628143,48.888157,212.466248,-255.248489,59.229397,261.24826,171.211533,52.240921,216.762573,113.043571,61.772858,339.697113,55.774673,100.480957,283.849396,-3.770126,464.199554
10,0,192.36911,-206.253983,931.372803,203.352554,51.846771,933.526428,376.001709,-112.423714,963.034546,380.266235,-33.702404,956.72229,276.204285,-252.452911,489.114532,370.637878,-287.306274,97.260498,415.478119,-246.567795,75.573105,284.971802,90.057243,477.22052,382.243011,128.548477,97.764374,415.853149,82.055557,70.443947,277.881439,-161.814514,475.678131,344.712769,-208.135452,102.59037,251.301941,-315.637085,48.846367,212.482742,-255.266373,59.216362,261.264801,171.1987,52.225121,216.768021,113.037003,61.765942,339.734894,55.773998,100.438004,283.932251,-3.701804,464.324829
11,0,192.297699,-206.23851,931.359497,203.281158,51.868279,933.504211,375.951691,-112.403549,963.070496,380.085632,-33.615494,956.940979,276.188202,-252.464951,489.167328,370.648621,-287.294312,97.251556,415.565796,-246.460495,75.782585,284.995758,89.970741,477.181335,382.249023,128.573593,97.814056,415.852539,82.063477,70.431137,277.878326,-161.820679,475.634613,344.851593,-208.228378,102.584404,251.30928,-315.622406,48.883457,212.440704,-255.245804,59.223537,261.278229,171.201706,52.221741,216.785065,113.061897,61.764019,339.280884,55.72897,100.493965,284.082611,-2.94705,463.78421
12,0,192.263428,-206.237305,931.324341,203.221527,51.874596,933.511536,375.890839,-112.371498,963.082703,379.831604,-33.65884,956.740234,276.145752,-252.445465,489.122833,370.661743,-287.321564,97.244225,415.513458,-246.600281,75.557907,284.945984,90.036568,477.202728,382.244537,128.561935,97.79744,415.89801,82.05291,70.445099,277.897461,-161.834778,475.658661,344.843811,-208.249008,102.567436,251.291214,-315.610321,48.848362,212.506058,-255.261154,59.219521,261.264771,171.17926,52.197495,216.807465,113.061806,61.767189,339.26532,55.724586,100.439606,283.844269,-3.398285,464.022125
13,0,192.23175,-206.206085,931.324097,203.144196,51.887085,933.505981,375.85907,-112.3461,963.05603,380.11264,-33.668438,956.751709,276.063751,-252.429398,489.072845,370.655548,-287.314087,97.262817,415.578125,-246.478317,75.761414,284.892303,90.046463,477.208191,382.255585,128.568787,97.780571,415.87793,82.04026,70.453995,277.856659,-161.831192,475.634583,344.814331,-208.235611,102.599136,251.291306,-315.628937,48.860332,212.475143,-255.251801,59.251911,261.49118,170.901428,52.102825,216.820755,113.044441,61.749489,339.68689,55.730766,100.434914,283.917114,-3.316383,464.025604
