,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,197.473709,-208.390533,925.712341,213.704285,47.897358,924.690613,384.136719,-119.519722,967.479858,389.163452,-38.607357,959.842529,279.095337,-254.662491,490.191833,368.861511,-288.601105,97.848572,414.321198,-247.931351,76.123413,284.369537,88.908333,480.332275,378.054077,129.578827,101.226013,415.034058,81.907875,71.193359,280.046539,-162.584564,476.910675,344.155701,-208.768814,102.560844,248.14444,-314.595795,49.981346,210.602219,-253.404739,59.878376,260.774719,170.356186,52.930199,215.937714,113.119186,61.828346,343.898407,54.052624,98.038246,281.303284,-5.59861,466.964081
2,0,197.556808,-208.389877,925.696472,213.756638,47.913826,924.711182,383.562744,-118.831253,966.727478,389.191376,-38.567467,959.880066,279.119385,-254.652496,490.192444,368.866089,-288.603119,97.834587,414.493866,-248.035645,76.150337,284.414276,88.934021,480.368744,378.05658,129.56311,101.173775,415.064331,81.948883,71.240273,279.168823,-161.83075,477.597778,344.177368,-208.776672,102.578033,248.138748,-314.579163,50.00811,210.597015,-253.414993,59.877926,260.794556,170.355392,52.943604,215.959595,113.109901,61.822174,343.915955,54.070961,98.05954,281.349426,-5.587639,466.963745
3,0,197.731064,-208.206406,925.632996,213.799164,47.910145,924.711182,383.674316,-118.754318,966.935669,389.26004,-38.492336,959.91748,279.139984,-254.634537,490.185547,368.858185,-288.593079,97.846367,414.629578,-248.201279,75.948776,284.432678,88.976578,480.365143,378.037415,129.590317,101.175125,415.031128,81.95858,71.217499,279.679535,-162.158203,476.826172,344.148041,-208.770325,102.543007,248.169464,-314.592499,49.996628,210.596466,-253.396515,59.872391,260.789062,170.36409,52.93626,215.963821,113.113274,61.828201,343.9104,54.069229,98.051369,281.389923,-5.586615,466.999268
4,0,197.79599,-208.191696,925.634399,213.843826,47.920364,924.723938,384.327911,-119.323471,967.437927,389.338013,-38.418892,959.911743,279.167969,-254.616852,490.21463,368.832123,-288.596863,97.83432,414.484253,-248.007248,76.127937,284.501068,88.980026,480.375854,378.02948,129.604507,101.164688,415.046722,81.944733,71.177383,279.633301,-162.06842,476.794434,344.137085,-208.759766,102.551064,248.143692,-314.599457,50.015774,210.585907,-253.391174,59.875969,260.774475,170.353424,52.945366,215.960098,113.123314,61.822678,343.927551,54.053955,98.094864,281.440674,-5.55464,466.996643
5,0,197.851593,-208.198486,925.614685,213.906082,47.92815,924.760376,383.840881,-118.615929,966.916321,389.374237,-38.379002,959.911011,279.193085,-254.592209,490.200104,368.855164,-288.573151,97.760056,414.63797,-248.173615,75.934677,284.524719,89.006996,480.372162,378.072388,129.587936,101.187401,415.102356,81.9683,71.227486,278.954315,-161.494537,477.509247,344.141205,-208.770889,102.545723,248.143509,-314.596649,50.011253,210.605652,-253.384048,59.882664,260.762329,170.351547,52.936882,215.987152,113.116013,61.824718,343.845215,54.103252,98.252464,281.475372,-5.550169,467.011139
6,0,197.911102,-208.171097,925.606384,213.98555,47.963856,924.776733,384.306183,-119.121536,967.223206,389.387817,-38.336906,959.921631,279.172729,-254.580231,490.193604,368.865112,-288.596771,97.857491,414.538696,-248.064438,76.074837,284.531555,89.043457,480.382019,378.059357,129.607651,101.17556,415.146637,81.975235,71.260597,278.720367,-161.200241,477.435425,344.164337,-208.770874,102.521873,248.153137,-314.573975,50.016148,210.620575,-253.401276,59.847137,260.796387,170.352707,52.912338,215.988083,113.122139,61.84222,343.979553,54.093319,98.073364,281.486938,-5.556955,467.027496
7,0,197.923965,-208.154205,925.592041,214.036392,47.995853,924.778625,383.923981,-118.607544,966.861328,389.46759,-38.332146,959.881348,279.164368,-254.534393,490.185455,368.840637,-288.613464,97.841591,414.413116,-247.995056,76.03801,284.554108,89.056526,480.361084,378.064484,129.617401,101.17318,415.148743,81.943329,71.272453,278.783875,-161.178024,477.487335,344.181824,-208.774658,102.532303,248.139374,-314.595673,49.967274,210.627899,-253.41037,59.846241,260.796875,170.345551,52.924789,215.98761,113.116684,61.845924,343.966644,54.059307,98.070137,281.550476,-5.541918,467.026367
8,0,197.920364,-208.120102,925.564575,214.093933,48.038879,924.80127,384.35498,-119.088577,967.140076,389.525726,-38.322243,959.87439,279.159393,-254.531357,490.182648,368.836792,-288.620697,97.839462,414.52182,-248.086182,76.082962,284.564056,89.065208,480.375946,378.074036,129.598236,101.147247,415.16568,81.92289,71.2528,278.664276,-161.078461,477.390656,344.177917,-208.774445,102.528534,248.144821,-314.585205,50.006218,210.635468,-253.393143,59.840168,260.795258,170.338867,52.876862,215.993698,113.115532,61.843678,343.961884,54.091362,98.059608,281.536621,-5.537781,467.043701
9,0,197.921951,-208.085602,925.58374,214.166718,48.07341,924.823425,383.946594,-118.661087,966.7854,389.566895,-38.351688,959.891113,279.106659,-254.522675,490.194855,368.860565,-288.608704,97.839554,414.568298,-248.111069,76.033577,284.541321,89.09877,480.387939,378.069794,129.594818,101.132805,415.184601,81.905968,71.2174,278.696045,-161.108795,477.426758,344.184448,-208.788544,102.526566,248.142258,-314.576233,50.007782,210.6203,-253.404434,59.843834,260.792419,170.341141,52.898388,215.990829,113.105911,61.856655,343.979919,54.096714,98.049286,281.505859,-5.531682,467.045746
10,0,197.850861,-208.145309,925.619751,214.292831,48.129238,924.830078,383.988892,-118.698982,966.85437,389.536041,-38.387592,959.83728,279.095917,-254.498428,490.202972,368.880554,-288.619415,97.866295,414.556244,-248.382477,75.725716,284.541168,89.117279,480.380371,378.062988,129.595627,101.138649,415.188934,81.916161,71.283539,278.537567,-160.918976,477.390747,344.215546,-208.791672,102.531326,248.136383,-314.576263,50.021729,210.631744,-253.400894,59.851101,260.797333,170.335953,52.897869,216.013016,113.114792,61.859158,343.970215,54.074932,98.041206,281.502777,-5.514109,467.048828
