,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,188.627655,-202.907913,927.553894,196.557617,52.242188,930.599854,372.406403,-110.950233,968.615723,374.592621,-29.943581,962.087219,277.638702,-251.03241,488.319214,370.316681,-286.565674,97.526299,415.272522,-246.015472,75.974915,282.526428,92.897621,477.833191,382.150787,132.125168,98.089447,417.477173,86.845497,70.901413,279.944244,-161.211166,475.313324,345.008545,-207.322113,102.792931,250.212219,-313.6698,49.253498,211.910233,-252.923462,59.390911,258.876129,167.606689,52.423191,217.463181,107.788788,62.013206,341.103241,57.979568,101.186005,281.265625,-0.059835,462.950073
2,0,188.648636,-202.932861,927.54248,196.571106,52.277317,930.591125,370.044586,-109.020142,966.473328,374.451599,-29.787498,962.294617,277.643036,-251.047226,488.319305,370.306915,-286.572327,97.478882,415.258636,-245.991837,75.976685,282.497833,92.920609,477.840942,382.124542,132.139969,98.107651,417.487366,86.843376,70.899544,279.949158,-161.206131,475.337738,345.037292,-207.340042,102.803078,250.218445,-313.663574,49.245098,211.903641,-252.934448,59.353718,258.882568,167.608109,52.422855,217.46315,107.802498,62.023148,341.050873,57.954617,101.191086,281.253021,-0.046989,462.958954
3,0,188.761795,-202.762238,927.429077,196.601593,52.26543,930.600159,372.321198,-110.806061,968.373962,374.503723,-29.809258,962.24231,277.668701,-251.047485,488.330811,370.318817,-286.536377,97.488319,415.194092,-246.174484,75.704895,282.520416,92.916481,477.842072,382.112305,132.165222,98.103607,417.476135,86.850319,70.889717,280.007965,-161.26622,475.298431,345.008301,-207.282791,102.793983,250.221695,-313.663666,49.252499,211.889282,-252.915497,59.375332,258.90686,167.586426,52.400208,217.467911,107.803192,62.015087,341.07782,57.929928,101.233582,281.266327,-0.067286,462.945557
4,0,188.731873,-202.944046,927.552979,196.621582,52.244781,930.634521,370.164642,-108.996201,966.483093,374.544281,-29.781857,962.298279,277.694977,-251.029099,488.332794,370.307526,-286.555328,97.485939,415.225891,-246.15184,75.70636,282.548584,92.902405,477.857605,382.128296,132.159851,98.111267,417.514709,86.843597,70.886246,280.037201,-161.262878,475.282135,345.040497,-207.317444,102.797157,250.221786,-313.642334,49.236134,211.912476,-252.913116,59.359314,258.884644,167.582626,52.419689,217.489578,107.794144,62.009445,341.035583,58.100655,100.918434,281.2612,-0.052486,462.976288
5,0,188.747314,-202.937119,927.554688,196.679626,52.233711,930.614441,370.231842,-109.026039,966.515564,374.888031,-30.004465,961.901489,277.729706,-251.044601,488.329803,370.296265,-286.541138,97.532768,415.248138,-246.195862,75.683456,282.543304,92.912788,477.85553,382.156586,132.138977,98.081001,417.563843,86.853363,70.917969,280.067841,-161.256317,475.276154,345.015778,-207.301773,102.793495,250.244583,-313.670593,49.226917,211.913483,-252.926056,59.382256,258.874969,167.576569,52.430424,217.493698,107.804962,62.002247,341.099213,57.863117,101.275444,281.26416,-0.074969,462.99884
6,0,188.820816,-202.801437,927.440186,196.725082,52.201714,930.624268,370.322052,-109.058662,966.553528,374.76059,-29.963289,962.086426,277.724487,-251.041168,488.3396,370.303375,-286.568451,97.525757,415.263092,-246.224823,75.677147,282.536865,92.906174,477.841614,382.1409,132.128204,98.115402,417.566193,86.837212,70.93483,280.00769,-161.227951,475.286255,345.05307,-207.343597,102.793358,250.214279,-313.651428,49.242886,211.93399,-252.929688,59.391987,258.928864,167.530792,52.404797,217.514679,107.807297,62.020138,340.998474,58.05798,100.924942,281.270996,-0.068367,463.002289
7,0,188.856201,-203.028748,927.419128,196.753433,52.179932,930.63324,370.343628,-109.085114,966.542603,374.79361,-29.958813,962.031311,277.754822,-251.039978,488.349152,370.295135,-286.595673,97.517357,415.269287,-246.224655,75.695488,282.553101,92.874847,477.826233,382.159821,132.126465,98.107597,417.580017,86.820435,70.948929,280.046051,-161.24527,475.270081,344.977814,-207.317551,102.756218,250.225754,-313.671814,49.269447,211.924286,-252.935852,59.377659,258.903198,167.522263,52.374187,217.524368,107.854668,62.02512,341.054535,57.887566,101.248314,281.303955,-0.086538,463.025635
8,0,188.836685,-202.963211,927.51239,196.775375,52.176525,930.661133,370.372162,-109.099167,966.534607,374.822235,-29.979425,962.009094,277.818268,-251.061859,488.308594,370.281769,-286.572205,97.547546,415.262848,-246.2453,75.661217,282.501526,92.915405,477.816711,382.149628,132.141312,98.113098,417.602844,86.837807,70.97921,280.061707,-161.25029,475.292206,345.025391,-207.384277,102.777748,250.255051,-313.6763,49.247303,211.958191,-252.960449,59.352463,258.918304,167.520187,52.365284,217.572876,107.853378,62.017044,340.919525,58.039032,100.849358,281.297028,-0.09771,463.061157
9,0,188.911896,-202.82814,927.417542,196.816177,52.202488,930.654846,370.423615,-109.108582,966.521484,374.691833,-29.889084,962.216309,277.848877,-251.057571,488.293549,370.283508,-286.57785,97.53019,415.298431,-246.247147,75.669464,282.537292,92.915039,477.811676,382.169403,132.15712,98.075462,417.623138,86.828041,70.984306,280.136322,-161.264847,475.255737,344.96814,-207.275009,102.74054,250.272034,-313.697113,49.221958,211.983109,-252.946701,59.359653,258.940613,167.518265,52.326946,217.541992,107.88459,62.015949,340.978455,57.88554,101.193268,281.320557,-0.072578,463.077942
10,0,188.932037,-202.849335,927.41156,196.861115,52.165428,930.650146,370.465118,-109.134544,966.510925,374.783661,-29.926851,962.151001,277.882263,-251.101608,488.39621,370.285919,-286.584839,97.538116,415.362671,-246.111038,75.875923,282.517914,92.918236,477.799072,382.127289,132.170807,98.086952,417.648712,86.815063,71.000557,280.124237,-161.250854,475.243591,344.946716,-207.278198,102.719879,250.27182,-313.690613,49.214725,212.004654,-252.942383,59.361359,258.927002,167.495834,52.347137,217.558182,107.884956,62.045151,340.82608,58.07851,100.795326,281.331482,-0.10492,463.104706
11,0,188.899841,-202.944702,927.513977,196.896622,52.162708,930.646973,370.523102,-109.140945,966.519775,374.784943,-29.932711,962.1651,277.850464,-251.030243,488.328888,370.27121,-286.58783,97.536835,415.360443,-246.298874,75.677956,282.583466,92.920258,477.789795,382.194305,132.150665,98.062866,417.705994,86.830353,70.998444,280.15918,-161.228226,475.234528,344.957825,-207.314835,102.807068,250.315521,-313.702179,49.221745,212.005569,-252.934662,59.383518,258.965088,167.494019,52.330139,217.567444,107.881393,62.031624,340.749908,58.038788,100.727295,281.357544,-0.109941,463.095398
12,0,188.905212,-202.972061,927.48938,196.930038,52.167046,930.664856,370.53418,-109.163269,966.514709,374.8013,-29.952885,962.160278,277.898712,-251.058334,488.314972,370.243591,-286.577484,97.568398,415.362488,-246.310104,75.648369,282.566864,92.891975,477.771393,382.191559,132.149063,98.079018,417.712433,86.822243,71.014015,280.085144,-161.178513,475.276886,344.940674,-207.288589,102.707794,250.30455,-313.716217,49.205475,212.033615,-252.956696,59.382729,259.013855,167.451004,52.303787,217.569763,107.814293,62.026508,340.778839,58.032562,100.836288,281.381012,-0.100198,463.095001
13,0,188.966507,-202.860733,927.418396,196.958817,52.13409,930.648254,370.545898,-109.195862,966.513489,374.928894,-30.059717,961.959229,277.891174,-251.042221,488.322021,370.291809,-286.624298,97.565491,415.388458,-246.322235,75.654602,282.592102,92.861198,477.761993,382.195953,132.148697,98.115547,417.730072,86.804657,71.037048,280.13855,-161.245163,475.243958,344.899078,-207.287872,102.696991,250.277191,-313.712311,49.220161,212.027039,-252.979492,59.375954,259.005768,167.434158,52.297668,217.59343,107.776054,62.019211,340.918091,57.85463,101.14846,281.357849,-0.125634,463.115814
14,0,188.926163,-202.981171,927.487671,197.000595,52.102406,930.623657,370.557709,-109.218193,966.505188,374.834381,-29.990934,962.146729,277.905945,-251.048767,488.318207,370.254852,-286.601746,97.607407,415.38266,-246.324142,75.65448,282.60965,92.836365,477.737701,382.239868,132.129318,98.055893,417.746521,86.789261,71.067955,280.201172,-161.297058,475.249146,344.948639,-207.373047,102.794563,250.295456,-313.730103,49.216152,212.056824,-252.988571,59.36787,258.981689,167.470322,52.3232,217.608856,107.75219,62.025375,340.752625,58.070564,100.824379,281.335999,-0.108961,463.145844
15,0,188.934006,-202.957779,927.481323,197.006943,52.120537,930.645081,370.54538,-109.214066,966.479614,374.948212,-30.042812,961.995728,277.911621,-251.08078,488.35498,370.259949,-286.604767,97.572868,415.370544,-246.319473,75.641975,282.600464,92.860786,477.741394,382.242981,132.125336,98.079842,417.737579,86.796448,71.040985,280.136749,-161.217941,475.231873,344.991211,-207.428925,102.769775,250.30014,-313.731384,49.219669,212.042801,-252.961426,59.379246,259.013977,167.413239,52.295647,217.585999,107.813988,62.024303,340.935516,57.923828,101.095078,281.354065,-0.105604,463.132324
