,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,208.59256,-202.197739,928.104553,210.9375,54.109089,931.465088,387.254547,-104.457497,971.165649,389.069855,-24.601299,966.559814,283.219849,-252.289322,494.934937,359.53009,-292.240753,96.882706,404.25119,-252.481842,74.168007,289.99057,95.891487,481.96109,379.227783,149.384735,124.788208,414.524017,87.115158,72.207222,280.890411,-160.317123,481.723511,334.769409,-213.081314,101.835991,238.08992,-318.611755,49.576923,200.743546,-257.72583,60.037956,256.028076,166.332413,52.518318,214.46077,106.664085,62.076431,346.458282,37.597794,115.532364,293.445709,1.08093,468.460846
2,0,208.600891,-202.093185,928.103394,210.993805,54.229958,931.477844,387.318726,-104.416183,971.146362,389.096558,-24.525618,966.456543,283.157562,-252.209961,494.897827,359.515991,-292.228577,96.903183,404.284668,-252.481079,74.128212,289.983765,95.908676,481.934875,379.275055,149.40567,124.784096,414.53363,87.110146,72.191177,280.842041,-160.272736,481.757446,334.775909,-213.081924,101.839569,238.092102,-318.605133,49.58046,200.73761,-257.71875,60.04047,256.043915,166.328796,52.516327,214.440842,106.659157,62.070858,346.515076,37.189407,115.9655,293.453949,1.109588,468.461151
3,0,208.595306,-202.009262,928.106262,211.024796,54.364323,931.492371,387.357391,-104.359436,971.114319,389.278717,-24.652021,966.173523,283.071106,-252.133881,494.893402,359.496643,-292.224854,96.897949,404.260803,-252.481583,74.175102,289.966553,95.963066,481.905396,379.232666,149.405151,124.778244,415.1474,86.553421,71.603531,280.787323,-160.222504,481.790253,334.719116,-213.03952,101.810043,238.075043,-318.615082,49.575176,200.722855,-257.716797,60.030376,256.007843,166.366699,52.521439,214.460648,106.664635,62.071796,346.364502,37.602558,115.621353,293.415375,1.186252,468.449341
4,0,208.574768,-201.934479,928.144287,211.049316,54.466774,931.504578,387.401764,-104.307365,971.017883,389.323181,-24.581804,966.149475,283.024658,-252.100647,494.902313,359.495117,-292.198517,96.927147,404.265167,-252.540649,74.117844,289.962708,95.999748,481.90625,379.243866,149.405807,124.778381,415.124573,86.579796,71.669876,280.764526,-160.158493,481.734436,334.735291,-213.022949,101.828842,238.067932,-318.620697,49.581612,200.733017,-257.732849,60.023483,256.026489,166.356049,52.499641,214.451355,106.676308,62.062366,346.490814,37.158272,116.10025,293.378662,1.241934,468.43988
5,0,208.57222,-201.872086,928.147583,211.051346,54.56889,931.499146,387.453644,-104.28476,971.062622,389.185242,-24.349791,966.330444,283.287842,-252.092606,494.561096,359.490295,-292.20874,96.932716,404.222473,-252.461975,74.189178,289.975708,96.042236,481.905975,379.249695,149.403122,124.771042,415.124298,86.587334,71.688179,280.769348,-160.15184,481.719116,334.740448,-213.043182,101.815033,238.084534,-318.608063,49.596001,200.745514,-257.729248,60.034496,256.031189,166.326935,52.506409,214.467499,106.668961,62.050274,346.56192,37.25061,116.068047,293.387573,1.263952,468.454285
6,0,208.584122,-201.839233,928.149109,211.058594,54.634727,931.514893,387.407928,-104.150215,971.00946,389.243164,-24.321934,966.291138,283.090759,-252.053055,494.917328,359.49353,-292.197998,96.959541,404.215729,-252.43721,74.204849,290.023102,96.184624,481.702301,379.203857,149.418411,124.762115,415.124573,86.607544,71.733078,280.792236,-160.084229,481.740387,334.722473,-213.03717,101.818054,238.084213,-318.610565,49.586979,200.735352,-257.730225,60.017994,256.047272,166.325363,52.481537,214.438339,106.680061,62.053291,346.79541,37.403027,116.131538,293.352295,1.33864,468.478943
7,0,208.588455,-201.793808,928.143982,211.036591,54.70911,931.530334,387.460052,-104.11145,970.999268,389.235168,-24.258707,966.295959,283.341736,-252.024734,494.571777,359.514526,-292.201233,96.980042,404.232391,-252.461044,74.131218,290.067505,96.226173,481.730804,379.205475,149.430145,124.753502,415.142975,86.592056,71.702026,280.770203,-160.072189,481.731262,334.736694,-213.015366,101.816933,238.104004,-318.614258,49.562527,200.749969,-257.719421,60.004749,256.061371,166.325287,52.462273,214.423508,106.698204,62.06715,346.798035,37.414856,116.148399,293.40509,1.367833,468.450684
8,0,208.608932,-201.765152,928.107422,211.019318,54.731617,931.517456,387.435181,-104.066002,971.001343,389.335876,-24.324621,966.117981,283.395752,-252.020752,494.604279,359.502838,-292.192932,96.954865,404.290497,-252.452637,74.175728,290.06131,96.26754,481.710571,379.2453,149.435577,124.764465,415.167419,86.570564,71.713394,280.743103,-159.99118,481.720093,334.737793,-213.011856,101.816666,238.1185,-318.629364,49.549335,200.755905,-257.733337,60.009052,256.066742,166.323929,52.469917,214.430176,106.665802,62.058208,346.821136,37.497692,116.07045,293.403564,1.387999,468.476349
9,0,208.645767,-201.775497,928.087463,210.987579,54.735508,931.517822,387.41684,-104.026253,971.044495,389.176392,-24.186934,966.332397,283.436157,-252.002396,494.58783,359.888184,-292.295532,97.228226,404.322937,-252.206177,74.405563,290.102448,96.295258,481.722595,379.234406,149.44458,124.752739,415.182343,86.569695,71.70919,280.771515,-159.948471,481.695709,334.758331,-213.022812,101.822777,238.133698,-318.651489,49.562225,200.772095,-257.733429,60.019089,256.10498,166.292252,52.45211,214.406982,106.661156,62.053036,346.846802,37.508862,116.04966,293.444702,1.396364,468.443298
10,0,208.675385,-201.788574,928.069275,210.916153,54.736134,931.505432,387.416901,-103.99929,971.09967,389.19104,-24.18301,966.379578,283.539703,-252.046997,494.663574,359.621185,-292.197418,97.032639,404.337738,-252.394623,74.24334,290.096405,96.320419,481.69635,379.205627,149.455383,124.739799,415.215057,86.572487,71.706612,280.879578,-159.999878,481.717163,334.723938,-213.00206,101.796722,238.166672,-318.64325,49.570461,200.789261,-257.743866,60.038876,256.123749,166.289444,52.443787,214.416962,106.664421,62.099014,346.707794,37.461216,116.062439,293.48822,1.411579,468.425354
