,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,192.786316,-190.75824,925.558716,209.034622,64.930069,934.229675,376.792603,-101.874413,966.996826,383.540253,-22.320246,962.972107,272.024506,-244.526733,487.113556,365.210724,-289.237305,99.045738,410.719055,-249.51799,76.230461,286.720886,103.982231,479.780273,377.1297,159.352783,125.066475,415.875885,98.211685,72.65184,272.226501,-151.317749,473.498688,341.306641,-209.304184,101.870018,244.107452,-315.299805,49.474804,207.076859,-253.811859,59.574852,252.477585,168.740067,52.183105,214.258423,106.930855,62.545219,350.418182,46.299484,116.664635,292.708984,9.537211,466.566833
2,0,192.859528,-190.774323,925.578674,209.081573,64.944389,934.220703,376.885895,-101.867287,967.035767,383.617767,-22.32349,962.978333,272.10614,-244.544693,487.117981,365.218536,-289.24585,99.026512,410.605316,-249.510925,76.186401,286.736298,103.970154,479.776855,377.116425,159.355881,125.040161,415.872009,98.213966,72.653023,272.148315,-151.221725,473.415497,341.326141,-209.295654,101.885063,244.103897,-315.307098,49.465168,207.076828,-253.814133,59.596561,252.475266,168.739151,52.159718,214.041229,107.304695,62.635429,350.431427,46.284115,116.662163,292.672791,10.117215,466.124939
3,0,192.948654,-190.810013,925.605774,209.148087,64.933052,934.23761,376.992126,-101.90699,967.029175,383.753906,-22.339527,963.001221,272.147247,-244.553925,487.143005,365.223969,-289.243469,99.04084,410.654053,-249.555344,76.138031,286.805634,103.952003,479.763123,376.872589,159.441727,125.175163,415.913452,98.198318,72.631348,272.141174,-151.177444,473.422882,341.373474,-209.32254,101.908485,244.121567,-315.321503,49.487,207.08783,-253.789719,59.594875,252.497345,168.708054,52.179996,214.274094,106.936272,62.549835,350.442017,46.273952,116.707657,292.746338,10.117742,466.141235
4,0,193.053696,-190.842926,925.638977,209.228683,64.92215,934.244507,377.060577,-101.884491,967.067017,383.736053,-22.337521,963.012085,272.207306,-244.558685,487.141296,365.214294,-289.242615,99.054359,410.623596,-249.519424,76.166893,286.774628,103.948013,479.768066,376.856262,159.432068,125.199036,415.892212,98.221603,72.629967,272.543762,-151.4328,473.681824,341.3349,-209.327896,101.877197,244.10936,-315.327301,49.463135,207.066513,-253.829239,59.5882,252.481705,168.724289,52.191128,214.273254,106.936142,62.572254,350.44693,46.275616,116.710068,292.782257,10.086737,466.147217
5,0,193.150757,-190.861084,925.651794,209.268982,64.918259,934.262207,377.15564,-101.907623,967.105347,383.843842,-22.350389,963.017334,272.288544,-244.559647,487.148956,365.252625,-289.251678,99.032761,410.677246,-249.592636,76.147346,286.834534,103.939972,479.798645,377.110901,159.36972,125.044151,415.92746,98.201096,72.61969,272.302002,-151.147995,473.551941,341.33194,-209.341599,101.901993,244.089752,-315.313385,49.475864,207.059906,-253.836365,59.551098,252.530777,168.670166,52.155857,213.991348,107.37236,62.670795,350.454193,46.242695,116.703339,292.906738,9.54014,466.554962
6,0,193.255768,-190.87851,925.68158,209.350739,64.922302,934.274658,377.281403,-101.928391,967.109314,383.932251,-22.363472,963.028381,272.356995,-244.571609,487.144836,365.246582,-289.274689,99.035194,410.762878,-249.557755,76.216248,286.880249,103.944984,479.7995,377.119202,159.380005,125.047951,415.937988,98.195473,72.579277,272.371796,-151.230896,473.392365,341.348602,-209.361115,101.905258,244.104004,-315.329285,49.484375,207.049194,-253.81044,59.609833,252.567978,168.629166,52.14991,214.074417,107.241058,62.647297,350.519684,46.185738,116.513412,292.956238,9.58292,466.512756
7,0,193.397873,-190.884995,925.69635,209.440186,64.936295,934.257263,377.389282,-101.931808,967.15271,384.405426,-22.453407,962.973694,272.473816,-244.578186,487.148712,365.284607,-289.282043,99.037842,410.718262,-249.629639,76.144211,286.919434,103.953888,479.792328,377.123383,159.358749,125.056046,415.954681,98.187294,72.556404,272.458862,-151.157166,473.552032,341.358582,-209.426331,102.180283,244.119202,-315.353027,49.453754,207.083496,-253.814346,59.582947,252.589996,168.637085,52.143101,213.992996,107.242378,62.809708,350.528381,46.233665,116.679482,292.98233,9.642135,466.463745
8,0,193.48848,-190.909714,925.703674,209.479523,64.93438,934.260559,377.468414,-101.911453,967.162354,384.10675,-22.356308,963.006653,272.694641,-244.400635,486.686615,365.301392,-289.290436,99.047821,410.679169,-249.559631,76.186195,286.906921,103.965477,479.784454,377.403351,159.109573,124.903023,416.006134,98.180649,72.505562,272.446777,-151.076385,473.521912,341.332489,-209.349686,101.88726,244.140366,-315.363708,49.448643,207.085938,-253.817764,59.598705,252.600372,168.603348,52.166924,214.292969,106.920998,62.580967,350.552032,46.188671,116.653778,293.02005,9.608347,466.511414
9,0,193.578476,-190.917511,925.716248,209.559631,64.912857,934.266357,377.593567,-101.922874,967.231628,384.235291,-22.379551,962.968689,272.784454,-244.404007,486.664124,365.333099,-289.329163,99.074745,410.671204,-249.562897,76.213226,286.921112,103.951225,479.787109,377.17691,159.328217,125.011597,415.997131,98.201981,72.529747,272.537201,-151.098373,473.538361,341.362122,-209.365143,101.908669,244.143509,-315.380829,49.4832,207.070312,-253.809387,59.573753,252.621826,168.589935,52.102581,214.321594,106.889847,62.557518,350.54837,46.203033,116.641792,293.080261,9.62535,466.468964
10,0,193.674805,-190.953964,925.717834,209.623947,64.900604,934.272461,377.754425,-101.926453,967.2724,384.249207,-22.365673,963.014282,272.90155,-244.435913,486.717621,365.336121,-289.335022,99.039413,410.734894,-249.611755,76.166153,286.479309,104.487228,480.089111,376.940338,159.369781,125.141396,416.069885,98.16568,72.4674,272.600983,-151.03476,473.553467,341.364838,-209.384338,101.894226,244.12291,-315.374359,49.456791,207.090057,-253.835892,59.578056,252.644333,168.576523,52.1124,214.298157,106.904808,62.567413,350.62854,46.168427,116.633545,293.140747,9.664649,466.39978
