,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,197.60878,-199.143143,928.718079,215.729019,58.031372,933.657776,382.271942,-110.015778,969.272278,389.506226,-30.864151,963.557983,277.72406,-250.241226,489.15152,365.570679,-290.072998,98.112999,411.34137,-250.796616,75.149857,292.11554,101.02581,479.966003,379.678009,157.745834,125.517128,415.60553,96.653542,72.304085,274.97168,-155.948578,474.682098,341.587372,-210.179321,101.759338,244.863693,-315.813293,49.334316,207.625793,-254.386719,59.74918,254.290131,171.982941,51.927673,214.874924,110.747574,62.92218,348.912231,45.694927,115.13485,293.857483,5.627483,465.501373
2,0,197.567444,-199.121964,928.710571,215.697388,58.028572,933.645325,382.23645,-110.010597,969.302795,389.460144,-30.8524,963.565063,277.736694,-250.237946,489.184814,365.550812,-290.062683,98.133751,411.089355,-250.021698,75.85218,292.116516,101.022011,479.969849,380.000519,157.766159,125.455696,415.596558,96.663162,72.320511,274.905792,-155.877289,474.636353,341.613922,-210.359375,102.082062,244.843323,-315.799957,49.323902,207.612885,-254.384216,59.72039,254.31601,171.972061,51.931435,214.877777,110.701958,62.876724,348.890198,45.672165,115.132767,293.856384,5.616809,465.50238
3,0,197.538559,-199.129181,928.715515,215.669434,58.033787,933.650024,382.170471,-109.990463,969.302002,389.149811,-30.667215,963.811401,277.724274,-250.225693,489.171661,365.544434,-290.079895,98.090256,411.643982,-251.133804,74.835281,292.11084,101.008286,479.955963,379.682709,157.769043,125.51284,415.586487,96.663612,72.300987,274.901917,-155.92543,474.590759,341.66275,-210.331223,102.098747,244.856308,-315.815826,49.322865,207.607986,-254.371826,59.757744,254.307953,171.985962,51.922535,214.861801,110.669258,62.866955,348.957489,45.6814,115.126816,293.858917,5.621188,465.50473
4,0,197.510056,-199.128281,928.707642,215.622665,58.055889,933.641907,382.164032,-109.986328,969.31189,389.402039,-30.819141,963.598572,277.738708,-250.245865,489.218536,365.559845,-290.073547,98.119316,411.651154,-251.13028,74.842072,292.123505,101.033531,479.965393,379.998047,157.789398,125.454872,415.599121,96.661606,72.352333,274.868927,-155.845749,474.61911,341.567291,-210.172531,101.765854,244.86293,-315.825409,49.301262,207.630844,-254.384369,59.751625,254.271591,172.013702,51.931225,214.923172,110.689087,62.797577,348.869232,45.695206,115.095131,293.838837,5.630259,465.505615
5,0,197.526352,-199.129593,928.702026,215.603699,58.003941,933.62323,382.185822,-109.977806,969.337158,389.218018,-30.671692,963.856079,277.74054,-250.266647,489.222595,365.559418,-290.069763,98.134811,411.622986,-251.112732,74.838448,292.097351,101.026031,479.957764,379.676605,157.760269,125.521156,415.631531,96.659538,72.330292,274.926117,-155.891342,474.59256,341.648682,-210.340942,102.090218,244.856537,-315.831177,49.348251,207.642944,-254.378952,59.715984,254.333771,171.982361,51.922016,214.888657,110.50824,62.564404,348.881836,45.634724,115.152321,293.862488,5.616653,465.493286
6,0,197.509796,-199.121658,928.686218,215.629959,57.890415,933.634277,382.145081,-109.974792,969.327209,389.325439,-30.823696,963.610107,277.752869,-250.270752,489.244934,365.598877,-290.072052,98.137947,411.618347,-251.09726,74.878685,292.077667,101.03772,479.975586,379.991028,157.782547,125.484688,415.640167,96.633095,72.284218,274.899017,-155.870621,474.65155,341.663544,-210.36528,102.063316,244.83284,-315.837769,49.359104,207.614761,-254.379333,59.76041,254.319519,171.989731,51.908836,214.73851,110.804268,62.597485,348.89621,45.625397,115.118134,293.83963,5.640763,465.514313
7,0,197.502625,-199.128082,928.689575,215.633987,57.857544,933.609985,382.189362,-109.970047,969.340332,389.284698,-30.825497,963.595337,277.761383,-250.293549,489.270752,365.578979,-290.065063,98.138023,411.652374,-251.100754,74.881119,292.169647,101.073799,480.106506,379.9534,157.772232,125.457657,415.619202,96.646088,72.29142,274.95166,-155.936127,474.690735,341.633392,-210.385559,102.050972,244.89772,-315.852234,49.36293,207.6138,-254.394775,59.756008,254.353317,171.973846,51.905441,214.766678,110.78685,62.582588,348.850433,45.627525,115.067688,293.793701,5.652271,465.508026
8,0,197.488373,-199.132797,928.680542,215.601532,57.828678,933.632996,382.115845,-109.952393,969.310608,389.276672,-30.822741,963.570129,277.743652,-250.298416,489.288025,365.588745,-290.098785,98.151871,411.351776,-250.754364,75.156075,291.589417,101.556984,480.34668,379.961639,157.757721,125.459984,415.658234,96.637833,72.246765,274.918762,-155.908615,474.677765,341.631165,-210.368805,102.051811,244.880325,-315.832245,49.357536,207.628052,-254.419144,59.716686,254.359634,171.950424,51.896164,214.818451,110.733711,62.733868,348.881561,45.604546,115.093201,293.758087,6.176125,465.062714
9,0,197.479538,-199.136383,928.670898,215.574249,57.829903,933.612488,382.127411,-109.948982,969.32489,389.221619,-30.825916,963.567993,277.7258,-250.293457,489.313538,365.574677,-290.083038,98.118675,411.45163,-250.803955,75.141975,292.073547,101.06871,480.10199,379.673645,157.750183,125.509415,415.70163,96.576027,72.180222,274.960144,-155.94783,474.726227,341.663818,-210.387726,102.053947,244.90773,-315.874695,49.347904,207.64212,-254.407883,59.726231,254.403168,171.90947,51.867352,215.017593,110.458496,62.714828,348.911957,45.556587,115.122711,293.825134,5.751106,465.44754
10,0,197.454254,-199.127197,928.688477,215.578201,57.823761,933.635803,382.116547,-109.968498,969.280273,389.212708,-30.818825,963.556885,277.713348,-250.302963,489.331421,365.599518,-290.087463,98.140511,411.440369,-250.799835,75.166634,291.986053,101.027145,479.982239,379.900543,157.761932,125.462082,415.688416,96.603653,72.228249,274.883636,-155.907928,474.679626,341.661377,-210.366699,102.049667,244.905151,-315.875153,49.354362,207.627335,-254.407562,59.737602,254.409012,171.902023,51.872498,214.823685,110.686493,62.718124,348.884033,45.587376,115.073631,293.797272,5.754193,465.398376
