,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,211.360748,-197.57399,925.493652,215.999054,54.457359,931.197388,391.131805,-103.298363,976.927307,392.123535,-22.042295,970.195068,285.162781,-250.470108,489.899994,366.562042,-290.255554,98.621391,411.204834,-250.398193,75.135902,293.811188,100.08387,480.231293,377.297668,158.845367,125.368011,416.175262,98.198189,72.32991,279.290741,-157.449768,475.324768,341.198273,-211.225296,102.933601,244.178009,-316.07605,49.27726,207.607437,-254.480576,60.065533,252.581146,167.973877,52.457035,214.638824,106.419952,62.422054,352.012421,45.466156,116.329048,300.878967,5.627515,466.348053
2,0,211.418365,-197.623108,925.525208,216.103546,54.451626,931.214966,389.725525,-101.961983,975.067383,392.177216,-22.112881,970.186768,285.253632,-250.502701,489.951019,366.569946,-290.264374,98.624107,411.223145,-250.395569,75.167175,293.846832,100.052193,480.235748,377.308655,158.816605,125.379578,416.173553,98.197731,72.333504,279.340546,-157.399261,475.28894,341.181915,-211.234482,102.953712,244.161713,-316.063263,49.262363,207.609985,-254.485931,60.063744,252.54982,167.96608,52.441963,214.626709,106.459045,62.441311,352.012909,45.461067,116.316734,300.930389,5.644097,466.316559
3,0,211.486069,-197.230164,925.489136,215.637543,54.994247,931.013184,389.798859,-102.023285,975.070801,392.283997,-22.182152,970.211243,285.388489,-250.522079,489.96756,366.579926,-290.262512,98.641563,411.053162,-250.095581,75.457428,293.867889,100.038185,480.265747,377.294189,158.829712,125.393463,416.155853,98.17926,72.314354,279.37851,-157.335724,475.222534,341.220306,-211.23999,102.977905,244.168533,-316.079895,49.251598,207.595871,-254.460754,60.076843,252.556564,167.968109,52.45623,214.575699,106.514191,62.473663,351.995941,45.467861,116.324272,300.978241,5.624481,466.347015
4,0,211.470886,-197.644363,925.571777,215.587448,55.234173,931.134338,389.786621,-102.081734,975.137268,392.316895,-22.244205,970.213318,285.476807,-250.568207,489.961456,366.587769,-290.265137,98.629875,411.025574,-250.24054,74.803703,293.927856,100.010651,480.264771,377.314026,158.805832,125.412628,416.157593,98.166252,72.339302,279.361237,-157.189987,475.190399,341.21051,-211.251633,102.976959,244.17952,-316.074554,49.253063,207.601013,-254.470291,60.090782,252.574417,167.963089,52.475769,214.627762,106.430229,62.468357,352.00415,45.449825,116.284767,300.982635,5.572903,466.353912
5,0,211.437073,-197.663406,925.588135,215.687332,55.200352,931.120117,389.808899,-102.170372,975.201477,392.371521,-22.318085,970.213135,285.568787,-250.596695,489.99295,366.577698,-290.255615,98.651291,410.93631,-250.145309,75.257927,293.975403,99.976753,480.291138,377.306946,158.812653,125.41227,416.176697,98.117668,72.269402,282.475739,-160.749603,474.99115,341.226166,-211.237305,103.005836,244.178009,-316.055084,49.270622,207.597992,-254.458786,60.09026,252.591995,167.953125,52.464996,214.592026,106.458275,62.531532,352.030701,45.416283,116.362984,301.00473,5.506791,466.398102
6,0,211.379166,-197.675415,925.586731,215.743073,55.185928,931.144226,389.829529,-102.251549,975.211853,392.352692,-22.403446,970.222595,285.626404,-250.650345,490.027252,366.580383,-290.278748,98.637123,411.190247,-250.084244,75.586159,294.043518,99.916611,480.281738,377.287628,158.800369,125.391853,416.180695,98.127602,72.282967,282.38324,-160.402985,475.152161,341.213989,-211.231552,103.004929,244.182983,-316.061096,49.256111,207.612778,-254.472794,60.101089,252.576767,167.916443,52.493172,214.583832,106.483536,62.492973,352.065521,45.42802,116.350456,301.024963,5.44884,466.436951
7,0,211.318832,-197.928238,925.802185,215.726944,55.196125,931.132263,389.851013,-102.394356,975.207825,392.358704,-22.478897,970.254639,285.667267,-250.684891,490.066162,366.608673,-290.291473,98.674149,411.181671,-250.164337,75.468452,294.060852,99.913322,480.303162,377.339294,158.781601,125.387459,416.239349,98.088356,72.236977,282.326782,-160.157059,475.289551,341.219788,-211.265228,103.003082,244.173157,-316.084869,49.293686,207.615402,-254.474991,60.091259,252.580582,167.902664,52.448822,214.582779,106.488159,62.526077,352.0867,45.414616,116.330841,301.044586,5.380796,466.477325
8,0,211.229309,-197.911209,925.793091,215.732437,55.243256,931.147705,389.882812,-102.499008,975.341309,392.313599,-22.559219,970.280212,285.697632,-250.703598,490.060822,366.602234,-290.291748,98.666809,411.197723,-250.140518,75.506897,294.087646,99.931351,480.331268,377.345459,158.780029,125.397591,416.209473,98.069214,72.231888,282.208374,-159.78447,475.458069,341.219452,-211.257767,103.036148,244.171204,-316.072113,49.270859,207.609222,-254.464859,60.10339,252.703491,167.842499,52.431259,214.651306,106.434357,62.427879,352.089966,45.410988,116.32457,301.071594,5.398195,466.45993
9,0,211.126678,-197.878616,925.735718,215.723801,55.219276,931.14209,389.815857,-102.565048,975.348145,392.244568,-22.617029,970.310486,285.702209,-250.693771,490.079376,366.604584,-290.30722,98.66748,411.18042,-250.153625,75.477669,294.142029,99.874542,480.308136,377.356232,158.76886,125.40889,416.379272,98.001152,71.817879,281.946777,-159.227905,475.661102,341.252075,-211.281815,103.048073,244.188065,-316.084259,49.270683,207.622421,-254.488174,60.08292,252.730972,167.798645,52.438019,214.635391,106.430435,62.437134,352.164368,45.399994,116.358826,301.061127,5.376008,466.530304
10,0,210.959991,-197.874832,925.725769,215.540924,55.305801,931.036926,389.735992,-102.612343,975.438965,392.17041,-22.700769,970.277222,285.730988,-250.740524,490.119507,366.582977,-290.279053,98.698502,411.2034,-250.182983,75.468773,294.186646,99.859039,480.32373,377.335846,158.786469,125.432266,416.284607,98.028999,72.164711,281.659576,-158.736649,475.837006,341.229004,-211.267334,103.069366,244.206482,-316.095398,49.250046,207.616882,-254.480682,60.059418,252.750839,167.796967,52.429897,214.684784,106.390823,62.507965,352.12851,45.411205,116.384613,301.072296,5.301066,466.570007
11,0,210.841324,-197.875809,925.731934,215.451569,55.317238,931.039368,389.669617,-102.72802,975.440002,392.063324,-22.744946,970.298706,285.666779,-250.750336,490.104797,366.575745,-290.286194,98.683899,411.161438,-250.157776,75.480476,294.172638,99.84816,480.344269,377.494263,158.752151,125.300407,416.419403,97.997444,71.865822,280.54068,-157.293991,476.112183,341.227234,-211.266617,103.05722,244.190063,-316.106903,49.243755,207.608047,-254.477615,60.090443,252.776123,167.779602,52.37027,214.659332,106.418953,62.501839,352.12262,45.406422,116.405708,301.074646,5.241003,466.617523
12,0,210.700516,-197.886841,925.730225,215.380341,55.346268,931.047913,389.571075,-102.80307,975.452393,392.00351,-22.813599,970.305603,285.656982,-250.780167,490.121399,366.599213,-290.287933,98.680977,411.145874,-250.10556,75.547966,294.182281,99.87114,480.322144,377.331329,158.782349,125.404167,416.397522,97.990898,71.842377,282.055969,-159.652451,475.005768,341.250183,-211.260147,103.090759,244.176376,-316.10675,49.266106,207.635818,-254.465347,60.089569,252.767975,167.76384,52.434437,214.580215,106.475037,62.528976,352.166534,45.401096,116.434967,301.067413,5.29396,466.587524
