,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,210.937363,-200.280029,947.036011,221.548477,26.265656,946.149536,375.376007,-134.313751,986.986694,379.046173,-48.039402,991.321289,298.628693,-264.857788,482.603119,367.792542,-287.867859,87.778328,411.978149,-248.956863,69.858757,303.62326,94.341476,487.968689,375.252899,137.122787,93.656258,413.631104,94.213951,72.956657,324.228027,-179.348419,467.975525,353.071198,-211.244904,92.568169,256.493195,-308.758636,52.101913,214.787933,-239.658844,57.274216,260.235504,166.797897,53.223526,220.844757,101.491142,61.020252,348.821075,62.69273,99.02375,326.501465,2.459474,465.349915
2,0,210.921005,-200.299072,947.037964,221.551514,26.266193,946.165344,375.370819,-134.351791,986.984558,378.961548,-48.084667,991.374207,298.595734,-264.844025,482.618011,367.777771,-287.8508,87.776817,412.178955,-248.861526,70.124306,303.635559,94.335777,487.966034,375.280975,137.133865,93.667221,413.626984,94.213631,72.962509,324.208252,-179.333572,467.949524,353.114258,-211.248779,92.556366,256.521332,-308.731079,52.104416,214.789551,-239.657455,57.294518,260.250061,166.794662,53.21175,220.871429,101.470222,61.025288,348.839478,62.699249,99.014297,326.483856,2.46491,465.347321
3,0,210.933365,-200.294174,947.048401,221.560333,26.253508,946.153442,375.366974,-134.35376,986.997131,379.028687,-48.072723,991.306152,298.552338,-264.857697,482.616577,367.774628,-287.777588,87.828445,412.172943,-248.991653,70.050674,303.642883,94.333138,487.958923,375.270508,137.120865,93.663803,413.639465,94.211105,72.96875,324.162445,-179.339462,467.938629,353.071045,-211.21965,92.568428,256.524902,-308.742035,52.095078,214.811676,-239.651932,57.267601,260.238007,166.79245,53.211102,220.856613,101.478561,61.01815,348.83728,62.69096,99.020782,326.422577,2.477216,465.142944
4,0,210.885483,-200.328262,947.06427,221.566177,26.252815,946.16272,375.288086,-134.428375,986.955017,379.027771,-48.112141,991.29834,298.555328,-264.87442,482.607422,367.754028,-287.866608,87.755829,412.154236,-248.859131,70.141464,303.623291,94.318642,487.958832,375.239136,137.121582,93.639183,413.621124,94.200668,72.956963,324.131195,-179.328598,467.970856,353.069916,-211.243729,92.557419,256.522888,-308.734497,52.110802,214.81076,-239.660599,57.269127,260.249054,166.7668,53.203426,220.857437,101.473404,61.034657,348.858032,62.708244,99.00547,326.457153,2.465827,465.136505
5,0,210.895157,-200.345673,947.057922,221.561234,26.25798,946.169434,375.342499,-134.430557,986.94812,379.014557,-48.125202,991.286255,298.526581,-264.891937,482.616669,367.77948,-287.853394,87.734787,412.143158,-248.875183,70.102982,303.627716,94.316879,487.954681,375.26358,137.103287,93.648773,413.611725,94.210526,72.951164,324.145752,-179.341705,467.95639,352.974854,-211.090378,92.580101,256.528229,-308.719025,52.120434,214.779617,-239.659485,57.296303,260.254578,166.784149,53.214455,220.86293,101.484657,61.035698,348.917633,62.728107,99.155632,326.481812,2.471855,465.147919
6,0,210.895065,-200.381699,947.069763,221.570145,26.224934,946.149597,375.329071,-134.458527,986.945129,378.964447,-48.174423,991.327881,298.506195,-264.910278,482.611267,367.750763,-287.880859,87.751266,412.152954,-249.022736,70.009155,303.622131,94.321915,487.955627,375.23761,137.095703,93.645218,413.626099,94.211143,72.938553,324.070129,-179.407654,467.869965,353.071655,-211.230087,92.578354,256.510468,-308.73468,52.13216,214.78804,-239.660309,57.292667,260.275726,166.783524,53.218578,220.880081,101.469437,61.015591,348.858337,62.688595,99.026512,326.470245,2.436445,465.144958
7,0,210.886124,-200.386871,947.100281,221.580185,26.209106,946.163757,375.337616,-134.459015,986.939575,379.032043,-48.158409,991.278564,298.496887,-264.912292,482.624481,367.744202,-287.888947,87.750465,412.188751,-248.87973,70.095818,303.637756,94.352028,487.96109,375.282501,137.108749,93.653358,413.645355,94.216881,72.950798,324.078094,-179.387833,467.868347,353.078674,-211.261719,92.580437,256.532654,-308.729279,52.14217,214.790695,-239.6707,57.286911,260.270691,166.750565,53.199249,220.897812,101.479515,61.031563,348.835449,62.712631,99.014328,326.474243,2.469009,465.144135
8,0,210.89418,-200.382477,947.10553,221.618332,26.191528,946.168152,375.36554,-134.488327,986.898071,379.06546,-48.166214,991.258728,298.434601,-264.924927,482.641266,367.790375,-287.876007,87.750595,412.166168,-248.883331,70.105392,303.638824,94.34771,488.025696,375.251556,137.102097,93.635635,413.644257,94.198601,72.943398,324.116425,-179.324783,467.929413,353.065247,-211.204727,92.605103,256.539368,-308.734222,52.131603,214.809219,-239.670471,57.2761,260.27356,166.79245,53.228981,220.891098,101.4785,61.028412,348.942902,62.721676,99.123627,326.43866,2.42424,465.14682
9,0,210.909241,-200.420242,947.138855,221.640594,26.181181,946.17572,375.403107,-134.504776,986.900085,379.020935,-48.253471,991.259277,298.422211,-264.940887,482.623596,367.778412,-287.895752,87.730125,412.181488,-248.871338,70.112679,303.576599,94.250801,488.06134,375.246857,137.097351,93.628937,413.631409,94.229141,72.955849,324.095886,-179.392136,467.967468,353.069519,-211.257721,92.576378,256.546722,-308.718323,52.138382,214.794922,-239.660446,57.306767,260.288025,166.780884,53.225964,220.900635,101.460464,61.026802,348.8573,62.69054,99.062492,326.391357,2.384594,465.119751
10,0,210.917038,-200.457016,947.168152,221.636154,26.163462,946.214294,375.43103,-134.539703,986.870544,379.074615,-48.278278,991.236511,298.343079,-264.9505,482.62561,367.766907,-287.874756,87.718521,412.192535,-248.866364,70.107674,303.529816,94.147469,488.09671,375.274017,137.088272,93.658485,413.636444,94.209831,72.96315,323.931671,-179.607132,467.934814,353.104919,-211.227295,92.578629,256.526337,-308.69574,52.155224,214.80336,-239.677338,57.288727,260.267273,166.77739,53.226822,220.901581,101.45845,61.032352,348.932678,62.728695,99.097923,326.379913,2.349904,465.124084
