,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,239.181427,-201.680298,947.167725,240.598358,24.395967,942.658447,398.950409,-129.831985,992.054138,399.017822,-43.139496,997.567871,306.200836,-266.29364,481.67392,363.58316,-295.047485,87.203819,409.240082,-257.877441,68.723717,312.761292,98.977135,487.663361,364.924103,149.346863,90.298264,416.198273,107.097984,71.793396,334.838226,-180.170059,465.600708,352.051392,-217.669098,91.309784,251.736526,-312.249786,51.769295,212.832077,-241.304657,57.438282,257.96698,171.463959,52.455509,223.317413,103.133873,61.478615,357.287079,72.523636,100.568687,338.596954,7.009764,463.221283
2,0,239.418579,-201.636612,947.171997,240.805649,24.436169,942.670166,399.142059,-129.780579,992.082581,399.25296,-43.083939,997.609558,306.372192,-266.26889,481.672333,363.549988,-295.086334,87.230782,409.377197,-257.860748,68.859932,312.811737,98.978142,487.673706,365.200714,149.348068,90.354721,416.2211,107.052826,71.814217,334.996155,-180.146439,465.565491,352.049683,-217.705704,91.275047,251.735474,-312.256439,51.793373,212.832932,-241.289581,57.450375,257.945007,171.470367,52.454113,223.309799,103.13134,61.480591,357.290649,72.529709,100.54998,338.478699,6.84633,463.118347
3,0,239.577179,-201.7491,947.148376,240.829193,24.530195,942.714844,399.358765,-129.736938,992.143921,399.500092,-42.977077,997.650513,306.971985,-266.115662,481.698517,363.604065,-295.047699,87.211098,409.288055,-257.87085,68.733337,312.900299,98.983154,487.652649,364.991272,149.566376,90.385002,416.050476,107.088333,71.782806,335.206512,-180.140839,465.53595,352.104065,-217.728409,91.289444,251.733902,-312.238647,51.787357,212.85379,-241.28775,57.426907,257.952789,171.469498,52.444729,223.310211,103.137779,61.473179,357.27243,72.517342,100.562859,338.670593,7.022658,463.225067
4,0,239.75325,-201.689011,947.151184,241.061966,24.573931,942.731628,399.519165,-129.7061,992.144714,399.670288,-42.941746,997.681274,306.95871,-266.163025,481.705933,363.608673,-295.075165,87.232384,409.285583,-257.846558,68.736938,313.01059,99.001968,487.637177,364.924805,149.455139,90.346054,416.039062,107.075661,71.776558,335.46463,-180.099747,465.56015,352.097107,-217.717148,91.277946,251.711731,-312.253021,51.794426,212.864883,-241.271194,57.449654,257.9534,171.458298,52.438934,223.321899,103.154518,61.475815,357.290466,72.534706,100.582985,338.718018,7.058403,463.223785
5,0,239.916122,-201.612503,947.156677,241.254333,24.608076,942.734009,399.599854,-129.700333,992.156433,399.845093,-42.934006,997.727295,307.132172,-266.124268,481.692566,363.6521,-295.125153,87.14254,409.376343,-257.835846,68.827148,313.143097,99.015892,487.621429,365.028412,149.530182,90.371613,416.065857,107.045494,71.770103,335.686615,-180.110916,465.572998,352.127869,-217.680054,91.27607,251.716675,-312.218384,51.777336,212.857925,-241.281693,57.423153,257.969788,171.476715,52.441647,223.341949,103.158798,61.487595,357.108978,72.781647,100.618919,338.780487,7.050004,463.200745
6,0,240.096161,-201.53273,947.120667,241.587738,24.602945,942.741028,399.769287,-129.676514,992.173889,400.070618,-42.874916,997.761475,307.340515,-266.113525,481.695557,363.633942,-295.094391,87.223373,409.312897,-257.871643,68.700294,313.276917,99.056633,487.621033,365.033356,149.512924,90.360794,416.067657,107.047913,71.781441,335.859711,-180.089127,465.599457,352.139679,-217.657043,91.290123,251.746155,-312.251465,51.798275,212.829788,-241.283844,57.44973,257.951447,171.460953,52.435856,223.331223,103.175072,61.490089,357.126526,72.79129,100.579773,338.858307,7.091094,463.21698
7,0,240.223816,-201.481064,947.086243,241.780273,24.655403,942.75769,399.989777,-129.598938,992.168518,400.258331,-42.862267,997.776489,307.750763,-266.069336,481.699921,363.606293,-295.054291,87.198975,409.425812,-257.850922,68.839775,313.388641,99.110954,487.61853,365.039642,149.529984,90.364113,416.057007,107.036041,71.746033,336.002594,-180.06221,465.531738,352.146301,-217.647324,91.330688,251.749161,-312.256927,51.800568,212.859634,-241.303055,57.426563,257.9534,171.48642,52.460648,223.331009,103.156265,61.504471,357.146698,72.782112,100.59346,338.921844,7.128638,463.221252
8,0,240.32959,-201.407242,947.074097,241.976776,24.715633,942.753845,400.127136,-129.564087,992.154053,400.422272,-42.852108,997.78241,307.934387,-266.070679,481.691772,363.640808,-295.071808,87.20327,409.302734,-257.835358,68.691269,313.580292,99.140739,487.592163,365.053528,149.52533,90.341942,416.220917,107.034019,71.760986,336.220551,-180.085052,465.500732,352.191772,-217.634903,91.323349,251.741714,-312.227234,51.788292,212.884872,-241.298309,57.421185,257.972595,171.49585,52.450123,223.361618,103.195053,61.503754,357.326355,72.622459,100.59201,339.065094,7.174868,463.198029
9,0,240.442627,-201.35054,947.032654,242.164459,24.779037,942.781982,400.277069,-129.540802,992.144775,400.398163,-42.898342,997.678955,308.103424,-266.076691,481.688904,363.656097,-295.065582,87.209991,409.443848,-257.816254,68.821655,313.774994,99.18882,487.58371,364.960449,149.347656,90.266068,416.253143,107.247704,71.779709,336.416748,-180.104492,465.529724,352.193481,-217.650558,91.329994,251.743195,-312.235107,51.779602,212.866318,-241.330795,57.439316,257.97995,171.495926,52.44083,223.347397,103.222916,61.524193,357.193634,72.832008,100.622475,339.143494,7.228446,463.221008
10,0,240.526611,-201.247116,947.023804,242.357132,24.850826,942.787598,400.279449,-129.531021,992.061829,400.760101,-42.830383,997.785461,307.986359,-266.228485,481.668701,363.870758,-295.070312,87.121506,409.418304,-257.854187,68.804909,313.974457,99.22184,487.575073,365.153778,149.159805,90.239609,416.192657,107.21463,71.72226,336.668121,-180.082306,465.486511,352.220459,-217.644302,91.330368,251.745407,-312.234528,51.783707,212.887619,-241.319336,57.426907,257.990479,171.50383,52.448208,223.357666,103.196159,61.508465,357.338989,72.658508,100.590202,339.275421,7.254071,463.232635
11,0,240.60379,-201.17244,946.969055,242.553085,24.94289,942.808594,400.414764,-129.523972,992.045654,400.94632,-42.83646,997.779907,308.32785,-266.202698,481.653015,363.680695,-295.08667,87.211533,409.438568,-257.856415,68.80217,314.172272,99.268257,487.579529,364.927643,149.206223,90.22673,416.109283,107.051727,71.732368,336.876892,-180.124863,465.464813,352.228577,-217.614838,91.358551,251.747437,-312.233337,51.802711,212.886749,-241.322708,57.430058,258.015961,171.493698,52.440304,223.348221,103.193291,61.524326,357.314514,72.670044,100.589745,339.417877,7.28341,463.259827
12,0,240.677368,-201.084869,946.961243,242.742218,24.991039,942.832947,400.501221,-129.564651,992.01593,400.892395,-42.935513,997.662537,308.473785,-266.253235,481.64975,363.943146,-295.088348,87.187592,409.431641,-257.871613,68.772438,314.297516,99.329643,487.58667,365.121918,149.478439,90.296173,416.252808,107.194374,71.779503,337.069183,-180.142395,465.436584,352.238556,-217.621536,91.349052,251.753784,-312.230682,51.796124,212.922638,-241.358292,57.41478,258.007996,171.509476,52.432266,223.39093,103.209343,61.530964,357.335205,72.677277,100.574371,339.509796,7.309445,463.26532
13,0,240.714706,-201.002747,946.940186,242.923599,25.059399,942.854919,400.640442,-129.577469,991.993652,401.074951,-42.962685,997.688171,308.434448,-266.338348,481.653198,363.726135,-295.114929,87.203781,409.387115,-257.850433,68.677208,314.463165,99.343956,487.550873,365.130615,149.464737,90.302864,416.130646,107.066292,71.707047,337.240875,-180.166153,465.454041,352.269592,-217.629303,91.357277,251.775986,-312.240875,51.79615,212.96373,-241.357056,57.441761,258.003296,171.538971,52.438564,223.401917,103.235924,61.539623,357.338562,72.705017,100.579979,339.5896,7.38423,463.260651
