,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,212.488159,-190.473068,948.662537,242.254181,33.721226,951.954163,382.69281,-137.751999,983.449768,393.552521,-53.978745,988.260376,293.809845,-260.38324,482.922394,366.460297,-286.78476,87.828201,410.296295,-247.552856,70.021286,308.427032,97.556473,490.583679,373.46759,140.403458,93.851639,412.311401,97.883026,72.89875,320.379578,-174.74852,467.354614,350.723511,-210.06749,92.274635,255.909714,-308.829559,52.964016,213.049713,-241.760635,56.970436,256.782745,167.588623,53.105076,219.540344,100.833862,61.109734,348.089142,65.299667,99.814133,327.638031,4.643021,466.559021
2,0,212.756653,-190.547867,948.598022,242.181702,33.672298,951.945496,382.87912,-137.557312,983.565979,393.579712,-53.752567,988.402039,294.35376,-260.280365,482.906189,366.617157,-286.855865,87.864815,410.21817,-247.546326,70.019775,308.496429,97.611343,490.592896,373.465363,140.385971,93.850098,412.323547,97.882492,72.903847,320.627045,-174.72934,467.345978,350.741638,-210.085083,92.269447,255.928604,-308.839386,52.979557,213.069748,-241.765045,57.001747,256.769623,167.584854,53.086609,219.556992,100.812325,61.110764,348.120941,65.300957,99.822807,327.743774,4.654371,466.587769
3,0,213.053482,-190.601135,948.521729,242.119217,33.628109,951.92395,383.050476,-137.338226,983.641602,393.597687,-53.54681,988.491882,294.663361,-260.298676,482.992523,366.373077,-286.816681,87.88942,410.228363,-247.565262,70.000786,308.58139,97.662231,490.596069,373.482727,140.372543,93.839249,412.330963,97.879097,72.922462,320.894897,-174.700882,467.325134,350.762817,-210.064835,92.260056,255.954742,-308.841614,52.949169,213.102325,-241.785706,57.003124,256.773285,167.567383,53.078751,219.544449,100.806168,61.109287,348.10321,65.279846,99.840919,327.84436,4.722028,466.565063
4,0,213.298477,-190.642685,948.468079,242.055237,33.599323,951.913574,383.253082,-137.071228,983.739624,393.618958,-53.256203,988.675232,295.026154,-260.330261,483.022461,366.679291,-286.829651,87.873062,410.213776,-247.501907,69.982597,308.688324,97.738892,490.611603,373.428497,140.341797,93.81089,412.328491,97.900307,72.894516,321.185822,-174.68103,467.336395,350.784607,-210.080643,92.247444,255.958084,-308.815521,52.946671,213.108231,-241.775162,57.043053,256.775177,167.592865,53.086025,219.559586,100.821228,61.130001,348.13031,65.277405,99.843971,327.970581,4.735943,466.615265
5,0,213.602539,-190.65918,948.388672,241.980377,33.567245,951.892883,383.404236,-136.834534,983.799377,393.618439,-52.990753,988.789917,295.231506,-260.413788,483.006256,366.749786,-287.070953,87.803413,410.330536,-247.473267,69.91893,308.790222,97.819916,490.615356,373.461365,140.39592,93.80442,412.334778,97.917717,72.902512,321.407104,-174.644409,467.267761,350.793091,-210.027115,92.270775,255.972214,-308.825104,52.938904,213.119202,-241.821533,57.013821,256.777954,167.475098,52.952801,219.54567,100.823837,61.118137,348.035797,65.464752,99.873459,328.345642,5.244061,466.603363
6,0,213.802109,-190.696732,948.312866,241.896744,33.574375,951.864441,383.551422,-136.626495,983.849548,393.608063,-52.722328,988.87854,295.627014,-260.409637,483.016113,366.74176,-286.751007,87.889961,410.355743,-247.452515,69.915565,308.847107,97.913963,490.619629,373.421661,140.36174,93.744446,412.351624,97.913727,72.903816,321.659821,-174.599442,467.258423,350.838165,-210.045349,92.272758,256.013458,-308.841858,52.950047,213.112793,-241.835922,57.032635,256.74704,167.54715,53.026035,219.552582,100.841034,61.111237,348.043701,65.492882,99.873756,328.490143,5.318012,466.644958
7,0,214.036819,-190.763,948.227722,241.762253,33.639851,951.877563,383.658447,-136.37027,983.895081,393.633606,-52.471767,988.989258,296.044159,-260.443329,483.021484,366.509827,-286.733368,87.861969,410.393036,-247.418045,69.926949,308.951477,97.991425,490.637085,373.383301,140.361313,93.699753,412.315308,97.88195,72.979729,321.869873,-174.580765,467.200653,350.853943,-209.995453,92.271454,256.020691,-308.861298,52.946217,213.102188,-241.863297,57.029797,256.713684,167.304657,53.002388,219.554382,100.841171,61.114391,348.057434,65.490837,99.909317,328.417267,5.106305,466.646332
8,0,214.236191,-190.784821,948.147949,241.690201,33.550873,951.836121,383.801514,-136.137939,983.978821,393.581146,-52.214649,989.024475,296.423889,-260.428955,483.019073,366.581573,-286.692322,87.865746,410.31662,-247.380463,69.924225,309.04895,98.045219,490.640076,373.380676,140.410736,93.695435,412.358337,97.91951,72.947975,322.01416,-174.545731,467.179077,350.876678,-210.008453,92.266022,256.045624,-308.874268,52.949989,213.14267,-241.893463,57.080078,256.671478,167.363678,53.10297,219.552368,100.841881,61.120018,348.040649,65.527145,99.945274,328.525299,5.188158,466.660156
9,0,214.4328,-190.847382,948.068237,241.628906,33.55378,951.826599,383.900116,-135.946243,984.026367,393.59729,-51.99057,989.130737,296.738403,-260.425232,483.035004,366.856934,-286.836212,87.926506,410.324066,-247.365433,69.898041,309.124512,98.105087,490.651978,373.430084,140.440369,93.766106,412.377838,97.931747,72.973885,322.17395,-174.516586,467.144653,350.866272,-209.983566,92.244057,256.063873,-308.884552,52.923122,213.130829,-241.905899,57.077324,256.685944,167.352463,53.085598,219.55571,100.833847,61.111298,348.044067,65.525764,99.972916,328.70343,5.262384,466.730133
10,0,214.640137,-190.857162,948.009216,241.566895,33.553902,951.793091,383.974365,-135.750229,984.080139,393.603943,-51.760784,989.240112,297.015778,-260.434814,483.029938,366.851532,-286.824463,87.906013,410.389648,-247.331039,69.862816,309.216095,98.187042,490.641357,373.358795,140.305527,93.696259,412.366852,97.955322,72.950912,322.2659,-174.47261,467.090546,350.873505,-209.969345,92.246544,256.028076,-308.87619,52.921108,213.135712,-241.963501,57.059826,256.695618,167.347733,53.080486,219.560226,100.839905,61.111637,348.074097,65.547295,100.006912,328.862671,5.323538,466.793365
