,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,223.667297,-192.166229,947.958374,242.822708,33.763138,947.592896,389.586426,-133.820633,988.940552,396.902161,-47.257809,996.335266,301.529144,-261.809875,483.262756,363.978546,-290.169403,87.738197,409.053802,-252.511139,69.396248,318.301483,100.884354,491.264984,369.26059,164.622681,124.863152,420.149384,100.310745,73.149567,328.841736,-177.330887,467.461639,351.264496,-212.787766,92.344139,251.323792,-307.239655,51.87981,212.208679,-236.471756,57.657051,264.127472,168.940369,51.964306,227.355347,102.196861,62.463295,359.625397,49.344967,113.821884,336.152802,7.544018,466.596039
2,0,223.4758,-191.963531,947.958069,243.023346,33.895538,947.59967,389.51886,-133.960175,988.896973,396.973267,-47.414177,996.294678,301.367767,-261.774109,483.279938,363.957336,-290.200531,87.762688,409.056824,-252.54863,69.403931,318.44577,100.900467,491.269318,369.278473,164.629074,124.834656,420.14447,100.307587,73.143394,328.777161,-177.311554,467.450043,351.278656,-212.795212,92.349892,251.320755,-307.198334,51.881779,212.212097,-236.512405,57.657856,264.134338,168.954987,51.987839,227.32756,102.234253,62.499641,359.623932,49.333988,113.843292,336.191895,7.567907,466.577759
3,0,223.2995,-191.795441,947.950378,243.225922,34.00288,947.614807,389.475128,-134.096817,988.884277,397.039276,-47.584503,996.27478,300.883301,-261.79837,483.171844,363.927795,-290.194672,87.743286,409.022552,-252.504166,69.439575,318.582336,100.929192,491.28595,369.317169,164.634384,124.853699,420.169098,100.312027,73.128784,328.704865,-177.25531,467.516815,351.240204,-212.787399,92.350227,251.313782,-307.21048,51.873611,212.171768,-236.437317,57.613392,264.137451,168.948044,51.958122,227.356155,102.215935,62.489487,359.654938,49.360458,113.843697,336.303162,7.543813,466.591736
4,0,223.121567,-191.656555,947.972839,243.422974,34.126751,947.647522,389.411499,-134.212051,988.829468,397.117889,-47.762264,996.248779,300.632538,-261.730103,483.174744,363.968964,-290.305237,87.665237,409.025574,-252.528763,69.440788,318.686523,100.937813,491.306854,369.3255,164.60434,124.854553,420.139038,100.26358,73.129845,328.528107,-177.197418,467.571472,351.246552,-212.787552,92.323204,251.311386,-307.094177,52.02182,212.178421,-236.428467,57.624123,264.114685,168.94252,51.976162,227.348206,102.24276,62.495647,359.64209,49.332359,113.845581,336.312469,7.55936,466.558228
5,0,222.940079,-191.506088,947.988342,243.576355,34.21434,947.702393,389.358978,-134.317032,988.759094,397.19632,-47.899109,996.235046,300.398743,-261.642395,483.170715,363.941284,-290.156799,87.748894,409.009521,-252.519989,69.460701,318.734314,100.926559,491.334839,369.336731,164.600067,124.864769,420.149261,100.287224,73.15892,328.419495,-177.151611,467.694489,351.262329,-212.762054,92.345406,251.293839,-307.210144,51.886322,212.168137,-236.460297,57.683071,264.140625,168.958191,51.974567,227.323059,102.257767,62.480587,359.634857,49.331581,113.836067,336.304108,7.532639,466.611633
6,0,222.746826,-191.402451,948.00415,243.733475,34.291374,947.742432,389.284882,-134.43399,988.717712,397.235107,-48.041489,996.179626,300.11087,-261.534424,483.148773,363.851257,-290.133331,87.765182,408.972809,-252.495193,69.481804,318.781708,100.932533,491.337128,369.350922,164.592514,124.862625,420.120361,100.253143,73.143753,328.239349,-177.165451,467.752716,351.21344,-212.749802,92.311417,251.257248,-307.191956,51.907642,212.127487,-236.398773,57.627613,264.137848,168.968811,51.97657,227.340164,102.256393,62.540703,359.648773,49.345146,113.846954,336.291382,7.510757,466.630493
7,0,222.581512,-191.304398,948.023926,243.88121,34.353817,947.787659,389.209076,-134.528458,988.685852,397.298553,-48.170662,996.140259,299.84967,-261.448456,483.115723,363.815094,-290.141479,87.775055,408.964294,-252.491867,69.506546,318.801636,100.92791,491.365417,369.324127,164.566895,124.88517,420.10141,100.240189,73.140251,328.101166,-177.12027,467.942291,351.213165,-212.746094,92.308281,251.265228,-307.154114,51.888535,212.142075,-236.409225,57.641651,264.132507,168.966797,51.975449,227.321136,102.262581,62.538704,359.633545,49.333073,113.848869,336.2388,7.481996,466.670166
8,0,222.401901,-191.195053,948.041138,243.97731,34.433456,947.839233,389.106628,-134.622406,988.665466,397.33609,-48.258381,996.130981,299.579376,-261.369537,483.108032,363.809937,-290.110748,87.780167,408.93515,-252.475861,69.53318,318.787415,100.910851,491.363403,369.332214,164.568527,124.88179,420.087036,100.247551,73.14975,327.931366,-177.107742,467.991577,351.218384,-212.751953,92.295898,251.241058,-307.147064,51.902317,212.116791,-236.364166,57.610931,264.131927,168.965332,51.954506,227.307205,102.288979,62.510593,359.608643,49.316845,113.85965,336.153961,7.432642,466.69635
9,0,222.202759,-191.078018,948.078918,244.061905,34.487297,947.874023,389.038757,-134.728485,988.619873,397.354553,-48.388565,996.104431,299.444946,-261.25647,483.161346,363.56076,-290.119995,87.749496,408.951538,-252.441025,69.564926,318.703217,100.87957,491.362427,369.323669,164.54718,124.875717,420.087433,100.212502,73.169968,327.815887,-177.008865,467.993073,351.232056,-212.77272,92.293381,251.228027,-307.134552,51.897758,212.120987,-236.393082,57.632759,264.143341,168.9673,51.958473,227.314865,102.270348,62.506683,359.57962,49.299156,113.856415,336.059692,7.486037,466.689972
10,0,222.006317,-191.002838,948.100647,244.14476,34.541615,947.914246,388.956909,-134.773758,988.583984,397.405853,-48.443497,996.080627,299.216583,-261.218811,483.171051,363.768097,-290.121948,87.799942,408.960876,-252.444061,69.587906,318.651459,100.858887,491.382111,369.306427,164.532791,124.90686,420.080017,100.223129,73.184242,327.536621,-177.061874,467.786713,351.196381,-212.756622,92.313477,251.244751,-307.129272,51.908924,212.094879,-236.340332,57.57576,264.137573,168.961685,51.949913,227.29213,102.291336,62.553303,359.582245,49.26305,113.811401,336.174835,7.914285,466.629883
