,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,235.242981,-192.466751,947.374023,240.882126,31.569332,947.052612,397.679688,-124.993561,989.526001,399.109161,-38.975021,995.349182,304.763763,-263.308746,482.063568,361.770447,-300.112091,86.914856,410.561523,-266.480743,68.808456,309.65332,105.543327,490.734833,353.651062,174.951904,121.640724,413.037933,117.217148,72.908447,336.46051,-178.876495,465.431091,355.757446,-222.15892,91.827103,249.113937,-307.823669,51.564594,215.862091,-234.590866,58.231258,250.749496,168.556671,52.4884,221.360825,98.537956,62.455566,361.236877,59.074268,112.020073,338.377411,14.728101,465.811737
2,0,235.090881,-192.467728,947.359924,240.750671,31.562199,947.034851,397.568054,-125.03196,989.55481,399.073242,-38.957451,995.403381,304.739197,-263.340881,482.055389,361.721191,-300.111267,86.934685,410.565338,-266.494598,68.812325,309.631348,105.55188,490.731415,353.672821,174.945038,121.639778,413.06073,117.227692,72.940147,336.426422,-178.897781,465.423706,355.742279,-222.163605,91.813438,249.124832,-307.832001,51.587936,215.838425,-234.591797,58.214268,250.792419,168.576401,52.488205,221.324783,98.490417,62.378151,361.22702,59.062206,112.013916,338.373352,14.704248,465.828003
3,0,234.939148,-192.499161,947.327332,240.643936,31.55217,947.019958,397.417999,-125.071304,989.582458,398.924683,-39.00066,995.401733,304.696167,-263.381683,482.037445,361.72464,-300.136108,86.919899,410.53183,-266.502106,68.795097,309.614563,105.534988,490.728424,353.674561,174.925018,121.631935,413.052155,117.218224,72.913704,336.385773,-178.92601,465.406403,355.754028,-222.14325,91.846947,249.147324,-307.828888,51.570824,215.850372,-234.59111,58.220791,250.775284,168.550446,52.490795,221.324997,98.503136,62.373821,361.236633,59.050255,112.014412,338.333252,14.683105,465.828674
4,0,234.795212,-192.488998,947.292358,240.536804,31.526815,946.972412,397.287476,-125.095131,989.596069,398.816956,-39.034859,995.417786,304.632751,-263.391693,482.037323,362.019531,-300.172791,86.963486,410.542908,-266.504486,68.788757,309.597321,105.535789,490.711792,353.660583,174.952179,121.643639,413.040588,117.20903,72.916672,336.340698,-178.951447,465.417297,355.744049,-222.18158,91.821396,249.119354,-307.834076,51.580112,215.810074,-234.579803,58.242317,250.769165,168.565781,52.485992,221.324539,98.555168,62.464928,361.224945,59.074265,112.009071,338.336212,14.70121,465.816254
5,0,234.623749,-192.499954,947.291443,240.413055,31.536705,946.94751,397.140076,-125.146851,989.590759,398.780518,-39.047932,995.465271,304.601776,-263.439178,482.03241,361.719635,-300.180481,86.91008,410.533844,-266.522461,68.797478,309.601654,105.516541,490.720703,353.665771,174.921524,121.639671,413.07254,117.222519,72.91188,336.283447,-178.987518,465.405151,355.734039,-222.164413,91.843788,249.138351,-307.85379,51.585613,215.860138,-234.650436,58.308601,250.774033,168.566284,52.496811,221.347321,98.554749,62.469646,361.259735,59.066654,112.021942,338.282806,14.664684,465.789185
6,0,234.478516,-192.487915,947.267273,240.324112,31.516989,946.915771,397.025085,-125.164268,989.629272,398.622803,-39.081089,995.46936,304.5896,-263.466888,482.045197,361.949219,-300.230438,86.877579,410.55426,-266.543213,68.819344,309.569153,105.525879,490.703979,353.653778,174.929367,121.658394,413.059174,117.196594,72.933746,336.212891,-179.005295,465.425354,355.723022,-222.215729,91.853783,249.125992,-307.867096,51.578049,215.825317,-234.662796,58.287914,250.779129,168.567322,52.490379,221.338226,98.507103,62.354721,361.243835,59.044739,112.017265,338.289307,14.664433,465.796143
7,0,234.296417,-192.501648,947.269409,240.192627,31.511518,946.900757,397.069794,-125.214798,989.717834,398.480316,-39.141045,995.47168,304.565033,-263.517517,482.03418,361.929016,-300.264923,86.89492,410.586029,-266.611572,68.801086,309.549133,105.479301,490.697693,353.654785,174.911118,121.655724,413.064545,117.186302,72.933342,336.118744,-179.070084,465.418365,355.713226,-222.218536,91.890213,249.137558,-307.892883,51.560925,215.865219,-234.649017,58.241375,250.792557,168.567047,52.491032,221.333755,98.521034,62.373558,361.240387,59.045364,112.033531,338.285767,14.677834,465.791992
8,0,234.125748,-192.511536,947.244324,239.863815,31.723675,946.950867,396.918701,-125.243813,989.712646,398.336853,-39.166534,995.480835,304.526733,-263.577087,482.050629,361.998932,-300.269745,86.947815,410.550568,-266.614807,68.80793,309.538788,105.480682,490.686859,353.640472,174.906006,121.656693,413.036469,117.195259,72.943359,336.034698,-179.104172,465.430115,355.706757,-222.285248,91.914062,249.123779,-307.922943,51.543858,215.876694,-234.668976,58.252029,250.765594,168.570633,52.495548,221.336288,98.549202,62.449646,361.248657,59.031544,112.036728,338.24411,14.659585,465.80011
9,0,233.952911,-192.541733,947.241943,239.905914,31.482021,946.862122,396.809967,-125.242798,989.741455,398.25647,-39.185074,995.502258,304.718323,-263.59848,482.116791,361.977295,-300.304779,86.96698,410.603516,-266.637085,68.816124,309.518463,105.47036,490.695984,353.641418,174.89418,121.666176,413.070831,117.197662,72.97924,335.973022,-179.121338,465.408783,355.671295,-222.300858,91.921837,249.138855,-307.9487,51.522396,215.855515,-234.700745,58.263229,250.754379,168.556625,52.483315,221.314026,98.514717,62.357868,361.247955,59.039639,112.029282,338.20932,14.640246,465.793121
10,0,233.826019,-192.503357,947.235535,239.803818,31.491823,946.844666,396.655945,-125.27858,989.753174,398.105164,-39.189163,995.493225,304.738647,-263.66037,482.121094,361.723724,-300.412598,86.904312,410.564178,-266.676483,68.803497,309.496521,105.460045,490.67572,353.622162,174.89772,121.66716,413.059082,117.183411,72.94249,335.830872,-179.17482,465.42688,355.671478,-222.315125,91.975975,249.117111,-307.957672,51.51754,215.884186,-234.714584,58.257893,250.786667,168.579559,52.478233,221.337463,98.569801,62.426285,361.218201,59.029991,112.046394,338.195435,14.624801,465.813232
