,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,216.850098,-190.038284,951.07135,229.562088,35.286064,950.426575,383.005585,-126.708641,985.899475,388.271698,-41.04483,991.964966,300.179871,-258.211853,484.63266,364.381409,-284.544159,87.555656,407.014893,-244.130798,69.315407,299.994537,100.163788,490.965515,357.006317,163.54425,124.777962,412.373657,100.169624,74.233871,319.310608,-171.491013,468.180817,346.23349,-208.269424,93.50563,251.979614,-306.680969,51.742317,210.044815,-237.97702,58.492271,255.211349,167.503647,52.310326,219.049149,100.247948,61.208485,353.08371,47.962429,114.296837,322.996063,8.125228,467.500458
2,0,216.884979,-190.039383,951.071045,229.608093,35.286743,950.434204,383.036652,-126.725685,985.894775,388.334473,-41.080479,991.94989,300.255005,-258.173889,484.679413,364.563202,-284.411346,87.681076,407.021271,-244.142334,69.318001,299.989166,100.16156,490.958099,356.973633,163.396286,124.708832,412.393433,100.147263,74.114456,319.329529,-171.485397,468.18988,346.21463,-208.270432,93.518806,251.993088,-306.671906,51.756542,210.080978,-237.987549,58.478203,255.178757,167.592514,52.412045,219.053955,100.249336,61.192657,353.086548,47.959885,114.281799,323.002441,8.054407,467.514496
3,0,216.932343,-190.045746,951.070129,229.644211,35.266617,950.432495,383.078949,-126.749725,985.892212,388.373779,-41.113045,991.947449,300.243683,-258.208923,484.67923,364.568787,-284.425537,87.685898,407.031494,-244.142319,69.305748,300.029907,100.144051,490.952423,357.02948,163.54744,124.758591,412.352966,100.17144,74.223137,319.337921,-171.481277,468.1763,346.229553,-208.258636,93.528885,251.975143,-306.6763,51.7528,210.042343,-237.989532,58.492672,255.207443,167.505112,52.325928,219.039642,100.261604,61.202278,352.899597,47.858604,114.168556,322.999146,8.041656,467.492981
4,0,216.966629,-190.057251,951.070557,229.708939,35.270721,950.422302,383.117249,-126.783775,985.887085,388.435303,-41.118114,991.948059,300.256989,-258.190613,484.6474,364.55426,-284.412262,87.685837,407.007416,-244.148712,69.310486,300.049683,100.140488,490.960785,357.026428,163.545807,124.766487,412.367889,100.119934,74.091713,319.351837,-171.488388,468.178528,346.228546,-208.271988,93.519676,251.987732,-306.65213,51.741467,210.087723,-237.938614,58.437759,255.176788,167.595123,52.428368,219.030273,100.252716,61.213757,352.897308,47.878021,114.15728,323.020508,8.063382,467.499573
5,0,217.004227,-190.043198,951.092957,229.764206,35.285141,950.444031,383.14917,-126.794266,985.89447,388.470795,-41.141663,991.920898,300.249329,-258.190247,484.642944,364.523956,-284.424286,87.697327,407.035583,-244.167435,69.31041,300.047089,100.147469,490.967926,356.96756,163.387558,124.684761,412.375061,100.121338,74.112663,319.368164,-171.482803,468.167511,346.231812,-208.250504,93.513283,251.99762,-306.668091,51.737743,210.088852,-237.936035,58.422977,255.1884,167.599884,52.419006,219.051422,100.245354,61.190788,352.869659,47.87413,114.173538,323.008057,8.051681,467.483124
6,0,217.015869,-190.040726,951.092224,229.807098,35.264664,950.468567,383.206207,-126.804398,985.884338,388.507599,-41.164967,991.925842,300.164978,-258.23349,484.634308,364.561523,-284.414246,87.696762,407.019836,-244.169418,69.286163,300.065948,100.14917,490.966492,356.971558,163.406677,124.700417,412.376862,100.119682,74.102028,319.350006,-171.487686,468.193878,346.236389,-208.252975,93.518082,251.964783,-306.64801,51.725891,210.093826,-237.980225,58.464603,255.193527,167.59285,52.414459,219.045883,100.244827,61.19471,353.125549,47.964508,114.290047,322.832825,7.800917,467.509766
7,0,217.08284,-190.02774,951.115234,229.877563,35.267555,950.462097,383.242523,-126.819832,985.862793,388.543335,-41.191711,991.91394,300.225891,-258.183319,484.644501,364.533112,-284.406616,87.715828,407.032227,-244.160599,69.342773,300.080292,100.13755,490.968048,357.026733,163.527985,124.776146,412.361389,100.119751,74.101723,319.336273,-171.513153,468.172668,346.236237,-208.224152,93.521667,251.962692,-306.67276,51.732315,210.074203,-237.981506,58.454422,255.198456,167.51236,52.304279,219.057266,100.274864,61.201519,352.90976,47.896839,114.184509,322.733795,7.812747,467.39032
8,0,217.077515,-190.040054,951.120178,229.934036,35.276352,950.478821,383.28952,-126.816299,985.849426,388.617493,-41.197189,991.916443,300.194641,-258.187866,484.672455,364.551483,-284.382843,87.697487,407.034515,-244.142441,69.317139,300.097504,100.128281,490.970856,357.023407,163.522903,124.758095,412.362915,100.129654,74.107109,319.326233,-171.508865,468.198914,346.245239,-208.267578,93.511253,251.988083,-306.663208,51.728012,210.073151,-237.972275,58.492607,255.179977,167.581451,52.414299,219.045639,100.281624,61.198784,352.929779,47.871708,114.204567,322.996704,8.035685,467.505066
9,0,217.119888,-190.023102,951.13269,230.0009,35.26664,950.480774,383.32843,-126.851585,985.842712,388.658875,-41.210823,991.929993,300.216064,-258.176666,484.646637,364.54361,-284.391266,87.744629,407.033783,-244.165375,69.33461,300.096558,100.124748,490.961395,356.980896,163.399658,124.713608,412.35376,100.134262,74.1008,319.310913,-171.499832,468.172333,346.259033,-208.238739,93.512466,252.004059,-306.661896,51.732063,210.129883,-237.976028,58.491585,255.212433,167.588181,52.452267,219.044357,100.27198,61.176826,352.940063,47.90485,114.21611,322.962891,8.008183,467.537354
10,0,217.168716,-190.008026,951.140442,230.063461,35.283409,950.494568,383.38681,-126.845863,985.847229,388.726807,-41.243935,991.910583,300.103149,-258.209595,484.630157,364.494507,-284.404785,87.72818,407.024109,-244.148254,69.343193,300.111908,100.124504,490.955505,357.034668,163.504379,124.773544,412.365387,100.134247,74.113602,319.321808,-171.479797,468.170959,346.239136,-208.25264,93.5037,251.98999,-306.659058,51.727638,210.107086,-237.943695,58.415012,255.218231,167.574387,52.430996,219.043335,100.267105,61.172367,352.942963,47.908085,114.213165,322.950775,8.059235,467.540588
11,0,217.211655,-190.007782,951.147583,230.115051,35.304665,950.515564,383.425934,-126.869049,985.825989,388.771545,-41.259594,991.876038,300.151825,-258.162262,484.644867,364.542419,-284.365173,87.742599,407.053436,-244.184479,69.331215,300.116119,100.09668,490.985779,356.969879,163.362396,124.672722,412.348297,100.122353,74.106583,319.304504,-171.480728,468.155396,346.256653,-208.260086,93.506836,251.983948,-306.657349,51.744812,210.13237,-237.936935,58.404476,255.226944,167.562119,52.444458,219.062576,100.253578,61.170132,352.93985,47.893276,114.25473,322.976074,8.033961,467.545929
12,0,217.236191,-189.985657,951.155579,230.172668,35.307152,950.504883,383.448181,-126.869423,985.815186,388.822357,-41.264938,991.868042,300.133392,-258.160095,484.660187,364.544739,-284.365845,87.75676,407.036987,-244.160721,69.332787,300.101715,100.117767,490.985565,357.037201,163.473099,124.71283,412.323425,100.114166,74.074036,319.266357,-171.516174,468.164886,346.248016,-208.251312,93.50061,251.999847,-306.658966,51.738518,210.102798,-237.90741,58.416969,255.228851,167.492111,52.339588,219.059052,100.272102,61.164459,352.931885,47.893444,114.218216,322.954254,8.043195,467.542755
13,0,217.273422,-189.967346,951.1651,230.236023,35.338722,950.53894,383.499359,-126.872139,985.796387,388.868347,-41.250381,991.853149,300.104675,-258.126587,484.639771,364.49942,-284.342285,87.732841,407.028534,-244.171127,69.329391,300.121613,100.129868,490.982574,356.999786,163.407684,124.722137,412.334595,100.122101,74.090073,319.24527,-171.477234,468.17215,346.269257,-208.223465,93.513763,251.995743,-306.648682,51.735569,210.093521,-237.904816,58.437027,255.192932,167.584015,52.381336,219.059723,100.288956,61.183331,352.945801,47.877483,114.181335,322.967499,8.05669,467.555511
14,0,217.302887,-189.936035,951.177063,230.283615,35.353962,950.54657,383.526978,-126.847076,985.786194,388.902496,-41.237156,991.87677,300.006287,-258.139069,484.616547,364.585968,-284.329987,87.766525,407.040863,-244.157806,69.334793,300.108368,100.159332,490.993805,357.023254,163.496414,124.719841,412.325867,100.173225,74.211304,319.227142,-171.461487,468.160919,346.291748,-208.215591,93.491379,252.014435,-306.665771,51.768459,210.15712,-237.906921,58.423847,255.212601,167.512314,52.327427,219.030426,100.304771,61.188099,353.086517,47.942883,114.320724,322.974976,8.075019,467.542877
15,0,217.320374,-190.011383,951.17865,230.345993,35.373451,950.553467,383.567108,-126.820724,985.757263,388.953094,-41.236141,991.856934,300.011566,-258.093292,484.6297,364.555908,-284.32373,87.769302,407.075043,-244.179214,69.356293,300.132751,100.187424,490.984192,357.042542,163.452667,124.757896,412.348938,100.144882,74.104439,319.199432,-171.425247,468.152863,346.291626,-208.242584,93.496483,252.005463,-306.628021,51.742104,210.165421,-237.921005,58.419376,255.143799,167.322372,52.341354,219.052292,100.302818,61.155231,352.980804,47.906281,114.237267,322.943909,8.058731,467.582275
16,0,217.414841,-189.891235,951.172302,230.4216,35.385986,950.561157,383.608185,-126.816246,985.771912,389.004791,-41.224323,991.869385,299.913483,-258.095306,484.610382,364.556,-284.339569,87.792023,407.058594,-244.186707,69.35302,300.157532,100.181801,490.991852,356.936554,163.167374,124.65831,412.318054,100.144547,74.112274,319.192108,-171.394455,468.165161,346.302551,-208.235336,93.489777,251.988297,-306.608368,51.734138,210.152054,-237.899918,58.409603,255.137863,167.37709,52.41523,219.048462,100.292763,61.183552,352.983002,47.930943,114.265007,322.95163,8.077557,467.573181
17,0,217.369446,-189.984177,951.185608,230.47728,35.421703,950.587158,383.666351,-126.806412,985.774658,389.026672,-41.215614,991.844299,299.87851,-258.05304,484.599243,364.623657,-284.37793,87.715546,407.074615,-244.224991,69.331635,300.14505,100.217094,490.996552,356.987885,163.293671,124.718948,412.33963,100.171745,74.188667,319.187805,-171.403793,468.144226,346.298248,-208.215637,93.478058,251.981888,-306.613281,51.780289,210.137131,-237.887955,58.42458,255.151184,167.318573,52.336998,219.056686,100.262817,61.160004,352.973541,47.921612,114.27404,323.014008,8.139475,467.575195
18,0,217.405548,-189.951385,951.186218,230.4888,35.476524,950.592773,383.677277,-126.786964,985.746155,389.055939,-41.203171,991.824402,299.856018,-257.995575,484.614929,364.498657,-284.339905,87.766678,407.070557,-244.198761,69.330284,300.18576,100.217331,490.990692,356.969055,163.274155,124.69838,412.319611,100.184029,74.194389,319.144104,-171.384552,468.131805,346.34256,-208.230759,93.452736,252.001114,-306.596497,51.783543,210.173721,-237.922028,58.454613,255.142242,167.322968,52.336956,219.035873,100.292992,61.19239,353.136017,47.984798,114.346214,323.005859,8.158956,467.592957
19,0,217.443649,-189.907562,951.18512,230.57074,35.513062,950.605835,383.732666,-126.7481,985.764343,389.113098,-41.160858,991.805054,299.744171,-257.976624,484.600586,364.522766,-284.340179,87.763397,407.066772,-244.231323,69.318764,300.19046,100.278763,491.001007,356.924408,163.160767,124.641731,412.315826,100.145584,74.114525,319.148407,-171.33844,468.121796,346.32843,-208.209473,93.459465,252.033798,-306.5896,51.749653,210.179871,-237.854843,58.435833,255.119232,167.311676,52.344749,219.036194,100.307678,61.184956,353.128326,47.98505,114.292511,323.029694,8.163865,467.581787
20,0,217.478745,-189.852951,951.191895,230.627502,35.563705,950.631409,383.768127,-126.720085,985.734009,389.179901,-41.147785,991.838196,299.680969,-257.928406,484.579102,364.53241,-284.338654,87.782013,407.090668,-244.231415,69.34124,300.183716,100.292915,491.008148,356.943604,163.169693,124.644325,412.321808,100.156601,74.12278,319.130371,-171.300568,468.114685,346.334351,-208.209579,93.438766,251.992462,-306.587158,51.799625,210.206589,-237.915298,58.450077,255.137238,167.377853,52.415169,219.04892,100.286598,61.169292,353.14624,48.006046,114.360703,323.014832,8.2355,467.615326
21,0,217.514038,-189.809433,951.202759,230.699692,35.612057,950.650452,383.792297,-126.695915,985.709839,389.199585,-41.106194,991.777527,299.67868,-257.886414,484.632507,364.301697,-284.507477,87.569824,407.064301,-244.222488,69.316391,300.229248,100.302933,491.005676,356.944458,163.199036,124.657051,412.3125,100.149071,74.106285,319.094421,-171.275574,468.122864,346.326904,-208.165955,93.434151,252.006973,-306.605072,51.768257,210.177155,-237.863861,58.431732,255.119858,167.314377,52.348145,219.052963,100.279854,61.167931,353.006378,47.946468,114.26767,323.060577,8.222113,467.59317
22,0,217.492905,-189.768356,951.215088,230.749054,35.65239,950.672485,383.867828,-126.64534,985.710632,389.239838,-41.095512,991.751465,299.574097,-257.832703,484.562286,364.264557,-284.495422,87.576599,407.095276,-244.224838,69.294701,300.241974,100.349365,491.034729,356.983459,163.32431,124.705818,412.307373,100.160172,74.10585,319.047821,-171.185043,468.130188,346.336945,-208.140381,93.432495,252.013855,-306.539124,51.787857,210.191299,-237.850723,58.414795,255.127426,167.378922,52.396259,219.056671,100.285507,61.184498,353.004486,47.982887,114.266739,323.072144,8.267432,467.577087
