,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,213.688705,-187.353638,944.048279,249.918488,35.153851,945.039612,381.581848,-141.323853,992.796387,394.839478,-56.194225,998.314941,293.010468,-263.894409,480.394318,357.86615,-296.251862,87.406242,405.373901,-260.972626,69.485176,325.081543,103.478096,491.53125,371.851624,166.256638,122.721397,411.121582,97.892921,71.673347,326.119781,-179.7686,465.472504,349.409058,-218.839432,91.166252,245.925217,-308.678284,51.77903,209.21907,-236.358597,57.231441,261.803955,183.382126,51.400902,219.912903,119.465286,62.672913,347.445984,53.245136,112.436722,330.421173,8.758149,464.695801
2,0,213.701508,-187.272018,944.035767,249.966675,35.223328,945.041687,381.63797,-141.229691,992.778931,394.891541,-56.129856,998.330505,293.041138,-263.838287,480.382874,357.831085,-296.313354,87.386002,405.385986,-260.986328,69.491631,325.119171,103.533134,491.526855,371.865997,166.274307,122.725517,411.307251,97.734955,71.685844,326.165833,-179.736313,465.456635,349.407349,-218.857605,91.164154,245.926956,-308.696808,51.762222,209.234451,-236.358673,57.23497,261.845032,183.396957,51.396141,219.912537,119.467422,62.673054,347.148254,52.971031,112.43399,330.490906,8.835274,464.699097
3,0,213.738785,-187.14563,944.018494,250.035889,35.297935,945.056519,381.648438,-141.146744,992.769287,394.921631,-56.051994,998.309204,293.036072,-263.791656,480.378174,357.876801,-296.259308,87.371651,405.370575,-260.983459,69.455551,325.193817,103.586349,491.55603,371.885132,166.288147,122.718925,411.148743,97.911041,71.66288,326.236542,-179.676727,465.428925,349.43222,-218.825592,91.18573,245.924805,-308.689423,51.763691,209.215775,-236.379105,57.241585,261.826843,183.39888,51.402428,219.930878,119.479225,62.681786,347.117371,53.025642,112.459358,330.548218,8.85385,464.709106
4,0,213.748886,-187.020554,944.013916,250.083572,35.394871,945.056885,381.66449,-141.065125,992.790833,394.964447,-55.965816,998.373535,293.098267,-263.747162,480.368713,358.145966,-296.276093,87.389313,405.384766,-260.970184,69.490082,325.255859,103.643005,491.569427,371.876709,166.298203,122.709488,411.278412,97.748558,71.646744,326.292999,-179.630783,465.422089,349.432129,-218.828537,91.169716,245.93927,-308.69696,51.765816,209.231567,-236.386292,57.233566,261.833252,183.40239,51.388329,219.919861,119.466301,62.677368,347.166443,53.002399,112.469826,330.654449,8.906127,464.74057
5,0,213.745041,-186.901428,943.984131,250.131424,35.483067,945.076233,381.691956,-140.983734,992.806824,394.97348,-55.906551,998.40271,293.138367,-263.728729,480.359711,357.869415,-296.292877,87.400665,405.417816,-260.947235,69.478111,325.330597,103.706635,491.599548,371.919739,166.297836,122.703529,411.327728,97.773178,71.677185,326.317444,-179.600189,465.447632,349.438965,-218.830429,91.181152,245.932602,-308.701233,51.74609,209.244888,-236.38298,57.241978,261.845459,183.401031,51.385525,219.84906,119.605171,62.805256,347.203583,52.994568,112.475288,330.709229,8.950588,464.74649
6,0,213.754288,-186.739624,943.958435,250.153122,35.568974,945.095093,381.690887,-140.91922,992.806946,394.959045,-55.852097,998.41449,293.169739,-263.670929,480.376068,357.935699,-296.240509,87.425362,405.384735,-260.959869,69.477936,325.401154,103.742043,491.623657,371.939758,166.337631,122.719589,411.327545,97.791771,71.665886,326.363831,-179.569244,465.423401,349.430511,-218.828598,91.176033,245.935532,-308.719696,51.761471,209.249695,-236.379913,57.221306,261.837006,183.414505,51.404362,219.941223,119.514137,62.699131,347.243164,53.028374,112.504723,330.841217,9.012803,464.777527
7,0,213.736359,-186.58429,943.953613,250.184631,35.691929,945.122375,381.697571,-140.851105,992.808472,394.968109,-55.780434,998.403748,293.416107,-263.580414,480.413055,357.869781,-296.289032,87.399712,405.42038,-260.970062,69.479263,325.465759,103.804024,491.617035,371.949768,166.349731,122.719353,411.303528,97.803909,71.667938,326.365021,-179.507645,465.398956,349.443878,-218.835159,91.175308,245.938675,-308.740601,51.750515,209.220337,-236.411118,57.209427,261.852905,183.411224,51.382435,219.935349,119.538223,62.714951,347.237671,53.057259,112.519249,330.910675,9.056501,464.806488
8,0,213.692032,-186.442657,943.933655,250.232788,35.798038,945.109985,381.670746,-140.781967,992.802917,394.967072,-55.734066,998.431335,293.463531,-263.535339,480.408783,357.918152,-296.244476,87.395119,405.435547,-260.947296,69.482056,325.526428,103.862602,491.609192,371.982239,166.380707,122.729439,411.304169,97.793472,71.63913,326.341827,-179.435608,465.410889,349.460175,-218.863144,91.159241,245.938919,-308.729614,51.759792,209.234192,-236.384491,57.238773,261.85495,183.429352,51.41568,219.947769,119.529129,62.702179,347.265289,53.087315,112.521927,330.959137,9.111824,464.803314
9,0,213.653503,-186.301132,943.916016,250.254059,35.911007,945.124939,381.646332,-140.715363,992.804504,394.967865,-55.631245,998.452393,293.250519,-263.533936,480.387756,357.918457,-296.288483,87.430771,405.444885,-260.923798,69.456703,325.55954,103.917603,491.624176,372.016205,166.386795,122.698807,411.198517,97.946945,71.661591,326.292358,-179.384964,465.372314,349.411346,-218.817261,91.172058,245.947937,-308.746277,51.757446,209.252686,-236.398712,57.250813,261.871582,183.441559,51.393116,219.95047,119.536926,62.718666,347.235046,53.156773,112.565231,331.061462,9.177636,464.833496
10,0,213.612793,-186.178375,943.886292,250.264145,36.01062,945.108887,381.600891,-140.664749,992.810974,394.950226,-55.565159,998.46344,293.236359,-263.46228,480.369843,358.191376,-296.280151,87.454536,405.457825,-260.906158,69.452972,325.655212,103.985985,491.643097,372.036926,166.40657,122.729752,411.328491,97.858566,71.661354,326.227203,-179.304947,465.367004,349.443817,-218.82019,91.154518,245.967377,-308.752441,51.751343,209.267929,-236.420685,57.234306,261.864807,183.437729,51.383026,219.974518,119.567284,62.727966,347.215607,53.207779,112.597595,331.069458,9.231027,464.837158
