,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,231.436188,-184.092834,950.342407,243.231873,41.296219,951.902832,397.804718,-120.950478,985.597046,401.343811,-36.33176,990.308533,296.796234,-254.045731,483.023712,359.4664,-290.630463,87.906975,405.455505,-254.268768,68.898575,306.10556,108.395416,492.432709,355.849579,172.953491,123.289513,410.971802,112.822922,73.004639,322.992096,-168.40303,466.348816,347.825073,-213.530869,91.392715,246.619934,-307.123962,52.003868,209.328369,-235.31871,57.938934,248.33754,169.177719,50.823696,218.935226,98.232193,62.272831,354.981537,57.225681,113.534462,331.851807,16.771654,468.158905
2,0,231.460846,-184.100723,950.337341,243.235947,41.293922,951.917908,397.810577,-120.989189,985.58606,401.398865,-36.340698,990.302917,296.807068,-254.063553,483.023376,359.792328,-290.681122,87.95755,405.434479,-254.276657,68.911835,306.07782,108.395996,492.427368,355.832214,172.941574,123.280159,410.976624,112.79686,73.025299,322.987427,-168.404663,466.344727,347.952362,-213.234283,91.505562,246.646057,-307.138885,51.989758,209.33696,-235.327438,57.939877,248.319366,169.180984,50.824623,218.942749,98.23494,62.273224,354.975403,57.233959,113.538414,331.799561,16.740839,468.172089
3,0,231.439102,-184.109848,950.358337,243.26358,41.281853,951.912292,397.815002,-121.004898,985.58136,401.403046,-36.375313,990.298218,296.804169,-254.059875,483.016815,359.549103,-290.60141,88.036232,405.339142,-254.229065,68.88942,306.05127,108.368462,492.432678,355.823395,172.935471,123.289917,410.946838,112.796356,72.998962,322.984192,-168.430435,466.375427,347.917297,-213.226364,91.518845,246.629883,-307.13031,51.992451,209.300156,-235.324295,57.945091,248.302856,169.186722,50.833965,218.935349,98.218315,62.271236,354.972198,57.1898,113.530388,331.747131,16.715818,468.167145
4,0,231.444626,-184.13443,950.371033,243.288956,41.280502,951.941711,397.829041,-121.01107,985.581299,401.404205,-36.402386,990.292969,296.797119,-254.066879,483.039856,359.077667,-290.586487,87.823776,405.445831,-254.181915,68.956581,306.000732,108.350624,492.437164,355.819153,172.945587,123.29882,410.971375,112.796478,73.030922,322.973633,-168.428329,466.36908,347.97641,-213.284256,91.459702,246.628326,-307.161316,52.002007,209.293686,-235.366501,57.927475,248.310944,169.172592,50.822784,218.920303,98.222313,62.272861,354.951965,57.200272,113.525589,331.71817,16.705357,468.146179
5,0,231.490814,-184.15593,950.36792,243.31073,41.236458,951.934082,397.834106,-121.04599,985.56897,401.431122,-36.390575,990.305176,296.795013,-254.072632,483.024109,359.566528,-290.630707,87.763176,405.550659,-254.229187,68.986237,305.985931,108.329338,492.436462,355.815308,172.921646,123.291451,410.969513,112.798927,73.015961,322.973053,-168.434982,466.364594,347.916534,-213.244553,91.513092,246.640167,-307.152008,52.010029,209.318222,-235.335983,57.945629,248.305771,169.155212,50.819794,218.935837,98.226074,62.274338,354.959534,57.19418,113.533638,331.710205,16.701818,468.145142
6,0,231.482712,-184.166672,950.378479,243.356934,41.213654,951.932495,397.852966,-121.049416,985.597839,401.459473,-36.426311,990.306519,296.604492,-254.100677,483.012115,359.492004,-290.624115,87.980331,405.420959,-254.255798,68.903961,305.94986,108.3022,492.423126,355.79422,172.920929,123.310081,410.973572,112.79673,73.012871,322.966461,-168.434952,466.364746,347.908264,-213.248596,91.510223,246.626419,-307.134125,52.012371,209.315536,-235.349625,57.924965,248.336868,169.158203,50.817802,218.940414,98.214088,62.262859,354.94986,57.197285,113.511032,331.705353,16.684435,468.148376
7,0,231.501526,-184.188278,950.369629,243.399704,41.207748,951.941162,397.884003,-121.071823,985.599731,401.461212,-36.441788,990.304138,296.796295,-254.064743,483.02066,359.398621,-290.659302,87.813545,405.463409,-254.237915,68.931549,305.959259,108.267303,492.420959,355.815308,172.900101,123.285332,410.939575,112.78421,72.978508,322.949829,-168.457794,466.371613,347.882568,-213.273315,91.48085,246.620483,-307.134827,51.99403,209.314346,-235.345001,57.936337,248.328674,169.166443,50.835293,218.935135,98.21981,62.267506,354.976471,57.163177,113.500603,331.711945,16.680145,468.138184
8,0,231.516205,-184.211121,950.377747,243.439606,41.16732,951.944031,397.897217,-121.104866,985.602295,401.502045,-36.471272,990.311157,296.782379,-254.069931,483.017273,359.638214,-290.615051,87.739555,405.455536,-254.234009,68.924286,305.947174,108.248459,492.421417,355.808716,172.890671,123.293747,410.938538,112.793533,73.013824,322.952209,-168.483536,466.35611,348.029755,-213.117142,91.529907,246.63002,-307.133331,52.005272,209.337433,-235.354111,57.957115,248.34729,169.144958,50.814743,218.918823,98.209999,62.264771,354.944,57.150188,113.488922,331.681,16.621798,468.151886
9,0,231.503937,-184.223145,950.372559,243.464111,41.169495,951.959778,397.934631,-121.132431,985.60968,401.505157,-36.496284,990.30072,296.774658,-254.08078,483.029449,359.677429,-290.722626,87.906754,405.457184,-254.187378,68.987183,305.921844,108.238747,492.428162,355.810699,172.886185,123.310219,410.930237,112.781059,72.984322,322.997894,-168.46701,466.373871,347.902802,-213.288101,91.478668,246.620224,-307.114197,52.006107,209.347427,-235.349411,57.937099,248.319305,169.14296,50.825817,218.944977,98.212288,62.258446,354.956879,57.152462,113.50164,331.64505,16.622065,468.126068
10,0,231.518646,-184.218964,950.382141,243.482895,41.157551,951.94928,397.916687,-121.185867,985.608582,401.530884,-36.564598,990.306885,296.658478,-254.131317,483.022522,359.428894,-290.666077,87.870308,405.436951,-254.211121,68.953552,305.912781,108.220108,492.435242,355.795227,172.881897,123.316338,410.949463,112.781685,72.998306,322.986572,-168.508881,466.370667,347.898407,-213.310349,91.469803,246.621048,-307.146973,51.990055,209.352676,-235.355774,57.95739,248.334808,169.145615,50.825459,218.940338,98.206375,62.281578,354.951294,57.128403,113.473274,331.623444,16.588909,468.117981
11,0,231.513,-184.25502,950.38269,243.532623,41.155773,951.943787,397.938019,-121.198784,985.611633,401.597565,-36.580753,990.302246,296.672119,-254.110367,483.031616,359.443542,-290.632538,87.917824,405.53476,-254.175873,69.021706,305.91571,108.195526,492.422089,355.7995,172.862778,123.293373,410.90387,112.756332,72.969482,322.994141,-168.512787,466.375946,347.916229,-213.291992,91.483459,246.616745,-307.135468,51.991501,209.341385,-235.367554,57.957161,248.337387,169.151688,50.817043,218.923416,98.209549,62.273743,354.959656,57.113937,113.471909,331.62326,16.565178,468.142273
12,0,231.542633,-184.278931,950.38208,243.579681,41.135792,951.934448,397.930389,-121.252472,985.59729,401.614502,-36.610809,990.304993,296.81192,-254.094727,483.017944,359.365387,-290.673676,87.786835,405.504242,-254.156296,69.032425,305.935852,108.19416,492.418518,355.795288,172.867447,123.302597,410.930756,112.781021,72.987984,323.02948,-168.5401,466.372742,348.032623,-213.164047,91.522453,246.635635,-307.142303,51.975281,209.357635,-235.36232,57.942234,248.33075,169.141388,50.824333,218.940979,98.204132,62.269985,354.967224,57.100719,113.45295,331.576965,16.554026,468.123505
13,0,231.552368,-184.289459,950.389465,243.603516,41.103603,951.933655,397.964539,-121.26506,985.591492,401.604248,-36.660751,990.274292,296.722717,-254.145569,483.022369,359.671326,-290.686554,87.912598,405.435944,-254.199677,68.989555,305.952087,108.160194,492.417847,355.788147,172.882965,123.310455,410.901978,112.746048,72.966797,323.02359,-168.583817,466.378693,348.026428,-213.152252,91.545227,246.615311,-307.144897,52.018684,209.354507,-235.366425,57.955109,248.33548,169.141846,50.826454,219.000793,98.238686,62.283836,354.954437,57.082687,113.491508,331.597168,16.508577,468.131348
14,0,231.562439,-184.313644,950.393555,243.653717,41.095955,951.950439,397.993774,-121.299934,985.571655,401.670166,-36.694736,990.284973,296.90976,-254.12085,483.034576,359.365875,-290.683411,87.831352,405.44812,-254.17778,68.995651,305.965881,108.135185,492.401184,355.794342,172.850021,123.309525,410.919037,112.755363,72.9767,323.064514,-168.630066,466.403809,347.933319,-213.390778,91.450089,246.622009,-307.133362,52.011578,209.350418,-235.368774,57.945911,248.332047,169.151169,50.828545,218.918472,98.199692,62.252666,354.950989,57.080379,113.456963,331.641571,16.52438,468.122314
15,0,231.590836,-184.335922,950.401123,243.676254,41.065502,951.945251,398.026306,-121.356384,985.602112,401.699707,-36.741905,990.273743,296.802246,-254.233597,483.039825,359.388855,-290.689209,87.821182,405.471069,-254.126404,69.057495,306.011261,108.151009,492.412323,355.807251,172.852829,123.323753,410.920471,112.768051,72.983772,323.103912,-168.64859,466.383636,347.902924,-213.364334,91.496841,246.647583,-307.153656,51.98296,209.315689,-235.364441,57.956394,248.335266,169.152374,50.818867,218.915405,98.189278,62.263432,354.966888,57.086071,113.463661,331.668793,16.465012,468.103424
16,0,231.592896,-184.370941,950.401367,243.722794,41.045364,951.929688,398.01059,-121.392189,985.583496,401.67514,-36.796085,990.272522,296.867981,-254.257324,483.085602,359.531342,-290.672272,87.773483,405.446808,-254.186325,69.0121,306.045776,108.120056,492.42337,355.805908,172.843338,123.310516,410.880981,112.756119,72.96051,323.143738,-168.670395,466.392914,348.018921,-213.272446,91.512314,246.621811,-307.134674,52.001774,209.365982,-235.384415,57.966816,248.332535,169.136505,50.811886,218.907837,98.189056,62.268826,354.9776,57.085434,113.463348,331.733093,16.499256,468.107941
