,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,231.353134,-195.765091,940.012695,242.123413,54.393089,937.043152,412.209686,-97.927711,944.699036,414.546509,-45.949959,944.702148,285.804474,-233.71907,481.800232,380.948395,-285.450684,95.60807,413.313293,-244.88887,67.193291,284.355896,88.595123,481.975861,386.744629,143.708466,100.470139,417.761261,98.294571,66.12162,293.816193,-138.684387,465.146515,352.664948,-210.336334,97.590797,253.343231,-311.337158,48.784801,226.554962,-244.428192,58.8871,257.319763,167.420868,51.835392,229.328964,99.513275,59.849705,359.661346,68.481255,100.78743,293.376801,-1.689985,470.60495
2,0,231.260513,-195.745377,940.012146,242.125641,54.371777,937.051147,412.173096,-97.982635,944.686035,414.382446,-46.006977,944.58783,285.433136,-233.684174,481.750061,380.867462,-285.489868,95.613846,413.322601,-244.905777,67.196693,283.8573,88.772545,481.997955,386.722198,143.71022,100.490944,417.765411,98.269028,66.150772,293.443756,-138.88295,465.136749,352.58493,-210.346451,97.557655,253.316818,-311.330505,48.801167,226.544739,-244.401794,58.860229,257.308136,167.419617,51.826904,229.357285,99.511772,59.836121,359.642761,68.432411,100.812599,293.114777,-1.718515,470.582642
3,0,231.17041,-195.764404,939.998413,242.096512,54.340618,937.054016,412.097534,-98.063339,944.688171,414.456909,-46.081585,944.622131,284.988739,-233.656662,481.672821,380.842621,-285.488281,95.620598,413.304657,-244.913284,67.202263,283.546204,88.741798,481.962585,386.689514,143.680862,100.495743,417.750641,98.244461,66.157066,292.914246,-138.780518,465.027496,352.600311,-210.274307,97.573586,253.310471,-311.340912,48.808502,226.524612,-244.381714,58.840157,257.306976,167.411621,51.829865,229.331314,99.527679,59.843506,359.588684,68.401054,100.805237,292.811096,-1.772897,470.561188
4,0,231.098236,-195.744995,939.991028,242.097519,54.351562,937.061279,411.979187,-98.244812,944.476013,414.351746,-46.17524,944.500916,284.524963,-233.666977,481.64566,380.801422,-285.452179,95.594551,413.272003,-244.923111,67.231827,283.187897,88.693489,481.9245,386.692535,143.642715,100.521858,417.713623,98.217537,66.152435,292.087891,-138.367722,464.923981,352.529175,-210.260895,97.516861,253.403992,-311.396912,48.851643,226.51091,-244.36142,58.834312,257.331207,167.433136,51.826527,229.317245,99.54493,59.839497,359.562897,68.383522,100.780067,292.491333,-1.812365,470.518616
5,0,230.999939,-195.732742,939.989685,242.109116,54.338402,937.090393,411.960876,-98.274986,944.549805,414.243713,-46.272831,944.45459,284.063141,-233.641144,481.602905,380.726318,-285.467163,95.598961,413.284454,-244.908997,67.279091,282.797791,88.635765,481.881195,386.665863,143.624329,100.527161,417.703339,98.173523,66.192719,291.883423,-138.654572,464.929382,352.51123,-210.248703,97.511726,253.472214,-311.420166,48.872231,226.496353,-244.340393,58.817387,257.319427,167.419403,51.816212,229.31218,99.560257,59.841476,359.585419,68.355988,100.77729,292.0961,-1.854944,470.523895
6,0,230.91217,-195.698944,940.001892,242.126373,54.328781,937.083923,411.943909,-98.3368,944.469238,414.236786,-46.241661,944.553589,283.611298,-233.61499,481.55661,380.66629,-285.447815,95.60363,413.245789,-244.917786,67.248917,282.370819,88.609406,481.853577,386.622101,143.608704,100.568314,417.721985,98.162949,66.261467,291.338867,-138.633377,464.862061,352.486633,-210.181671,97.51162,253.468307,-311.395447,48.890869,226.485626,-244.310287,58.810043,257.311432,167.433609,51.84668,229.268311,99.574677,59.869865,359.521271,68.300529,100.768654,291.664124,-1.870776,470.48761
7,0,230.845718,-195.687683,940.003784,242.152664,54.338985,937.088562,411.90683,-98.499771,944.37146,414.228455,-46.422405,944.386108,283.129791,-233.580444,481.461304,380.637817,-285.416931,95.650887,413.276154,-244.886734,67.348961,281.94928,88.559341,481.796051,386.580811,143.580719,100.577538,417.706573,98.12384,66.223709,290.868744,-138.611847,464.810059,352.440063,-210.184006,97.492134,253.441788,-311.392975,48.8983,226.458847,-244.28334,58.791351,257.302399,167.438828,51.828888,229.281891,99.590332,59.883389,359.48645,68.270058,100.746819,291.181946,-1.927553,470.469177
8,0,230.721954,-195.677139,939.987915,242.173141,54.302704,937.081726,411.817108,-98.615707,944.366516,414.163391,-46.429115,944.472778,282.695709,-233.587738,481.38147,380.576324,-285.393768,95.647652,413.230133,-244.886108,67.332901,281.52063,88.480736,481.752563,386.539093,143.557297,100.608292,417.718933,98.117699,66.251366,290.424652,-138.679016,464.716705,352.369751,-210.16925,97.436493,253.412155,-311.385956,48.899582,226.452927,-244.276993,58.787701,257.296143,167.429962,51.832985,229.261032,99.597496,59.866615,359.419403,68.22094,100.739906,290.6492,-1.962411,470.449493
9,0,230.640457,-195.676666,939.986267,242.188568,54.319412,937.093872,411.747131,-98.74015,944.316345,414.132751,-46.62001,944.335999,282.294495,-233.556839,481.309357,380.558319,-285.378571,95.6409,413.222687,-244.871292,67.354012,281.064209,88.374481,481.704865,386.482086,143.513733,100.628334,417.673401,98.052818,66.248238,290.028809,-138.638031,464.6716,352.362213,-210.092667,97.466057,253.44426,-311.390045,48.900669,226.436783,-244.264862,58.78521,257.293793,167.432541,51.858807,229.270325,99.597633,59.872791,359.372467,68.17627,100.712967,290.139313,-2.014064,470.376923
10,0,230.543961,-195.694672,940.002747,242.216278,54.28043,937.097778,411.699677,-98.857735,944.400146,414.122253,-46.728703,944.299133,281.889862,-233.554321,481.253204,380.496979,-285.392242,95.658173,413.213623,-244.860138,67.438667,280.72937,88.081673,481.605988,386.438446,143.507797,100.656189,417.673279,98.012863,66.276428,289.803955,-138.708466,464.626129,352.342926,-210.071381,97.461494,253.430313,-311.351593,48.896675,226.431458,-244.241272,58.777683,257.324768,167.416336,51.837109,229.24437,99.58947,59.876469,359.392822,68.144913,100.733589,289.555908,-2.02178,470.359039
