,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,236.867477,-213.81395,943.983765,232.19899,37.165359,936.18689,411.275848,-105.399971,937.098572,410.058289,-52.838081,935.665588,278.549255,-246.346664,481.360779,377.400421,-297.773315,94.49691,411.928894,-257.978455,67.033867,280.245148,81.692146,481.635895,382.501801,143.083099,100.749855,412.198608,97.487297,65.778603,286.582764,-151.377609,465.278748,352.186188,-220.979736,97.575661,248.905136,-316.311249,48.478317,228.749054,-248.516586,60.291847,252.880966,169.134155,51.519646,224.280609,101.427765,60.155338,353.485016,68.375946,100.265221,287.183899,-9.018361,468.227051
2,0,236.711472,-213.743637,943.967346,231.984924,37.211151,936.134338,411.115601,-105.349709,937.112,409.888153,-52.717957,935.692871,278.49585,-246.300476,481.363739,377.434235,-297.763275,94.54528,411.912292,-257.963135,67.04277,280.482513,81.425209,481.606384,382.506409,143.072479,100.743263,412.169067,97.481285,65.799011,286.625153,-151.569016,465.282593,352.168793,-220.998581,97.568649,248.865173,-316.28717,48.461807,228.724838,-248.4897,60.343334,252.873367,169.189407,51.592533,224.230408,101.404015,60.155144,353.459442,68.369453,100.269119,287.365784,-8.971081,468.20993
3,0,236.541779,-213.669205,943.919067,231.869568,37.223099,936.107605,410.957397,-105.232964,937.152222,409.713013,-52.695065,935.703064,278.468658,-246.238739,481.350708,377.44278,-297.758209,94.553757,411.915863,-257.990112,67.046181,280.629913,81.454697,481.610809,382.526855,143.077896,100.760368,412.107025,97.346146,65.886223,286.579865,-151.531143,465.273743,352.134186,-220.986008,97.503845,248.831314,-316.30127,48.454594,228.75029,-248.524323,60.29834,252.908676,169.20784,51.598694,224.269348,101.441528,60.158066,353.454346,68.397484,100.286263,287.616333,-8.896853,468.229126
4,0,236.348694,-213.609924,943.834412,231.728378,37.325928,936.143738,410.798676,-105.141762,937.106018,409.54599,-52.530624,935.732117,278.423645,-246.206161,481.334167,377.395233,-297.744019,94.536667,411.910675,-257.978424,67.040558,280.787476,81.514725,481.637238,382.518738,143.098129,100.760117,412.13681,97.466209,65.80233,286.491638,-151.260345,465.210022,352.111053,-220.988373,97.536491,248.84343,-316.303375,48.453499,228.720306,-248.492874,60.336056,252.875748,169.157471,51.495098,224.230469,101.421654,60.144142,353.521729,68.394958,100.320015,288.007477,-8.780236,468.230591
5,0,236.209976,-213.553284,943.779297,231.491684,37.374271,936.110046,410.650452,-105.053261,937.116333,409.413757,-52.452328,935.768372,278.369659,-246.158493,481.315063,377.394928,-297.669312,94.6166,411.902527,-257.978973,67.044365,280.954071,81.573647,481.652405,382.532043,143.116119,100.755844,412.188995,97.463509,65.798782,286.473022,-151.204025,465.206451,352.104828,-220.975281,97.536194,248.811035,-316.28299,48.455563,228.74585,-248.535812,60.268566,252.898697,169.157242,51.507607,224.235397,101.429825,60.134171,353.514404,68.436241,100.333115,288.165985,-8.744281,468.231537
6,0,236.023026,-213.457123,943.733276,231.326035,37.449482,936.103027,410.594421,-104.880348,937.212891,409.255127,-52.355068,935.698364,278.344513,-246.127151,481.32016,377.395355,-297.727753,94.557289,411.898773,-257.973755,67.036888,281.153107,81.623199,481.666931,382.555664,143.121918,100.758972,412.175964,97.51152,65.852921,286.649719,-151.263138,465.221588,352.092834,-220.987305,97.523071,248.813873,-316.291565,48.448669,228.723206,-248.501648,60.2925,252.868958,169.188568,51.52137,224.159149,101.420609,60.105328,353.557739,68.465416,100.37941,288.319214,-8.729498,468.251678
7,0,235.894012,-213.403122,943.658081,231.128586,37.525517,936.148132,410.466003,-104.820244,937.217346,409.08847,-52.255566,935.648743,278.297943,-246.060104,481.307098,377.362793,-297.721527,94.586815,411.814331,-257.927185,67.030205,281.339783,81.680557,481.657684,382.560272,143.137054,100.757576,412.216705,97.543251,65.900154,286.647552,-151.216019,465.19928,352.052338,-221.01738,97.500641,248.968567,-316.432373,48.551888,228.716461,-248.512329,60.290192,252.874908,169.186523,51.509815,224.195786,101.434464,60.121483,353.51651,68.480804,100.384193,288.534241,-8.688332,468.271942
8,0,235.741135,-213.333191,943.601746,230.972061,37.585007,936.122437,410.319122,-104.727745,937.17749,408.985138,-52.243839,935.745728,278.232697,-246.013611,481.281189,377.433319,-297.716034,94.577438,411.879578,-257.969635,67.072044,281.518158,81.744354,481.659576,382.577301,143.148117,100.749359,412.186859,97.529922,65.858719,286.593262,-151.161789,465.171722,352.132416,-220.957886,97.547127,248.822708,-316.314301,48.472561,228.713776,-248.501801,60.301208,252.869339,169.241074,51.582561,224.186111,101.447922,60.119911,353.523163,68.47332,100.410873,288.767517,-8.659494,468.27951
9,0,235.56427,-213.267105,943.522644,230.847977,37.680874,936.100952,410.166046,-104.676643,937.165344,408.81073,-52.114262,935.681763,278.21991,-245.949081,481.276184,377.406708,-297.667419,94.640617,411.887604,-257.964874,67.055473,281.687256,81.784164,481.671173,382.601776,143.132462,100.73291,412.200134,97.511086,65.851089,286.55423,-151.119354,465.125793,352.139313,-220.937729,97.53862,248.979218,-316.432373,48.522545,228.689255,-248.478302,60.316551,252.880157,169.170822,51.499958,224.163162,101.411751,60.090252,353.577423,68.503883,100.442245,288.970947,-8.62871,468.281708
10,0,235.397339,-213.170288,943.456421,230.701218,37.790096,936.083374,410.049591,-104.623093,937.191162,408.656189,-52.095379,935.639404,278.190277,-245.899597,481.264313,377.368958,-297.731262,94.575233,411.864349,-257.950104,67.078804,281.837006,81.849106,481.673431,382.608398,143.161407,100.743797,412.205811,97.540657,65.843781,286.521271,-151.078323,465.079498,352.090332,-220.966309,97.484596,248.989731,-316.452454,48.534874,228.68428,-248.511383,60.251007,252.880219,169.173676,51.497692,224.207352,101.421097,60.103096,353.568329,68.509659,100.456909,289.191833,-8.582803,468.286469
11,0,235.206924,-213.083847,943.395508,230.621994,37.908913,936.051208,409.895294,-104.543129,937.229675,408.52951,-51.960426,935.79248,278.187958,-245.826935,481.253754,377.39801,-297.684357,94.583923,411.865417,-257.95752,67.106133,281.964325,81.927536,481.69101,382.628387,143.17778,100.735847,412.163605,97.534164,65.839867,286.526337,-151.030975,465.061584,352.086273,-220.956741,97.483101,248.989975,-316.458496,48.525921,228.710526,-248.498795,60.268772,252.876007,169.216736,51.56184,224.185242,101.409439,60.123753,353.609528,68.528488,100.486572,289.380676,-8.512675,468.327209
12,0,235.025513,-212.971237,943.356689,230.484711,38.019936,936.025757,409.727448,-104.45475,937.242432,408.376617,-51.868782,935.798462,278.214172,-245.740921,481.250275,377.399231,-297.641479,94.645279,411.855499,-257.94809,67.098915,282.097015,81.993515,481.71698,382.672668,143.210922,100.722504,412.237366,97.58696,65.857567,286.537354,-150.983612,465.049103,352.067078,-220.96698,97.491753,248.970276,-316.444641,48.53793,228.679916,-248.477966,60.282207,252.877625,169.179047,51.514675,224.236191,101.397202,60.054626,353.623566,68.576523,100.502747,289.572388,-8.470754,468.379333
13,0,234.81041,-212.847656,943.304443,230.386353,38.160412,936.000977,409.561737,-104.406815,937.275818,408.275543,-51.743088,935.932312,278.182953,-245.669144,481.24054,377.376801,-297.678223,94.636894,411.85144,-257.943542,67.101715,282.237213,82.089127,481.732941,382.68158,143.248825,100.717484,412.227051,97.61792,65.852928,286.543549,-150.928757,464.993866,352.060089,-220.955063,97.484138,248.989578,-316.457001,48.55278,228.697418,-248.483932,60.275124,252.815399,169.147964,51.442848,224.264053,101.391106,60.076996,353.6521,68.586884,100.539474,289.766846,-8.385907,468.397034
14,0,234.550812,-212.736832,943.232361,230.316986,38.290817,935.954468,409.415802,-104.312698,937.385742,408.152008,-51.652,936.001343,278.263275,-245.607376,481.22113,377.364594,-297.690948,94.579849,411.868408,-257.947937,67.116249,282.393738,82.166222,481.740479,382.691711,143.295853,100.715469,412.244751,97.668793,65.851051,286.628845,-150.846085,464.973297,352.130402,-220.954727,97.544914,248.970749,-316.443359,48.562172,228.693741,-248.479202,60.282871,252.862991,169.205032,51.551414,224.250793,101.38678,60.081039,353.71283,68.666138,100.543243,289.969482,-8.281625,468.432861
15,0,234.31575,-212.588593,943.150574,230.296814,38.383907,935.895691,409.289459,-104.223274,937.521667,407.990265,-51.613098,936.034485,278.25,-245.553299,481.210175,377.417816,-297.650513,94.654488,411.872833,-257.958832,67.090164,282.53717,82.263153,481.73056,382.733124,143.324966,100.70594,412.272766,97.651581,65.830551,286.702911,-150.785339,464.95932,352.106598,-220.973572,97.469093,249.012497,-316.452057,48.542355,228.72197,-248.488754,60.272564,252.864685,169.178345,51.502064,224.314713,101.373154,60.036274,353.747375,68.711449,100.565834,290.129852,-8.064498,468.507935
16,0,234.064529,-212.400391,943.084961,230.22934,38.566734,935.887146,409.101562,-104.142494,937.621277,407.922729,-51.487061,936.281616,278.340668,-245.440765,481.198486,377.415955,-297.657166,94.676506,411.882416,-257.965942,67.08577,282.580658,82.556892,481.772705,382.733978,143.357788,100.679588,412.290924,97.712189,65.853653,286.865692,-150.85849,464.928314,352.131836,-220.970322,97.478233,248.983078,-316.467072,48.542122,228.714996,-248.476654,60.273342,252.840317,169.135437,51.43021,224.329025,101.40593,60.04071,353.780609,68.746933,100.579521,290.350037,-7.975554,468.491516
17,0,233.723053,-212.206863,943.002991,230.158401,38.758377,935.869446,408.953888,-104.035378,937.772034,407.777832,-51.449352,936.475647,278.330231,-245.370193,481.200134,377.396576,-297.675507,94.63224,411.904449,-257.981506,67.074615,282.706177,82.6679,481.798828,382.742798,143.388992,100.663086,412.315155,97.725029,65.857117,286.933868,-150.773117,464.887421,352.113007,-220.938034,97.462868,248.990051,-316.459991,48.55204,228.713913,-248.481659,60.278145,252.866211,169.178024,51.493877,224.327316,101.396652,60.037498,353.782715,68.719864,100.577072,290.49765,-7.867628,468.523926
18,0,233.362198,-212.034882,942.899048,230.103302,39.05447,935.888428,408.787201,-103.991249,937.872864,407.497192,-51.495472,936.481995,278.398529,-245.255005,481.190521,377.408936,-297.690826,94.633209,411.891296,-257.95285,67.10302,282.849213,82.77285,481.834595,382.777008,143.415787,100.654472,412.250183,97.768784,65.832893,287.031158,-150.71347,464.852234,352.165741,-220.948822,97.48439,248.989532,-316.449463,48.550289,228.676941,-248.441467,60.30191,252.827698,169.150864,51.438705,224.311676,101.384384,60.050846,353.824127,68.795311,100.624161,290.65036,-7.83611,468.557617
19,0,233.038605,-211.811905,942.819275,230.027588,39.249931,935.885376,408.559937,-103.960213,938.090698,407.323761,-51.494125,936.667969,278.425781,-245.17157,481.191376,377.393036,-297.653168,94.625244,411.883331,-257.95575,67.100594,283.00354,82.875786,481.854401,382.766083,143.450577,100.656418,412.272675,97.800117,65.833923,287.118225,-150.648895,464.842865,352.189941,-220.919937,97.50399,249.004486,-316.46402,48.549614,228.710632,-248.472687,60.278839,252.88353,169.168335,51.487373,224.341766,101.386177,60.036816,353.816315,68.762383,100.622383,290.813568,-7.721855,468.576965
20,0,232.669006,-211.602188,942.706238,229.974915,39.434845,935.852173,408.352966,-103.950417,938.272461,407.20813,-51.487846,936.869263,278.492859,-245.065887,481.182007,377.395172,-297.68045,94.603668,411.882782,-257.968292,67.108124,283.143036,83.027107,481.870117,382.782257,143.489212,100.646637,412.27652,97.810837,65.820847,287.326202,-150.748138,464.731903,352.130798,-220.91626,97.47419,249.002625,-316.45047,48.542122,228.690872,-248.483612,60.267433,252.892822,169.218079,51.549553,224.315628,101.364388,60.037319,353.857178,68.873634,100.66246,290.965424,-7.597847,468.62561
21,0,232.246201,-211.391418,942.593872,229.941757,39.682674,935.854919,407.959656,-104.07193,938.437988,407.031128,-51.553436,937.207336,278.574829,-244.980728,481.187469,377.386444,-297.625336,94.670837,411.892853,-257.971252,67.106918,283.293091,83.167953,481.871552,382.810333,143.539307,100.628624,412.277344,97.834259,65.861786,287.485352,-150.67807,464.710815,352.13678,-220.921509,97.500885,248.994217,-316.437653,48.545113,228.696869,-248.480347,60.252773,252.873093,169.194885,51.476128,224.359329,101.388321,60.033474,353.866699,68.862694,100.683777,291.148193,-7.454857,468.630035
22,0,231.825348,-211.163971,942.449585,229.912689,39.915398,935.833801,407.613098,-104.141296,938.697083,406.793671,-51.645439,937.432739,278.685913,-244.881805,481.18161,377.454651,-297.600525,94.700432,411.907928,-257.97995,67.081879,283.456329,83.311729,481.900818,382.825867,143.558548,100.621719,412.307892,97.856247,65.844627,287.589325,-150.410126,464.710297,352.224945,-220.891815,97.536713,248.999283,-316.44339,48.547337,228.71553,-248.445068,60.26524,252.871872,169.20665,51.535542,224.399384,101.427551,60.078312,353.956055,68.940887,100.72113,291.324524,-7.302619,468.659882
23,0,231.405884,-210.923645,942.336975,229.868042,40.127251,935.780884,407.285431,-104.259399,938.901001,406.664551,-51.660248,937.666809,278.734406,-244.786758,481.183472,377.456207,-297.647705,94.67511,411.828888,-257.907867,67.089264,283.636566,83.449837,481.920807,382.849701,143.576645,100.600494,412.323547,97.906441,65.824776,287.824127,-150.51619,464.703979,352.202118,-220.932007,97.500488,248.978561,-316.43866,48.568565,228.722626,-248.439667,60.283516,252.869003,169.242752,51.548733,224.427856,101.443855,60.097137,353.950378,68.927887,100.714462,291.52356,-7.181973,468.687988
24,0,230.957184,-210.688141,942.200317,229.818985,40.395004,935.724548,406.980133,-104.332565,939.140137,406.367676,-51.789146,937.82251,278.828033,-244.683136,481.185883,377.427185,-297.588837,94.732651,411.91153,-257.960815,67.08654,283.839783,83.577583,481.957245,382.860565,143.603333,100.607391,412.350311,97.901901,65.850464,287.931183,-150.235016,464.723907,352.277527,-220.925781,97.558121,248.99913,-316.425903,48.559044,228.726578,-248.438889,60.27449,252.87851,169.179596,51.479469,224.415527,101.431259,60.102375,354.019928,69.024139,100.745735,291.726013,-7.083013,468.712158
25,0,230.496948,-210.432083,942.082397,229.764603,40.636501,935.678711,406.670044,-104.377022,939.229431,406.166962,-51.81691,938.003357,278.926819,-244.602509,481.17395,377.477081,-297.602203,94.757294,411.912659,-257.982056,67.099052,284.10025,83.742195,481.99295,382.896851,143.614685,100.58493,412.451935,97.805412,65.981178,288.222961,-150.251495,464.652222,352.238892,-220.908371,97.528175,249.008011,-316.41922,48.540756,228.720474,-248.418655,60.29129,252.879471,169.200745,51.471066,224.478973,101.44001,60.052494,354.039337,69.049255,100.756104,291.919067,-6.938276,468.764465
26,0,230.064117,-210.157578,941.96283,229.736023,40.900898,935.66272,406.378693,-104.421806,939.411133,405.914764,-51.857937,938.14856,279.003143,-244.497467,481.178711,377.458984,-297.620453,94.739021,411.9133,-257.962128,67.121185,284.335449,83.889732,482.031067,382.903625,143.651657,100.576492,412.43512,97.808609,65.964546,288.352509,-150.141235,464.636169,352.228302,-220.938568,97.537636,248.987473,-316.402313,48.540337,228.744308,-248.389374,60.288345,252.903336,169.226959,51.469921,224.40799,101.405968,60.045219,354.092072,69.079895,100.781662,292.130066,-6.821905,468.801514
27,0,229.519699,-209.87793,941.833679,229.652328,41.193867,935.605103,405.973724,-104.526718,939.547241,405.853546,-51.791122,938.28186,279.045868,-244.42543,481.170715,377.486816,-297.620972,94.755768,411.905762,-257.969543,67.128571,284.560333,84.008385,482.059814,382.954315,143.657806,100.555016,412.398651,97.934486,65.886703,288.477234,-150.0858,464.635956,352.251251,-220.935318,97.528854,249.002899,-316.393433,48.562546,228.741425,-248.35376,60.259922,252.910919,169.225464,51.465282,224.470001,101.449127,60.094181,354.101501,69.08812,100.794243,292.329102,-6.721475,468.855499
28,0,228.993729,-209.569595,941.721741,229.592194,41.447342,935.536072,405.999176,-104.396523,939.771667,405.594025,-51.826733,938.427002,279.048828,-244.353622,481.190186,377.468781,-297.611908,94.775658,411.922302,-257.961121,67.130569,284.769836,84.184464,482.094391,382.968353,143.67662,100.539848,412.394318,97.986061,65.840195,288.53299,-149.970795,464.601746,352.304474,-220.903946,97.568535,248.977051,-316.373779,48.56852,228.746109,-248.351273,60.240192,252.911545,169.256638,51.48299,224.442093,101.451874,60.070274,354.177399,69.180389,100.812447,292.51416,-6.616497,468.898499
29,0,228.464294,-209.298752,941.576294,229.487076,41.751667,935.486572,405.678925,-104.446808,939.911804,405.380646,-51.860409,938.583618,279.067871,-244.281021,481.19809,377.510803,-297.630463,94.752594,411.907806,-257.968048,67.13118,284.966248,84.349991,482.135193,383.007904,143.709335,100.534943,412.399841,97.997353,65.826904,288.543335,-149.84671,464.58728,352.279266,-220.883545,97.531067,248.884033,-316.295746,48.485683,228.753403,-248.321121,60.227623,252.934631,169.289734,51.533821,224.460815,101.45369,60.067516,354.147888,69.163185,100.833687,292.598236,-6.517256,468.925568
30,0,227.954834,-209.032578,941.435181,229.376602,42.040386,935.393799,405.356476,-104.456757,940.040771,405.168823,-51.921356,938.753662,279.030273,-244.198486,481.177979,377.455719,-297.610565,94.781677,411.90332,-257.969116,67.138458,285.127899,84.489021,482.169708,383.011505,143.720734,100.516472,412.381226,97.979553,65.803764,288.416931,-149.782944,464.550446,352.220917,-220.904465,97.484184,248.985809,-316.393829,48.573776,228.742859,-248.324326,60.194958,252.93895,169.283844,51.521568,224.454498,101.437065,60.042015,354.2005,69.176384,100.851288,292.798981,-6.400153,468.957001
