,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,180.436249,-202.64624,932.200684,189.363907,48.987839,930.175659,361.218475,-102.961426,934.452087,362.234985,-49.646507,933.669189,263.448334,-238.912476,475.939484,375.51236,-296.752686,96.129173,411.453125,-257.868622,67.822777,269.454895,90.660835,473.857483,377.888641,151.361694,101.806068,410.234039,105.920601,67.515007,279.464172,-143.809204,460.661102,352.052765,-219.66481,97.159409,247.467377,-315.013153,48.162971,227.161011,-246.272751,59.911575,247.323334,171.584213,50.670574,221.730545,102.004967,60.597485,351.712067,75.298492,101.052834,278.355164,-1.215565,463.037323
2,0,180.454865,-202.675522,932.185242,189.391434,48.963135,930.167664,361.1409,-103.002495,934.440796,362.281158,-49.646976,933.575928,263.404846,-238.947128,475.94873,375.493378,-296.742096,96.112755,411.457581,-257.867737,67.815605,269.457794,90.640533,473.844116,377.86792,151.360901,101.812767,410.193115,105.928322,67.494957,279.451904,-143.802246,460.66275,352.082306,-219.682632,97.139618,247.46756,-315.018066,48.139606,227.162827,-246.295258,59.897106,247.320511,171.564758,50.669975,221.736343,101.99649,60.597374,351.748596,75.313728,101.063492,278.279175,-1.244526,463.014771
3,0,180.466309,-202.683868,932.190247,189.422226,48.933662,930.180359,361.339172,-102.974304,934.467529,362.187988,-49.702473,933.61969,263.467072,-238.924988,475.897339,375.470856,-296.769562,96.086487,411.463501,-257.866669,67.808449,269.465912,90.62674,473.862061,377.879456,151.337936,101.80867,410.200592,105.937035,67.52948,279.5177,-143.770157,460.715149,352.062195,-219.661057,97.137291,247.52562,-315.017639,48.049999,227.148621,-246.322586,59.857704,247.301361,171.573059,50.672379,221.738892,101.984924,60.5966,351.716248,75.297127,101.062714,278.347534,-1.247489,463.002899
4,0,180.446335,-202.708466,932.191589,189.437607,48.916157,930.197266,361.335602,-102.979836,934.494141,362.234406,-49.682949,933.666443,263.443359,-238.919022,475.910828,375.507965,-296.742096,96.133499,411.460114,-257.874786,67.803734,269.459351,90.617889,473.876007,377.862549,151.338394,101.818245,410.213104,105.935974,67.510857,279.468445,-143.803894,460.699829,352.082764,-219.661224,97.159546,247.504837,-315.031586,48.153988,227.17334,-246.258942,59.921223,247.313995,171.56601,50.668163,221.736969,102.005455,60.591076,351.718536,75.282883,101.057999,278.325195,-1.241225,463.014679
5,0,180.439713,-202.730637,932.174683,189.47084,48.908276,930.207153,361.26944,-103.094658,934.416992,362.24939,-49.727661,933.622437,263.408264,-238.908859,475.921692,375.509155,-296.748901,96.103813,411.458527,-257.857025,67.798904,269.465576,90.60611,473.870178,377.871979,151.348328,101.826416,410.223907,105.947334,67.521614,279.47467,-143.810059,460.70816,352.048706,-219.657516,97.142212,247.539551,-315.009521,48.07502,227.17392,-246.265579,59.922722,247.306702,171.565033,50.663944,221.73465,102.008568,60.60836,351.703308,75.275436,101.074707,278.303467,-1.266659,463.037781
6,0,180.436142,-202.744339,932.139954,189.518692,48.895084,930.211243,361.420258,-103.114105,934.483948,362.312103,-49.640701,933.802063,263.443726,-238.909622,475.927094,375.508759,-296.760101,96.110725,411.434296,-257.880096,67.827103,269.470123,90.606384,473.87674,377.884155,151.34935,101.825455,410.234497,105.923767,67.511314,279.376343,-143.86171,460.667358,352.063934,-219.676651,97.118561,247.539597,-315.008759,48.07671,227.149963,-246.277191,59.87151,247.310181,171.562225,50.681015,221.709259,102.000183,60.620247,351.707825,75.262657,101.058762,278.342163,-1.247315,463.044067
7,0,180.432983,-202.752548,932.133728,189.54425,48.900452,930.213379,361.277985,-103.181541,934.437195,362.303192,-49.806526,933.665955,263.418304,-238.926758,475.919617,375.513153,-296.770111,96.068451,411.441681,-257.896942,67.797997,269.489655,90.594055,473.872589,377.882751,151.340439,101.824547,410.223572,105.927612,67.481041,279.437408,-143.830154,460.661133,351.887665,-219.479095,97.166588,247.528793,-315.0224,48.045025,227.170761,-246.262299,59.917645,247.30452,171.559235,50.691395,221.721222,101.983902,60.600243,351.700104,75.263329,101.047882,278.345703,-1.25258,463.053406
8,0,180.421326,-202.768951,932.141968,189.583206,48.911129,930.220825,361.17746,-103.216423,934.461243,362.269745,-49.851414,933.678711,263.418335,-238.939896,475.917389,375.491821,-296.793854,96.050095,411.439514,-257.912354,67.80291,269.480652,90.598442,473.858276,377.906372,151.337143,101.833549,410.235107,105.94857,67.529358,279.522003,-143.794525,460.694794,352.102356,-219.687378,97.134605,247.517822,-315.038605,48.129616,227.178955,-246.274628,59.922344,247.316467,171.560074,50.675678,221.713684,101.990211,60.613426,351.737793,75.273445,101.058151,278.348694,-1.299664,463.06189
9,0,180.418533,-202.753906,932.101379,189.606644,48.868431,930.231934,361.323975,-103.248024,934.46698,362.324646,-49.893551,933.778992,263.357666,-238.94278,475.94812,375.522156,-296.778473,96.046936,411.434906,-257.896973,67.791763,269.493835,90.587845,473.852142,377.899231,151.343643,101.812531,410.290497,105.949585,67.515465,279.535004,-143.824081,460.692169,352.093079,-219.673096,97.102516,247.497238,-315.012421,48.133549,227.16684,-246.2621,59.928623,247.321945,171.553391,50.675037,221.727066,101.991043,60.605465,351.746216,75.285934,101.053383,278.435272,-1.25833,463.054077
10,0,180.386551,-202.762161,932.095947,189.614868,48.88908,930.193787,361.308258,-103.274391,934.468079,362.33197,-49.916443,933.714722,263.400177,-238.931549,475.942413,375.514801,-296.757812,96.056,411.461914,-257.909302,67.782784,269.510162,90.564789,473.842651,377.907867,151.34935,101.813438,410.288818,105.965637,67.530624,279.443817,-143.823166,460.682312,352.064117,-219.685013,97.098808,247.516525,-315.026947,48.161545,227.180008,-246.257172,59.937038,247.325424,171.567871,50.679363,221.718994,102.006142,60.626125,351.757172,75.285881,101.068367,278.440826,-1.250374,463.04068
