,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,192.31543,-197.943863,932.074219,197.521439,53.380245,930.432922,371.061279,-95.476189,941.39917,371.920013,-42.344315,941.107483,269.192596,-232.858215,474.563354,372.672485,-289.353912,96.266518,408.959656,-250.297546,68.568893,275.126526,91.996925,473.929474,382.616211,149.024017,101.010353,415.562622,104.214218,66.768944,284.413544,-137.318726,459.786255,349.383057,-212.088593,96.843124,245.818604,-310.134766,47.710556,224.362366,-241.878403,59.494904,250.987564,165.43399,50.500244,227.772232,95.19561,60.488255,358.094055,72.602974,101.593704,286.446289,0.152886,464.710358
2,0,192.397049,-197.940384,932.071045,197.523468,53.391693,930.396729,371.155731,-95.456223,941.373718,371.719757,-42.316528,940.928528,269.161957,-232.831741,474.562744,372.836426,-289.402191,96.342194,408.962585,-250.248398,68.583054,275.05069,91.983795,473.920868,382.592499,149.032318,101.004486,415.638275,104.28476,66.790977,284.414032,-137.312378,459.789337,349.338806,-212.068619,96.831978,245.818771,-310.129913,47.72089,224.347977,-241.868698,59.491882,250.96727,165.438904,50.50193,227.763367,95.19429,60.490849,358.106384,72.630295,101.599319,286.174469,0.032621,464.533417
3,0,192.477982,-197.964142,932.08075,197.626633,53.300346,930.503296,371.191528,-95.437035,941.275757,371.821533,-42.231949,941.072327,269.147247,-232.854782,474.541351,372.70932,-289.376312,96.302544,408.999146,-250.240799,68.596924,274.937286,91.980713,473.900146,382.482849,149.085953,101.064484,415.600708,104.297409,66.764565,284.351624,-137.3405,459.786194,349.353668,-212.013855,96.832085,245.810455,-310.118347,47.730637,224.346207,-241.871307,59.507553,250.988937,165.427231,50.492607,227.791245,95.200836,60.497898,358.062805,72.636246,101.587761,286.083923,0.009216,464.604767
4,0,192.567474,-197.998718,932.09314,197.617386,53.330616,930.474548,371.315796,-95.378151,941.237305,372.018494,-42.281052,940.949036,269.157806,-232.841888,474.550995,372.715485,-289.374023,96.259163,408.975128,-250.294296,68.557739,275.079437,91.506416,473.824707,382.48761,149.094742,101.051331,415.601349,104.265419,66.757034,284.367676,-137.34343,459.798065,349.37381,-212.044785,96.831848,245.791367,-310.101807,47.723991,224.355804,-241.882599,59.4776,250.952484,165.420471,50.517078,227.792572,95.170692,60.472408,358.134033,72.629791,101.568718,285.955719,-0.009952,464.616272
5,0,192.626038,-198.038422,932.125732,197.668991,53.307751,930.505615,371.371124,-95.412468,941.187866,371.923004,-42.232597,940.959717,269.138367,-232.840057,474.546631,372.602081,-289.301819,96.229118,408.96936,-250.251022,68.591644,274.943176,91.474373,473.808807,382.574127,149.049545,100.98259,415.630737,104.317543,66.684837,284.381561,-137.352097,459.78949,349.376129,-212.048874,96.805199,245.811707,-310.148315,47.721813,224.347214,-241.879456,59.48587,250.963058,165.402451,50.505295,227.770096,95.137856,60.470474,358.102417,72.613762,101.562943,285.872101,-0.023543,464.61087
6,0,192.738556,-198.076477,932.117798,197.751678,53.253712,930.547058,371.501404,-95.409279,941.162109,371.970947,-42.277691,940.832642,269.153564,-232.833038,474.545654,372.838135,-289.397095,96.314285,408.963715,-250.243454,68.585876,275.02533,91.214096,473.73526,382.556824,149.057602,100.974777,415.625519,104.327301,66.704666,284.390594,-137.339996,459.812805,349.356812,-212.076126,96.817513,245.813965,-310.150116,47.716385,224.3629,-241.868332,59.507175,250.959702,165.394379,50.515255,227.778687,95.130531,60.476212,358.168152,72.566711,101.560425,285.73877,-0.056792,464.585541
7,0,192.799011,-198.112061,932.157227,197.754303,53.229568,930.592346,371.56427,-95.389809,941.103516,371.882538,-42.342133,940.810242,269.169922,-232.818283,474.545715,372.667542,-289.244995,96.311783,408.969879,-250.225571,68.58696,274.814545,91.21064,473.708557,382.552948,149.060867,100.954292,415.63678,104.313667,66.678421,284.40625,-137.348526,459.813507,349.400635,-212.028732,96.817596,245.813049,-310.14151,47.745655,224.384293,-241.872818,59.489014,250.960373,165.389694,50.532467,227.785095,95.120438,60.459404,358.176666,72.555954,101.529549,285.615845,-0.107038,464.569
8,0,192.870102,-198.157532,932.184326,197.773346,53.31498,930.660034,371.577972,-95.409531,941.027954,372.158752,-42.305119,940.770325,269.15033,-232.8284,474.544983,372.677643,-289.329865,96.278412,408.972961,-250.23111,68.606445,274.575745,91.150513,473.651093,382.462982,149.095932,101.010124,415.680023,104.350891,66.610512,284.427582,-137.348389,459.82309,349.356415,-212.088882,96.793488,245.831238,-310.143463,47.752316,224.339813,-241.865662,59.494118,250.957016,165.378006,50.523163,227.815277,95.106903,60.433483,358.197845,72.529839,101.490593,285.479706,-0.120036,464.534882
9,0,192.986542,-198.171295,932.184448,197.795624,53.275589,930.689697,371.79837,-95.425743,940.991821,372.276428,-42.280453,940.754211,269.126892,-232.843079,474.556824,372.666321,-289.295624,96.259804,408.94632,-250.217224,68.585655,274.282379,91.14476,473.610809,382.517639,149.085587,100.923141,415.670502,104.344925,66.555428,284.425934,-137.349854,459.834167,349.380859,-212.033615,96.819603,245.793716,-310.128387,47.736053,224.340408,-241.864899,59.47374,250.966995,165.372925,50.525997,227.81546,95.082146,60.449261,358.145538,72.56929,101.456413,285.302856,-0.177126,464.509918
10,0,193.047363,-198.220566,932.211121,197.835098,53.242485,930.721619,371.739563,-95.394806,940.910034,372.147858,-42.213493,940.632935,269.158844,-232.81601,474.546387,372.813446,-289.3703,96.33268,408.948639,-250.227814,68.575966,274.019623,91.107323,473.577576,382.490631,149.116653,100.914467,415.681946,104.391464,66.530525,284.455597,-137.349579,459.846161,349.387085,-212.073318,96.815826,245.800323,-310.122131,47.730854,224.343597,-241.860794,59.478973,250.950516,165.362762,50.518806,227.905594,95.137955,60.465088,358.201447,72.551949,101.44342,285.055084,-0.162524,464.456543
