,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,216.446548,-210.09407,938.0755,209.082001,39.942978,929.541321,390.641296,-99.608406,938.780579,388.097839,-46.203655,936.644226,278.487183,-242.721985,478.207642,380.762756,-297.66687,95.376488,417.107269,-259.279266,67.827583,277.987762,83.542953,477.702637,386.59137,149.237885,101.695915,418.85025,105.130966,66.76825,294.212524,-147.68457,462.939545,358.715546,-220.520325,97.383354,252.685394,-314.61145,48.27523,232.963745,-246.454163,59.724575,257.168091,172.212234,51.342045,230.158508,103.585587,59.671974,361.172424,73.608948,100.301842,292.548553,-7.576993,464.71524
2,0,216.448486,-210.102463,938.10144,209.15921,39.958763,929.577026,390.527313,-99.813812,938.634827,388.166779,-46.356541,936.637085,278.300842,-242.779648,478.201477,380.718811,-297.677277,95.367241,417.051483,-259.555725,67.765335,277.970276,83.538803,477.683197,386.587494,149.226395,101.696419,418.931702,105.135773,66.844261,294.131165,-147.709183,462.944916,358.710297,-220.533966,97.353058,252.62851,-314.613983,48.284653,232.966339,-246.438049,59.71941,257.158325,172.220123,51.333672,230.105408,103.584457,59.672836,361.226898,73.610466,100.287865,292.494476,-7.586627,464.683105
3,0,216.445496,-210.119446,938.086182,209.239182,39.956059,929.58844,390.549408,-99.902534,938.650879,388.193726,-46.453419,936.635864,278.237366,-242.774307,478.159485,380.728119,-297.687622,95.376526,417.040161,-259.462616,67.805138,277.929657,83.513847,477.681183,386.572266,149.222443,101.68589,418.901642,105.110527,66.811867,294.100555,-147.716705,462.932587,358.766388,-220.503311,97.43705,252.61647,-314.641235,48.291103,232.967026,-246.455933,59.735081,257.153564,172.195847,51.357628,230.137909,103.580345,59.665775,361.186035,73.615646,100.266541,292.519104,-7.629855,464.687958
4,0,216.444138,-210.131012,938.075439,209.298843,39.95565,929.609253,390.569946,-100.007767,938.635559,388.223236,-46.654919,936.467041,278.290588,-242.762207,478.153412,380.707672,-297.688232,95.332695,417.094818,-259.369995,67.742905,277.936249,83.483215,477.664856,386.568176,149.19458,101.704262,418.949371,105.133476,66.870552,294.043945,-147.759354,462.90567,358.700165,-220.540436,97.36792,252.65419,-314.638275,48.288078,232.969894,-246.445282,59.734913,257.152863,172.209991,51.34549,230.111053,103.571457,59.672134,361.230835,73.591209,100.309204,292.457916,-7.638854,464.696869
5,0,216.430069,-210.188232,938.058289,209.349197,39.964985,929.587341,390.61615,-100.107056,938.622681,388.260223,-46.741344,936.511047,278.24704,-242.775574,478.164398,380.739471,-297.707245,95.380371,417.029846,-259.497742,67.81752,277.93222,83.507019,477.690704,386.579193,149.191406,101.705864,418.987701,105.149361,66.90081,293.977722,-147.789719,462.91153,358.711212,-220.564575,97.387146,252.649628,-314.629364,48.269615,232.978973,-246.442108,59.724064,257.149994,172.201904,51.332924,230.094757,103.568199,59.656483,361.191528,73.584213,100.329926,292.467987,-7.69044,464.680389
6,0,216.437195,-210.175308,938.062073,209.526154,39.78138,929.560486,390.623657,-100.180557,938.645508,388.387817,-46.745918,936.601807,278.246918,-242.785629,478.160004,380.745056,-297.688446,95.364342,417.09137,-259.317535,67.834122,277.955414,83.455086,477.672424,386.590607,149.184814,101.718208,418.825317,105.087288,66.817459,293.960602,-147.818863,462.907715,358.698395,-220.557663,97.404938,252.68898,-314.60434,48.269844,232.972336,-246.44664,59.721378,257.151184,172.187881,51.332077,230.156052,103.595459,59.660183,361.201569,73.586823,100.292191,292.473267,-7.681293,464.656586
7,0,216.431808,-210.194351,938.076965,209.552444,39.789211,929.533447,390.625427,-100.262894,938.610718,388.42038,-46.812447,936.622559,278.229584,-242.816696,478.147583,380.708954,-297.693298,95.365417,417.06662,-259.480408,67.835022,277.985321,83.500198,477.673218,386.590546,149.16655,101.720879,418.937653,105.086861,66.863335,293.916473,-147.833023,462.943817,358.708038,-220.569717,97.380295,252.619141,-314.606445,48.300285,232.967804,-246.423996,59.724319,257.156189,172.187241,51.336201,230.098801,103.5672,59.655556,361.297729,73.565895,100.324547,292.485199,-7.704006,464.646759
8,0,216.43338,-210.207886,938.105225,209.601776,39.756786,929.531128,390.615936,-100.349266,938.611267,388.478119,-46.868061,936.623596,278.233185,-242.820648,478.166382,380.704681,-297.709442,95.334244,417.103058,-259.344879,67.815742,278.017731,83.525368,477.637665,386.597687,149.166214,101.725441,418.858063,105.052422,66.788452,293.920319,-147.849457,462.949402,358.712463,-220.566772,97.427002,252.631577,-314.629364,48.298073,232.988602,-246.435028,59.703938,257.142761,172.179504,51.337959,230.146042,103.604256,59.655167,361.23938,73.542725,100.348579,292.505096,-7.72709,464.638916
9,0,216.431076,-210.247177,938.114929,209.624969,39.730381,929.504456,390.645355,-100.410683,938.628113,388.454041,-46.906033,936.597961,278.185822,-242.889221,478.185852,380.738068,-297.713379,95.35183,417.088531,-259.368011,67.820908,278.044678,83.504608,477.631439,386.612762,149.1539,101.731354,418.867798,105.057426,66.813698,293.945648,-148.030914,463.004608,358.710907,-220.551865,97.413269,252.649033,-314.632172,48.302364,232.977539,-246.440369,59.735561,257.144165,172.187943,51.334934,230.100159,103.561958,59.656269,361.243683,73.526474,100.370117,292.497589,-7.727275,464.612671
10,0,216.471832,-210.278198,938.113464,209.561157,39.882744,929.495483,390.672333,-100.47303,938.62262,388.449829,-46.991936,936.583069,278.251617,-242.89621,478.158813,380.699585,-297.765076,95.35424,417.073486,-259.549896,67.808975,278.042206,83.4814,477.61087,386.60849,149.13768,101.729065,418.906616,105.038246,66.832146,293.969147,-147.919174,462.968842,358.724976,-220.589218,97.405617,252.633453,-314.649567,48.293922,232.967102,-246.448608,59.723335,257.143036,172.184021,51.351673,230.084244,103.563446,59.642574,361.200165,73.484245,100.271614,292.492981,-7.769651,464.5672
