,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,200.171661,-207.78685,937.556152,176.43248,41.44857,929.157654,366.413269,-86.662354,935.88916,360.485046,-33.846855,933.805542,263.816254,-238.307053,478.035187,374.520203,-286.702393,95.805573,407.861511,-245.892899,68.38018,262.18277,85.446884,474.142303,376.935089,146.842606,101.965294,409.476898,101.695961,67.860573,270.622467,-141.804565,462.072083,345.994568,-211.36647,96.611977,249.1604,-314.44397,47.952171,223.217712,-247.376801,59.927135,248.481354,169.332062,51.147072,221.013977,100.085945,59.997372,351.061401,70.551865,100.926697,275.791718,-5.777701,463.233185
2,0,200.200119,-207.774551,937.56366,176.405731,41.467937,929.173279,366.500671,-86.570747,935.936035,360.435272,-33.809776,933.818481,263.847778,-238.298874,478.047272,374.572906,-286.710571,95.821625,407.871399,-245.878128,68.362251,262.179779,85.471413,474.16153,376.920441,146.845383,101.956131,409.433838,101.672432,67.850571,270.726166,-141.786087,462.074341,345.992401,-211.345474,96.651497,249.154572,-314.464539,47.955639,223.211014,-247.351929,59.924114,248.451111,169.335175,51.150711,221.011459,100.079277,59.993359,351.038788,70.543129,100.94503,275.82489,-5.76372,463.231628
3,0,200.228149,-207.775101,937.597046,176.415878,41.464451,929.182983,366.466217,-86.497749,935.935974,360.355957,-33.71764,933.886047,263.936707,-238.280243,478.067047,374.568878,-286.704376,95.809082,407.860931,-245.889984,68.365364,262.156525,85.501282,474.167145,376.91864,146.845001,101.942909,409.488861,101.714401,67.870079,270.78241,-141.771225,462.092468,345.988678,-211.370148,96.625771,249.147797,-314.468781,47.957626,223.192642,-247.371567,59.932674,248.454132,169.338974,51.152161,220.994995,100.084251,59.99419,351.05603,70.542107,100.946747,276.090912,-5.552556,463.281799
4,0,200.292709,-207.749603,937.572754,176.437454,41.460022,929.18988,366.487366,-86.479408,935.924133,360.528778,-33.724014,933.799072,263.998047,-238.2854,478.081055,374.541534,-286.698303,95.813324,407.883209,-245.877899,68.360283,262.170715,85.510132,474.174866,376.930359,146.854721,101.943069,409.447876,101.67762,67.826874,270.822754,-141.760513,462.116791,345.984528,-211.35466,96.637894,249.1492,-314.460938,47.955624,223.210693,-247.372864,59.941723,248.446335,169.324493,51.155411,220.99968,100.081284,59.997452,351.075745,70.5438,100.930664,275.819305,-5.717701,463.228851
5,0,200.294342,-207.740555,937.582947,176.455688,41.486485,929.191956,366.5159,-86.499756,935.846741,360.609711,-33.619026,933.799927,264.038177,-238.276978,478.084625,374.55722,-286.724274,95.797661,407.866028,-245.871872,68.367401,262.131195,85.547844,474.189362,376.921844,146.85228,101.940292,409.41272,101.662338,67.880249,270.915924,-141.724091,462.144257,345.979614,-211.339066,96.683876,249.167908,-314.468353,47.951756,223.20314,-247.355728,59.927383,248.44928,169.32251,51.161194,221.014801,100.080193,59.980873,351.062561,70.559464,100.94606,275.869598,-5.721644,463.268036
6,0,200.356262,-207.683838,937.580933,176.473114,41.512585,929.18573,366.539764,-86.428856,935.854431,360.469116,-33.5354,933.86792,264.133209,-238.239792,478.093658,374.572113,-286.689423,95.831604,407.876465,-245.85878,68.372559,262.142792,85.590073,474.191803,376.918701,146.864426,101.934326,409.517944,101.781425,67.926895,270.974152,-141.689224,462.132721,346.001495,-211.331543,96.669685,249.14946,-314.474182,47.965206,223.203644,-247.360428,59.930874,248.429901,169.331589,51.161366,221.017059,100.09597,59.996574,351.104034,70.532104,100.94371,275.850372,-5.679628,463.268433
7,0,200.386444,-207.657074,937.595398,176.471802,41.547596,929.199829,366.570587,-86.407257,935.819153,360.559448,-33.47118,933.88324,264.18573,-238.220032,478.096802,374.564819,-286.696167,95.819572,407.860748,-245.873337,68.379311,262.143005,85.584435,474.181183,376.921875,146.861664,101.917183,409.596008,101.80397,67.899231,270.979034,-141.659698,462.133453,346.015045,-211.330368,96.622269,249.16304,-314.484497,47.973454,223.198715,-247.366882,59.934696,248.450287,169.335617,51.169445,221.020187,100.088783,59.989883,351.1091,70.556152,100.94175,275.826935,-5.691255,463.256348
8,0,200.465317,-207.631271,937.590576,176.501968,41.558014,929.184631,366.578918,-86.377296,935.797913,360.522247,-33.450668,933.827637,264.201233,-238.210434,478.088135,374.570312,-286.697174,95.78405,407.860168,-245.873505,68.365051,262.155975,85.597038,474.160278,376.916321,146.885529,101.927559,409.434601,101.750465,67.823524,271.023438,-141.628754,462.126526,345.978607,-211.343353,96.622002,249.165268,-314.477417,47.960022,223.204178,-247.381104,59.949112,248.416336,169.334427,51.160015,221.0345,100.063728,59.989918,351.13501,70.550186,100.943459,275.85318,-5.654519,463.251953
9,0,200.532898,-207.601654,937.588196,176.516586,41.596912,929.206726,366.69928,-86.292732,935.780823,360.685211,-33.460892,933.750793,264.157806,-238.197067,478.086365,374.567993,-286.708649,95.790451,407.877991,-245.883286,68.370132,262.128998,85.661949,474.170319,376.926483,146.897186,101.917816,409.365204,101.725891,67.834717,271.014801,-141.613464,462.104156,346.035828,-211.344894,96.645515,249.1642,-314.475494,47.995152,223.184586,-247.37291,59.924973,248.450134,169.349548,51.173286,221.043198,100.071968,59.993847,351.117004,70.563217,100.938583,275.872894,-5.662708,463.233124
10,0,200.599243,-207.578018,937.62262,176.53511,41.634068,929.187256,366.712433,-86.241005,935.806274,360.688385,-33.348545,933.833435,264.178284,-238.160187,478.047333,374.603088,-286.699249,95.801567,407.855225,-245.878937,68.379456,262.130737,85.725197,474.178894,376.921356,146.914246,101.929512,409.534698,101.852867,67.860924,270.996826,-141.580734,462.097717,346.003296,-211.350189,96.627487,249.184021,-314.485474,47.97131,223.20491,-247.375641,59.938705,248.435532,169.340973,51.171204,221.045731,100.087402,59.995148,351.097382,70.547646,100.952141,275.838837,-5.665027,463.222931
