,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,191.023422,-230.41925,937.310974,206.067245,19.565474,922.468079,373.573669,-134.907639,946.079102,376.25061,-82.020264,943.933289,270.962402,-254.613556,476.631531,374.159546,-289.523834,94.733795,409.272797,-248.955078,68.482285,280.034637,72.417854,472.825623,379.674957,145.213364,102.285126,408.626617,100.067337,66.852837,287.684601,-158.323685,466.122559,349.507935,-212.910202,98.834991,248.844101,-312.785522,48.419853,224.104706,-245.300262,59.459934,248.525711,170.638275,50.681324,220.988525,102.271889,60.971844,349.777527,70.864906,99.931602,281.59967,-19.369902,457.664429
2,0,191.032913,-230.434601,937.337891,206.027206,19.551491,922.457703,373.40567,-134.831146,945.896057,376.197723,-82.017792,943.916809,270.973389,-254.625,476.644104,374.204742,-289.520447,94.768608,409.277557,-248.929138,68.489044,280.017487,72.417763,472.842407,379.664154,145.221985,102.295898,408.678284,100.047127,66.959938,287.679321,-158.351715,466.139343,349.507751,-212.888596,98.856125,248.847046,-312.799438,48.438034,224.088303,-245.285889,59.459293,248.52005,170.656143,50.680519,221.008362,102.263588,60.98196,349.807556,70.84481,99.935303,281.589813,-19.38213,457.649689
3,0,191.043655,-230.438889,937.331604,205.999741,19.564814,922.438904,373.450989,-134.903564,945.995728,376.190491,-82.003304,943.916016,270.99762,-254.645325,476.63092,374.154053,-289.499146,94.746208,409.26535,-248.958893,68.458229,280.024017,72.399078,472.840637,379.675385,145.208939,102.29071,408.620758,100.037811,66.940964,287.686096,-158.35463,466.133179,349.494751,-212.884781,98.874939,248.838348,-312.789185,48.436016,224.057983,-245.227936,59.391186,248.527069,170.651245,50.700001,220.986267,102.271149,60.981327,349.638641,70.808609,100.001938,281.598083,-19.406368,457.664368
4,0,191.049255,-230.444992,937.336243,205.971695,19.565311,922.434753,373.434937,-134.910614,946.003296,376.187103,-81.990234,943.898315,271.048279,-254.651245,476.629669,374.16922,-289.518311,94.721931,409.263367,-248.961395,68.451981,280.040802,72.393028,472.846619,379.679352,145.209183,102.288063,408.59787,100.070335,66.844505,287.729645,-158.345581,466.131195,349.495605,-212.924637,98.870483,248.828857,-312.802826,48.420681,224.099518,-245.304916,59.441029,248.518417,170.640976,50.679573,221.001663,102.252312,60.971489,349.652161,70.801842,99.99469,281.601868,-19.3999,457.653381
5,0,191.026611,-230.468338,937.328064,205.975388,19.552931,922.418091,373.466949,-134.8797,946.011475,376.170105,-81.977921,943.893799,271.057343,-254.635269,476.625305,374.174774,-289.501068,94.735649,409.268341,-248.964783,68.458382,280.044952,72.397728,472.830444,379.672333,145.209076,102.288223,408.677856,100.080727,66.864922,287.746979,-158.358826,466.1427,349.500519,-212.863403,98.883354,248.825958,-312.774567,48.422894,224.109131,-245.292984,59.455509,248.526459,170.629257,50.676693,221.00798,102.2528,60.968395,349.664215,70.797928,100.002625,281.62088,-19.406006,457.655121
6,0,191.035446,-230.454956,937.333313,205.950485,19.560196,922.417419,373.553528,-134.858612,946.09552,376.174957,-81.980133,943.903564,271.038696,-254.622604,476.623657,374.173065,-289.524719,94.738121,409.268585,-248.957047,68.474655,280.04126,72.390907,472.829529,379.688049,145.21492,102.280334,408.670563,100.076424,66.911278,287.725647,-158.354965,466.114532,349.519989,-212.890427,98.864319,248.853699,-312.784912,48.436077,224.108337,-245.296463,59.453358,248.541,170.648849,50.695641,221.006332,102.257034,60.973461,349.68158,70.795578,99.993805,281.633453,-19.374809,457.665375
7,0,191.027237,-230.455719,937.338196,205.959396,19.556986,922.392517,373.407776,-134.874176,945.987488,376.166687,-81.98127,943.889954,271.038696,-254.604553,476.633698,374.182831,-289.506989,94.727318,409.269196,-248.946701,68.487091,280.034515,72.405487,472.832062,379.672516,145.203995,102.276299,408.657776,100.090385,66.925682,287.726318,-158.343262,466.131073,349.506622,-212.910507,98.836678,248.842957,-312.775757,48.425602,224.062759,-245.215927,59.39679,248.520462,170.663666,50.692417,221.032196,102.273392,60.98172,349.824768,70.834717,99.959442,281.625275,-19.38665,457.668671
8,0,191.001129,-230.457245,937.329834,205.95694,19.534472,922.421326,373.425201,-134.877182,945.996765,376.191895,-81.960617,943.900513,271.039276,-254.618439,476.628265,374.152618,-289.502289,94.678398,409.255402,-248.956039,68.472015,280.017151,72.414276,472.819,379.690643,145.213608,102.29776,408.656494,100.070534,66.879036,287.684326,-158.355743,466.124969,349.475128,-212.916016,98.844254,248.817337,-312.775604,48.441086,224.124023,-245.295334,59.472191,248.516724,170.659088,50.703037,221.021317,102.261993,60.988491,349.719391,70.780312,100.000511,281.646149,-19.394724,457.676819
9,0,191.016083,-230.460327,937.34552,205.973465,19.53978,922.412048,373.464844,-134.877609,946.003296,376.189301,-81.981941,943.902405,270.989441,-254.63855,476.624207,374.140808,-289.529449,94.735336,409.265533,-248.949783,68.495537,280.009857,72.425758,472.824554,379.673676,145.214996,102.29731,408.701538,100.068718,66.90448,287.69278,-158.357407,466.140198,349.471741,-212.90657,98.820076,248.836716,-312.784393,48.436134,224.109863,-245.290176,59.449768,248.535553,170.654358,50.699867,221.022568,102.261772,60.988167,349.731079,70.777115,99.977562,281.64389,-19.371311,457.667145
10,0,191.013855,-230.454346,937.333801,205.997711,19.541428,922.420715,373.555542,-134.873245,946.108337,376.184052,-81.981651,943.879456,270.988525,-254.619293,476.614807,374.212677,-289.494751,94.716072,409.24646,-248.970993,68.470772,280.019745,72.421745,472.820068,379.689148,145.221786,102.284241,408.695496,100.052979,66.926262,287.654907,-158.353485,466.156952,349.454071,-212.844284,98.856529,248.837433,-312.805908,48.432514,224.115341,-245.280807,59.473331,248.535431,170.657196,50.699623,220.995804,102.256119,60.994011,349.841553,70.824722,99.957886,281.635651,-19.333195,457.649048
11,0,191.03862,-230.430939,937.371765,206.053024,19.541971,922.404907,373.438873,-134.961823,945.980286,376.237946,-82.000931,943.881348,270.964966,-254.641205,476.632843,374.175079,-289.539551,94.703896,409.258057,-248.958069,68.484627,280.028229,72.424248,472.800446,379.679169,145.238037,102.293633,408.63562,100.065651,66.857666,287.662231,-158.355865,466.141937,349.478668,-212.861969,98.870178,248.837051,-312.782806,48.441219,224.119278,-245.278137,59.459549,248.529678,170.651703,50.710377,220.996368,102.277184,60.98893,349.753326,70.769829,99.973129,281.629517,-19.346848,457.670441
12,0,191.0392,-230.413849,937.358276,206.036972,19.552179,922.403137,373.52829,-134.947144,945.991882,376.259552,-82.04361,943.861267,270.934753,-254.635452,476.640869,374.191437,-289.544312,94.706665,409.267578,-248.941315,68.50219,280.037964,72.431305,472.809998,379.692352,145.210358,102.285904,408.6586,100.054077,66.909729,287.678375,-158.380356,466.138977,349.465393,-212.895187,98.844368,248.835129,-312.764893,48.435215,224.124664,-245.295044,59.460842,248.519348,170.650421,50.711369,220.997726,102.278976,61.016281,349.749237,70.781136,99.996269,281.616394,-19.345427,457.679871
