,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,209.821533,-206.471451,934.56781,212.194763,43.7682,929.417419,387.910004,-103.358528,944.674377,387.348755,-49.677696,943.3573,281.995789,-242.264008,475.764648,376.365875,-293.662903,96.249329,411.427551,-254.705109,67.85611,285.67746,85.567688,473.971375,381.558807,143.860245,100.910675,411.721222,98.22319,66.657394,296.187592,-144.74762,460.457764,352.313293,-217.275238,97.77211,249.144318,-315.632935,48.008343,226.715454,-248.085892,59.453972,251.721619,168.994995,50.951984,223.257507,100.853989,60.110401,353.894562,68.962143,101.14241,294.737366,-6.851492,463.360138
2,0,209.846054,-206.465088,934.567871,212.239365,43.729858,929.422729,387.924133,-103.312111,944.649231,387.371002,-49.473789,943.47699,281.999084,-242.223648,475.786804,376.339996,-293.675751,96.235229,411.418274,-254.682724,67.864517,285.679596,85.569725,473.984344,381.560608,143.861938,100.895218,411.654236,98.344536,66.512177,296.17099,-144.743057,460.452393,352.288696,-217.252228,97.776886,249.141357,-315.629395,48.019905,226.702698,-248.094406,59.440693,251.725876,169.009247,50.947163,223.243896,100.846916,60.113853,353.840515,68.936394,101.149887,294.315918,-7.179346,463.35321
3,0,209.874603,-206.456726,934.581238,212.265015,43.737328,929.436279,387.797089,-103.372955,944.567932,387.257721,-49.520462,943.452759,282.011963,-242.235001,475.800659,376.341827,-293.686951,96.240761,411.429626,-254.684891,67.845657,285.674652,85.578026,473.969818,381.560608,143.862106,100.89901,411.689087,98.371132,66.536552,296.154053,-144.738968,460.46344,352.312103,-217.242218,97.79628,249.137161,-315.608429,48.011559,226.693573,-248.088928,59.462601,251.712204,169.027649,50.963039,223.232285,100.858276,60.111992,353.817719,68.86235,101.106674,294.748413,-6.851992,463.373627
4,0,209.888443,-206.431152,934.593323,212.275055,43.743565,929.444641,387.979095,-103.30751,944.663147,387.306122,-49.510357,943.460876,282.011932,-242.236084,475.785187,376.394531,-293.643158,96.262932,411.425476,-254.683044,67.885872,285.672211,85.598244,473.960999,381.546356,143.865692,100.899216,411.655121,98.385063,66.51223,296.1539,-144.728439,460.445343,352.301605,-217.247955,97.787117,249.145691,-315.617523,48.011425,226.704056,-248.072937,59.459087,251.714142,169.005829,50.936275,223.216843,100.864494,60.124214,353.865173,68.891289,101.096916,294.773712,-6.851007,463.373047
5,0,209.91037,-206.455124,934.595276,212.290237,43.747021,929.461243,387.961395,-103.286682,944.639099,387.370636,-49.483219,943.470154,282.018127,-242.195023,475.769592,376.370026,-293.670837,96.246834,411.392059,-254.690018,67.874443,285.698181,85.605019,473.974121,381.559967,143.875458,100.890228,411.682831,98.387543,66.537308,296.169952,-144.71759,460.444397,352.29541,-217.23526,97.774002,249.148575,-315.625977,48.020267,226.697632,-248.083267,59.45665,251.725616,169.03035,50.937244,223.23259,100.863197,60.118629,353.771454,68.846336,101.225929,294.748352,-6.837224,463.376373
6,0,209.948807,-206.443024,934.584534,212.29599,43.756058,929.472656,387.950806,-103.33004,944.640137,387.394897,-49.512905,943.403015,282.012054,-242.237747,475.770416,376.390076,-293.694519,96.230919,411.39444,-254.693741,67.839447,285.706177,85.605568,473.959686,381.56601,143.874146,100.897835,411.672089,98.353539,66.500633,296.176239,-144.709335,460.451813,352.328979,-217.27005,97.756462,249.132217,-315.622925,48.029243,226.68689,-248.087311,59.454006,251.721436,168.998947,50.93256,223.241806,100.860313,60.102123,353.880127,68.885887,101.118416,294.780731,-6.804678,463.382477
7,0,209.958664,-206.42807,934.588623,212.334885,43.769135,929.47998,387.999969,-103.323112,944.675354,387.500153,-49.552624,943.376892,282.032623,-242.220123,475.784943,376.37735,-293.683655,96.242546,411.412811,-254.699921,67.848801,285.711609,85.604858,473.962311,381.56192,143.888779,100.896645,411.771637,98.249016,66.681732,296.179657,-144.740952,460.438965,352.303802,-217.250214,97.791466,249.147003,-315.625488,48.040039,226.685257,-248.073898,59.449898,251.723999,168.997391,50.934242,223.233139,100.852425,60.117622,353.839447,68.871147,101.10553,294.764221,-6.798075,463.395721
8,0,209.965607,-206.422791,934.594238,212.407196,43.621689,929.459778,388.067047,-103.309212,944.663513,387.46814,-49.556152,943.371704,282.005615,-242.23967,475.797668,376.392181,-293.69043,96.255882,411.424774,-254.67775,67.85791,285.709778,85.6073,473.974091,381.574646,143.885788,100.895355,411.759766,98.259544,66.655731,296.187897,-144.750443,460.443604,352.306061,-217.283432,97.764259,249.160828,-315.614227,48.044167,226.701248,-248.067276,59.464104,251.739227,169.008362,50.943016,223.229538,100.852501,60.118095,353.86145,68.938622,101.153168,294.798615,-6.785929,463.385468
9,0,209.988281,-206.411499,934.61377,212.402939,43.634838,929.462708,388.074341,-103.322731,944.638367,387.45108,-49.515343,943.468628,282.068909,-242.200394,475.786804,376.377533,-293.697693,96.234085,411.399261,-254.675186,67.873116,285.721832,85.622215,473.961487,381.55957,143.872559,100.891907,411.671814,98.372261,66.533287,296.17215,-144.761246,460.439758,352.31308,-217.249832,97.785751,249.148178,-315.633087,48.04007,226.714157,-248.065063,59.450874,251.722122,168.98616,50.939278,223.234741,100.842606,60.117867,353.819275,68.868111,101.120117,294.818176,-6.768175,463.386536
10,0,210.051773,-206.408997,934.616272,212.423325,43.63435,929.467651,388.114532,-103.280907,944.687378,387.434113,-49.500336,943.452698,282.069122,-242.209305,475.785065,376.332825,-293.701172,96.208031,411.399811,-254.680603,67.848671,285.717773,85.637024,473.982056,381.56546,143.882904,100.902328,411.697327,98.396202,66.54818,296.205505,-144.74881,460.446899,352.389801,-217.209412,97.871712,249.148193,-315.637665,48.013393,226.70343,-248.084366,59.469585,251.718704,168.994553,50.937477,223.236481,100.85363,60.114677,353.844086,68.860641,101.117638,294.812225,-6.790224,463.392731
11,0,210.056778,-206.415817,934.625488,212.440735,43.630684,929.47229,388.141174,-103.325157,944.646362,387.579315,-49.504745,943.362305,282.099426,-242.204025,475.783966,376.341858,-293.715881,96.203804,411.415558,-254.686295,67.849907,285.741608,85.609459,473.978912,381.567413,143.89624,100.898041,411.677948,98.243469,66.612617,296.180206,-144.754013,460.440826,352.316132,-217.195801,97.824692,249.146301,-315.63028,48.036251,226.696152,-248.063599,59.467926,251.709488,168.996811,50.891403,223.229156,100.836533,60.107155,353.840576,68.847778,101.132195,294.838837,-6.771067,463.422455
12,0,210.078491,-206.425797,934.634888,212.432663,43.731136,929.50061,388.173309,-103.319489,944.617554,387.469513,-49.50729,943.31842,282.053223,-242.219391,475.795715,376.348877,-293.709839,96.211601,411.385956,-254.686417,67.877136,285.689392,85.664986,473.993988,381.551178,143.892517,100.894852,411.683044,98.349411,66.559044,296.223389,-144.741684,460.453644,352.301147,-217.212982,97.788246,249.172043,-315.648132,48.059326,226.706772,-248.074402,59.449593,251.692627,168.987427,50.930931,223.238739,100.844543,60.105724,353.822876,68.820633,101.14019,294.847443,-6.792742,463.404816
13,0,210.126984,-206.420868,934.653748,212.462646,43.62426,929.500488,388.092163,-103.357208,944.561584,387.589203,-49.456665,943.399719,282.126221,-242.180328,475.79364,376.356812,-293.692963,96.25103,411.406769,-254.626572,67.878181,285.778961,85.635185,473.973969,381.557495,143.892853,100.903458,411.623566,98.361313,66.523819,296.224945,-144.769135,460.469574,352.304657,-217.201874,97.857277,249.158081,-315.632538,48.058002,226.686905,-248.062103,59.48027,251.688385,169.014786,50.927235,223.230179,100.853607,60.11647,353.800079,68.812317,101.139702,294.869263,-6.801366,463.407074
14,0,210.16864,-206.428757,934.661194,212.489944,43.620197,929.499023,388.121246,-103.359932,944.571167,387.557129,-49.474094,943.395203,282.148895,-242.173294,475.798065,376.398041,-293.697113,96.242714,411.392731,-254.637207,67.882446,285.687378,85.698021,473.985931,381.562897,143.882935,100.871475,411.74649,98.263176,66.698334,296.245667,-144.745911,460.466888,352.288574,-217.204544,97.822311,249.147125,-315.638184,48.05933,226.684296,-248.071396,59.454205,251.701508,168.991013,50.905117,223.250458,100.858582,60.08881,353.815033,68.806747,101.137886,294.896027,-6.774821,463.404907
15,0,210.189499,-206.431488,934.667297,212.489014,43.694572,929.498047,388.253601,-103.307648,944.644226,387.628937,-49.524246,943.29425,282.113007,-242.218582,475.80954,376.406799,-293.703125,96.223289,411.407379,-254.659973,67.819267,285.786255,85.644379,473.98233,381.555511,143.897736,100.888168,411.663727,98.33947,66.541199,296.248657,-144.784927,460.479675,352.349182,-217.229675,97.826317,249.165009,-315.644318,48.064663,226.702408,-248.071594,59.460487,251.692627,169.001297,50.909248,223.232834,100.846245,60.097851,353.838745,68.86541,101.163261,294.904297,-6.781271,463.39621
16,0,210.225708,-206.456635,934.680298,212.542343,43.613022,929.503662,388.25528,-103.351051,944.614807,387.63089,-49.480614,943.318115,282.086578,-242.247375,475.794647,376.361664,-293.738647,96.211479,411.389954,-254.670746,67.861824,285.807465,85.617142,474.00058,381.570374,143.897186,100.894371,411.73053,98.290199,66.655884,296.261749,-144.780197,460.496918,352.350006,-217.215485,97.882179,249.181458,-315.650604,48.049297,226.694489,-248.078094,59.462215,251.690811,168.987808,50.914467,223.2388,100.849228,60.114948,353.871948,68.880608,101.149185,294.896332,-6.805973,463.418182
17,0,210.250626,-206.468414,934.68988,212.565872,43.59486,929.506531,388.339752,-103.294472,944.615845,387.80246,-49.409904,943.426575,282.08847,-242.257111,475.798859,376.348297,-293.723999,96.20871,411.415771,-254.647369,67.828423,285.788605,85.629555,473.986145,381.578979,143.887787,100.873466,411.667389,98.366264,66.565704,296.268738,-144.796265,460.48645,352.366821,-217.225266,97.836166,249.162949,-315.649933,48.058868,226.691956,-248.074387,59.456211,251.69516,168.992844,50.90144,223.248962,100.860176,60.095387,353.885956,68.906555,101.145615,294.681854,-6.983034,463.362762
18,0,210.290344,-206.453568,934.690125,212.618195,43.522224,929.507874,388.345154,-103.318031,944.61322,387.677887,-49.52021,943.220154,282.236938,-242.170853,475.81665,376.367371,-293.720551,96.23568,411.405975,-254.644928,67.861649,285.732635,85.681641,474.000183,381.573029,143.90062,100.882469,411.680359,98.368248,66.561699,296.238586,-144.818588,460.468384,352.300842,-217.227722,97.844734,249.155914,-315.640198,48.064236,226.667572,-248.065216,59.472904,251.733963,169.011078,50.891762,223.243301,100.862389,60.106441,353.870239,68.84182,101.129105,294.946259,-6.800111,463.41391
