,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,217.208145,-202.106537,938.345581,210.171173,47.338604,934.03894,391.31778,-93.341919,938.799622,388.83313,-40.051929,938.034546,278.248108,-237.341751,479.687561,376.526062,-289.419739,96.226479,411.101135,-250.217056,67.63076,276.67511,87.262718,479.389984,381.638519,141.105789,100.488449,411.106964,94.704147,66.393082,288.6922,-139.549576,462.63028,350.799011,-213.414993,97.070122,249.352509,-314.022003,47.899372,226.191055,-246.015472,59.689049,252.72522,168.903168,50.826565,222.713333,101.073517,60.459137,352.516846,66.488167,101.152008,286.658752,-4.760683,467.477386
2,0,217.146896,-202.15976,938.340698,210.118362,47.282326,933.97052,391.290985,-93.368332,938.91449,388.686249,-40.055172,938.228271,278.347382,-237.409286,479.745056,376.543213,-289.446503,96.201851,411.156586,-250.115097,67.643692,276.798096,87.38887,479.380554,381.643951,141.108917,100.456131,411.158112,94.748489,66.319901,288.975586,-139.744965,462.678131,350.804016,-213.444504,97.150528,249.347656,-314.000122,47.849152,226.19281,-246.050674,59.675659,252.650177,168.883041,50.725735,222.715973,101.079498,60.45219,352.459808,66.47187,101.157303,286.713287,-4.784943,467.437805
3,0,217.082291,-202.185944,938.314392,210.045563,47.226219,933.915771,391.171326,-93.502869,938.926392,388.618073,-40.254414,938.16095,278.536255,-237.441284,479.684174,376.544342,-289.454834,96.210815,411.156982,-250.098145,67.627815,276.877686,87.316605,479.368896,381.647217,141.089691,100.48127,411.108734,94.633095,66.352463,289.099609,-139.80864,462.699951,350.820099,-213.471527,97.120316,249.358566,-313.985321,47.865353,226.216049,-246.068069,59.679901,252.677948,168.974457,50.833702,222.712921,101.078812,60.447975,352.497833,66.488358,101.148308,286.757904,-4.810102,467.388794
4,0,216.965347,-202.208145,938.310913,209.971451,47.162411,933.868103,391.125031,-93.533081,939.112427,388.613342,-40.293484,938.259155,278.641998,-237.488312,479.709717,376.559753,-289.456665,96.220505,411.146454,-250.09697,67.65287,276.961273,87.273605,479.330353,381.656708,141.078247,100.49781,411.124695,94.642464,66.375519,289.25238,-139.869186,462.724121,350.826233,-213.517105,97.105759,249.317291,-313.98407,47.851673,226.1931,-246.052155,59.692471,252.669601,168.961838,50.832512,222.724258,101.079918,60.47052,352.53241,66.47197,101.157372,286.80307,-4.823153,467.345551
5,0,216.877258,-202.249481,938.294556,209.90387,47.100754,933.80658,390.976135,-93.640739,939.145203,388.434021,-40.439358,938.305664,278.749329,-237.563553,479.75116,376.592743,-289.461517,96.236969,411.088013,-250.29454,67.655281,277.029999,87.2351,479.319611,381.677368,141.057968,100.451775,411.065918,94.612427,66.365097,289.359589,-139.917526,462.754059,350.800568,-213.535919,97.122055,249.349426,-314.042786,47.864647,226.220596,-246.073486,59.711933,252.667633,168.934036,50.828587,222.729492,101.084846,60.467136,352.506836,66.456657,101.168594,286.884827,-4.860844,467.303986
6,0,216.748917,-202.256256,938.27594,209.840454,47.052753,933.75531,390.932159,-93.738983,939.202332,388.36026,-40.549545,938.348145,278.896637,-237.587158,479.758942,376.584991,-289.484131,96.228157,411.159821,-250.159317,67.647354,277.133759,87.201698,479.30484,381.690765,141.048889,100.497086,411.328369,94.730423,66.515404,289.491852,-139.934326,462.767242,350.814667,-213.569031,97.180847,249.344116,-314.045593,47.847435,226.21344,-246.081284,59.69817,252.646393,168.933792,50.81517,222.719177,101.094086,60.453434,352.488831,66.434608,101.152191,286.921997,-4.901463,467.296997
7,0,216.642395,-202.265045,938.269836,209.780777,47.050632,933.699707,390.79303,-93.89991,939.205444,388.2211,-40.559113,938.444946,278.998627,-237.678253,479.794281,376.613983,-289.507538,96.203903,411.165588,-250.175507,67.66655,277.354462,86.909843,479.244385,381.689148,141.045822,100.498566,411.103363,94.68689,66.275917,289.586426,-139.971771,462.797729,350.847931,-213.565292,97.201714,249.381744,-314.083282,47.863834,226.219193,-246.094879,59.71373,252.641998,168.956131,50.833809,222.715958,101.080917,60.455185,352.507507,66.394707,101.165169,286.985809,-4.914103,467.294495
8,0,216.538361,-202.254379,938.258057,209.73111,47.032017,933.661499,390.685577,-94.033302,939.174622,388.197144,-40.700573,938.350464,279.120178,-237.708801,479.803833,376.600342,-289.524292,96.212067,411.138916,-250.195053,67.653008,277.40036,86.879639,479.251862,381.676971,141.030487,100.46846,411.185425,94.732697,66.302422,289.610687,-140.002319,462.803741,350.843384,-213.632706,97.228928,249.319748,-314.055786,47.835182,226.214874,-246.083084,59.712273,252.659409,168.903809,50.748161,222.715042,101.081871,60.447075,352.543549,66.393463,101.163696,287.05368,-4.960461,467.271912
9,0,216.425064,-202.251129,938.286743,209.673203,47.057713,933.574829,390.615875,-94.082855,939.21991,388.091858,-40.82151,938.346863,279.223022,-237.762512,479.800781,376.615356,-289.534882,96.23584,411.160889,-250.226883,67.630615,277.484375,86.85099,479.249725,381.687622,141.016479,100.499237,411.192108,94.688469,66.324448,289.781311,-140.060699,462.831055,350.846924,-213.654037,97.2061,249.341415,-314.089233,47.858143,226.218719,-246.109665,59.725357,252.664261,168.966232,50.860012,222.733215,101.078377,60.46048,352.547668,66.404205,101.178413,287.115967,-4.983431,467.26181
10,0,216.303146,-202.245529,938.281494,209.669525,47.016529,933.590454,390.480652,-94.186905,939.285217,387.988129,-40.872189,938.467163,279.360016,-237.791519,479.808838,376.648071,-289.53894,96.239449,411.161713,-250.219131,67.68708,277.555389,86.821335,479.225098,381.700165,141.010254,100.506607,411.167572,94.720428,66.326385,289.754578,-140.105011,462.836975,350.891449,-213.672089,97.246445,249.394653,-314.134857,47.86816,226.207977,-246.121185,59.747612,252.710022,168.973877,50.918407,222.72934,101.092461,60.450073,352.515533,66.389839,101.181557,287.186737,-5.019982,467.272797
11,0,216.165176,-202.226669,938.277527,209.640259,47.033401,933.546692,390.344971,-94.29528,939.326843,387.933044,-40.963203,938.393127,279.373505,-237.833603,479.83017,376.657715,-289.566315,96.223373,411.16861,-250.255585,67.663406,277.608124,86.825577,479.232422,381.673615,140.938995,100.464233,411.165222,94.713928,66.296509,289.92865,-140.190643,462.853302,350.877197,-213.696854,97.236237,249.349792,-314.121735,47.847061,226.219101,-246.150269,59.735851,252.70813,168.926315,50.856308,222.71817,101.070824,60.47422,352.46933,66.353149,101.184113,287.087891,-5.045117,467.203003
12,0,216.053238,-202.235733,938.283447,209.561966,47.069866,933.489502,390.272247,-94.352196,939.358826,387.876068,-41.037857,938.393616,279.403748,-237.886703,479.824921,376.646027,-289.599884,96.217949,411.181244,-250.308929,67.67897,277.59436,86.800781,479.220642,381.63855,140.887634,100.43309,411.204437,94.668594,66.288124,289.956177,-140.232346,462.866516,350.982391,-213.912613,97.200111,249.410767,-314.173767,47.85051,226.240387,-246.204453,59.824245,252.713684,168.971024,50.907127,222.72818,101.081688,60.450344,352.530701,66.376228,101.183922,287.147461,-5.058752,467.200378
13,0,215.947479,-202.22168,938.303223,209.539169,47.043102,933.480652,390.296906,-94.338531,939.40802,388.063965,-40.844959,938.533691,279.416565,-237.904541,479.832367,376.641235,-289.601776,96.225555,411.18399,-250.311859,67.682411,277.603973,86.764618,479.215149,381.666931,140.990356,100.479927,411.156036,94.641548,66.299217,289.964935,-140.254883,462.887115,350.892456,-213.769424,97.257957,249.354797,-314.098511,47.797264,226.209183,-246.182816,59.769901,252.712219,169.000946,50.932339,222.726715,101.085823,60.455009,352.491302,66.416237,101.185608,287.275452,-5.08888,467.279846
14,0,215.826202,-202.227509,938.320374,209.533356,47.002705,933.465332,390.195892,-94.365623,939.46991,388.029205,-40.953331,938.505798,279.441559,-237.913116,479.838867,376.675903,-289.605713,96.265526,411.183411,-250.318497,67.684746,277.554443,86.818405,479.217407,381.674194,141.027359,100.453308,411.157288,94.697784,66.332535,290.035217,-140.487915,462.888916,350.987823,-213.917786,97.234924,249.385071,-314.146576,47.829315,226.194626,-246.176743,59.764252,252.667313,168.973358,50.841843,222.707993,101.08828,60.471226,352.48172,66.365456,101.199753,287.285553,-5.096317,467.268433
15,0,215.708221,-202.244431,938.339661,209.447662,46.988461,933.432617,390.09671,-94.43045,939.527588,387.945892,-40.948788,938.56012,279.375031,-237.940781,479.868988,376.633881,-289.608856,96.241852,411.186523,-250.321503,67.712372,277.449005,87.001511,479.235046,381.65097,141.020065,100.472397,411.194244,94.735626,66.353394,290.03421,-140.509171,462.92157,350.992035,-213.955582,97.253456,249.440872,-314.182739,47.874557,226.187408,-246.183136,59.765926,252.727234,168.969101,50.874935,222.711136,101.117607,60.465698,352.505554,66.364082,101.208244,287.243317,-5.088316,467.268555
