,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,222.639725,-189.33902,935.111816,232.278442,60.266945,935.82251,402.906281,-92.145111,945.568542,404.912262,-40.199837,946.32373,284.565186,-234.521194,479.991943,377.399231,-294.134521,96.242279,411.247528,-254.718842,67.377907,290.305145,95.052971,481.82135,381.516205,145.738724,99.994614,412.037231,100.281982,66.03167,292.556335,-138.223297,461.255554,351.564392,-218.33876,97.145889,249.038696,-315.919861,47.851524,227.234619,-248.658691,60.059341,251.328232,169.004135,51.013977,223.766495,100.796188,59.931919,354.796783,70.747917,101.791588,297.885834,4.213503,470.809875
2,0,222.703278,-189.345444,935.111084,232.314484,60.259674,935.822388,402.973877,-92.141258,945.63855,405.070312,-40.146782,946.39917,284.566528,-234.510544,479.995819,377.434723,-294.147583,96.248062,411.263092,-254.724808,67.35006,290.327515,95.059799,481.820221,381.540222,145.748047,99.995369,412.014191,100.245483,66.037537,292.54892,-138.207809,461.268555,351.436005,-218.198593,97.134064,248.939346,-315.927399,47.927021,227.265198,-248.64888,60.050537,251.330643,169.009735,50.999405,223.675812,100.840797,60.10603,354.822632,70.761772,101.792542,297.862518,4.188197,470.871918
3,0,222.766083,-189.345062,935.127625,232.355835,60.24527,935.845581,403.121399,-92.122192,945.631165,404.991943,-40.238613,946.270325,284.564301,-234.511383,480.011688,377.414978,-294.162567,96.269852,411.310089,-254.719711,67.354584,290.317383,95.027519,481.825531,381.525574,145.745102,100.006058,411.963409,100.225861,66.048172,292.550323,-138.189819,461.243958,351.586639,-218.341995,97.139511,249.035446,-315.924011,47.852104,227.26297,-248.654572,60.054527,251.34024,168.997223,50.98143,223.663742,100.838531,60.095463,354.891663,70.753304,101.80838,297.839355,4.182293,470.933167
4,0,222.807693,-189.360672,935.120972,232.410812,60.231178,935.851013,403.183411,-92.228706,945.598633,405.047333,-40.274994,946.276001,284.492889,-234.531128,480.009674,377.440826,-294.138275,96.273796,411.265991,-254.748825,67.356003,290.276642,95.03363,481.827637,381.520996,145.73378,99.985527,412.040161,100.236122,66.037018,292.540161,-138.188492,461.243317,351.591827,-218.32164,97.150688,249.034103,-315.897339,47.841824,227.266388,-248.666458,60.030796,251.346588,168.979141,51.01067,223.693192,100.812141,60.088043,354.858276,70.745499,101.794228,297.847107,4.185879,470.857391
5,0,222.872147,-189.353027,935.125366,232.470337,60.208488,935.897461,403.134247,-92.246826,945.599792,405.079376,-40.243069,946.416748,284.465088,-234.532639,480.002319,377.439728,-294.143951,96.241158,411.260406,-254.736664,67.317635,290.253265,95.041138,481.826263,381.495575,145.733612,99.953484,412.112183,100.355156,65.998711,292.513763,-138.182007,461.262573,351.400269,-218.202362,97.130676,249.037109,-315.920135,47.854858,227.262009,-248.6763,60.020187,251.333298,168.991119,51.00053,223.679413,100.804062,60.087719,354.816284,70.758675,101.7752,297.828247,4.145783,470.855743
6,0,222.909882,-189.339569,935.134766,232.52652,60.22723,935.924133,403.180511,-92.276062,945.56842,405.16507,-40.32056,946.320801,284.475342,-234.476944,480.006805,377.414062,-294.134583,96.238632,411.274902,-254.719101,67.363106,290.240936,95.007828,481.80896,381.507141,145.746796,99.990906,412.059418,100.266586,65.990265,292.48642,-138.160904,461.261536,351.542786,-218.344742,97.125412,249.039124,-315.908539,47.858574,227.254852,-248.636734,60.038639,251.323456,168.971573,51.00325,223.682465,100.805946,60.079102,354.813843,70.73613,101.800728,297.781464,4.154967,471.037415
7,0,222.94899,-189.358078,935.117493,232.578384,60.240101,935.931152,403.339142,-92.275734,945.588135,405.399597,-40.262749,946.365601,284.42157,-234.460907,479.966431,377.430603,-294.129059,96.255676,411.292267,-254.689896,67.353249,290.173828,94.982178,481.803711,381.485565,145.734467,99.947647,412.172821,100.388229,66.005081,292.475128,-138.145309,461.240204,351.570374,-218.339249,97.084145,249.036011,-315.899445,47.870422,227.254059,-248.631195,60.039558,251.313324,168.959412,50.993404,223.672882,100.810669,60.070164,354.779114,70.742462,101.797256,297.766968,4.158735,471.010712
8,0,222.953232,-189.360672,935.127747,232.632477,60.23959,935.944153,403.423492,-92.281769,945.54425,405.405212,-40.276436,946.343994,284.374512,-234.44986,479.983154,377.390991,-294.12381,96.216064,411.270355,-254.72197,67.368919,290.123505,94.985687,481.818146,381.469208,145.749405,99.975845,412.193329,100.392815,66.011284,292.447906,-138.096085,461.246185,351.564758,-218.352097,97.103767,248.988525,-315.930756,47.922543,227.252579,-248.632141,60.028847,251.326889,168.941223,50.973442,223.690979,100.808929,60.063103,354.81189,70.74073,101.772919,297.773987,4.140405,470.913696
9,0,223.013138,-189.347137,935.117493,232.707291,60.245205,935.980103,403.409088,-92.334839,945.494812,405.435211,-40.302513,946.327087,284.350067,-234.445679,479.958008,377.392731,-294.156036,96.192345,411.290405,-254.726593,67.344482,289.87442,95.222313,481.862579,381.464844,145.740829,99.966316,412.205933,100.40741,66.021873,292.440033,-138.098022,461.251678,351.430176,-218.200363,97.108238,249.049911,-315.90918,47.884548,227.247284,-248.612381,60.046196,251.339371,168.95932,51.003139,223.681732,100.784805,60.048744,354.852081,70.73217,101.809181,297.818848,4.16362,470.914154
10,0,223.043106,-189.348587,935.115845,232.759766,60.305416,935.99176,403.471863,-92.3237,945.507446,405.527344,-40.286682,946.320496,284.349426,-234.407104,479.952271,377.379791,-294.131622,96.218178,411.281494,-254.74733,67.30188,290.086304,95.024231,481.832031,381.473846,145.725769,99.969055,412.216461,100.362495,65.999046,292.333313,-138.223526,461.298645,351.429871,-218.21434,97.077278,248.974197,-315.919189,47.968452,227.243988,-248.604584,60.024342,251.307785,168.931427,50.984123,223.685196,100.785461,60.062,354.900055,70.753029,101.817978,297.768646,4.147368,470.951569
11,0,223.100952,-189.290497,935.138855,232.821732,60.256523,936.002502,403.409119,-92.301384,945.400208,405.490509,-40.259079,946.304199,284.33316,-234.352509,479.990051,377.377167,-294.114319,96.205391,411.277802,-254.705246,67.326866,290.082825,95.039719,481.82077,381.479797,145.740112,99.963577,412.266327,100.409279,66.021088,292.367706,-137.999008,461.113159,351.441162,-218.201141,97.079498,248.992569,-315.910248,47.958988,227.248337,-248.576508,60.017029,251.325455,168.936127,51.00095,223.675568,100.78968,60.082836,354.868256,70.778992,101.790741,297.744843,4.175159,471.0047
