,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,250.297668,-213.024506,935.680237,236.07132,64.429962,941.736694,428.061096,-97.53347,1016.074524,425.29538,-32.245163,1013.192078,307.376373,-255.187393,476.085327,381.903076,-295.778534,94.358322,415.738464,-257.241516,72.025772,296.948181,110.699768,481.459564,394.73584,141.837845,100.251015,421.682556,98.55162,68.748863,304.537598,-153.125656,460.371582,344.364838,-218.909363,99.700584,261.073517,-318.799927,53.731644,219.240616,-252.458038,63.864857,265.058716,165.256714,58.866364,226.203506,104.342247,67.016502,353.543579,70.638031,98.082741,313.977875,12.784854,459.863525
2,0,250.285294,-213.028854,935.667236,236.093231,64.41893,941.725708,428.038727,-97.470108,1015.480774,425.361359,-32.251999,1013.246643,307.354645,-255.199875,476.030731,381.888702,-295.758942,94.305336,415.258575,-256.940643,72.77623,296.715546,110.588943,481.58078,394.642548,141.919052,100.318024,421.623291,98.519844,68.760147,304.536346,-153.129898,460.364655,344.374084,-218.893173,99.708969,260.947784,-318.618896,53.906826,219.261154,-252.464294,63.858799,265.057526,165.261856,58.853886,226.194672,104.343781,67.008255,353.601013,70.478928,97.842232,313.974487,12.772425,459.852417
3,0,250.301743,-213.042267,935.682251,236.092606,64.398605,941.713135,428.176514,-97.613167,1016.112671,425.299164,-32.319473,1013.118408,307.367737,-255.230759,476.087463,381.896362,-295.772919,94.278557,415.303528,-257.018372,72.709915,296.689484,110.547722,481.573975,394.780579,141.825455,100.241333,421.616028,98.507637,68.759064,304.503357,-153.151062,460.364899,344.374176,-218.913361,99.706169,260.920776,-318.643402,53.885189,219.249588,-252.490067,63.851254,265.038452,165.218765,58.861244,226.194275,104.371078,67.017395,353.575836,70.482307,97.924393,313.982697,12.752895,459.832581
4,0,250.341324,-213.075439,935.71106,236.131393,64.356415,941.726807,428.187164,-97.606339,1016.174927,425.319061,-32.350868,1013.147461,307.347687,-255.234268,476.081024,382.029633,-295.848389,94.470901,415.055481,-257.043365,72.129326,296.658844,110.536285,481.587769,394.628967,141.857269,100.236992,421.614929,98.500557,68.762642,304.483643,-153.161301,460.394379,344.36026,-218.906174,99.706223,260.957031,-318.642487,53.876587,219.253662,-252.47699,63.873581,265.062042,165.240295,58.879742,226.206665,104.345428,67.011345,353.58017,70.495148,97.868561,313.502747,12.441251,459.783661
5,0,250.368744,-213.077637,935.700928,236.16098,64.36734,941.708557,428.181458,-97.624344,1015.952087,425.350769,-32.364189,1013.097046,307.352478,-255.232635,476.073883,381.842957,-295.802216,94.405708,415.282288,-257.005402,72.705765,296.858978,110.60627,481.462921,394.916229,142.042221,100.249756,421.609467,98.489052,68.766266,304.488068,-153.193756,460.374207,344.349243,-218.933685,99.723648,260.963165,-318.619568,53.896385,219.242142,-252.488525,63.859993,265.025238,165.261887,58.868977,226.196075,104.364685,67.017082,353.632111,70.527153,97.847763,314.695312,13.450175,459.747955
6,0,250.427658,-213.104843,935.684326,236.185471,64.337601,941.721619,427.70578,-97.403267,1015.026917,425.516846,-32.338398,1013.273376,307.371155,-255.245514,476.057739,381.991699,-295.872559,94.536339,415.080597,-257.059174,72.056282,296.828583,110.59285,481.443878,394.634949,141.905243,100.342026,421.589081,98.472755,68.751923,304.491791,-153.212753,460.373322,344.349182,-218.916214,99.705917,260.965149,-318.627075,53.864296,219.252502,-252.479874,63.856312,265.032837,165.28006,58.865437,226.19957,104.380096,67.021034,353.646454,70.515961,97.812988,314.717346,13.467984,459.698883
7,0,250.434753,-213.138748,935.667847,236.232895,64.341599,941.738831,427.859131,-97.398781,1015.116821,425.433716,-32.39296,1013.158936,307.375702,-255.234299,476.045258,381.863617,-295.824097,94.384651,415.376556,-257.093079,72.528214,296.631256,110.492043,481.577667,394.812012,141.835983,100.266602,421.614685,98.48996,68.748947,304.511871,-153.204254,460.378784,344.350067,-218.906235,99.745728,261.00119,-318.628723,53.895889,219.249893,-252.460175,63.862568,265.062469,165.289017,58.859398,226.206116,104.351601,66.994873,353.633484,70.533493,97.865898,314.002686,12.790247,459.842865
8,0,250.457794,-213.145142,935.687073,236.263306,64.338142,941.728088,428.238434,-97.545151,1015.374451,425.624146,-32.309551,1013.267151,307.410278,-255.281204,475.997284,381.934448,-295.891754,94.530815,415.170258,-257.106781,71.954781,296.84259,110.559364,481.473419,394.750916,141.834686,100.263321,421.591949,98.497711,68.759102,304.524689,-153.201675,460.399506,344.354736,-218.899353,99.724991,261.006561,-318.665894,53.815552,219.248093,-252.467758,63.870689,265.01123,165.321396,58.845314,226.207169,104.387756,66.982567,353.59433,70.535927,97.83905,314.01947,12.765052,459.852325
9,0,250.518616,-213.177841,935.692688,236.29425,64.352074,941.702454,427.895294,-97.456543,1015.143738,425.65802,-32.317413,1013.266418,307.428101,-255.266998,476.024475,381.80603,-295.828003,94.432144,415.436768,-257.137848,72.468513,296.834595,110.546814,481.465088,394.712952,141.848618,100.2939,421.576447,98.484406,68.754524,304.545654,-153.211746,460.405243,344.328857,-218.922958,99.734444,261.004852,-318.641052,53.854885,219.244858,-252.469208,63.855061,265.067902,165.307159,58.856152,226.228729,104.362617,66.997658,353.651062,70.526558,97.834511,314.7211,13.401478,459.737152
10,0,250.568207,-213.167847,935.721985,236.275162,64.30941,941.723755,427.90506,-97.390236,1014.965271,425.512878,-32.362118,1013.138184,307.460205,-255.318283,475.969025,381.82251,-295.825623,94.531281,415.444672,-257.138062,72.418137,296.845245,110.561493,481.473053,394.852356,141.818008,100.301888,421.570648,98.47522,68.751488,304.557129,-153.226517,460.414795,344.347687,-218.926849,99.729973,261.032745,-318.666901,53.809078,219.234695,-252.473648,63.868843,265.028992,165.304214,58.819435,226.241119,104.375366,67.004303,353.663666,70.523956,97.810219,314.635132,13.321696,459.752899
