,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,271.632568,-222.620804,937.799072,259.88092,56.67786,944.752991,448.920929,-107.464401,1018.748413,446.99823,-43.272194,1016.385925,316.995575,-261.143127,476.541046,384.096588,-293.2659,93.864311,416.433075,-254.060394,72.277596,305.432953,106.454666,482.347656,395.641327,138.714783,100.259628,421.788757,94.718361,68.601357,308.853516,-158.741653,461.716827,344.344757,-217.748489,100.012901,263.329376,-319.295593,53.855412,219.579391,-254.263641,64.038048,266.904266,166.760864,58.488693,226.241882,106.757492,67.327881,352.506653,68.587265,97.052124,315.743439,7.800372,458.941528
2,0,271.84436,-222.597198,937.773804,259.98764,56.645638,944.727356,448.99762,-107.391197,1018.781311,447.108063,-43.232544,1016.434082,317.158386,-261.147858,476.550598,384.126953,-293.269073,93.924438,416.352478,-254.006836,72.317596,305.516235,106.452675,482.370361,395.771027,138.625809,99.897736,421.808472,94.713379,68.615227,308.968842,-158.710251,461.722137,344.349823,-217.745697,100.050606,263.323395,-319.280243,53.886112,219.566406,-254.271332,64.039848,266.899841,166.763412,58.500534,226.225174,106.754402,67.318504,352.528442,68.607666,97.043564,316.20163,8.118476,458.874664
3,0,272.57782,-222.180771,938.044189,260.145355,56.641247,944.711853,448.588531,-107.164474,1018.318787,447.192474,-43.194908,1016.473633,317.304474,-261.135345,476.584381,384.083801,-293.308746,94.004181,416.373962,-254.002594,72.329781,306.226013,106.299583,482.338654,395.74942,138.63472,99.872711,421.801392,94.724434,68.598511,309.07074,-158.689728,461.729431,344.369995,-217.747757,100.034996,263.334778,-319.311157,53.854519,219.578995,-254.272186,64.036125,266.922394,166.755554,58.507687,226.268448,106.783188,67.361557,352.490448,68.60939,97.133278,316.229309,8.06385,459.107605
4,0,272.79657,-222.106949,938.089294,260.281372,56.629025,944.699768,448.957306,-107.194366,1018.577332,447.300171,-43.1712,1016.519897,317.432281,-261.119598,476.606995,384.119141,-293.255524,93.899254,416.468689,-254.042328,72.221733,306.330353,106.317909,482.380005,395.823486,139.095551,100.244492,421.822388,94.735207,68.600883,309.185211,-158.683762,461.747681,344.365356,-217.759766,100.048195,263.329895,-319.315613,53.849262,219.582413,-254.283966,64.04274,267.115051,166.907959,58.738064,226.260361,106.81636,67.380585,352.543182,68.645332,97.079475,316.347198,8.090856,459.114868
5,0,272.943085,-222.161255,938.034729,260.393707,56.535736,944.697327,449.002136,-107.180397,1018.533936,447.477844,-43.163231,1016.574036,317.580872,-261.165619,476.504517,384.095093,-293.271118,93.878357,416.421783,-254.058594,72.254143,305.891083,106.504509,482.409637,395.760651,138.661926,99.830803,421.829834,94.741638,68.617439,309.33371,-158.676437,461.750427,344.384918,-217.749298,100.052017,263.334412,-319.340393,53.799072,219.580994,-254.274185,64.059006,266.923553,166.773819,58.532406,226.236664,106.772301,67.304184,352.519989,68.603264,97.102119,316.477631,8.125856,459.119629
6,0,273.180328,-222.176208,937.917175,260.577148,56.58176,944.631287,449.201843,-107.129509,1018.707886,447.614075,-43.109795,1016.583191,317.712494,-261.164337,476.551086,384.113953,-293.268188,93.91732,416.498016,-254.131943,71.961243,306.5,106.36731,482.364502,395.778595,138.671249,99.83757,421.793396,94.765564,68.586807,309.398773,-158.658417,461.771973,344.377747,-217.792908,100.065094,263.332062,-319.339508,53.807781,219.581879,-254.272583,64.057869,266.990753,166.740967,58.567669,226.243362,106.772636,67.27063,352.506073,68.637596,97.128067,316.59726,8.127107,459.124359
7,0,273.431274,-222.198898,937.900696,260.718994,56.561516,944.638489,449.238068,-107.10244,1018.805054,447.72226,-43.057426,1016.623047,317.898438,-261.173706,476.541595,384.1138,-293.278046,93.905365,416.518555,-254.119003,72.156548,306.949707,106.483521,482.298553,395.707428,138.663406,99.838303,421.790283,94.86734,68.880905,309.519196,-158.639099,461.77655,344.387848,-217.788971,100.088219,263.358704,-319.347748,53.762699,219.586075,-254.289948,64.057831,267.002319,166.710785,58.508705,226.259171,106.825829,67.344284,352.506073,68.62558,97.138245,316.686493,8.166166,459.110565
8,0,273.681152,-222.164871,937.902283,260.879761,56.535122,944.625793,449.369354,-107.045815,1018.59668,447.822388,-43.017532,1016.67511,318.027954,-261.196167,476.56842,384.120392,-293.298737,93.935654,416.510101,-254.13942,72.171722,307.054504,106.510063,482.31192,395.746185,138.66925,99.816895,421.79126,94.867004,68.885315,309.59671,-158.637665,461.776337,344.394135,-217.805893,100.067604,263.347107,-319.360382,53.785877,219.596436,-254.296097,64.073036,267.197784,166.873001,58.727291,226.295883,106.755249,67.294006,352.47937,68.598686,97.146713,316.806854,8.12838,459.068817
9,0,273.888275,-222.17482,937.872314,261.0159,56.486462,944.633484,449.441376,-107.023369,1018.730652,447.980682,-43.018112,1016.714355,318.116791,-261.230865,476.550171,384.104309,-293.297638,93.899391,416.516357,-254.168304,72.100052,307.136292,106.500191,482.342987,395.762756,138.667404,99.798553,421.806671,94.803314,68.634521,309.699402,-158.64653,461.797058,344.395966,-217.803146,100.066559,263.331238,-319.336243,53.798931,219.574005,-254.294479,64.081001,267.158264,166.888763,58.699207,226.335312,106.741158,67.307831,352.529144,68.613083,97.15451,316.93924,8.168636,459.125885
10,0,274.089386,-222.187622,937.821594,261.171021,56.5144,944.590271,449.918884,-107.045029,1019.301392,448.112305,-42.974342,1016.753784,318.279877,-261.208008,476.53717,384.077484,-293.291412,93.867416,416.565948,-254.13063,71.920578,307.232941,106.51339,482.339264,395.652435,138.740356,100.110176,421.794952,94.81192,68.657906,309.736145,-158.65979,461.806885,344.362885,-217.825562,100.053032,263.349335,-319.365326,53.72504,219.573868,-254.301224,64.112251,267.201263,166.822388,58.662865,226.300446,106.778107,67.286446,352.496826,68.640297,97.154099,317.022858,8.180521,459.163635
11,0,274.323364,-222.207184,937.814331,261.318298,56.478882,944.567749,449.833374,-106.944817,1018.845825,448.233215,-42.961025,1016.776794,318.372498,-261.201782,476.54776,384.102173,-293.27475,93.816963,416.519989,-254.208771,72.064919,307.338654,106.527977,482.408264,395.753906,138.651855,99.75032,421.758026,94.828171,68.639496,309.781616,-158.644424,461.833313,344.280121,-217.491684,100.506516,263.328339,-319.390198,53.726353,219.538544,-254.303635,64.095337,267.032806,166.696564,58.488724,226.317871,106.77063,67.288338,352.492279,68.60836,97.135468,317.152435,8.212684,459.240143
12,0,274.561493,-222.138763,937.817017,261.541595,56.545082,944.527954,450.499512,-107.174706,1019.980103,448.372803,-42.963192,1016.867371,318.524628,-261.190125,476.593353,384.09079,-293.278717,93.933174,416.528931,-254.087387,72.096649,307.480865,106.560287,482.414001,395.792694,138.660599,99.779808,421.786774,94.912506,68.888161,309.869873,-158.637665,461.848145,344.35437,-217.747864,100.193497,263.357117,-319.398651,53.725014,219.58429,-254.298859,64.100365,267.067871,166.777466,58.53389,226.354126,106.780365,67.328316,352.497833,68.646614,97.187195,317.254822,8.242929,459.267456
13,0,274.735748,-222.157059,937.830627,261.7276,56.515209,944.507263,450.254852,-106.970047,1019.071228,448.537598,-42.987003,1016.905884,318.649414,-261.202515,476.580017,384.141266,-293.252289,93.894379,416.62854,-254.28656,71.841431,307.383759,106.490295,482.519958,395.694611,138.748413,100.038773,421.781952,94.808037,68.676933,309.946533,-158.639938,461.871765,344.362,-217.743484,100.205856,263.34964,-319.408051,53.699341,219.585907,-254.289841,64.117073,267.192993,166.840317,58.676594,226.341644,106.783646,67.302498,352.525543,68.667961,97.17482,317.436249,8.315881,459.295319
14,0,274.948883,-222.088806,937.770325,261.974762,56.555695,944.465088,450.409882,-107.009415,1019.167908,448.603271,-42.949631,1016.968628,318.708649,-261.170258,476.588623,384.106323,-293.264893,93.892258,416.582916,-254.378998,71.941116,307.567413,106.52066,482.531799,395.788849,138.664505,99.760025,421.771942,94.844337,68.672798,309.994629,-158.624557,461.87851,344.350067,-217.73938,100.253006,263.352722,-319.42746,53.68985,219.577118,-254.291748,64.116119,267.256317,166.797241,58.639999,226.361786,106.811661,67.31076,352.527832,68.694855,97.156448,317.653931,8.339641,459.269531
15,0,275.0784,-222.092514,937.73407,262.162079,56.569172,944.431824,450.86911,-107.177498,1019.532776,448.766418,-43.00386,1017.03894,318.810974,-261.198914,476.557373,384.112152,-293.25116,93.851326,416.632477,-254.365417,71.795929,307.301178,106.647789,482.562103,396.061523,138.951096,99.882751,421.804169,94.857811,68.689819,310.11377,-158.646805,461.907623,344.282196,-217.505142,100.499489,263.350006,-319.412384,53.746262,219.567352,-254.313858,64.126976,267.081635,166.681976,58.508244,226.375992,106.79892,67.307121,352.533661,68.695938,97.177277,317.81958,8.354148,459.29126
16,0,275.227509,-222.075272,937.738159,262.286407,56.523762,944.413818,450.949554,-107.153526,1019.576904,448.890869,-43.058834,1017.083069,318.882385,-261.201447,476.599915,384.100677,-293.278839,93.914902,416.725525,-254.384521,71.774155,307.533386,106.691559,482.572601,396.003448,138.90834,99.772995,421.78244,94.897636,68.888832,310.195404,-158.632446,461.91803,344.298035,-217.513931,100.540161,263.363129,-319.424927,53.68919,219.558548,-254.322433,64.134071,267.200073,166.810669,58.60693,226.344376,106.825752,67.349022,352.513245,68.708717,97.208641,317.888702,8.237551,459.333679
