,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,260.009827,-220.730103,937.364746,250.06131,58.454849,942.507263,440.14035,-105.880447,1014.000916,438.94101,-41.091473,1011.66748,305.264465,-259.955597,475.987823,381.723938,-296.382477,94.806587,416.107208,-257.922089,72.068321,296.767212,105.611961,481.845032,395.220856,141.776276,100.327713,421.844757,98.366447,68.395676,301.326263,-157.714279,460.797607,344.741913,-218.866943,99.676125,261.059875,-318.54007,54.192623,219.621033,-252.185699,63.976532,265.215637,165.263275,59.2449,226.586304,104.038971,67.299011,353.715668,70.168564,97.184097,309.927826,7.701847,458.46347
2,0,259.932648,-220.734222,937.347717,250.02655,58.464245,942.495667,440.037018,-105.898346,1013.86261,438.870972,-41.077175,1011.658936,305.233459,-259.950958,475.951355,381.884003,-296.310699,93.691528,416.039642,-257.74765,72.501823,296.752594,105.598663,481.851929,395.37439,141.823593,100.329803,421.636047,98.398079,68.550026,301.279846,-157.718185,460.81366,344.737457,-218.865845,99.680435,261.028961,-318.536163,54.211605,219.614929,-252.188263,63.978897,265.229492,164.985855,58.865368,226.60083,104.045715,67.299797,353.675049,70.175964,97.236588,309.668823,7.502048,458.548767
3,0,260.287842,-220.464523,937.597168,250.005997,58.432514,942.513916,440.245148,-106.018265,1014.121399,438.784271,-41.129726,1011.6521,305.187775,-259.976135,475.942017,381.751251,-296.38269,94.818245,416.183563,-258.001251,71.926117,296.765137,105.617508,481.863586,395.251862,141.815781,100.294693,421.833191,98.361992,68.375458,301.232117,-157.727325,460.813538,344.718597,-218.849136,99.650269,261.025604,-318.611755,54.1381,219.603119,-252.181885,63.970802,265.247894,164.992996,58.841644,226.626221,104.028923,67.296822,353.696869,70.15033,97.198059,309.602417,7.437085,458.497589
4,0,260.236725,-220.457016,937.632874,249.994537,58.464794,942.487244,440.416504,-106.139214,1014.22522,438.818573,-41.102924,1011.623291,305.176117,-259.968994,475.974335,381.740692,-296.354187,94.819984,416.135345,-257.961029,72.057312,296.734558,105.630035,481.854279,395.303558,141.775238,100.2771,421.653229,98.39299,68.522102,301.204468,-157.727081,460.817444,344.725037,-218.851868,99.676491,261.045929,-318.598358,54.150703,219.584717,-252.177719,63.969196,265.229767,165.256088,59.215206,226.584732,104.043777,67.314728,353.677521,70.161133,97.236427,309.626434,7.457062,458.524994
5,0,260.19278,-220.465424,937.622925,249.959747,58.471016,942.486389,439.970154,-105.960373,1013.726685,438.79126,-41.14286,1011.623474,305.174103,-259.976959,475.940704,381.733368,-296.35611,94.818939,416.118988,-257.980835,72.002304,296.68512,105.612976,481.853973,395.217163,141.806778,100.295715,421.814972,98.347855,68.388084,301.154327,-157.748444,460.796143,344.706604,-218.816803,99.697403,261.050415,-318.597565,54.160961,219.595306,-252.181259,63.970589,265.222473,164.99321,58.862679,226.599319,104.051674,67.296837,353.681641,70.180428,97.226913,309.642853,7.470534,458.487732
6,0,260.108185,-220.448227,937.690674,249.935928,58.4846,942.489197,439.881683,-105.934868,1013.753296,438.747253,-41.099091,1011.664062,305.109955,-259.964447,475.895935,381.728485,-296.365112,94.809998,416.097107,-257.893188,72.008064,296.696106,105.600693,481.85257,395.21582,141.816467,100.299255,421.84259,98.376366,68.398483,301.137939,-157.737259,460.805511,344.711151,-218.844604,99.686852,261.04892,-318.537872,54.17844,219.590225,-252.175217,63.946091,265.227783,165.291763,59.256989,226.613464,104.029984,67.268761,353.727417,70.182945,97.186958,309.584198,7.456461,458.506927
7,0,260.066193,-220.450607,937.68988,249.926422,58.510815,942.504395,440.291962,-106.122635,1014.233948,438.728943,-41.098713,1011.693726,305.113831,-259.988892,475.91037,381.722076,-296.342743,94.814133,415.652679,-257.658875,71.823051,296.669464,105.591415,481.831696,395.229736,141.801254,100.286568,421.818695,98.344635,68.403748,301.116211,-157.739456,460.792114,344.703552,-218.875626,99.686455,261.051758,-318.536194,54.183899,219.571793,-252.163589,63.953861,265.207733,165.25502,59.208767,226.60524,104.009384,67.277725,353.700287,70.22287,97.201469,309.562225,7.465788,458.516815
8,0,260.05246,-220.454041,937.594666,249.912842,58.540131,942.503784,440.117828,-106.183945,1015.051819,438.681641,-41.099247,1011.681885,305.05011,-259.992676,475.921051,381.514465,-296.300537,94.432076,415.881897,-258.1409,72.370316,296.613739,105.592247,481.837677,395.270844,141.761093,100.274025,421.810944,98.350922,68.421722,301.077637,-157.742493,460.784058,344.672455,-218.831543,99.674332,261.075012,-318.522919,54.177803,219.550812,-252.164963,63.94796,265.211121,165.312393,59.223679,226.620056,104.047516,67.272758,353.701691,70.209953,97.195091,309.552063,7.492316,458.480194
9,0,260.021515,-220.433868,937.612976,249.859146,58.503902,942.529785,440.289001,-106.191475,1014.273743,438.728851,-41.090698,1011.743408,305.086121,-259.973389,475.917603,381.719574,-296.366058,94.796913,415.616455,-257.717743,71.848793,296.609924,105.581932,481.821289,395.199554,141.784683,100.270111,421.78186,98.349846,68.422783,301.072998,-157.733673,460.785919,344.674561,-218.864456,99.702599,261.091553,-318.526031,54.182941,219.56459,-252.171783,63.945683,265.183685,165.313492,59.24052,226.568588,104.029541,67.264526,353.681,70.19738,97.214508,309.625275,7.516815,458.514587
10,0,259.983826,-220.418106,937.693665,249.861969,58.520344,942.523926,440.195404,-106.117462,1014.231201,438.70813,-41.120483,1011.723633,305.084869,-259.96167,475.906616,381.741028,-296.359589,94.8022,416.056427,-258.053467,71.813072,296.581757,105.59819,481.827148,395.267303,141.805237,100.305931,421.750671,98.362244,68.695511,301.099792,-157.735977,460.751129,344.673431,-218.857544,99.689896,261.081573,-318.589203,54.112434,219.560776,-252.167282,63.946316,265.191284,165.091522,58.946575,226.586304,104.066948,67.274109,353.689575,70.224365,97.192986,309.521667,7.512982,458.473938
11,0,259.961426,-220.450867,937.593262,249.836151,58.544559,942.518982,440.190155,-106.168022,1014.31012,438.658295,-41.10112,1011.761902,305.064453,-259.966217,475.887177,381.720184,-296.365692,94.794846,416.076111,-258.058777,71.720512,296.582611,105.600082,481.822906,395.12085,141.58223,100.303192,421.733124,98.368347,68.689613,301.086823,-157.708191,460.7883,344.657623,-218.84935,99.709023,261.092682,-318.595398,54.098114,219.543655,-252.157394,63.93309,265.158203,165.325485,59.251785,226.566605,104.037109,67.224503,353.694305,70.224823,97.189949,309.532776,7.510834,458.485229
12,0,259.893585,-220.448425,937.674805,249.831985,58.57304,942.528687,440.143799,-106.138123,1014.307861,438.572083,-41.089237,1011.730103,305.064911,-259.965271,475.867767,381.72467,-296.373779,94.787117,416.088135,-258.046753,71.681297,296.575714,105.593468,481.824005,395.344391,141.644318,100.218933,421.791138,98.359268,68.468536,301.083496,-157.723434,460.77652,344.639832,-218.880676,99.690514,261.100739,-318.557251,54.110443,219.522919,-252.140549,63.932232,265.177734,165.331039,59.206882,226.545746,104.025948,67.207443,353.660065,70.234818,97.173584,309.505035,7.535179,458.49295
13,0,259.867157,-220.44339,937.593384,249.828934,58.618568,942.506348,440.163483,-106.203766,1014.326233,438.554779,-41.090588,1011.790527,305.056458,-259.973999,475.873901,381.735718,-296.354065,94.78508,416.032379,-258.013306,71.709496,296.598114,105.600388,481.831055,395.289001,141.68837,100.27224,421.717865,98.347504,68.473228,301.090057,-157.725327,460.780518,344.630798,-218.876648,99.693985,261.102386,-318.591705,54.088478,219.514679,-252.158524,63.920258,265.153137,165.318176,59.218887,226.564743,104.06324,67.2351,353.710449,70.24559,97.153976,309.590454,7.567205,458.458649
14,0,259.842621,-220.459137,937.625671,249.781891,58.584465,942.53949,440.086212,-106.112312,1014.27948,438.555389,-41.080559,1011.822815,305.013336,-259.983765,475.875,381.527008,-296.327484,94.40065,415.523468,-257.583862,72.297585,296.630188,105.602539,481.830353,395.253265,141.693207,100.247543,421.637634,98.322815,68.67395,301.077911,-157.72229,460.799744,344.63681,-218.855927,99.70108,261.093781,-318.612518,54.128822,219.520554,-252.151245,63.936352,265.144104,165.318695,59.227036,226.597351,104.032578,67.257004,353.724457,70.26133,97.180618,309.534119,7.55057,458.512115
15,0,259.860352,-220.436066,937.632019,249.768356,58.601879,942.545654,440.0224,-106.122093,1014.306213,438.51535,-41.104187,1011.820312,305.025543,-259.972809,475.897278,381.714905,-296.363922,94.784668,416.087646,-258.012299,71.629242,296.634064,105.623611,481.837097,395.348145,141.661591,100.252159,421.727631,98.367371,68.480873,301.100708,-157.709625,460.787292,344.682983,-218.845413,99.716629,261.093597,-318.576599,54.135754,219.530655,-252.160706,63.938721,265.172028,165.131546,58.957691,226.611313,104.052795,67.257172,353.718628,70.262375,97.187103,309.555176,7.551531,458.528656
16,0,259.849304,-220.423157,937.619446,249.75032,58.62249,942.52594,439.996887,-106.090073,1014.2995,438.459198,-41.051445,1011.831665,305.042419,-259.944397,475.886871,381.730927,-296.330902,94.780327,416.08493,-258.011902,71.602745,296.71109,105.62175,481.83493,395.229095,141.736206,100.240906,421.639893,98.31945,68.683052,301.088837,-157.695786,460.784119,344.642334,-218.852631,99.68087,261.08371,-318.546936,54.091175,219.531082,-252.159744,63.932358,265.163574,165.334045,59.197979,226.586044,104.058281,67.257996,353.679535,70.243187,97.207504,309.591309,7.559943,458.511444
17,0,259.821014,-220.439835,937.616028,249.74086,58.620472,942.530945,439.642365,-105.921394,1014.242981,438.427704,-41.064091,1011.878845,305.038879,-259.947388,475.831116,381.712006,-296.357727,94.77314,416.150238,-258.000916,71.546814,296.711395,105.633904,481.85968,395.232788,141.7565,100.251915,421.722656,98.350792,68.472878,301.085907,-157.680634,460.788635,344.64502,-218.873627,99.692398,261.078156,-318.55719,54.093578,219.541214,-252.160965,63.938713,265.161499,165.359528,59.230042,226.565216,104.076927,67.240234,353.728333,70.271011,97.179283,309.624756,7.568091,458.522003
