,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,211.245102,-199.853302,928.375244,197.340591,75.74971,938.371033,385.519897,-85.660217,1012.006531,385.144684,-20.589186,1015.261292,291.779999,-249.486435,466.968048,382.866028,-297.383698,97.125122,417.552094,-258.656799,74.669563,270.447601,119.964684,477.189178,382.573029,155.011292,96.618759,416.691437,105.107681,70.137558,291.067383,-144.733124,448.196869,346.024292,-219.0923,99.847916,262.845917,-318.755005,54.002644,221.85672,-251.936829,64.166542,258.748749,168.659424,58.277435,221.783737,106.631012,67.674263,340.38913,77.47477,104.768402,283.526154,21.804722,457.125214
2,0,210.819717,-200.076294,928.364075,196.905411,75.560989,938.349426,386.0242,-86.378578,1014.95636,384.685638,-20.768003,1015.201477,291.438843,-249.589005,466.922852,382.832031,-297.406982,97.117043,417.549316,-258.700684,74.698479,270.146423,119.863403,476.89035,382.536682,154.95697,96.62664,416.668457,105.07531,70.18354,290.836182,-144.843307,448.223877,346.015289,-219.101532,99.885071,262.864716,-318.777252,53.980377,221.859039,-251.925674,64.163445,258.748077,168.661865,58.254623,221.790131,106.659508,67.649574,340.327881,77.458557,104.767822,282.980499,21.953287,456.768036
3,0,210.46373,-200.29631,928.384888,196.45285,75.318077,938.306274,385.632538,-86.515488,1014.971252,386.631866,-23.209846,1014.695496,291.139465,-249.64769,466.893921,382.801239,-297.384216,97.143402,417.573212,-258.738159,74.700119,269.274231,119.646729,477.090454,382.515472,154.933762,96.693764,416.606689,105.020164,70.250351,290.582123,-144.955795,448.224457,345.992188,-219.118027,99.862579,262.843201,-318.73645,53.99931,221.852966,-251.911102,64.157669,258.73584,168.663391,58.249363,221.784958,106.644516,67.647491,340.235565,77.426224,104.738808,282.696228,22.154284,456.812988
4,0,209.139252,-201.595459,928.644958,196.046738,75.100349,938.253723,385.208038,-86.653862,1015.01355,383.667206,-21.02457,1015.160339,290.753784,-249.728165,466.819427,382.776215,-297.391144,97.170502,417.497986,-258.655273,74.824669,268.748474,119.49398,476.990387,382.474762,154.887161,96.728104,416.612793,104.978432,70.305931,290.667847,-145.561859,448.032867,345.974915,-219.10289,99.907608,262.834015,-318.73761,53.97633,221.864029,-251.905655,64.148766,258.702423,168.680054,58.256828,221.784286,106.692978,67.499428,340.164368,77.402069,104.681831,281.520386,21.723858,456.558014
5,0,209.618088,-200.801025,928.461243,195.600525,74.913246,938.1698,384.85022,-86.834007,1015.009399,385.824524,-23.54884,1014.76178,290.475616,-249.850189,466.823578,382.764893,-297.40921,97.206177,417.489044,-258.739502,74.6418,268.278992,119.353775,476.945435,382.422241,154.84761,96.792793,416.540863,104.941154,70.324974,290.454254,-145.661865,448.067444,345.9422,-219.088348,99.931778,262.834717,-318.756622,53.968357,221.843079,-251.905258,64.151886,259.225098,168.517365,58.147533,221.766174,106.696808,67.491112,340.087067,77.341713,104.695961,280.345367,21.317698,456.269592
6,0,209.133698,-201.091888,928.506042,195.203278,74.701614,938.095825,384.428101,-86.985847,1015.001404,385.419739,-23.709787,1014.796021,290.183685,-249.915863,466.848206,382.748383,-297.407257,97.221069,417.43158,-258.689728,74.834694,267.94223,119.190926,476.864227,382.387451,154.836273,96.844742,416.537842,104.889297,70.360855,290.249115,-145.760376,448.086456,345.942017,-219.083862,99.97599,262.861542,-318.753387,53.96249,221.816269,-251.930542,64.148491,258.728394,168.711288,58.263287,221.734833,106.644356,67.597038,340.246063,77.868111,104.311096,280.360626,21.512793,456.426392
7,0,208.68425,-201.354874,928.541199,194.735275,74.53746,938.023926,384.032562,-87.123276,1015.03479,385.178833,-24.068182,1014.737244,289.948334,-249.993393,466.870026,382.718323,-297.407135,97.206375,417.461914,-258.675476,74.823799,267.638031,119.077652,476.81842,382.391083,154.787491,96.874092,416.512146,104.862236,70.388794,290.060455,-145.799469,448.138763,345.907166,-219.046982,99.994736,262.875946,-318.745575,53.965664,221.843811,-251.930984,64.138794,259.177277,168.567932,58.129765,221.705551,106.664848,67.569725,339.986664,77.328568,104.606537,279.430634,21.081268,456.108032
8,0,207.675217,-202.19014,928.691711,194.380829,74.311775,937.97699,383.598114,-87.322067,1015.054932,384.842987,-24.266842,1014.72113,290.1745,-249.966354,466.998474,382.719055,-297.398712,97.2565,417.381897,-258.566528,75.016998,267.380157,118.949097,476.727325,382.291748,154.793106,96.921654,416.462341,104.818878,70.428917,289.861176,-145.920044,448.161163,345.899414,-219.071365,100.020584,262.862823,-318.731049,53.95472,221.818436,-251.913788,64.145828,258.670349,168.702377,58.277744,221.679871,106.674232,67.574173,340.193481,77.788078,104.304161,279.17865,20.845612,456.269409
9,0,207.758911,-201.802811,928.56781,193.979126,74.210823,937.919312,383.271088,-87.530396,1015.021667,381.397705,-21.768217,1015.057922,289.708801,-250.156876,466.913452,382.690216,-297.417572,97.287148,417.303802,-258.439056,75.216431,267.187439,118.835495,476.658386,382.263275,154.756393,96.955315,416.43689,104.797058,70.405136,289.697174,-146.046326,448.179688,345.855835,-219.099792,100.040092,262.867706,-318.727142,53.967251,221.793594,-251.908386,64.153366,259.100342,168.567322,58.160072,221.661667,106.669258,67.554565,340.111572,77.790504,104.302818,279.233734,20.868483,456.504028
10,0,207.251984,-202.050888,928.592896,193.655792,74.029724,937.857056,382.837036,-87.666862,1015.039917,380.990662,-21.964853,1015.022766,289.54361,-250.233566,466.908386,382.668762,-297.417053,97.325478,417.289642,-258.442749,75.178436,267.031006,118.682945,476.569183,382.222198,154.731689,96.99472,416.466858,104.790909,70.468994,289.557953,-146.140427,448.221619,345.860046,-219.082901,100.091148,262.844055,-318.75235,53.987274,221.785172,-251.907791,64.16787,258.680511,168.705765,58.30619,221.659515,106.720451,67.468086,339.890961,77.314766,104.58036,279.342255,21.067423,456.441895
