,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,260.461395,-257.348602,935.90448,252.403915,22.731716,941.264099,441.923187,-143.783661,1012.905212,439.981964,-78.100891,1008.781799,316.093597,-282.016998,472.638611,383.827484,-297.662933,92.680122,418.078461,-258.091309,72.80246,302.760773,88.012222,483.138,374.419434,166.742249,126.785812,417.711029,96.339989,69.005913,313.459534,-177.713913,460.304138,347.299683,-221.465042,101.515518,263.565033,-319.486053,53.517319,221.229309,-253.346207,64.046494,261.643066,164.295914,57.968822,223.826721,103.063805,68.264297,355.09436,43.279209,104.681686,307.00415,-9.62726,454.332489
2,0,260.404388,-257.320557,935.882812,252.394531,22.733345,941.244507,441.664917,-143.543304,1012.852417,439.984344,-78.128395,1008.729309,316.135101,-282.034912,472.647736,383.774017,-297.704773,92.74752,418.067291,-258.072723,72.743492,302.695923,87.99398,483.142151,374.417389,166.748917,126.797211,417.715271,96.323456,69.02903,313.500519,-177.715164,460.295258,347.295837,-221.499084,101.502258,263.575775,-319.501465,53.558472,221.225296,-253.356659,64.057045,261.650879,164.309235,58.001781,223.579483,103.174469,68.25576,354.899719,42.935604,104.649391,306.941254,-9.64806,454.337189
3,0,260.404755,-257.312103,935.884644,252.421555,22.774099,941.232239,442.045166,-143.966522,1014.002686,440.010193,-78.150833,1008.810181,316.234344,-282.025269,472.666779,383.80069,-297.699982,92.706207,418.062469,-258.123901,72.858131,302.645142,87.998184,483.103943,374.419922,166.721664,126.782982,417.737732,96.325935,69.022301,313.550385,-177.695221,460.309875,347.302673,-221.471115,101.486526,263.713684,-319.634521,53.379955,221.230286,-253.366592,64.033989,261.646637,164.311615,57.961113,223.573486,103.179321,68.24939,354.897491,42.896908,104.652184,306.861237,-9.625127,454.347595
4,0,260.384338,-257.312164,935.875305,252.414078,22.744221,941.234192,442.233856,-144.118317,1014.443665,439.982483,-78.173782,1008.735291,316.256134,-282.033752,472.674103,383.810608,-297.709015,92.7043,418.101685,-258.124664,72.813461,302.580261,87.964584,483.094727,374.421875,166.717819,126.764374,417.696503,96.308578,69.010574,313.637817,-177.697433,460.285858,347.312012,-221.509659,101.503448,263.601135,-319.4888,53.59156,221.239944,-253.364349,64.053955,261.627777,164.307053,57.981976,223.83316,103.050362,68.260704,355.290863,43.399483,104.104767,306.772552,-9.595564,454.316895
5,0,260.356354,-257.270203,935.818909,252.441132,22.796198,941.229858,441.903381,-144.017487,1014.118164,440.006683,-78.1744,1008.751892,316.323456,-282.026337,472.679779,383.813416,-297.703491,92.67382,418.078979,-258.178925,72.714752,302.539795,87.99408,483.124695,374.399078,166.720245,126.782761,417.726624,96.28997,68.998291,313.663727,-177.694397,460.279419,347.307861,-221.501907,101.525742,263.60498,-319.515869,53.516766,221.240051,-253.353561,64.056473,261.627167,164.271576,57.948322,223.800751,103.057198,68.256989,355.225464,43.097919,104.084648,306.701996,-9.602646,454.326263
6,0,260.325287,-257.271057,935.821411,252.425583,22.807226,941.210938,442.040314,-144.079834,1013.648621,439.924438,-78.174072,1008.778931,316.368744,-282.001617,472.638031,383.836517,-297.699707,92.681023,418.093567,-258.179169,72.799225,302.207886,87.832573,483.216431,374.397919,166.737259,126.776039,417.719482,96.282013,69.020241,313.718811,-177.694702,460.2724,347.305176,-221.481949,101.527412,263.590485,-319.528076,53.517845,221.231873,-253.366913,64.065315,261.625,164.295761,57.974983,223.542633,103.139999,68.201744,354.994415,43.243702,104.590538,306.676727,-9.338413,454.412476
7,0,260.266327,-257.214844,935.848816,252.405548,22.817963,941.223877,442.209229,-144.155899,1014.222717,439.957855,-78.204231,1008.780823,316.410889,-282.043915,472.678558,383.829498,-297.684387,92.655876,418.140961,-258.167053,72.680649,302.150208,87.847878,483.221466,374.346527,166.72963,126.77713,417.718872,96.30619,68.980431,313.774445,-177.700623,460.27771,347.302032,-221.47879,101.530823,263.605652,-319.513458,53.518456,221.213181,-253.370499,64.064552,261.667328,164.246368,57.905159,223.542679,103.15078,68.236275,354.983124,43.214825,104.605339,306.64389,-9.36762,454.436584
8,0,260.26004,-257.228058,935.842041,252.389969,22.874786,941.22052,441.768768,-143.789154,1013.091431,439.910675,-78.168755,1008.749817,316.466766,-282.014679,472.670868,383.810028,-297.715637,92.675789,418.098602,-258.231293,72.752945,302.120453,87.868233,483.197327,374.342163,166.723114,126.755653,417.708893,96.319008,68.965797,313.832001,-177.688828,460.266998,347.325867,-221.479492,101.542336,263.60318,-319.543579,53.483955,221.243698,-253.346985,64.043869,261.663544,164.222656,57.928448,223.554749,103.173759,68.237389,354.780792,42.920959,104.660919,306.624268,-9.367235,454.413239
9,0,260.258057,-257.1922,935.864807,252.353729,22.858637,941.240784,442.104553,-144.082748,1014.313599,440.037628,-78.124207,1009.051941,316.462372,-282.046356,472.668335,383.845886,-297.685822,92.609749,418.171417,-258.243317,72.693459,302.107452,87.860481,483.199646,374.347107,166.726013,126.742126,417.677399,96.309998,68.994354,313.842041,-177.682556,460.277588,347.321533,-221.492081,101.534416,263.613403,-319.52597,53.483707,221.223434,-253.347153,64.053909,261.680145,164.206573,57.853497,223.548492,103.156952,68.220207,354.87851,43.20026,104.647469,306.610779,-9.367511,454.413605
10,0,260.203033,-257.214874,935.858582,252.328568,22.885933,941.211121,441.683105,-143.7827,1013.562439,439.88739,-78.152481,1008.865356,316.464844,-282.02536,472.656586,383.836151,-297.699768,92.620399,418.159485,-258.277252,72.734955,302.09729,87.849335,483.193451,374.331024,166.745972,126.747803,417.67691,96.309479,69.018059,313.836395,-177.690063,460.268829,347.324707,-221.468918,101.549232,263.634003,-319.534821,53.43671,221.236099,-253.346085,64.057907,261.720856,164.229187,57.914036,223.541321,103.162018,68.212692,354.952148,43.159565,104.563499,306.619568,-9.367998,454.411591
11,0,260.191681,-257.209076,935.845642,252.255646,22.871513,941.190979,441.755066,-143.825439,1014.009827,439.564728,-78.150154,1009.041077,316.543243,-281.985321,472.703552,383.83548,-297.684784,92.609741,418.162842,-258.282135,72.81649,302.099854,87.887619,483.223389,374.355896,166.705002,126.720322,417.681732,96.314133,68.954445,313.868347,-177.685013,460.274414,347.324249,-221.470062,101.526733,263.612518,-319.559937,53.430637,221.207214,-253.354401,64.042252,261.690491,164.201645,57.885326,223.546661,103.182663,68.245148,354.882965,43.191113,104.590515,306.598846,-9.556049,454.331848
12,0,260.168427,-257.196136,935.908752,252.274429,22.929838,941.132935,441.732269,-143.859909,1013.905029,439.703979,-78.134483,1008.793579,316.540314,-281.998016,472.670471,383.826874,-297.701355,92.636925,418.14386,-258.259186,72.796562,302.094086,87.849716,483.199829,374.342285,166.716064,126.72728,417.694733,96.308174,69.00428,313.817749,-177.71788,460.279602,347.325195,-221.481567,101.545372,263.675507,-319.659912,53.349842,221.20549,-253.349838,64.055389,261.713745,164.161621,57.860069,223.538803,103.172638,68.249107,354.838806,43.17078,104.64386,306.570343,-9.349162,454.423553
13,0,260.134918,-257.226166,935.870911,252.205017,22.905678,941.122253,441.636536,-143.731888,1013.878113,439.630066,-78.087807,1008.879395,316.556824,-281.997162,472.705444,383.801178,-297.699371,92.614037,418.170349,-258.315704,72.8218,302.095093,87.876823,483.19519,374.36731,166.727875,126.727905,417.709869,96.296997,68.918808,313.803925,-177.700958,460.277588,347.32782,-221.468079,101.542259,263.622894,-319.573242,53.413059,221.209366,-253.353119,64.038918,261.738342,164.197937,57.888905,223.552704,103.169189,68.244339,354.893158,43.217094,104.61377,306.571503,-9.337429,454.394501
14,0,260.063263,-257.282104,935.86261,252.172653,22.899237,941.139648,441.834015,-143.874176,1014.212341,439.390045,-78.09581,1009.069214,316.547821,-281.997894,472.676544,383.822449,-297.701935,92.602264,418.231232,-258.401947,72.705338,302.07901,87.885086,483.190613,374.368164,166.736938,126.707565,417.763031,96.304207,68.933167,313.772156,-177.700546,460.292175,347.309326,-221.453812,101.534935,263.616974,-319.555359,53.442841,221.206528,-253.346146,64.030457,261.773163,164.134567,57.856232,223.539978,103.191673,68.223648,354.960236,43.138474,104.502151,306.522736,-9.336083,454.394104
