,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,310.114105,-218.027435,932.244995,316.177643,60.855297,939.349304,495.960571,-113.395432,1013.822327,498.768127,-48.073883,1011.63147,335.880157,-260.249634,477.818237,384.950409,-303.176178,92.832336,420.456726,-266.663422,71.515701,326.551666,107.382973,485.840149,375.79892,184.038498,122.350319,423.353668,113.935074,68.018829,341.549591,-157.937683,462.26416,352.129059,-224.285538,100.831665,263.108521,-317.581879,54.883385,224.478958,-249.397568,63.84874,263.194946,169.639938,58.565075,229.821915,105.850571,67.832443,367.224152,58.292286,104.282722,344.828522,10.711824,460.319183
2,0,309.804932,-218.019592,932.266479,316.129761,60.888737,939.288452,495.764038,-113.51693,1012.716553,498.600067,-48.205769,1011.626221,335.77887,-260.308807,477.798035,384.946014,-303.157379,92.825081,420.414429,-266.667328,71.497025,326.440369,107.313965,485.816589,375.807953,183.967148,122.374634,423.345459,113.854523,67.988228,341.460205,-157.992462,462.239044,352.140045,-224.278046,100.842957,263.093658,-317.573944,54.910278,224.470139,-249.401489,63.854187,263.625305,169.56192,58.391788,229.756729,105.900917,67.792114,367.198608,58.222385,104.146713,344.503052,10.642648,460.284424
3,0,310.09021,-217.682816,932.499451,316.008331,60.882648,939.23822,495.580048,-113.687729,1013.085938,498.443939,-48.328674,1011.639709,335.701355,-260.399475,477.761475,384.979462,-303.148743,92.836975,420.416809,-266.685516,71.481155,326.847382,107.655067,485.556,375.773376,183.863861,122.421806,423.291992,113.794388,67.958176,341.301147,-158.083267,462.24527,352.156616,-224.295746,100.840813,263.098206,-317.613068,54.899578,224.462753,-249.409409,63.859604,263.630676,169.614639,58.414211,229.676956,105.941872,67.741951,367.014008,57.992062,104.228096,344.244019,10.534054,460.25351
4,0,310.27652,-217.131271,932.648621,315.916046,60.873775,939.194092,495.388702,-113.790138,1013.821228,498.255737,-48.466919,1011.643188,335.589355,-260.464691,477.759613,384.957031,-303.168915,92.836403,420.428864,-266.655853,71.484177,326.438171,107.459183,485.680542,375.707123,183.839615,122.472115,423.294373,113.926979,68.154602,341.137268,-158.132874,462.234985,352.148071,-224.29483,100.803047,263.160614,-317.627594,54.869583,224.447998,-249.414215,63.864811,263.589783,169.624161,58.387352,229.655548,105.982933,67.732376,366.890991,57.933018,104.218323,343.995026,10.40778,460.221863
5,0,309.576355,-217.766724,932.541809,315.745422,60.832851,939.183533,495.146393,-113.953026,1012.893311,498.057312,-48.562759,1011.664124,335.443481,-260.539734,477.764221,384.993408,-303.144287,92.827637,420.40799,-266.692413,71.464401,326.214478,107.318481,485.645935,375.679962,183.763153,122.463852,423.287018,113.872536,68.183304,340.95282,-158.216599,462.217773,352.13327,-224.255676,100.813965,263.105347,-317.616638,54.902885,224.429718,-249.404984,63.86792,263.584991,169.696182,58.389187,229.573547,106.044586,67.695122,366.913971,57.894871,104.10743,344.293304,10.708576,460.191223
6,0,309.315582,-217.78952,932.588806,315.591736,60.781155,939.159973,494.921326,-114.06601,1013.418579,497.846619,-48.651798,1011.66925,335.2901,-260.595642,477.709595,384.977539,-303.134827,92.834824,420.408142,-266.67453,71.468872,325.989044,107.171829,485.599487,375.621277,183.737579,122.489174,423.248383,113.791153,68.18676,340.737335,-158.292099,462.234741,352.15213,-224.250381,100.794006,263.050751,-317.617249,54.870411,224.436874,-249.409012,63.884312,263.520508,169.733795,58.375244,229.529694,106.074455,67.676987,366.748627,57.714432,104.293396,343.533875,10.152464,460.166168
7,0,309.127228,-217.839783,932.61438,315.396942,60.703663,939.094177,494.634857,-114.079933,1013.790161,497.628632,-48.722534,1011.660706,335.080231,-260.644348,477.678558,384.964966,-303.128723,92.794167,420.397705,-266.647278,71.456696,325.727814,107.091942,485.567505,375.551971,183.709793,122.529671,423.211639,113.745651,68.211647,340.528503,-158.38414,462.221191,352.12439,-224.236877,100.793991,263.071106,-317.59433,54.868748,224.400726,-249.396286,63.868462,263.529907,169.754623,58.3255,229.484344,106.120522,67.680664,366.769714,57.74202,104.072754,343.296143,10.055021,460.101166
8,0,308.900696,-217.923492,932.664551,315.149078,60.618137,939.051819,494.391144,-114.136658,1013.831726,497.373535,-48.765751,1011.672974,334.875824,-260.73175,477.683044,384.990448,-303.14563,92.818642,420.456909,-266.649017,71.380142,325.433105,106.945404,485.508148,375.491272,183.672272,122.565453,423.288025,113.405083,67.935593,340.319031,-158.464523,462.21286,352.12204,-224.21228,100.782997,262.720123,-317.486847,54.932091,224.407516,-249.388336,63.876091,263.53067,169.789124,58.354458,229.410553,106.153946,67.618462,366.6185,57.500122,104.202034,343.111237,10.107024,459.947052
9,0,308.671417,-218.040024,932.705383,314.889496,60.519966,938.992798,494.187134,-114.170151,1013.988403,497.09845,-48.822964,1011.65686,334.681702,-260.74881,477.665802,384.982117,-303.14389,92.824799,420.41394,-266.662109,71.433739,325.126251,106.825417,485.487793,375.446869,183.618149,122.629181,423.289124,113.368637,68.004463,340.119659,-158.538757,462.183777,352.114716,-224.255325,100.792053,262.653046,-317.478088,55.002518,224.387802,-249.378555,63.867474,263.477905,169.827621,58.390408,229.356522,106.210106,67.620934,366.609039,57.601151,104.010399,342.944275,10.024483,459.962433
10,0,308.383759,-218.139404,932.7276,314.58551,60.43375,938.937439,493.892609,-114.130989,1013.932251,496.869385,-48.846638,1011.638855,334.504333,-260.813232,477.698822,384.988495,-303.12207,92.80938,420.408325,-266.663239,71.433228,324.427643,106.777275,485.539154,375.457123,183.597824,122.653275,423.253601,113.340561,68.025764,339.949921,-158.606995,462.179352,352.262695,-223.921646,100.76368,262.97995,-317.572327,54.918335,224.348618,-249.381058,63.88834,263.447632,169.850769,58.343788,229.340973,106.254768,67.58403,366.397583,57.260574,104.28997,342.540802,9.765156,460.057434
