,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,262.295166,-283.286285,935.602112,258.517761,-5.149922,936.051758,441.753876,-171.612518,1018.677612,441.615601,-107.621284,1016.927979,318.245758,-297.987823,472.628082,384.216064,-300.519196,90.655403,418.21463,-260.326935,71.86525,306.206726,71.711739,483.071838,376.647583,164.251404,129.330429,418.530884,97.369141,69.561226,321.969696,-193.160233,464.05011,348.712921,-224.152618,103.740723,263.083771,-318.190735,53.807457,222.111923,-251.311188,64.330193,261.974609,164.576187,58.646793,223.809692,104.095917,67.548737,357.669952,42.434486,102.322578,311.937256,-24.256317,450.908905
2,0,262.176758,-283.22699,935.588135,258.509094,-5.081277,936.062744,441.649994,-171.609451,1018.677856,440.288818,-106.729767,1013.75293,318.222168,-297.971497,472.600616,384.23111,-300.498138,90.647591,418.204468,-260.302887,71.831055,306.195557,71.745193,483.062561,376.640625,164.23967,129.314743,418.524811,97.368698,69.564484,321.938782,-193.135071,464.054565,348.689392,-224.120316,103.719566,263.085358,-318.196686,53.822754,222.110291,-251.299408,64.337852,261.993225,164.558868,58.641861,223.740463,104.023399,67.627098,358.507477,42.895653,101.49173,311.931152,-24.223925,450.905762
3,0,262.648163,-282.712494,935.806519,258.488464,-4.980577,936.058167,441.578979,-171.58403,1018.69928,441.081177,-107.630722,1016.571777,317.869904,-297.629395,472.762146,384.161621,-300.526398,90.713898,418.227783,-260.307098,71.856773,306.206696,71.785316,483.075073,376.636078,164.270935,129.317154,418.484833,97.39299,69.558243,321.892426,-193.071838,464.061066,348.691925,-224.116791,103.728325,263.057373,-318.184143,53.819939,222.117081,-251.293533,64.33567,262.000793,164.578537,58.668472,223.707672,104.040253,67.620041,358.522308,42.709728,101.350716,311.945526,-24.179787,450.914368
4,0,262.518707,-282.676331,935.835144,258.455109,-4.911217,936.109924,441.532104,-171.559158,1018.647888,439.96933,-106.839584,1013.141174,317.828979,-297.587708,472.752716,384.174469,-300.522919,90.700005,418.189514,-260.301056,71.885719,306.218933,71.824509,483.071594,376.633789,164.309738,129.331116,418.461578,97.394348,69.570778,321.860016,-193.054642,464.047211,348.71579,-224.105545,103.707573,263.07785,-318.198853,53.789856,222.106995,-251.292435,64.335983,262.0159,164.612411,58.669193,223.70639,104.194939,67.759048,358.553406,42.870522,101.387131,311.901306,-24.14341,450.932709
5,0,262.404816,-282.66452,935.801208,258.431671,-4.834415,936.120361,441.519989,-171.580032,1018.717407,440.146545,-106.695763,1013.787842,317.771271,-297.555573,472.7034,384.219208,-300.48114,90.576134,418.252411,-260.305328,71.833725,306.216919,71.878822,483.112183,376.649048,164.282944,129.294876,418.536865,97.360596,69.535065,321.810577,-193.006149,464.041748,348.711517,-224.08371,103.736679,263.100769,-318.192474,53.801708,222.096527,-251.281555,64.324463,262.03302,164.592392,58.623379,223.742828,104.067665,67.645752,358.513153,42.824196,101.511261,311.920563,-24.072712,450.903839
6,0,262.297485,-282.624298,935.792908,258.366028,-4.789114,936.159485,441.478516,-171.521194,1018.646118,439.92276,-106.722183,1013.30188,317.729034,-297.51178,472.660004,384.217957,-300.467987,90.635796,418.192413,-260.334412,71.866585,306.186432,71.923988,483.085175,376.668579,164.32959,129.300583,418.510498,97.365822,69.495628,321.766022,-192.969513,464.031281,348.704437,-224.076935,103.685242,263.088196,-318.180573,53.802082,222.082291,-251.288956,64.332245,262.028168,164.532227,58.597427,223.721008,104.06012,67.648499,357.453705,42.257889,102.712181,311.854431,-24.038719,450.924194
7,0,262.237518,-282.525177,935.846313,258.370636,-4.660476,936.150574,441.43103,-171.488586,1018.663147,439.887848,-106.702667,1013.355957,317.713379,-297.50943,472.709015,384.169159,-300.498535,90.716446,418.148438,-260.299225,71.798683,306.174683,71.964348,483.086823,376.652893,164.311462,129.280716,418.482208,97.400452,69.483833,321.721893,-192.948654,463.999268,348.686279,-224.089066,103.695473,263.101868,-318.160461,53.785881,222.075058,-251.273575,64.328163,262.077118,164.559464,58.582809,223.805771,104.124969,67.621986,357.730286,42.440475,102.38102,311.808777,-24.005384,450.964264
8,0,262.124908,-282.479645,935.854858,258.337708,-4.614124,936.196655,441.360077,-171.42894,1018.60321,440.008362,-106.557526,1013.828491,317.784576,-297.688507,472.625824,384.139435,-300.492828,90.747192,418.201172,-260.277039,71.81501,306.160034,71.999619,483.066345,376.683472,164.301453,129.263397,418.499084,97.438026,69.511993,321.677246,-192.901367,464.012909,348.684387,-224.052261,103.702324,263.08844,-318.178741,53.780251,222.069672,-251.271896,64.338966,262.086487,164.531891,58.527393,223.822418,104.156685,67.601791,357.441254,42.285202,102.694893,311.852753,-23.979139,450.913208
9,0,262.042725,-282.412689,935.859863,258.307983,-4.539008,936.212097,441.30603,-171.380112,1018.583679,439.987701,-106.523079,1013.847229,317.728027,-297.653748,472.574799,384.189606,-300.460754,90.590462,418.118347,-260.238281,71.775063,306.089172,72.035095,483.046661,376.721558,164.307053,129.255524,418.513977,97.416344,69.451927,321.62088,-192.875656,464.003693,348.687408,-224.048859,103.697029,263.070709,-318.162201,53.789986,222.053802,-251.261169,64.340187,262.121277,164.543396,58.531788,223.658554,104.131439,67.83577,357.608398,42.397354,102.39801,311.765137,-23.944141,450.940857
10,0,261.963776,-282.343475,935.886658,258.257446,-4.508655,936.221558,441.225952,-171.33194,1018.535034,439.844421,-106.562874,1013.382202,317.63913,-297.572876,472.56076,384.147766,-300.471466,90.693039,418.047577,-260.286896,71.785172,306.328735,72.20945,482.957214,376.701111,164.325653,129.263306,418.473114,97.417336,69.499809,321.577209,-192.848038,463.951111,348.685822,-224.060928,103.662514,263.051331,-318.172699,53.75304,222.039444,-251.263977,64.338966,262.123901,164.508514,58.485161,223.777817,104.124779,67.637413,357.565979,42.463287,102.40094,311.725494,-23.893583,450.939636
11,0,261.887634,-282.281769,935.889221,258.268707,-4.413969,936.233215,441.275299,-171.317047,1018.53241,439.95752,-106.447876,1013.779053,317.544006,-297.53363,472.554169,384.138885,-300.467743,90.677612,418.098328,-260.2164,71.738907,306.282867,72.239281,482.957092,376.748993,164.30777,129.231979,418.494141,97.441994,69.456131,321.529694,-192.836548,463.928436,348.672791,-224.033218,103.708572,263.033752,-318.146973,53.784794,221.989655,-251.244186,64.323898,262.131866,164.473938,58.4636,223.699219,104.205162,67.792572,357.601746,42.171619,102.944969,311.6745,-23.8762,450.96051
12,0,261.813843,-282.215088,935.913452,258.229218,-4.365655,936.245544,441.185822,-171.292572,1018.454651,439.905426,-106.42495,1013.760437,317.485046,-297.458252,472.53537,384.13327,-300.461945,90.701416,418.05777,-260.249969,71.72831,306.249512,72.281715,482.978821,376.76416,164.331604,129.2332,418.492676,97.423042,69.407379,321.462891,-192.797455,463.940735,348.682281,-224.029694,103.66436,263.063568,-318.125763,53.763912,222.002518,-251.233215,64.31765,262.158508,164.482574,58.436058,223.733459,104.097305,67.683273,357.798584,42.253593,102.642197,311.620239,-23.818995,450.964752
13,0,261.739258,-282.155518,935.917175,258.236572,-4.287731,936.271179,441.134338,-171.223038,1018.444519,439.843903,-106.347672,1013.745422,317.38385,-297.451965,472.527039,384.136353,-300.43631,90.689049,417.95694,-260.299561,71.691788,306.194946,72.334206,482.962524,376.759277,164.313553,129.202072,418.498322,97.445755,69.4356,321.42627,-192.776215,463.914093,348.657532,-224.010452,103.685249,263.040588,-318.119904,53.783043,222.020966,-251.225449,64.320763,262.186035,164.495743,58.435219,223.746536,104.101952,67.701569,357.308075,42.306946,102.760857,311.611664,-23.795732,450.930481
14,0,261.663483,-282.134308,935.953796,258.225494,-4.228471,936.271667,441.14386,-171.188812,1018.419861,439.749969,-106.40271,1013.387451,317.364227,-297.413177,472.491364,384.160675,-300.4216,90.62326,418.052277,-260.222656,71.696114,306.202667,72.372437,482.962646,376.774658,164.300262,129.211044,418.508392,97.440872,69.418739,321.373474,-192.727036,463.90863,348.667694,-223.978348,103.669769,263.017395,-318.163452,53.72596,222.012329,-251.230545,64.330803,262.213074,164.477249,58.396103,223.663818,104.135139,67.837074,357.473389,42.200325,102.724777,311.5383,-23.76965,450.91449
15,0,261.622742,-282.057617,935.986511,258.225555,-4.15244,936.26178,441.055847,-171.14505,1018.446594,439.845184,-106.307693,1013.641724,317.316589,-297.400757,472.498779,384.133911,-300.422333,90.682587,418.034088,-260.256744,71.66655,306.15033,72.403954,482.967804,376.761658,164.319107,129.20076,418.491455,97.436523,69.493034,321.328796,-192.695938,463.89386,348.651001,-223.99588,103.631119,263.040955,-318.158569,53.73597,221.966217,-251.221298,64.315308,262.214691,164.502609,58.402092,223.680237,104.03817,67.736816,357.502472,42.363232,102.516106,311.440094,-23.745918,450.916199
16,0,261.581177,-281.971497,936.016235,258.202942,-4.105273,936.272949,441.083496,-171.177628,1018.464905,439.885498,-106.303802,1013.622314,317.311798,-297.376984,472.494263,384.175659,-300.39566,90.616127,417.978088,-260.203278,71.66394,306.065613,72.420906,482.951599,376.760529,164.336273,129.225754,418.486359,97.46019,69.45002,321.300598,-192.674927,463.886353,348.637329,-223.986145,103.657173,263.053253,-318.145355,53.738018,221.987564,-251.228546,64.321678,262.192688,164.445847,58.377625,223.626038,104.07399,67.865768,357.277283,42.313168,102.774536,311.439117,-23.724346,450.908569
