,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,301.92392,-231.135025,931.400391,280.87085,48.163635,938.778259,472.077637,-109.558136,1017.088318,467.97403,-44.817795,1015.05304,343.541748,-269.458954,472.517059,390.38559,-296.945343,91.698807,421.679504,-257.091949,71.204346,323.366333,110.435287,481.751984,377.448395,179.464142,122.09726,421.190155,107.162537,68.309143,331.1138,-163.855789,456.828979,350.18515,-222.998276,101.569389,267.626221,-320.386902,53.568352,225.084854,-254.916245,64.768875,264.268402,172.121582,58.20097,226.998856,110.580849,68.235886,360.962433,54.393372,104.517746,334.496643,10.725981,455.003235
2,0,302.038605,-231.149887,931.323975,280.929108,48.107193,938.728455,473.064026,-109.958969,1018.028625,468.077728,-44.828388,1015.067444,343.588593,-269.47879,472.506134,389.863922,-296.916504,91.953194,421.666016,-257.085144,71.175148,323.742584,110.565086,481.648926,377.438385,179.491669,122.09684,421.195282,107.161179,68.277901,331.168823,-163.869659,456.821228,350.212616,-223.018127,101.58744,267.646332,-320.381805,53.561211,225.090042,-254.906021,64.759041,264.260284,172.136627,58.200726,226.997025,110.585426,68.229294,361.406342,54.389423,103.93486,333.978546,10.394499,454.893066
3,0,302.097595,-231.182236,931.258484,281.005859,48.062431,938.692932,472.396667,-109.650146,1017.174988,468.134827,-44.810146,1015.073914,343.635651,-269.4823,472.503662,390.333252,-297.015778,91.799019,421.304443,-257.482635,71.118187,323.787445,110.552437,481.659576,377.46405,179.482529,122.093208,421.214752,107.169693,68.266708,331.241333,-163.858093,456.834961,350.223907,-223.024384,101.596832,267.609161,-320.349335,53.586681,225.087067,-254.920013,64.774246,264.246704,172.16185,58.2318,226.999268,110.587112,68.231537,361.313416,54.332653,103.958961,334.466034,10.675713,455.019775
4,0,302.187103,-231.197678,931.228516,281.081085,47.998825,938.658936,472.353577,-109.608879,1017.08844,468.228119,-44.802578,1015.05481,343.655151,-269.516052,472.501648,390.319,-297.036926,91.855812,421.34494,-257.482361,71.125191,323.824402,110.538071,481.650208,377.465881,179.487335,122.108452,421.199158,107.175087,68.293816,331.272949,-163.876587,456.841278,350.246063,-223.006958,101.59436,267.680664,-320.358032,53.572861,225.090347,-254.909866,64.769699,264.260132,172.129639,58.224911,227.013535,110.585037,68.246323,361.441467,54.478062,103.920853,334.539886,10.710719,454.959534
5,0,302.253632,-231.184479,931.149536,281.154358,47.975529,938.609192,472.465912,-109.663887,1017.236694,468.269867,-44.838169,1015.131958,343.748993,-269.501862,472.486053,389.876587,-296.923157,91.909622,421.702301,-257.147736,71.144562,323.866211,110.547661,481.657867,377.48999,179.471542,122.114769,421.206421,107.153183,68.266327,331.3396,-163.86261,456.837769,350.230011,-223.005035,101.600006,267.652191,-320.38324,53.516209,225.107986,-254.926361,64.795998,264.269012,172.132385,58.199871,226.977341,110.549141,68.337326,361.419983,54.454517,103.911514,333.410248,10.00977,454.744781
6,0,302.330658,-231.219971,931.102173,281.206665,47.953049,938.5672,472.52124,-109.663216,1017.269226,468.359436,-44.863758,1015.088684,343.749878,-269.530792,472.48941,390.290344,-297.005432,91.822487,421.698517,-257.161102,71.064606,323.930389,110.547348,481.668854,377.509338,179.484375,122.112976,421.237366,107.167915,68.213341,331.384247,-163.897598,456.834076,350.22052,-223.014999,101.591225,267.589996,-320.381531,53.578373,225.108093,-254.904984,64.78331,264.241547,172.107147,58.200722,227.009811,110.587349,68.249634,360.986633,54.390541,104.508438,334.08252,10.381378,454.914185
7,0,302.295044,-231.240555,931.063354,281.250336,47.882893,938.53772,472.618927,-109.728477,1017.304871,468.350891,-44.89843,1015.133728,343.778259,-269.582825,472.499237,390.268463,-297.00061,91.812332,421.738129,-257.22052,71.0439,323.939056,110.519142,481.676575,377.512268,179.491394,122.131721,421.190155,107.176682,68.246666,331.396118,-163.897644,456.844818,350.23642,-222.978333,101.642662,267.626984,-320.386597,53.569164,225.105011,-254.901855,64.77536,264.256195,172.111221,58.188896,226.975357,110.538635,68.330902,361.502716,54.441139,103.898911,334.571838,10.645092,455.013824
8,0,302.359436,-231.277832,930.999268,281.283569,47.85313,938.494324,472.696167,-109.812279,1017.245056,468.424713,-44.93198,1015.184387,343.826385,-269.577942,472.486328,389.865051,-296.916809,91.912025,421.711884,-257.26947,71.01136,323.998138,110.513496,481.663757,377.486176,179.480942,122.113693,421.226074,107.162094,68.190506,331.417938,-163.923141,456.864502,350.23642,-222.99234,101.633492,267.653656,-320.39032,53.561886,225.103439,-254.923615,64.772644,264.217682,172.112549,58.18121,227.026321,110.585381,68.234116,361.713654,54.530441,103.749626,334.192505,10.332414,454.93811
9,0,302.362762,-231.291397,930.988831,281.337158,47.844635,938.448975,472.759094,-109.874527,1017.271667,468.486816,-44.992855,1015.215759,343.836945,-269.603699,472.417328,390.260193,-297.035156,91.900551,421.473267,-257.575806,70.974792,324.071259,110.519905,481.671387,377.482269,179.466629,122.122894,421.286835,107.162682,68.169418,331.4375,-163.937622,456.870605,350.213654,-222.956192,101.653061,267.620911,-320.386475,53.611294,225.113647,-254.926529,64.75898,264.255005,172.123306,58.149837,227.001511,110.55101,68.339905,361.656738,54.497978,103.753479,333.757385,10.025522,454.825317
10,0,302.373169,-231.298798,930.962646,281.375702,47.808048,938.444763,472.884552,-109.953323,1017.390381,468.489136,-45.040138,1015.216919,343.884521,-269.602142,472.396332,390.216156,-296.993988,91.854118,421.428345,-257.53363,71.033661,324.124847,110.512329,481.682068,377.513245,179.491287,122.145103,421.301758,107.189537,68.160667,331.439697,-163.941452,456.881592,350.185913,-222.950668,101.637184,267.733429,-320.41629,53.550323,225.130554,-254.89888,64.758682,264.279694,172.078125,58.136299,227.046417,110.592712,68.273514,361.266113,54.406548,104.167015,334.35733,10.33951,454.93454
