,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,298.060852,-236.080292,938.803772,296.586456,42.29187,943.288635,481.555115,-126.061066,1015.948303,480.444,-60.408127,1010.102173,328.48938,-272.791595,475.794067,382.991577,-301.228149,92.394318,417.077301,-262.297241,72.315178,313.762024,95.054245,484.966614,372.591675,173.401154,123.59832,419.716583,102.394897,66.80275,323.189667,-169.68721,462.853058,346.693054,-224.6082,101.181816,261.639038,-321.047272,53.911839,220.286682,-253.716354,64.07782,262.867767,165.211746,60.868523,225.434723,106.122299,68.521133,359.927307,48.388458,102.954247,327.555542,-1.86823,458.775116
2,0,298.726593,-235.903,938.649292,296.884552,42.44875,943.109802,481.947144,-125.530228,1016.093994,480.788788,-59.883575,1010.346313,329.150299,-272.654358,475.797699,383.013672,-301.200104,92.464653,417.076447,-262.267944,72.30278,314.229584,95.238564,484.935852,372.849152,173.365829,123.231682,419.629028,102.383789,66.90023,323.766693,-169.471542,462.777649,346.725983,-224.598816,101.209442,261.439362,-321.001953,53.958618,220.284973,-253.706787,64.085075,262.765228,165.583252,60.656879,225.144684,106.000038,68.112213,359.900604,48.437454,102.97982,328.271942,-1.588973,458.785309
3,0,299.951202,-235.332794,938.727966,297.15155,42.632885,942.904236,482.322388,-124.982651,1016.241211,482.243286,-60.298466,1014.019592,329.759888,-272.477234,475.723602,383.082703,-301.134064,92.424217,417.094788,-262.24411,72.342056,314.92984,95.577263,484.751404,372.895386,173.362869,123.199753,419.777069,102.46006,67.301514,324.37088,-169.271957,462.697021,346.783539,-224.554398,101.228119,261.577301,-321.003296,53.907841,220.275635,-253.71405,64.079445,262.640991,165.7845,60.412922,224.989899,105.855659,67.858696,359.964111,48.501694,102.955032,328.63092,-1.544595,458.753174
4,0,300.560852,-235.066544,938.588196,297.395386,42.790592,942.745728,482.373077,-124.195297,1014.712341,481.296112,-58.962738,1010.805725,330.460602,-272.299805,475.667328,383.136566,-301.082367,92.463303,417.122131,-262.254425,72.308441,315.244843,95.760323,484.905212,373.006958,173.420074,123.136497,419.533173,102.374451,66.992714,325.005188,-169.056808,462.588562,346.838104,-224.510422,101.262672,261.683807,-321.03363,53.802383,220.28157,-253.715302,64.079903,262.60675,165.936676,60.278252,224.931015,105.780136,67.688301,359.970764,48.498035,103.00528,329.202209,-1.341289,458.737915
5,0,301.238617,-234.598572,938.602844,297.608398,42.966755,942.565369,482.9487,-123.801773,1015.200012,482.671356,-59.360264,1014.468811,331.211212,-272.118103,475.596863,383.178131,-301.013428,92.459053,417.116577,-262.266693,72.331306,315.746277,96.103966,484.870056,372.805542,173.535873,123.397202,419.704926,102.519066,67.390137,325.675781,-168.857117,462.512329,346.91452,-224.524643,101.280884,261.721436,-320.993927,53.823597,220.270004,-253.70723,64.080727,262.599274,166.08461,60.118927,224.870743,105.714996,67.553604,359.984375,48.507401,102.996071,329.796173,-1.129531,458.720581
6,0,301.592255,-234.700684,938.271729,297.740814,43.175632,942.344604,483.843079,-124.007965,1017.296204,482.860809,-58.862362,1014.680603,331.73703,-271.596039,475.558105,383.175964,-301.002075,92.531517,417.142639,-262.242798,72.302574,316.222687,96.404617,484.851196,372.903625,173.651932,123.313431,419.555511,102.462074,67.112495,326.364105,-168.623825,462.395782,346.987274,-224.469131,101.313812,261.715179,-320.992615,53.831436,220.276657,-253.693878,64.073006,262.594696,166.220673,60.006931,224.857391,105.702721,67.514038,360.001862,48.55946,103.047272,330.406586,-0.891615,458.76001
7,0,302.237579,-234.400909,938.046936,297.918457,43.375069,942.178406,484.019958,-123.470184,1017.6698,481.917877,-57.481422,1011.989258,332.500183,-271.362244,475.595001,383.248901,-300.973755,92.575844,417.014771,-262.566559,72.386276,316.708649,96.786514,484.881744,373.236877,173.694046,122.953186,419.541901,102.583008,67.137184,327.131531,-168.372864,462.272522,347.074219,-224.447357,101.306541,261.7677,-321.013,53.86726,220.271637,-253.667206,64.100029,262.623016,166.319199,59.87838,224.844055,105.683495,67.453812,360.055664,48.642395,103.163506,331.063843,-0.503067,458.765472
8,0,302.744507,-234.094421,937.819946,298.065277,43.622364,941.930542,483.883331,-122.901093,1017.327209,482.090881,-57.00782,1012.27179,333.459229,-271.4151,475.459045,383.280426,-300.94165,92.559593,417.156372,-262.277527,72.296516,317.145264,97.151611,484.921356,373.273865,173.855331,122.899498,419.551483,102.653526,67.164848,327.973572,-168.074036,462.132538,347.111633,-224.448242,101.312614,261.850433,-321.018463,53.807697,220.271469,-253.678268,64.071465,262.622437,166.44281,59.782692,224.797836,105.725395,67.417229,360.099213,48.702896,103.17083,331.512878,-0.152427,458.83139
9,0,303.267029,-233.788696,937.596924,298.187988,43.864937,941.74231,484.209808,-122.381721,1017.728943,482.151367,-56.546856,1012.506714,334.239594,-271.160797,475.372742,383.309296,-300.912201,92.621048,417.174133,-262.278778,72.252785,317.599731,97.549881,484.962402,373.258514,173.897247,122.751183,419.496796,102.773003,67.17421,328.824646,-167.769836,462.013702,347.205444,-224.384171,101.308975,261.833771,-321.016205,53.806087,220.269913,-253.638947,64.068321,262.658539,166.488297,59.60936,224.788925,105.747772,67.404564,360.118835,48.832565,103.275734,331.939697,0.170368,458.858124
10,0,304.100616,-233.222412,937.503174,298.33371,44.098866,941.59137,484.391449,-121.933052,1018.358826,483.285248,-57.00658,1015.465393,334.993011,-270.981171,475.199615,383.345612,-300.861725,92.675446,417.046326,-262.565552,72.33889,318.038666,97.969055,484.963257,373.310638,174.036865,122.631493,419.657379,102.886681,67.444084,329.688538,-167.462875,461.862549,347.286865,-224.365814,101.34481,261.660919,-320.932495,53.840881,220.263062,-253.630402,64.081161,262.836395,166.556824,59.216805,224.777466,105.764183,67.401062,360.193542,48.947289,103.27195,332.313416,0.611571,458.891724
