,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,283.594025,-230.295486,932.037842,271.293762,48.174011,941.143982,462.129913,-115.335014,1012.17511,459.054993,-49.281364,1009.438965,306.533783,-268.768188,475.040039,386.13324,-298.729919,92.899025,419.537994,-258.616272,72.460716,304.260498,105.764832,484.736359,370.776764,175.904999,122.842674,415.88385,104.287613,68.512032,295.850891,-166.75708,461.525726,347.752472,-222.281357,99.902176,266.650909,-321.492981,54.046036,224.134521,-255.943329,64.249229,259.476105,170.720154,58.683601,221.596252,109.935555,67.864319,354.24231,51.379353,104.437119,311.849976,8.300725,458.622284
2,0,283.040192,-230.918274,931.816162,271.357849,47.986446,941.120178,462.229858,-115.549416,1012.400635,459.127625,-49.539719,1009.408691,306.592285,-268.936981,475.038513,386.116943,-298.767883,92.886642,419.515564,-258.612366,72.462555,303.818848,105.693176,484.820953,370.794891,175.836548,122.863007,415.88858,104.231544,68.521614,295.894623,-166.898834,461.573669,347.761139,-222.312088,99.905457,266.688171,-321.496948,54.058464,224.118866,-255.942673,64.253357,260.053467,170.580597,58.587425,221.618195,109.940666,67.862068,354.216156,51.360115,104.434578,311.863312,8.14283,458.6138
3,0,283.627716,-230.693146,932.070923,271.449158,47.821777,941.092163,462.505676,-115.825142,1013.03363,459.215881,-49.779339,1009.345032,306.671814,-269.089111,475.078644,386.150208,-298.787415,92.869598,419.540833,-258.681732,72.44812,304.27066,105.481689,484.76236,370.762085,175.774307,122.889694,415.864929,104.236755,68.513298,295.906708,-167.056656,461.602997,347.758148,-222.319931,99.91124,266.670502,-321.532532,54.060345,224.153305,-255.977631,64.264641,259.45639,170.70018,58.657307,221.604309,109.921028,67.86335,354.439209,51.22884,104.108551,311.858276,7.99172,458.602203
4,0,283.67453,-230.892746,932.06427,271.567291,47.680302,941.09436,462.495178,-116.017632,1012.997009,459.303314,-50.052597,1009.353638,306.73114,-269.209503,475.095459,386.147888,-298.823822,92.862602,419.54361,-258.690765,72.448296,303.861176,105.41465,484.848236,370.453522,176.080231,123.363174,415.866425,104.174698,68.510178,295.956207,-167.202179,461.64386,347.760162,-222.37851,99.936729,266.66983,-321.536133,54.039951,224.143234,-255.983917,64.25547,259.46936,170.672638,58.652664,221.595963,109.904594,67.855766,354.186768,51.245621,104.477242,311.885376,7.845283,458.58493
5,0,283.702789,-231.053864,932.045105,271.653839,47.496433,941.095459,462.707031,-116.408958,1013.23822,459.32135,-50.249115,1009.338867,306.837921,-269.350159,475.076416,386.163177,-298.864655,92.840607,419.548676,-258.73642,72.466721,303.901123,105.249466,484.838104,370.458038,176.056229,123.388039,415.87384,104.158684,68.52951,296.035309,-167.363724,461.68576,347.765198,-222.409943,99.964264,266.651031,-321.567108,54.032959,224.162491,-256.00119,64.267502,260.032806,170.54393,58.550053,221.295868,110.016014,67.818604,354.156525,51.15163,104.442299,311.906097,7.69869,458.548157
6,0,283.728455,-231.213715,932.029663,271.801147,47.344772,941.062988,462.608002,-116.486145,1011.646057,459.154541,-50.50124,1009.721741,306.927521,-269.511383,475.083923,386.143524,-298.866608,92.805122,419.542297,-258.754913,72.40184,304.357971,105.044647,484.753937,370.471588,176.01976,123.410248,415.874695,104.156105,68.541344,296.131348,-167.531845,461.704285,347.785645,-222.445358,99.976051,266.665192,-321.560364,54.037552,224.183426,-256.017242,64.264183,259.985016,170.551514,58.57217,221.552612,109.909691,67.846809,354.41275,51.064636,104.106087,311.940002,7.566477,458.526642
7,0,283.786407,-231.363007,932.021667,271.920013,47.179852,941.058411,462.884521,-116.865364,1013.240723,459.234039,-50.724792,1009.737488,307.061859,-269.598267,475.109375,386.155426,-298.894592,92.778336,419.587891,-258.776428,72.41732,304.007874,105.014122,484.832642,370.456207,175.985703,123.419487,415.856781,104.126328,68.505333,296.256439,-167.637711,461.742889,347.782837,-222.462418,99.989357,266.661743,-321.578278,54.003677,224.171799,-256.009064,64.273705,259.952209,170.502747,58.505219,221.554428,109.893837,67.835976,354.166473,51.105087,104.359024,311.973389,7.415712,458.478668
8,0,283.845917,-231.538681,932.038696,272.092255,47.02536,941.02655,462.979523,-117.112991,1013.459656,459.362,-50.927177,1009.754761,307.198364,-269.74704,475.121338,386.157104,-298.914459,92.765472,419.581024,-258.79425,72.411217,304.074493,104.893265,484.826782,370.473297,175.936295,123.445099,415.858063,104.104599,68.53653,296.401703,-167.762451,461.78183,347.831635,-222.506836,100.002594,266.694,-321.58725,53.964695,224.208801,-256.047302,64.261002,259.442566,170.586945,58.614983,221.555801,109.881035,67.859375,354.360321,50.931557,104.11216,311.993011,7.279772,458.456848
9,0,283.924103,-231.67749,932.073914,272.250885,46.869301,940.996704,462.269501,-116.83989,1010.830505,459.695404,-51.180809,1009.416565,307.308014,-269.838409,475.15921,386.191498,-298.942505,92.752541,419.588409,-258.777679,72.403786,304.526733,104.694313,484.758972,370.426788,175.886963,123.495911,415.855133,104.074402,68.506119,296.59082,-167.883469,461.811707,347.841583,-222.543442,100.014954,266.679749,-321.583649,54.009537,224.221176,-256.053894,64.275368,259.95993,170.514023,58.508774,221.535751,109.881546,67.837616,354.417938,50.960369,104.015862,312.000854,7.150143,458.442871
10,0,284.011017,-231.860367,932.060486,272.4086,46.747547,940.947327,462.477753,-117.06601,1011.030823,459.590912,-51.375294,1009.79541,307.456635,-269.975494,475.120026,386.204742,-298.963776,92.716797,419.588501,-258.808441,72.432289,304.533905,104.583366,484.747009,370.454254,175.860291,123.514748,415.838623,104.02874,68.499725,296.776764,-167.992523,461.825958,347.844482,-222.580811,100.046188,266.691681,-321.622314,53.910149,224.2314,-256.06601,64.279846,259.443817,170.550079,58.629368,221.477905,109.849617,67.892189,354.226776,50.957207,104.291176,312.091553,7.026301,458.398895
