,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,257.129578,-240.460953,935.29895,259.930817,37.646492,940.298401,439.332794,-133.502823,1016.353943,439.965607,-68.579689,1012.859436,320.018066,-274.928223,470.472931,387.25827,-295.751801,92.534302,420.2995,-255.268997,72.414665,307.23114,101.647293,482.986053,381.82431,175.589554,124.009903,419.786438,101.673607,68.29068,317.786987,-168.473312,456.658173,348.387238,-220.744095,101.073685,267.218781,-320.587433,54.014606,223.408829,-255.41449,64.257042,270.780579,182.927658,59.185413,226.664062,125.695366,67.531601,352.661926,53.437244,103.870331,309.764862,3.93537,454.914459
2,0,257.138733,-240.593124,935.325806,259.97876,37.549328,940.285461,439.257141,-133.464584,1016.736511,440.001404,-68.68972,1012.913208,319.976929,-274.990723,470.48291,387.702637,-295.917694,92.543152,420.290802,-255.25766,72.434326,307.243561,101.590187,482.965057,381.858185,175.572693,124.016548,419.70282,101.660355,68.160088,317.76651,-168.541016,456.675446,348.368439,-220.740173,101.08606,267.25238,-320.595245,53.999901,223.406723,-255.40274,64.253456,270.286346,183.085938,59.311905,226.672974,125.70256,67.557968,352.67099,53.407257,103.840347,309.774719,3.868187,454.882233
3,0,257.154266,-240.649719,935.331604,259.983154,37.439114,940.242249,439.30954,-133.640076,1016.299622,439.986084,-68.767647,1012.888062,319.921967,-275.005951,470.479065,387.703247,-295.906982,92.537743,420.255157,-255.236084,72.50486,307.268127,101.546013,482.963318,381.843201,175.597702,124.030434,419.809204,101.691917,68.288971,317.718933,-168.590286,456.698975,348.398438,-220.735184,101.082985,267.209198,-320.58609,54.02483,223.418243,-255.399399,64.257935,270.804688,182.960938,59.195202,226.676453,125.711349,67.558304,352.670807,53.397923,103.855507,309.765076,3.804464,454.889801
4,0,257.180603,-240.666748,935.338684,260.027649,37.358631,940.211243,439.339325,-133.768402,1016.350769,439.984863,-68.894379,1012.791504,319.917725,-275.097015,470.451813,387.23584,-295.753632,92.538498,420.273102,-255.248276,72.382164,307.282776,101.497551,482.946136,381.863312,175.546341,124.037872,419.794586,101.677963,68.268608,317.720306,-168.630569,456.699371,348.381714,-220.71843,101.102859,267.235229,-320.579773,54.009686,223.424316,-255.389481,64.260109,270.788239,182.956345,59.209206,226.674866,125.702904,67.552834,352.664001,53.420856,103.848816,309.793823,3.762209,454.86087
5,0,257.170929,-240.789108,935.353882,259.99942,37.270538,940.184326,439.594482,-133.81427,1016.772034,439.990021,-68.966347,1012.811401,319.932434,-275.137573,470.442749,387.238556,-295.749481,92.527451,420.220917,-255.237366,72.524384,307.294464,101.443428,482.951813,381.849762,175.546234,124.02549,419.768463,101.657013,68.318268,317.702148,-168.690475,456.753906,348.362915,-220.698868,101.106087,267.236755,-320.578583,54.024406,223.426041,-255.3918,64.263123,270.710052,182.969284,59.192181,226.646774,125.708427,67.54847,352.172516,53.781605,103.375885,309.780579,3.693662,454.813232
6,0,257.126495,-240.85257,935.368713,260.018982,37.145924,940.183411,439.402893,-133.933945,1016.292908,440.00708,-69.015472,1012.892029,319.874023,-275.186432,470.497253,387.662354,-295.884033,92.540749,420.24646,-255.249924,72.473022,307.302643,101.383362,482.962555,381.869812,175.535507,124.058037,419.764069,101.660011,68.304245,317.691895,-168.746262,456.754669,348.393066,-220.716797,101.093666,267.226105,-320.563171,54.027607,223.437225,-255.392426,64.255157,270.262299,183.104996,59.332581,226.659668,125.711128,67.531105,352.613556,53.443336,103.824142,309.837341,3.6485,454.803711
7,0,257.145721,-240.893188,935.397888,259.993134,37.064091,940.157471,439.358368,-134.005325,1016.303284,440.00592,-69.067863,1012.846619,319.901001,-275.186737,470.495483,387.248108,-295.746094,92.540726,420.222137,-255.268967,72.422737,307.349579,101.33448,482.957855,381.84967,175.538605,124.053467,419.664978,101.609055,68.169159,317.688202,-168.771957,456.777527,348.377411,-220.726105,101.093391,267.215759,-320.577576,53.998016,223.426819,-255.400665,64.257263,270.730194,182.979294,59.168339,226.654404,125.718636,67.55172,352.599854,53.44418,103.78952,309.853668,3.574218,454.803223
8,0,257.152924,-240.923294,935.399475,259.994965,37.021568,940.110168,439.33847,-134.037292,1016.284851,440.002228,-69.129219,1012.819031,319.888977,-275.214844,470.500305,387.625702,-295.881683,92.540871,420.219879,-255.284637,72.414558,307.369568,101.294785,482.961761,381.897797,175.533752,124.045761,419.722717,101.637695,68.32354,317.681366,-168.800964,456.780396,348.389252,-220.703735,101.11808,267.225433,-320.555511,54.016644,223.451111,-255.372818,64.268967,270.289276,183.127411,59.335789,226.637207,125.714409,67.529419,352.578186,53.456707,103.737045,309.879608,3.533267,454.747284
9,0,257.16626,-240.918762,935.421326,259.976318,36.951092,940.107727,439.320557,-134.041809,1016.273865,440.095764,-68.979813,1013.341553,319.906738,-275.233673,470.483887,387.595825,-295.865326,92.532806,420.211121,-255.326385,72.419662,307.373322,101.27343,482.941254,381.879272,175.528091,124.06459,419.718658,101.632919,68.286362,317.673981,-168.826019,456.787506,348.367798,-220.719559,101.127373,267.208405,-320.555878,54.004795,223.43222,-255.375381,64.277557,270.703003,183.025742,59.220222,226.646469,125.724838,67.551163,352.572815,53.477661,103.72496,309.906677,3.521107,454.738922
10,0,257.058167,-240.993591,935.405823,259.93808,36.895908,940.086304,439.163422,-134.018585,1016.556152,439.980469,-69.137215,1012.99823,319.893921,-275.28241,470.51474,387.229034,-295.733856,92.532433,420.230408,-255.28479,72.40863,307.413452,101.254745,482.947327,381.902924,175.530975,124.06263,419.658844,101.615433,68.180191,317.671448,-168.87706,456.796173,348.409607,-220.714951,101.107185,267.183075,-320.562408,54.016907,223.438065,-255.370193,64.273148,270.683502,182.985184,59.205643,226.62439,125.710426,67.549118,352.575378,53.497616,103.697777,309.901978,3.480761,454.744232
11,0,257.059082,-240.994583,935.436523,259.931488,36.871723,940.063354,439.289734,-134.136688,1016.320679,440.093597,-69.081039,1013.339966,319.901154,-275.346039,470.486603,387.579712,-295.842255,92.541199,420.193665,-255.291885,72.445702,307.421844,101.210518,482.941101,381.912994,175.518631,124.023903,419.732788,101.697586,68.283531,317.691162,-168.919357,456.787384,348.385345,-220.697769,101.125877,267.19162,-320.549561,53.996593,223.437592,-255.389725,64.271713,270.636139,183.049408,59.25568,226.626434,125.727516,67.556961,352.554047,53.521652,103.730415,309.910675,3.469362,454.736786
12,0,256.991699,-241.080292,935.459045,259.877625,36.836334,940.064697,439.23056,-134.145782,1016.342407,440.080597,-69.073181,1013.346069,319.88623,-275.357269,470.518463,387.244202,-295.719971,92.529175,420.172882,-255.340881,72.477585,307.450836,101.240883,482.933533,381.89798,175.547989,124.054222,419.736389,101.658264,68.256958,317.673035,-168.935471,456.806152,348.372742,-220.715454,101.108421,267.179016,-320.529114,54.028557,223.432205,-255.383514,64.263672,270.611237,183.036011,59.216537,226.630997,125.714439,67.543488,352.196381,53.776402,103.356674,309.940826,3.446355,454.707397
13,0,256.956451,-241.082062,935.492371,259.830444,36.821686,940.076294,439.2854,-134.2034,1016.316528,440.072205,-69.089195,1013.350952,319.905701,-275.353271,470.517975,387.531647,-295.830811,92.545914,420.21579,-255.350983,72.324669,307.471497,101.228462,482.95163,381.880157,175.541626,124.027092,419.669769,101.641541,68.152588,317.691986,-168.960983,456.818054,348.388031,-220.695663,101.099854,267.164062,-320.544525,54.023621,223.446899,-255.361115,64.286377,270.636292,183.05632,59.19521,226.623932,125.72908,67.563835,352.517975,53.552608,103.671516,309.95163,3.463769,454.707245
