,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,232.42627,-231.373657,1072.32373,262.924988,46.166779,1076.64624,423.926178,-149.184875,1068.067993,422.271881,-60.617931,1070.342773,290.040924,-265.577942,527.554382,387.946564,-315.332123,101.301338,436.151123,-271.728516,71.325989,315.126892,77.015495,522.968628,411.795044,131.530289,103.069122,446.31427,88.046593,75.284424,308.91452,-179.273117,504.62735,361.563934,-230.205643,109.963203,258.329071,-332.4729,47.788578,222.306091,-266.673065,63.754192,274.262024,165.958801,51.40015,229.184906,101.7994,62.24699,374.315247,51.959511,109.445374,316.194122,-8.190744,505.175598
2,0,232.329163,-231.363693,1072.320801,262.864807,46.155342,1076.650513,423.849976,-149.174072,1068.071411,422.177399,-60.631187,1070.322998,289.9935,-265.559418,527.561157,387.968445,-315.348877,101.354149,436.173309,-271.721527,71.322975,315.102478,77.027115,522.958313,411.797058,131.537415,103.090904,446.303436,88.033485,75.290138,308.868103,-179.248596,504.641846,361.547119,-230.205139,109.942368,258.308655,-332.474854,47.810547,222.288834,-266.674927,63.738152,274.273773,165.966217,51.388451,229.172745,101.801918,62.23954,374.35257,51.977047,109.451927,315.889648,-8.272825,505.0112
3,0,232.287262,-231.34697,1072.299683,262.807373,46.162529,1076.657104,423.841492,-149.186127,1068.057617,422.118378,-60.599777,1070.361206,289.956635,-265.548218,527.552917,387.935944,-315.31601,101.325653,436.156464,-271.731018,71.334068,315.089996,77.040993,522.970337,411.812714,131.518814,103.088356,446.322388,88.042412,75.302002,308.832733,-179.255188,504.629974,361.548218,-230.16893,109.98671,258.328552,-332.36972,47.89954,222.293564,-266.687622,63.742085,274.290741,165.959259,51.392181,229.19191,101.813553,62.246021,374.324188,51.915955,109.47509,316.134125,-8.201275,505.188934
4,0,232.218567,-231.322311,1072.287231,262.761444,46.164261,1076.653564,423.741547,-149.186752,1068.077271,422.056549,-60.639347,1070.361206,289.904449,-265.544983,527.543091,387.972748,-315.335327,101.345497,436.14505,-271.723694,71.331169,315.080688,77.028625,522.961609,411.813629,131.531372,103.093094,446.316284,88.032326,75.298851,308.796661,-179.25824,504.611084,361.54126,-230.201599,109.975418,258.31427,-332.365814,47.905334,222.277283,-266.664276,63.759155,274.284485,165.952103,51.38755,229.17923,101.79908,62.23666,374.385406,51.947708,109.4618,316.156647,-8.181513,505.163483
5,0,232.182663,-231.316574,1072.287964,262.740509,46.164215,1076.65271,423.709015,-149.173981,1068.087891,422.032257,-60.60194,1070.386963,289.819366,-265.541321,527.530457,387.950928,-315.350067,101.348267,436.18924,-271.744568,71.344353,315.05011,77.031189,522.964966,411.818665,131.510818,103.084557,446.324036,88.039261,75.297432,308.733948,-179.239014,504.612976,361.558105,-230.181259,110.004951,258.290405,-332.386505,47.925877,222.292191,-266.662201,63.739845,274.286774,165.979507,51.392109,229.182678,101.800362,62.249828,374.321838,51.926594,109.460358,316.177032,-8.146197,505.159912
6,0,232.063843,-231.312683,1072.282593,262.632568,46.170162,1076.640991,423.477356,-149.079636,1068.086426,421.952301,-60.607323,1070.390625,289.843079,-265.541412,527.53125,387.941498,-315.3349,101.348038,436.15979,-271.742737,71.337173,315.022247,77.036362,522.955627,411.790253,131.50029,103.086761,446.324005,88.04657,75.313728,308.685638,-179.26593,504.624481,361.520691,-230.221024,109.989075,258.340149,-332.370331,47.939575,222.293335,-266.67627,63.727379,274.2836,165.956924,51.394936,229.177887,101.794434,62.230381,374.323456,51.940334,109.479744,316.107117,-8.156931,505.178223
7,0,232.014969,-231.2957,1072.28064,262.585175,46.173458,1076.637329,423.394196,-149.089523,1068.076416,421.887817,-60.595211,1070.377319,289.753754,-265.551453,527.511047,387.939911,-315.355896,101.379723,436.138702,-271.706024,71.342163,314.992706,77.048332,522.970581,411.766266,131.515427,103.09362,446.302277,88.021538,75.299232,308.651733,-179.233948,504.608154,361.503479,-230.172668,110.000061,258.36264,-332.458191,47.814034,222.301971,-266.670959,63.722454,274.266235,165.955109,51.390728,229.185562,101.801407,62.241283,374.346436,51.903564,109.471718,316.091553,-8.148818,505.172028
8,0,231.919357,-231.279251,1072.273193,262.519287,46.167931,1076.639038,423.337738,-149.100677,1068.082275,421.837219,-60.592228,1070.406006,289.737244,-265.529327,527.543701,387.962921,-315.34729,101.377892,436.167023,-271.672272,71.364555,314.968597,77.039772,522.967651,411.801208,131.507233,103.098763,446.279633,88.013252,75.295647,308.621704,-179.250336,504.606262,361.514709,-230.144852,110.008133,258.33725,-332.442902,47.848278,222.294952,-266.665222,63.721134,274.266174,165.950989,51.374046,229.168808,101.812416,62.249718,374.273926,51.885269,109.494995,316.058197,-8.152127,505.182678
9,0,231.846008,-231.291763,1072.245605,262.455994,46.161705,1076.638672,423.287537,-149.090683,1068.077271,421.74527,-60.558315,1070.401733,289.721008,-265.565979,527.524902,387.783356,-315.221741,101.312645,436.02597,-271.547913,71.340012,314.94455,77.049339,522.960693,411.766846,131.482269,103.096268,446.283691,88.030624,75.303703,308.580841,-179.268982,504.611725,361.508667,-230.129761,110.009674,258.335205,-332.44809,47.810482,222.268967,-266.654266,63.708923,274.285004,165.937698,51.377354,229.164276,101.800049,62.249962,374.373749,51.923332,109.434456,316.073151,-8.134029,505.177307
10,0,231.776489,-231.277603,1072.239868,262.36731,46.16114,1076.633789,423.183075,-149.091644,1068.098389,421.65976,-60.559536,1070.422729,289.664612,-265.507416,527.528015,387.777954,-315.202576,101.294418,436.010834,-271.52005,71.336662,314.916321,77.050926,522.971069,411.800812,131.490204,103.09668,446.281464,88.06517,75.298332,308.548615,-179.254898,504.601776,361.532379,-230.162964,109.975418,258.318298,-332.47345,47.813824,222.281509,-266.651031,63.717625,274.285126,165.954208,51.372925,229.176788,101.80407,62.24712,374.35083,51.872765,109.482376,316.017792,-8.148711,505.168671
