,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,236.595261,-226.731003,1072.848755,274.859375,50.08585,1077.858276,430.079529,-149.254822,1065.523926,430.891968,-60.894947,1068.142334,287.991211,-263.085297,527.410828,387.758942,-314.998108,101.383499,436.149384,-271.744354,71.198624,317.865082,79.886513,523.913147,412.168243,132.096008,102.679237,446.465698,88.507515,75.045372,306.50119,-176.842133,504.048462,361.464935,-229.852615,109.518318,258.334564,-332.301849,47.87402,222.307068,-266.451599,63.686543,274.433044,166.389923,51.340084,229.372879,102.191429,62.663666,374.401733,52.82457,109.916519,317.302124,-5.262589,506.107635
2,0,236.585938,-226.755753,1072.90332,274.816071,50.075073,1077.852905,430.019043,-149.265778,1065.524048,430.926849,-60.878593,1068.134155,287.96579,-263.120911,527.381897,387.732269,-314.993927,101.380608,436.139496,-271.748169,71.203583,317.865082,79.87191,523.901978,412.156158,132.097183,102.705872,446.471985,88.498009,75.051254,306.498108,-176.851944,504.049194,361.457336,-229.87355,109.505608,258.345215,-332.332031,47.917679,222.320312,-266.435303,63.67144,274.400696,166.339447,51.293945,229.373077,102.180069,62.683174,374.449951,52.761742,109.879364,317.011871,-5.320964,505.897156
3,0,236.525055,-226.733856,1072.820801,274.781616,50.066986,1077.840454,429.985687,-149.276779,1065.506104,430.837402,-60.898064,1068.102539,287.96405,-263.121796,527.392517,387.725739,-315.013062,101.405602,436.121216,-271.73056,71.197502,317.829742,79.868759,523.901306,412.153412,132.102646,102.678978,446.468567,88.491318,75.028122,306.456665,-176.856644,504.046967,361.462769,-229.858124,109.502251,258.327789,-332.335602,47.872383,222.334747,-266.438416,63.670933,274.385834,166.317932,51.296295,229.360199,102.194527,62.671146,374.43457,52.879635,109.892853,316.994965,-5.319192,505.876526
4,0,236.49173,-226.762283,1072.880737,274.747498,50.056057,1077.828613,429.931152,-149.308792,1065.531006,430.814362,-60.93269,1068.12793,287.912964,-263.120697,527.38739,387.699615,-315.027679,101.406631,436.161072,-271.685669,71.29789,317.822906,79.860306,523.89447,412.161041,132.086945,102.687393,446.474091,88.506721,75.029633,306.457794,-176.850922,504.046082,361.45343,-229.840179,109.49514,258.353363,-332.342163,47.883842,222.319702,-266.426453,63.677677,274.397522,166.329575,51.278744,229.351349,102.18866,62.691292,374.595795,53.005917,110.038788,317.231018,-5.27628,506.107208
5,0,236.489243,-226.786224,1072.885132,274.701324,50.057766,1077.818726,429.894012,-149.319046,1065.538208,430.777588,-60.933956,1068.136353,287.916046,-263.133362,527.389282,387.735626,-315.032074,101.406578,436.15921,-271.75824,71.216103,317.812317,79.847778,523.889771,412.174774,132.089066,102.684052,446.477112,88.502403,75.018219,306.412323,-176.821259,504.023865,361.451447,-229.85434,109.495613,258.347687,-332.358063,47.899643,222.310349,-266.435791,63.668453,274.391815,166.336273,51.310059,229.356903,102.203743,62.66214,374.403961,52.823086,109.899315,317.246124,-5.271501,506.089874
6,0,236.425873,-226.770874,1072.886963,274.650879,50.046841,1077.817261,429.864655,-149.313339,1065.529297,430.76062,-60.901852,1068.110229,287.894104,-263.097595,527.391846,387.74353,-314.992584,101.396912,436.164368,-271.712921,71.23394,317.822113,79.841454,523.897339,412.175659,132.077698,102.680351,446.47644,88.494896,75.056511,306.408234,-176.8629,504.045471,361.464813,-229.848877,109.474373,258.362335,-332.307709,47.891171,222.323456,-266.420135,63.671589,274.381927,166.272842,51.308796,229.360901,102.182098,62.688797,374.374908,52.744629,109.915787,317.225037,-5.285038,506.098694
7,0,236.401077,-226.799011,1072.881226,274.610962,50.028973,1077.785889,429.820465,-149.335022,1065.517578,430.691772,-60.970234,1068.128784,287.841766,-263.127838,527.390137,387.723724,-315.020966,101.391335,436.14801,-271.712646,71.231895,317.773712,79.819054,523.885925,412.151672,132.074173,102.695312,446.454376,88.503792,75.03727,306.391327,-176.804642,504.028259,361.44519,-229.868271,109.474586,258.32135,-332.329773,47.910507,222.296875,-266.43277,63.665688,274.354706,166.214859,51.332798,229.360977,102.182358,62.666424,374.569794,53.00008,109.945107,317.226196,-5.280488,506.070923
8,0,236.348785,-226.768677,1072.879517,274.581146,50.026833,1077.781982,429.766632,-149.320145,1065.534058,430.594543,-60.969044,1068.113525,287.881378,-263.133026,527.383728,387.748016,-315.004272,101.409218,436.143646,-271.730011,71.233986,317.760193,79.811615,523.897644,412.152771,132.063705,102.719849,446.464752,88.499344,75.03904,306.369659,-176.771484,504.02887,361.463562,-229.857529,109.505661,258.364014,-332.39978,47.846359,222.307892,-266.41449,63.651638,274.397186,166.307175,51.314358,229.360199,102.183334,62.674126,374.523529,53.028599,109.913429,317.210693,-5.300671,506.067932
9,0,236.319351,-226.829681,1072.875,274.536469,50.022495,1077.786133,429.725342,-149.327072,1065.511719,430.544434,-60.966656,1068.128296,287.833466,-263.132812,527.378418,387.70755,-314.980957,101.282104,436.149475,-271.725067,71.243599,317.750122,79.803032,523.896851,412.154633,132.065308,102.692856,446.461365,88.509514,75.041626,306.3255,-176.78743,504.03714,361.464905,-229.86145,109.54348,258.317474,-332.27652,47.960716,222.302963,-266.434082,63.673737,274.413788,166.338013,51.334381,229.363235,102.174629,62.653309,374.352692,52.938614,109.830101,317.195251,-5.303275,506.065308
10,0,236.266144,-226.834351,1072.856567,274.461243,49.998676,1077.786621,429.669495,-149.30632,1065.523193,430.479736,-60.945301,1068.117798,287.809052,-263.148346,527.403259,387.707825,-314.972992,101.417824,436.140228,-271.707825,71.231163,317.702881,79.801826,523.890137,412.151703,132.059586,102.707481,446.433228,88.506638,75.04258,306.310028,-176.798798,504.029083,361.457642,-229.870392,109.498215,258.331085,-332.291595,47.971191,222.309982,-266.416412,63.672455,274.394226,166.285492,51.33847,229.366837,102.168137,62.673012,374.383942,53.049866,109.68132,317.141296,-5.302909,506.070801
11,0,236.20195,-226.832489,1072.853149,274.42157,49.991505,1077.779907,429.645233,-149.320862,1065.526367,430.506256,-60.971313,1068.153442,287.816254,-263.121246,527.373169,387.738678,-315.010864,101.422241,436.173981,-271.663513,71.319183,317.671265,79.790962,523.886108,412.159363,132.057556,102.710365,446.435242,88.506744,75.042526,306.312042,-176.795273,504.038879,361.480103,-229.8414,109.498657,258.294128,-332.279388,47.979504,222.309952,-266.409241,63.652271,274.355316,166.268402,51.295361,229.334305,102.161621,62.658413,374.470764,53.035748,109.623184,317.133789,-5.311893,506.062103
12,0,236.132492,-226.832428,1072.831177,274.369781,49.972958,1077.793457,429.596222,-149.323914,1065.533447,430.407013,-60.95076,1068.119385,287.765656,-263.176697,527.374268,387.703705,-314.98175,101.429703,436.146179,-271.671936,71.245819,317.623871,79.774216,523.891968,412.182709,132.067947,102.721924,446.420685,88.49276,75.061935,306.280457,-176.792419,504.024384,361.472137,-229.835175,109.515755,258.300873,-332.306915,47.967365,222.301483,-266.414703,63.658253,274.350891,166.226151,51.291832,229.356613,102.164291,62.682934,374.476288,52.969898,109.699165,317.099884,-5.321949,506.059357
13,0,236.136795,-226.870926,1072.843994,274.312378,49.978214,1077.783203,429.580322,-149.309143,1065.5448,430.241028,-60.948956,1068.046265,287.805634,-263.156525,527.355347,387.768097,-315.022583,101.406219,436.163574,-271.699493,71.254723,317.598694,79.769928,523.896545,412.150574,132.062576,102.708145,446.431091,88.511742,75.051788,306.272614,-176.781509,504.037903,361.481354,-229.855316,109.493896,258.325562,-332.308014,47.996845,222.316742,-266.411499,63.650391,274.351532,166.213791,51.30228,229.335388,102.170372,62.660294,374.42511,52.959129,109.758018,317.084045,-5.313984,506.062744
14,0,236.106369,-226.869659,1072.853271,274.252777,49.973911,1077.76416,429.522125,-149.305405,1065.503296,430.295502,-60.916412,1068.084839,287.767151,-263.15567,527.331177,387.735016,-315.006683,101.418777,436.178436,-271.694824,71.25206,317.574432,79.768707,523.879639,412.164276,132.059692,102.73069,446.418579,88.518311,75.047783,306.255219,-176.77858,504.017487,361.464508,-229.854889,109.490837,258.336578,-332.33371,47.924934,222.334015,-266.404846,63.649101,274.377167,166.242371,51.329609,229.3405,102.168587,62.662281,374.363892,52.965141,109.696945,317.041748,-5.306281,506.061493
15,0,236.077011,-226.895782,1072.827515,274.19278,49.951641,1077.754517,429.485535,-149.299484,1065.500732,430.180542,-60.986233,1068.090454,287.776428,-263.120636,527.343872,387.718842,-315.011444,101.447159,436.178589,-271.6492,71.309601,317.546661,79.761055,523.883484,412.150208,132.073822,102.730286,446.412018,88.506371,75.045128,306.234009,-176.796509,504.027069,361.502747,-229.840851,109.487503,258.346985,-332.418243,47.833733,222.304123,-266.404877,63.66629,274.398071,166.274765,51.370007,229.350647,102.161957,62.658215,374.412476,53.026588,109.67791,317.033417,-5.316272,506.045044
16,0,236.000946,-226.87146,1072.813232,274.117767,49.932281,1077.759766,429.427795,-149.289749,1065.512085,430.153656,-60.993572,1068.077759,287.782867,-263.14267,527.359436,387.780304,-314.981171,101.446175,436.162415,-271.697327,71.2621,317.519745,79.748878,523.869202,412.151764,132.058365,102.741714,446.429932,88.500862,75.059525,306.220276,-176.789841,504.019745,361.44516,-229.851196,109.464455,258.323334,-332.297455,47.986046,222.304581,-266.419891,63.641899,274.35141,166.204727,51.330124,229.366928,102.161301,62.646286,374.417145,53.002766,109.707481,316.999481,-5.30906,506.059753
17,0,235.986908,-226.922668,1072.82373,274.086731,49.917652,1077.749756,429.388641,-149.287048,1065.511719,430.08316,-61.001404,1068.089478,287.790253,-263.133301,527.355591,387.745544,-314.999634,101.474487,436.1698,-271.691681,71.257652,317.500702,79.770279,523.88208,412.12561,132.047821,102.727654,446.430206,88.492851,75.076508,306.204926,-176.842377,504.03064,361.450134,-229.853043,109.4935,258.338257,-332.329956,47.889729,222.294952,-266.41925,63.651806,274.372467,166.242035,51.341461,229.353958,102.152557,62.647953,374.31134,52.732582,109.809921,316.802399,-5.36871,505.913727
18,0,235.935028,-226.912186,1072.840088,274.021271,49.924843,1077.737427,429.358185,-149.260361,1065.513672,430.078186,-60.904732,1068.078735,287.764801,-263.125854,527.344177,387.745941,-315.006104,101.436859,436.147949,-271.654541,71.249954,317.436066,79.743004,523.869568,412.135315,132.043991,102.727737,446.42041,88.522163,75.051949,306.182068,-176.783936,504.013245,361.460236,-229.868439,109.491051,258.310242,-332.349701,47.895737,222.300537,-266.432312,63.63538,274.36438,166.222046,51.348686,229.351944,102.160683,62.646748,374.399017,53.027588,109.650711,316.94931,-5.328283,506.050995
19,0,235.875107,-226.899948,1072.777466,273.941925,49.920956,1077.748047,429.352905,-149.274567,1065.512573,430.011169,-60.971336,1068.10791,287.707947,-263.158997,527.364502,387.716614,-314.999786,101.412338,436.154633,-271.680328,71.25309,317.421082,79.757111,523.869995,412.126282,132.038681,102.734879,446.415497,88.486885,75.071327,306.156555,-176.77594,504.012573,361.451294,-229.832199,109.492935,258.340454,-332.34964,47.893101,222.305191,-266.421295,63.649765,274.359619,166.223175,51.33308,229.349487,102.158447,62.643967,374.377563,52.955189,109.612213,316.904663,-5.333898,506.048981
20,0,235.868698,-226.943802,1072.805664,273.920502,49.91436,1077.735596,429.395599,-149.318787,1065.520996,429.951355,-60.932182,1068.074341,287.751862,-263.158936,527.338928,387.722595,-314.97699,101.444435,436.142639,-271.665161,71.255943,317.395813,79.755249,523.883972,412.121063,132.053116,102.743889,446.417419,88.488968,75.07196,306.156952,-176.77449,503.993378,361.45932,-229.814606,109.494049,258.291595,-332.297363,47.986797,222.310791,-266.425598,63.615158,274.361877,166.235336,51.345913,229.422852,102.20533,62.731064,374.342896,53.004662,109.689148,316.638489,-5.457409,505.942108
21,0,235.748917,-226.909775,1072.793945,273.852478,49.909508,1077.755127,429.275787,-149.281387,1065.53418,429.926178,-60.930843,1068.091309,287.665253,-263.18454,527.356812,387.725586,-314.996033,101.444351,436.172852,-271.692047,71.265068,317.345886,79.743927,523.86731,412.122528,132.043839,102.74118,446.406586,88.487938,75.061386,306.136475,-176.790558,504.003693,361.438995,-229.856476,109.45903,258.325867,-332.369904,47.950623,222.308975,-266.424011,63.645542,274.352722,166.203369,51.325466,229.386337,102.210709,62.689884,374.348267,53.014984,109.688072,316.819397,-5.372657,506.039215
22,0,235.689484,-226.914078,1072.765259,273.806702,49.902519,1077.745117,429.29715,-149.328934,1065.523193,429.853668,-60.945408,1068.08374,287.703156,-263.167328,527.341553,387.708984,-314.991577,101.481995,436.144379,-271.679596,71.253448,317.337921,79.735542,523.858215,412.125916,132.030319,102.759148,446.413849,88.468391,75.071327,306.142944,-176.798599,504.004242,361.453339,-229.853516,109.48719,258.321686,-332.324646,47.933891,222.299484,-266.415833,63.643127,274.339447,166.212524,51.356457,229.332825,102.209442,62.595226,374.310944,52.997337,109.651527,316.647705,-5.435136,505.934906
23,0,235.674026,-226.931046,1072.760742,273.794098,49.914566,1077.716553,429.17868,-149.278961,1065.513916,429.874786,-60.938385,1068.12439,287.624023,-263.193573,527.352478,387.768127,-314.980621,101.385605,436.14859,-271.671326,71.229515,317.333038,79.733925,523.857422,412.105011,132.049789,102.764519,446.382507,88.474792,75.064041,306.153198,-176.80838,504.007568,361.463348,-229.85498,109.47731,258.298187,-332.312317,48.005951,222.297821,-266.416748,63.648239,274.347443,166.198761,51.312489,229.349335,102.232925,62.600143,374.331299,52.978226,109.563965,316.80603,-5.38204,506.05072
24,0,235.643936,-226.90918,1072.75708,273.738525,49.916672,1077.7323,429.207947,-149.31778,1065.531982,429.774475,-60.965977,1068.103394,287.893066,-263.003326,527.351807,387.692444,-314.996002,101.414871,436.151031,-271.649109,71.260445,317.338013,79.737282,523.871826,412.08606,132.034866,102.764381,446.403229,88.470161,75.082008,306.111603,-176.801117,503.987732,361.447357,-229.861099,109.503082,258.286072,-332.357574,47.923134,222.284271,-266.415863,63.627304,274.353851,166.203461,51.328472,229.29924,102.162857,62.582268,374.282745,52.991135,109.699524,316.580322,-5.477862,505.935791
25,0,235.587646,-226.92395,1072.748657,273.68454,49.922108,1077.738159,429.086945,-149.264481,1065.554199,429.744751,-60.979374,1068.100342,287.736084,-263.140594,527.344971,387.731598,-315.008392,101.443039,436.141968,-271.663849,71.237167,317.337799,79.754074,523.863831,412.111267,132.05069,102.768188,446.397278,88.464783,75.056747,306.106201,-176.798264,503.999756,361.471069,-229.847229,109.50219,258.32785,-332.293854,47.994637,222.308487,-266.439606,63.633865,274.348511,166.207306,51.329643,229.333679,102.171616,62.59132,374.334351,53.00531,109.65567,316.550873,-5.465872,505.944366
