,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,267.997162,-195.126617,1083.304688,285.478912,83.435783,1086.466309,455.13028,-104.014481,1063.322998,450.323792,-15.678253,1068.008789,313.822327,-240.774551,527.44812,399.391602,-296.318176,100.71524,443.435394,-250.974777,69.713776,325.588898,111.355659,527.021912,397.534912,176.333771,124.138115,441.469666,113.354202,73.497711,323.73172,-152.417389,502.405518,367.420166,-214.058914,109.841469,266.658966,-316.327301,47.262997,230.142868,-251.307343,65.520813,263.209656,175.594086,49.597942,224.750931,107.814949,65.897484,387.86618,57.027981,114.212166,328.623566,25.722687,510.925995
2,0,268.041687,-195.148788,1083.310791,285.530212,83.433807,1086.465698,455.145752,-104.020241,1063.322388,450.40097,-15.70468,1067.969238,313.788086,-240.765854,527.492676,399.328369,-296.337402,100.696404,443.414764,-250.953491,69.706535,325.578735,111.342072,527.03363,397.549866,176.337479,124.144615,441.463684,113.35891,73.516586,323.693634,-152.488937,502.566162,367.325745,-214.134506,109.804573,266.664673,-316.344666,47.226437,230.192627,-251.275269,65.588287,263.19696,175.578995,49.595829,224.749771,107.829575,65.911392,387.864319,57.04092,114.21373,328.566254,25.714302,510.939056
3,0,268.095245,-195.18306,1083.306885,285.594086,83.407387,1086.463257,455.199005,-104.019707,1063.300659,450.514374,-15.625616,1067.952148,313.859283,-240.807739,527.608887,399.316803,-296.360962,100.743301,443.447296,-251.014145,69.648422,325.555664,111.340248,527.02417,397.553497,176.353485,124.15229,441.474701,113.375404,73.494392,323.652802,-152.609283,502.860016,367.351196,-214.073776,109.859573,266.683929,-316.225189,47.243198,230.230698,-251.2565,65.633293,263.135895,175.545639,49.571091,224.748352,107.830551,65.907127,387.856476,57.057117,114.233658,328.53009,25.723227,510.950317
4,0,268.168762,-195.205582,1083.316162,285.605072,83.399292,1086.444092,455.239075,-104.004417,1063.294067,450.50412,-15.645295,1067.930786,313.94751,-240.880127,527.766541,399.25473,-296.328613,100.727859,443.438843,-251.025208,69.616028,325.544312,111.330055,527.035889,397.561005,176.340698,124.145126,441.254303,113.268097,73.320885,323.589417,-152.716644,503.217468,367.388824,-214.046494,109.828659,266.669983,-316.292938,47.260788,230.255249,-251.250183,65.676849,263.100433,175.531647,49.573364,224.758209,107.841385,65.907234,387.858643,57.04493,114.220879,328.544128,25.717663,510.933563
5,0,268.250397,-195.239044,1083.345337,285.671936,83.370689,1086.437256,455.294556,-103.983727,1063.299561,450.592865,-15.661435,1067.960083,313.961823,-240.912064,528.189148,399.254456,-296.356812,100.694916,443.355408,-251.010147,69.491081,325.531067,111.330261,527.033691,397.549713,176.362091,124.141296,441.445465,113.364174,73.504204,323.520416,-152.907974,503.672058,367.299133,-214.123505,109.827248,266.683716,-316.224823,47.252434,230.288254,-251.246872,65.726479,263.111023,175.542831,49.575474,224.757034,107.829247,65.906403,387.849396,57.059532,114.215508,328.212067,25.610744,510.773071
6,0,268.316101,-195.251175,1083.351929,285.717285,83.363747,1086.42981,455.420013,-103.989021,1063.314087,450.644012,-15.672797,1067.882324,313.903595,-240.975922,528.592102,399.249603,-296.357391,100.702644,443.364136,-251.023346,69.479744,325.485626,111.319908,527.033813,397.537415,176.358582,124.156845,441.447723,113.356918,73.502121,323.437531,-153.116806,504.175476,367.126678,-213.925446,109.98867,266.671204,-316.302673,47.243191,230.331696,-251.231171,65.764641,263.106812,175.535187,49.598587,224.764252,107.831703,65.897583,387.850922,57.050652,114.213707,328.593658,25.775213,510.960266
7,0,268.435638,-195.265808,1083.372803,285.763336,83.350464,1086.418091,455.475342,-103.987213,1063.335815,450.748047,-15.642779,1067.928467,313.95047,-241.049057,529.269409,399.22934,-296.401581,100.70446,443.455536,-251.048767,69.61763,325.465332,111.305984,527.034729,397.529022,176.356918,124.174889,441.455414,113.362289,73.481483,323.330688,-153.193848,504.769135,367.313232,-214.102554,109.818947,266.686035,-316.277313,47.280746,230.315018,-251.253693,65.776627,263.117889,175.537369,49.581371,224.751831,107.828545,65.902527,387.857422,57.044323,114.201447,328.573395,25.773964,510.968567
8,0,268.526337,-195.316971,1083.394653,285.826508,83.315422,1086.434204,455.563019,-104.016914,1063.364502,450.794861,-15.666159,1067.917114,313.959595,-240.976929,530.078735,399.209442,-296.399231,100.713425,443.427155,-251.047607,69.608498,325.428558,111.294113,527.049805,397.533783,176.344604,124.166534,441.452515,113.353569,73.504456,323.252228,-153.230881,505.355469,367.315643,-214.131927,109.853035,266.64621,-316.281219,47.266811,230.35173,-251.22905,65.785233,263.118164,175.549072,49.600185,224.752106,107.83754,65.924698,387.84201,57.043232,114.187004,328.303955,25.6805,510.799225
9,0,268.661713,-195.336731,1083.408569,285.877655,83.28019,1086.405396,455.681824,-103.978691,1063.365356,450.883545,-15.620332,1067.991333,313.917603,-241.080475,530.600037,399.224457,-296.367554,100.721474,443.403564,-251.030716,69.577385,325.391785,111.268852,527.041626,397.52887,176.358902,124.185661,441.431854,113.326668,73.492622,323.173584,-153.397415,505.813538,367.324432,-214.101974,109.811066,266.634277,-316.252716,47.268616,230.3694,-251.235779,65.81823,263.105591,175.533112,49.605293,224.757812,107.835136,65.92598,387.833557,57.041821,114.203148,328.503723,25.735022,510.963074
10,0,268.786774,-195.386932,1083.422241,285.937836,83.246178,1086.407471,455.781311,-103.961113,1063.417236,450.901764,-15.701775,1067.957275,313.800415,-241.043991,531.210022,399.211884,-296.354706,100.716316,443.413269,-251.054764,69.566566,325.364349,111.253998,527.03479,397.508545,176.334595,124.155029,441.456573,113.350052,73.50312,323.253571,-153.809265,506.095398,367.307281,-214.091949,109.823456,266.696747,-316.296326,47.286095,230.365997,-251.22345,65.826111,263.10083,175.541565,49.592453,224.74054,107.823486,65.933609,387.844574,57.037468,114.184189,328.464386,25.729788,510.960052
11,0,268.91687,-195.424835,1083.432739,285.973694,83.18399,1086.405151,455.871002,-103.98156,1063.454834,450.946045,-15.672375,1067.971313,313.42395,-241.155426,531.811096,399.165375,-296.359314,100.691246,443.380981,-250.97438,69.591629,325.316467,111.218224,527.033691,397.510773,176.3703,124.199371,441.421295,113.363495,73.49012,322.851654,-153.650818,506.375427,367.318695,-214.12027,109.842232,266.661407,-316.28653,47.293766,230.355209,-251.250183,65.816063,263.124664,175.536819,49.5821,224.749878,107.824493,65.932533,387.828339,57.032608,114.179138,328.45108,25.706305,510.944183
12,0,269.03949,-195.499039,1083.466919,286.010773,83.130318,1086.359131,456.001282,-103.957558,1063.494873,451.053864,-15.679504,1068.002563,313.191956,-241.140167,532.352966,399.230438,-296.344055,100.676857,443.43631,-251.053268,69.604095,325.29834,111.175812,527.038879,397.503357,176.352051,124.199509,441.423004,113.337662,73.494156,322.656372,-153.797714,506.546906,367.259003,-214.11293,109.801895,266.660706,-316.259918,47.279694,230.369568,-251.23587,65.811378,263.119385,175.511002,49.582439,224.746063,107.828438,65.928589,387.825745,57.028934,114.180023,328.399231,25.669016,510.964081
