,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,258.366058,-203.954269,1083.683838,277.495087,75.487213,1084.832275,446.236389,-113.359932,1069.86499,441.145355,-25.239082,1073.111572,302.633759,-242.487869,526.666748,396.454285,-294.485016,100.930077,443.011353,-249.841141,70.38134,318.068665,104.831337,525.952271,393.608459,174.334641,125.160011,439.523743,112.753761,74.550484,315.24234,-154.389832,503.203217,367.514252,-210.542999,109.55098,266.514099,-314.317047,48.210987,229.120255,-248.756241,64.313576,260.72464,171.468964,50.850628,222.727127,102.964622,64.754204,386.443756,54.772572,113.93383,320.810272,19.263296,509.529755
2,0,258.420685,-203.867752,1083.637695,277.495758,75.539223,1084.838867,446.260406,-113.309196,1069.839478,441.110535,-25.201775,1073.103394,302.61731,-242.470612,526.658386,396.460663,-294.465363,100.928154,442.987885,-249.856873,70.379669,318.067841,104.875496,525.963196,393.512146,174.260529,125.162109,439.312317,112.782402,74.555786,315.244751,-154.355057,503.18335,367.539673,-210.536667,109.546265,266.432159,-314.356659,48.365532,229.117386,-248.752396,64.310333,260.727722,171.458603,50.857464,222.722366,102.983826,64.753136,386.438751,54.801613,113.93737,320.769409,19.278543,509.54068
3,0,258.451965,-203.835449,1083.620728,277.524109,75.603981,1084.841309,446.243164,-113.269211,1069.779785,441.138702,-25.123375,1073.064697,302.59903,-242.419296,526.689514,396.468384,-294.577576,100.783028,442.975586,-249.853729,70.378777,318.077759,104.903328,525.970276,393.525391,174.291275,125.162277,439.378937,112.793922,74.502197,315.252258,-154.320343,503.163086,367.556488,-210.540863,109.533264,266.428436,-314.33493,48.331799,229.121124,-248.744705,64.301376,260.705963,171.455536,50.856773,222.727692,102.99147,64.762909,386.446198,54.809425,113.949402,320.759125,19.336,509.545807
4,0,258.413666,-203.86377,1083.627686,277.547913,75.657776,1084.853516,446.249146,-113.220383,1069.763916,441.148834,-25.075315,1073.106445,302.597137,-242.371124,526.727844,396.422699,-294.467072,100.916054,442.975647,-249.846252,70.394691,318.079559,104.941032,525.964111,393.598419,174.368958,125.128525,439.383636,112.813309,74.517426,315.239563,-154.254791,503.171448,367.554871,-210.531464,109.509377,266.422028,-314.333832,48.341526,229.123871,-248.745895,64.323189,260.734436,171.457764,50.851742,222.732651,102.997482,64.759674,386.473419,54.848167,113.946365,320.817017,19.37866,509.560638
5,0,258.387146,-203.730499,1083.605469,277.563019,75.732452,1084.859497,446.274658,-113.169716,1069.740845,441.163177,-24.971111,1073.047241,302.599426,-242.329208,526.682983,396.429901,-294.494354,100.931694,442.990112,-249.848373,70.389122,318.081421,104.984711,525.972656,393.585449,174.382065,125.160355,439.467987,112.878403,74.717705,315.239258,-154.246414,503.153992,367.589996,-210.595215,109.489151,266.427612,-314.376404,48.318027,229.092316,-248.737091,64.309181,260.715393,171.471512,50.850105,222.707382,102.986877,64.771828,386.485565,54.840458,113.986931,320.599396,19.381531,509.393036
6,0,258.40567,-203.679306,1083.609375,277.584412,75.806595,1084.876221,446.23822,-113.124794,1069.789185,441.118011,-24.943235,1073.074585,302.393127,-242.420517,526.689453,396.441864,-294.474854,100.92971,443.007782,-249.856232,70.384521,318.121368,105.030617,525.998047,393.59256,174.4095,125.147285,439.369568,112.812454,74.492279,315.270325,-154.203873,503.138885,367.535736,-210.534363,109.509415,266.424286,-314.338654,48.352161,229.099808,-248.713455,64.317764,260.715515,171.477127,50.866291,222.727615,103.002876,64.758873,386.447479,54.834919,113.952171,320.801147,19.479321,509.603973
7,0,258.402435,-203.624313,1083.623901,277.591187,75.886917,1084.881714,446.225494,-113.063477,1069.72876,441.13269,-24.904514,1073.060425,302.595795,-242.237122,526.678223,396.474762,-294.445282,100.92453,443.005798,-249.853668,70.375534,318.121277,105.066277,525.99823,393.503632,174.341995,125.130592,439.69455,112.859985,74.718391,315.258148,-154.168381,503.135681,367.608246,-210.580963,109.458565,266.43219,-314.369507,48.329979,229.094406,-248.719147,64.313171,260.733032,171.463211,50.855598,222.737732,102.996284,64.757881,386.478333,54.830132,113.986198,320.791962,19.481043,509.611847
8,0,258.36673,-203.642487,1083.561157,277.595367,75.949936,1084.869141,446.249207,-113.004402,1069.739624,441.124237,-24.845741,1073.050781,302.602142,-242.191406,526.686279,396.408844,-294.492065,100.920647,443.029236,-249.85701,70.364632,318.119812,105.099129,525.981812,393.593658,174.425079,125.141769,439.501526,112.887962,74.710732,315.247925,-154.161652,503.122162,367.529266,-210.51712,109.521225,266.442139,-314.339874,48.32597,229.122223,-248.707047,64.332222,260.723175,171.458664,50.858829,222.706161,102.999084,64.779121,386.483032,54.840126,114.003502,320.947205,19.591564,509.595459
9,0,258.285278,-203.52652,1083.641113,277.588287,76.038429,1084.896606,446.223633,-112.927856,1069.720825,441.10141,-24.788857,1073.061646,302.576782,-242.167404,526.653076,396.427032,-294.460724,100.912811,443.011597,-249.86525,70.378494,318.138672,105.126221,525.990479,393.596069,174.408752,125.130135,439.581116,112.820076,74.569809,315.257324,-154.137604,503.112244,367.568695,-210.515823,109.469574,266.430878,-314.371216,48.341961,229.122284,-248.694061,64.348236,260.708344,171.457565,50.853378,222.740845,102.995003,64.7714,386.468536,54.852173,113.993904,320.843201,19.579805,509.623657
10,0,258.360565,-203.403473,1083.541626,277.618561,76.10202,1084.910156,446.243591,-112.902954,1069.723999,441.122101,-24.709743,1073.042358,302.577515,-242.117447,526.6521,396.416595,-294.479492,100.940239,443.009766,-249.85965,70.362022,318.156494,105.157288,525.981873,393.579468,174.392853,125.114754,439.683472,112.860504,74.708694,315.235565,-154.091141,503.094421,367.579742,-210.554077,109.482651,266.447845,-314.364716,48.334976,229.114548,-248.694107,64.333717,260.707092,171.462341,50.850952,222.73996,102.999504,64.778313,386.476837,54.851471,113.988281,320.897949,19.641132,509.632294
