,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,269.557373,-205.350525,1084.328247,291.638489,73.635422,1085.561157,458.646271,-117.309624,1070.16748,454.602997,-28.749212,1073.852173,321.926819,-245.079636,527.743774,396.335266,-292.669098,99.350662,439.833466,-246.601669,69.080902,333.738312,105.283127,526.901794,399.533569,172.252716,124.968651,440.355255,108.180542,72.787132,332.737915,-155.797119,503.600464,364.537262,-210.689285,110.998184,262.787018,-311.148804,46.798588,226.564621,-245.942093,66.082161,263.666504,175.157288,49.189251,223.667953,109.145065,66.284302,384.36911,53.638496,113.420624,331.438843,19.261684,509.253632
2,0,269.405121,-205.281586,1084.331543,291.678497,73.688194,1085.571289,458.548309,-117.34877,1070.149292,454.660492,-28.757582,1073.892944,321.974945,-245.018372,527.732971,396.301361,-292.642365,99.362999,439.836212,-246.598892,69.066673,333.786926,105.305664,526.919434,399.536377,172.28804,124.972527,440.336548,108.159225,72.779625,332.903625,-155.774292,503.600525,364.546997,-210.706284,111.029655,262.694519,-311.318024,46.948776,226.50267,-245.982895,66.193832,263.593079,175.152618,49.191555,223.668869,109.142937,66.273094,384.421906,53.651539,113.410637,331.477386,19.294079,509.277039
3,0,269.260651,-205.275604,1084.238159,291.64212,73.730377,1085.607788,458.46524,-117.362587,1070.126343,454.527405,-28.831526,1073.884155,322.058624,-244.978439,527.705872,396.286224,-292.639862,99.35289,439.841766,-246.596619,69.043404,333.821259,105.366608,526.923889,399.559631,172.260757,124.940056,440.365295,108.176483,72.779778,333.039093,-155.729889,503.590271,364.580475,-210.66423,111.013763,262.708191,-311.284668,46.936329,226.520218,-245.993729,66.181427,263.624359,175.175079,49.206882,223.666992,109.151772,66.276115,384.412659,53.668411,113.441429,331.480347,19.339407,509.279236
4,0,269.140778,-205.233658,1084.197998,291.630371,73.780525,1085.621094,458.379486,-117.384117,1070.161377,454.759766,-28.665014,1074.049561,322.172546,-244.93718,527.729187,396.338623,-292.640472,99.36805,439.837219,-246.580856,69.071304,333.821381,105.404114,526.941345,399.582794,172.26059,124.851257,440.343506,108.18087,72.795868,333.181305,-155.705399,503.569946,364.587433,-210.682617,111.011795,262.725433,-311.288361,46.935493,226.511047,-245.993164,66.174751,263.679321,175.210739,49.211105,223.676193,109.144928,66.253922,384.418427,53.681614,113.402817,331.439972,19.381886,509.292908
5,0,269.016479,-205.155838,1084.188965,291.628998,73.829048,1085.628296,458.31369,-117.408203,1070.189331,454.69635,-28.726282,1074.094238,322.269745,-244.909943,527.716309,396.368408,-292.652496,99.36039,439.835449,-246.579483,69.076385,333.815491,105.440826,526.944519,399.527161,172.274658,124.939445,440.354004,108.173492,72.819855,333.361877,-155.882202,503.576447,364.560516,-210.701141,111.045059,262.726715,-311.305511,46.964878,226.512131,-245.988525,66.189224,263.681244,175.219528,49.209732,223.651825,109.152924,66.253899,384.400024,53.668709,113.43502,331.419647,19.429491,509.315552
6,0,268.880859,-205.135437,1084.162598,291.566742,73.862442,1085.667603,458.219086,-117.410133,1070.236206,454.634521,-28.673759,1074.093994,322.327057,-244.858917,527.714355,396.358215,-292.645172,99.370399,439.843109,-246.604324,69.075066,333.786041,105.472252,526.950806,399.585632,172.258499,124.83773,440.350861,108.15274,72.845932,333.451111,-155.84433,503.5625,364.595306,-210.699005,111.018799,262.735168,-311.302612,46.985043,226.557724,-245.934204,66.099113,263.688995,175.115509,49.088753,223.671616,109.146774,66.256859,384.392944,53.694798,113.458214,331.348328,19.441769,509.319183
7,0,268.849915,-205.124512,1084.151733,291.531555,73.906059,1085.678223,458.169708,-117.418861,1070.236206,454.518524,-28.739861,1074.126099,322.337341,-244.848267,527.719788,396.386383,-292.635529,99.369308,439.831757,-246.595367,69.07988,333.747559,105.502464,526.966064,399.54715,172.272888,124.858772,440.488708,108.093811,72.896545,333.509796,-155.821564,503.582245,364.556458,-210.724838,111.031944,262.731506,-311.315369,46.973106,226.569794,-245.94455,66.103821,263.677124,175.08876,49.096073,223.658401,109.139252,66.267601,384.403168,53.698559,113.432091,331.332947,19.481253,509.316376
8,0,268.735199,-205.126892,1084.118042,291.494537,73.93383,1085.720581,458.081085,-117.416954,1070.274414,454.431061,-28.707863,1074.180176,322.373932,-244.803177,527.709045,396.36319,-292.615204,99.400215,439.826874,-246.593811,69.078537,333.721802,105.52063,526.964111,399.51413,172.307373,124.943268,440.369415,108.170631,72.894165,333.560822,-155.828659,503.562378,364.580536,-210.69165,111.041878,262.768829,-311.370453,46.999622,226.515472,-245.999161,66.189392,263.62442,175.155853,49.174171,223.664719,109.137764,66.254936,384.430573,53.721493,113.44249,331.312622,19.509787,509.322418
9,0,268.620636,-205.109909,1084.081909,291.404114,73.956299,1085.708008,458.031067,-117.412041,1070.263428,454.357697,-28.706934,1074.160278,322.42804,-244.789795,527.691711,396.367462,-292.606384,99.410141,439.779022,-246.718887,69.077957,333.66333,105.51992,526.960327,399.497589,172.296738,124.933716,440.376434,108.168655,72.862152,333.55188,-155.804932,503.570251,364.570404,-210.674927,111.081551,262.805084,-311.28302,46.86721,226.538101,-245.941193,66.115181,263.603943,175.09729,49.170052,223.654388,109.126297,66.232582,384.39856,53.697296,113.467262,331.25824,19.521147,509.329803
10,0,268.555176,-205.061813,1084.086426,291.356354,73.999809,1085.722656,457.972534,-117.382668,1070.262451,454.32016,-28.670406,1074.174072,322.392548,-244.774078,527.69281,396.396637,-292.594788,99.388496,439.814301,-246.589539,69.099503,333.615692,105.510506,526.95813,399.529968,172.268906,124.855217,440.375092,108.186745,72.914017,333.539612,-155.790848,503.573242,364.595032,-210.6819,111.044556,262.784088,-311.39035,47.03965,226.571289,-245.942429,66.110588,263.576141,175.093796,49.149357,223.653076,109.106689,66.207779,384.401764,53.702641,113.479218,331.257446,19.537075,509.367004
11,0,268.48111,-205.054642,1084.080322,291.273285,74.026154,1085.718262,457.899231,-117.346756,1070.274414,454.296021,-28.599716,1074.195679,322.356415,-244.785843,527.693909,396.592773,-292.788422,99.533554,439.803497,-246.622406,69.097557,333.595825,105.511459,526.967957,399.509003,172.295715,124.839539,440.326874,108.166702,72.910683,333.489502,-155.801498,503.552795,364.459503,-210.501404,111.179359,262.754761,-311.371796,47.057316,226.509811,-245.976807,66.179749,263.573151,175.116867,49.143127,223.653122,109.10083,66.193848,384.412384,53.71843,113.426018,331.193939,19.517117,509.367004
12,0,268.579407,-205.040863,1084.151123,291.196869,74.022469,1085.730713,457.888824,-117.303879,1070.250977,454.22879,-28.575134,1074.187134,322.287201,-244.788071,527.714539,396.400543,-292.582275,99.413895,439.805634,-246.604462,69.126122,333.542755,105.495865,526.958191,399.480774,172.293915,124.849625,440.371033,108.171783,72.931053,333.449768,-155.81488,503.570496,364.432709,-210.515686,111.183876,262.774475,-311.383606,47.024502,226.553574,-245.938965,66.108315,263.641815,175.070511,49.074963,223.649826,109.105835,66.191795,384.368317,53.680351,113.4664,331.228546,19.544329,509.386353
13,0,268.520905,-205.067322,1084.127686,291.13562,74.050018,1085.729004,457.824982,-117.259071,1070.276367,454.11618,-28.58124,1074.146484,322.220093,-244.810577,527.690796,396.603119,-292.763641,99.558479,439.777618,-246.591675,69.125465,333.510925,105.503723,526.973145,399.469879,172.284378,124.838921,440.346222,108.170891,72.942688,333.358704,-155.810959,503.570435,364.44928,-210.514023,111.174599,262.810211,-311.396362,47.044823,226.512817,-245.974762,66.151794,263.516174,175.115158,49.141239,223.620331,109.077324,66.167877,384.396637,53.696827,113.42289,331.182312,19.509411,509.357819
