,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,227.778839,-230.778488,1014.540405,255.521454,73.307632,1019.614075,447.046478,-139.642517,1049.266846,453.607544,-57.624493,1047.400269,294.337982,-252.78186,517.531006,383.796844,-290.34433,96.80191,431.18399,-243.550079,74.162468,310.641663,96.865753,522.339661,386.017212,141.451218,108.057884,432.033691,88.50631,85.451866,316.146576,-165.090225,506.96225,357.047791,-199.912079,110.896584,252.817505,-321.580536,53.828857,217.268219,-237.825928,62.118004,256.937256,178.352386,57.369389,217.245987,92.741058,63.789158,364.348541,57.331669,108.02652,310.287964,5.21487,501.239136
2,0,227.790222,-230.792679,1014.53009,255.52803,73.305885,1019.59906,447.084412,-139.683716,1049.307373,453.616486,-57.629444,1047.405273,294.212677,-252.805862,517.574524,383.801025,-290.317383,96.783157,431.191803,-243.576202,74.152618,310.636292,96.869186,522.354736,386.028137,141.464386,108.050194,432.062164,88.531464,85.477371,316.15152,-165.154831,506.981537,357.072052,-199.979996,110.913643,252.805984,-321.596252,53.810822,217.261124,-237.816666,62.11832,256.907654,178.347702,57.413582,217.248611,92.733521,63.818344,364.387604,57.286354,108.058105,310.319214,5.22676,501.221344
3,0,228.226883,-230.646851,1014.750366,255.580521,73.284538,1019.587402,447.091339,-139.703583,1049.303345,453.643829,-57.641567,1047.41626,294.316315,-252.823181,517.509033,383.779755,-290.334473,96.782318,431.194733,-243.593216,74.152107,310.642395,96.861542,522.348389,386.022522,141.456512,108.059052,432.031647,88.556747,85.468437,316.155273,-165.175858,506.976959,357.103973,-199.955338,110.88546,252.794617,-321.585358,53.809956,217.246567,-237.833252,62.135002,256.872253,178.309998,57.383301,217.231445,92.742188,63.845894,364.370361,57.368671,107.997742,310.311493,5.252766,501.204956
4,0,228.251526,-230.660263,1014.774109,255.597794,73.26033,1019.565125,447.130341,-139.720703,1049.320312,453.681,-57.659969,1047.424927,294.336151,-252.837448,517.599548,383.778809,-290.346954,96.764061,431.218719,-243.603561,74.144165,310.654175,96.831673,522.330322,386.001343,141.451141,108.027756,432.048126,88.545891,85.446335,316.196198,-165.168152,507.012238,357.083862,-199.90889,110.909485,252.812408,-321.589111,53.839329,217.265472,-237.83461,62.115822,256.903748,178.329025,57.38644,217.246002,92.744377,63.847759,364.361633,57.355282,108.010056,310.356781,5.21704,501.22052
5,0,228.278442,-230.702789,1014.787292,255.609512,73.27636,1019.546387,447.145203,-139.712112,1049.325806,453.720093,-57.682281,1047.418335,294.352905,-252.907211,517.552063,383.791626,-290.354431,96.797188,431.182892,-243.576508,74.147697,310.685577,96.836601,522.363037,386.053345,141.455292,108.047142,432.026703,88.563202,85.447601,316.191864,-165.226227,506.98172,357.079163,-199.971237,110.935753,252.808899,-321.586761,53.805424,217.255402,-237.811646,62.119904,256.907196,178.355194,57.400379,217.246872,92.749176,63.844704,364.36615,57.357212,108.015625,310.353027,5.197731,501.206573
6,0,228.30307,-230.708252,1014.793518,255.612488,73.250992,1019.528748,447.1521,-139.71907,1049.349243,453.762695,-57.68927,1047.417114,294.264404,-252.883377,517.586365,383.774048,-290.34317,96.786552,431.216064,-243.591614,74.115784,310.74057,96.837868,522.35022,386.059967,141.452606,108.053833,432.029724,88.568214,85.420891,316.22998,-165.236298,506.986206,357.091125,-200.016357,110.884453,252.794327,-321.577209,53.843838,217.249741,-237.816071,62.126102,256.898285,178.35585,57.380516,217.267151,92.72773,63.82251,364.40451,57.391171,108.012825,310.403625,5.213283,501.213501
7,0,228.337448,-230.726303,1014.827759,255.627213,73.237122,1019.522644,447.152069,-139.695023,1049.392822,453.775208,-57.722385,1047.449585,294.017334,-253.020142,517.488098,383.753754,-290.343964,96.777435,431.251556,-243.647415,74.067154,310.788849,96.812393,522.329712,386.048157,141.452286,108.047722,431.99234,88.542213,85.421791,316.293365,-165.232559,506.960876,357.068512,-200.044128,110.84446,252.828629,-321.573975,53.836555,217.224304,-237.799286,62.104069,256.944489,178.345932,57.408379,217.273956,92.728615,63.809143,364.354523,57.391144,108.003479,310.44223,5.202905,501.209564
8,0,228.343094,-230.741837,1014.828186,255.57959,73.190849,1019.492004,447.151672,-139.686478,1049.430664,453.816101,-57.715366,1047.450562,294.261292,-252.934631,517.552551,383.751434,-290.352509,96.751083,431.238098,-243.649811,74.048782,310.769806,96.796074,522.333496,386.070404,141.454529,108.04866,431.969879,88.535912,85.421982,316.274811,-165.283142,506.964264,357.086273,-200.061569,110.862556,252.807617,-321.575897,53.854301,217.191422,-237.803436,62.098919,256.945648,178.334839,57.391403,217.245407,92.729378,63.82177,364.35907,57.398956,108.025909,310.469879,5.157556,501.17923
9,0,228.401337,-230.790024,1014.85791,255.553253,73.164665,1019.476624,447.165649,-139.683853,1049.468018,453.830902,-57.707367,1047.493774,294.248657,-252.947128,517.5448,383.748993,-290.328644,96.766685,431.232117,-243.648438,74.059608,310.778198,96.772491,522.34668,386.069061,141.446381,108.039299,431.93634,88.5336,85.405769,316.331726,-165.282089,506.947052,357.062164,-200.088837,110.835037,252.78949,-321.56076,53.851749,217.207977,-237.823242,62.114536,256.930237,178.319046,57.414173,217.248856,92.717819,63.801914,364.356049,57.384212,108.008652,310.487701,5.141109,501.174805
10,0,228.423264,-230.790543,1014.879578,255.549911,73.128532,1019.477356,447.148071,-139.678696,1049.491333,453.866211,-57.709614,1047.512085,294.301422,-252.96759,517.574402,383.734528,-290.338745,96.754669,431.215576,-243.661835,74.077492,310.808594,96.745003,522.309509,386.156525,141.147293,107.800781,431.953491,88.543716,85.39653,316.315399,-165.336899,506.919922,357.094543,-200.170517,110.787376,252.786316,-321.570007,53.859142,217.187561,-237.796799,62.10857,256.914032,178.299622,57.371738,217.248306,92.726501,63.842789,364.339966,57.406666,108.011795,310.529816,5.138546,501.173035
