,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,244.774719,-234.096527,1015.417603,260.627777,70.316528,1009.070618,456.626129,-129.668854,1057.339966,461.904175,-53.861706,1054.041748,304.760254,-266.248779,532.443542,377.915985,-301.996704,95.140045,429.430725,-260.576263,71.868011,312.361877,99.362854,519.45874,390.142212,149.323837,105.086891,438.410583,97.304253,81.234314,308.921753,-158.055893,508.814575,362.413269,-214.333313,104.419937,244.300491,-320.641937,52.759289,216.960419,-233.131104,60.298363,260.217712,182.938583,55.407425,223.532608,95.312653,62.668518,370.867004,62.688873,107.048569,313.171631,6.727112,498.057831
2,0,244.772751,-234.086578,1015.389893,260.596466,70.352226,1009.075073,456.608063,-129.5914,1057.348633,461.889435,-53.768272,1054.047852,304.770813,-266.268982,532.440063,377.928986,-301.951508,95.161072,429.428619,-260.556549,71.885414,312.338715,99.380226,519.467285,390.068451,149.19838,104.964058,438.431,97.310509,81.276672,308.9729,-158.007935,508.824524,362.382843,-214.347534,104.392891,244.314041,-320.656586,52.806309,216.967697,-233.125946,60.308887,260.122803,182.965454,55.438213,223.530991,95.29287,62.66013,370.885834,62.716564,107.023888,313.372467,6.841861,497.976624
3,0,244.75444,-234.080383,1015.368347,260.550812,70.408485,1009.085388,456.62439,-129.528534,1057.334717,461.878876,-53.690754,1054.053833,304.841949,-266.250153,532.437317,377.887878,-301.975464,95.128922,429.399323,-260.754852,71.885811,312.265594,99.40934,519.471069,390.073578,149.204468,104.980888,438.399628,97.314186,81.24424,309.01886,-158.019501,508.81488,362.379517,-214.335281,104.437317,244.315613,-320.658234,52.797436,216.977783,-233.13858,60.296288,260.10376,182.955978,55.423492,223.535629,95.277107,62.658607,370.893646,62.711491,107.030884,313.124603,6.789897,498.069946
4,0,244.79538,-234.039856,1015.352722,260.531464,70.430565,1009.089355,456.566315,-129.483414,1057.362549,461.858185,-53.629486,1054.079712,304.879913,-266.219757,532.455383,377.913086,-301.97818,95.15786,429.42746,-260.584259,71.865425,312.21994,99.432327,519.476562,390.070618,149.208817,104.968193,438.425659,97.320717,81.269867,309.066345,-158.029327,508.80188,362.184387,-214.048416,104.460457,244.312744,-320.659668,52.757305,216.982208,-233.134232,60.315975,260.136353,182.957504,55.410042,223.524536,95.300697,62.675217,370.889801,62.712215,107.032646,313.110504,6.795866,498.083282
5,0,244.772537,-234.042816,1015.336487,260.487457,70.452271,1009.096008,456.641937,-129.368713,1057.36731,461.860535,-53.547482,1054.112305,304.915863,-266.200348,532.42572,377.892395,-301.971313,95.148331,429.411591,-260.565155,71.887451,312.164642,99.470001,519.473755,390.097839,149.236572,104.953491,438.453766,97.330414,81.296265,309.09552,-157.993561,508.781189,362.382935,-214.311218,104.407089,244.313004,-320.655609,52.809879,216.975983,-233.132416,60.29726,260.157806,182.972046,55.407986,223.537094,95.295052,62.67778,370.911438,62.719414,107.030556,313.058899,6.813039,498.104553
6,0,244.77301,-234.029907,1015.316101,260.420319,70.486,1009.108276,456.595459,-129.3591,1057.380981,461.857086,-53.494823,1054.096436,304.964081,-266.193542,532.428772,377.958435,-301.930878,95.155167,429.571472,-260.657562,71.939873,312.122711,99.475517,519.488037,390.109009,149.33667,105.080971,438.447174,97.332794,81.306526,309.103271,-157.950424,508.76886,362.363068,-214.338516,104.406113,244.32283,-320.657227,52.805252,216.960754,-233.145828,60.294991,260.168182,182.986969,55.419609,223.524033,95.290367,62.67918,370.88269,62.726482,107.066292,313.008453,6.840636,498.091919
7,0,244.847748,-233.966187,1015.293701,260.38269,70.516678,1009.12439,456.594513,-129.336472,1057.390381,461.806458,-53.426685,1054.074585,305.00705,-266.175781,532.42865,377.911102,-301.94931,95.12767,429.412201,-260.583466,71.848053,312.024994,99.501823,519.478149,390.113861,149.319077,105.062599,438.425659,97.314331,81.271263,309.091003,-157.947388,508.803436,362.369751,-214.31694,104.386719,244.316177,-320.654358,52.798904,216.976227,-233.145798,60.309448,260.104767,182.969147,55.438416,223.525833,95.275536,62.678345,370.897736,62.716625,107.058838,313.038483,6.833922,498.093597
8,0,244.86882,-233.920135,1015.277832,260.310944,70.569481,1009.133484,456.59845,-129.264908,1057.393188,461.786255,-53.410614,1054.100098,305.011627,-266.174469,532.429871,377.91568,-301.962677,95.15242,429.387787,-260.574432,71.843719,311.976501,99.530212,519.480896,390.041351,149.21965,104.965851,438.426117,97.297211,81.308937,309.120728,-157.897415,508.779236,362.204346,-214.09877,104.464058,244.310272,-320.660461,52.788334,216.975967,-233.150314,60.310783,260.11554,182.969101,55.418262,223.51239,95.295067,62.676258,370.875153,62.727303,107.073425,312.975281,6.845457,498.101807
9,0,244.81102,-233.903915,1015.322449,260.271393,70.614632,1009.144653,456.580139,-129.20488,1057.400757,461.803253,-53.311752,1054.120239,304.999725,-266.171295,532.436768,377.936676,-301.938599,95.157715,429.403473,-260.566162,71.841171,311.916565,99.553482,519.484009,390.020294,149.223587,104.972366,438.49472,97.324936,81.360168,309.134796,-157.910904,508.781189,362.232025,-214.096924,104.454826,244.311447,-320.645599,52.804867,216.971771,-233.14444,60.311684,260.132568,182.972763,55.414181,223.516388,95.292862,62.687538,370.878326,62.736385,107.069931,312.946289,6.857193,498.100098
10,0,244.87085,-233.852097,1015.304199,260.208893,70.641068,1009.137634,456.606781,-129.127777,1057.354858,461.778442,-53.258915,1054.124756,304.990906,-266.141449,532.444946,377.948914,-301.928741,95.15255,429.401367,-260.547272,71.863495,311.88913,99.555344,519.465881,390.077118,149.309982,105.060997,438.446747,97.320816,81.343369,309.07254,-157.862015,508.745972,362.268036,-214.086639,104.467171,244.329681,-320.659668,52.768044,216.973434,-233.122314,60.314358,260.146454,182.992767,55.423595,223.514069,95.299347,62.698372,370.893005,62.730499,107.09211,312.883484,6.888183,498.105225
