,,Lowerbody:LIAS,,,Lowerbody:RIAS,,,Lowerbody:LIPS,,,Lowerbody:RIPS,,,Lowerbody:LFLE,,,Lowerbody:LFAL,,,Lowerbody:LFCC,,,Lowerbody:RFLE,,,Lowerbody:RFAL,,,Lowerbody:RFCC,,,Lowerbody:LFME,,,Lowerbody:LTAM,,,Lowerbody:LFM5,,,Lowerbody:LFM1,,,Lowerbody:RFM5,,,Lowerbody:RFM1,,,Lowerbody:RTAM,,,Lowerbody:RFME,,
1,0,249.653625,-242.380997,1017.952332,266.861511,59.857025,1014.115356,462.891968,-140.418152,1045.200928,468.598602,-65.505203,1042.087646,324.360229,-273.478424,532.390686,385.983948,-294.569244,93.77533,433.486908,-248.70755,71.32946,324.057587,90.333557,518.902771,392.070892,133.45488,104.175331,435.434387,77.871231,80.413826,329.934662,-167.376877,511.99646,364.110901,-209.224594,104.856361,253.78067,-324.18692,51.448048,219.652573,-238.408401,59.629364,264.609711,179.321487,54.722847,221.631958,93.145927,63.028164,367.117218,49.331062,106.862823,322.337006,-2.615356,498.550598
2,0,249.518021,-242.417007,1017.969116,266.773773,59.725391,1014.119141,462.78952,-140.522293,1045.158691,468.474701,-65.57737,1042.062988,324.267456,-273.48822,532.395691,385.951721,-294.576111,93.773323,433.460144,-248.690613,71.296616,323.96347,90.281891,518.913574,392.075745,133.454254,104.17424,435.439056,77.868431,80.428467,329.780243,-167.433044,512.036011,364.108063,-209.20694,104.854271,253.730865,-324.232208,51.442314,219.772141,-238.32579,59.768009,264.592804,179.312057,54.740227,221.630661,93.143265,63.061012,367.099091,49.328217,106.893524,322.255371,-2.666276,498.541473
3,0,249.365143,-242.493668,1018.008972,266.634399,59.624622,1014.155884,462.630066,-140.627686,1045.115112,468.320953,-65.702988,1042.020874,324.146423,-273.52713,532.40979,385.951355,-294.583038,93.787125,433.412415,-248.730591,71.254936,323.878632,90.227882,518.903625,392.0849,133.447632,104.209908,435.3797,77.820915,80.425949,329.714783,-167.492081,512.037109,364.091553,-209.195984,104.861931,253.76091,-324.237946,51.476009,219.816528,-238.23526,59.787426,264.617615,179.331848,54.727116,221.634506,93.130157,63.022926,367.085632,49.317623,106.859871,322.141663,-2.728569,498.520477
4,0,249.23851,-242.564743,1018.040771,266.533905,59.527908,1014.162537,462.512054,-140.723755,1045.021118,468.233887,-65.818886,1041.969238,324.0625,-273.55191,532.390686,385.949799,-294.545074,93.775879,433.41333,-248.724594,71.278114,323.812805,90.167686,518.902954,392.061218,133.432053,104.215942,435.386047,77.820999,80.414902,329.675751,-167.549591,512.078308,364.094604,-209.193954,104.865868,253.766663,-324.265167,51.463047,219.730774,-238.197525,59.616707,264.580658,179.33194,54.726273,221.626007,93.138824,63.033657,367.051575,49.324436,106.808403,322.038818,-2.745876,498.498749
5,0,249.091568,-242.666611,1018.013,266.438446,59.412048,1014.218811,462.406403,-140.836502,1044.983032,468.160034,-65.912315,1041.904053,324.005951,-273.617065,532.378845,385.944611,-294.555908,93.796021,433.409271,-248.689331,71.296326,323.702454,90.137604,518.926636,392.067169,133.417435,104.231537,435.427277,77.832726,80.445457,329.615997,-167.610077,512.099121,364.071228,-209.201462,104.853333,253.764664,-324.246979,51.402222,219.733871,-238.319519,59.735054,264.592438,179.332214,54.705284,221.609436,93.146278,63.036041,367.001068,49.304482,106.81192,321.763824,-2.853157,498.374878
6,0,248.882034,-242.806702,1017.96875,266.361786,59.302475,1014.275696,462.252747,-140.968918,1044.893921,468.063171,-66.051369,1041.839478,323.931641,-273.67038,532.395752,385.940369,-294.547363,93.790993,433.446289,-248.670609,71.316277,323.623962,90.040756,518.902405,392.052155,133.393616,104.228104,435.347321,77.799713,80.430244,329.613281,-167.655045,512.084412,364.075073,-209.213699,104.867477,253.780304,-324.257782,51.44381,219.753067,-238.211945,59.68943,264.588562,179.319107,54.698944,221.621979,93.144798,63.029842,366.972015,49.271317,106.84201,321.653229,-2.951968,498.388519
7,0,248.661392,-242.947983,1018.003235,266.276276,59.200043,1014.335754,462.146912,-141.078796,1044.876709,467.946136,-66.196625,1041.82666,323.891022,-273.713745,532.388123,385.915771,-294.552216,93.781151,433.398315,-248.694473,71.312881,323.545685,89.997528,518.90979,392.050415,133.341858,104.2435,435.323914,77.758766,80.444962,329.676544,-167.69165,512.073853,364.097961,-209.210083,104.855965,253.766571,-324.228821,51.427052,219.738663,-238.273926,59.698456,264.603027,179.314972,54.724945,221.61824,93.160843,63.050621,366.976196,49.276676,106.826683,321.510681,-3.02782,498.397797
8,0,248.453644,-243.082169,1017.990234,266.205872,59.107292,1014.388062,462.00766,-141.237808,1044.810669,467.814392,-66.350578,1041.772827,323.88266,-273.791168,532.360168,385.919128,-294.556305,93.741325,433.438293,-248.687775,71.325119,323.446411,89.889702,518.902039,392.026917,133.356857,104.292137,435.344391,77.763405,80.455132,329.629791,-167.75087,512.101685,364.067139,-209.230835,104.890091,253.768356,-324.190643,51.406132,219.648911,-238.209076,59.508553,264.594696,179.298157,54.71603,221.588501,93.143806,63.025669,366.966034,49.246323,106.829102,321.396606,-3.067649,498.391449
9,0,248.291443,-243.198471,1017.922546,266.161896,58.995991,1014.465454,461.820038,-141.397812,1044.749268,467.730103,-66.513756,1041.735229,323.879822,-273.860229,532.367249,385.889374,-294.564758,93.759659,433.399689,-248.725494,71.291611,323.365051,89.838066,518.89209,392.026031,133.337112,104.284584,435.282898,77.697205,80.457932,329.707977,-167.829941,512.072327,364.09436,-209.224289,104.901741,253.779388,-324.252258,51.40707,219.726746,-238.156097,59.569096,264.580811,179.378525,54.804359,221.590881,93.153923,63.03513,366.920868,49.276272,106.832817,321.270813,-3.123022,498.394073
10,0,248.131744,-243.314529,1017.886536,266.122437,58.879772,1014.535889,461.737213,-141.539749,1044.739746,467.644775,-66.699898,1041.756104,323.837341,-273.923157,532.370728,385.922974,-294.575623,93.750336,433.442535,-248.736893,71.321381,323.288727,89.780426,518.906982,391.984131,133.244904,104.36412,435.358368,77.747253,80.479912,329.723572,-167.915146,512.084106,364.116516,-209.227249,104.909904,253.761383,-324.288361,51.432091,219.712082,-238.19722,59.569416,264.59314,179.336075,54.750187,221.572403,93.134224,63.047989,366.920776,49.282074,106.802452,321.161682,-3.156514,498.398376
